drug,CiPA,predict_0,predict_1,predict_2
astemizole,1,0,2000,0
azimilide,2,0,0,2000
bepridil,2,0,2,1998
chlorpromazine,1,31,1969,0
cisapride,1,0,2000,0
clarithromycin,1,0,2000,0
clozapine,1,276,1724,0
diltiazem,0,2000,0,0
disopyramide,2,0,1990,10
dofetilide,2,0,2,1998
domperidone,1,0,25,1975
droperidol,1,0,2000,0
ibutilide,2,0,0,2000
loratadine,0,2000,0,0
metoprolol,0,1862,138,0
mexiletine,0,2000,0,0
nifedipine,0,2000,0,0
nitrendipine,0,2000,0,0
ondansetron,1,0,2000,0
pimozide,1,0,168,1832
quinidine,2,0,776,1224
ranolazine,0,2000,0,0
risperidone,1,446,1554,0
sotalol,2,0,1925,75
tamoxifen,0,1281,719,0
terfenadine,1,2,1998,0
vandetanib,2,0,0,2000
verapamil,0,1733,267,0
