ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
16750,0.7015,56360000,1.739,8.073e+09,1.87,129500000,1.239,330.7,1.69,2938000,1.693,263.9,1.055
766900,1.809,1085,0.9315,51150000,1.687,4.878e+09,1.702,346.4,1.617,14450,1.951,303.8,1.169
1551000,1.473,43620,0.5714,22200000,1.349,9119000,1.401,340.9,1.631,7.053e+09,1.334,282.9,1.262
707000,1.483,61080,0.5855,387600,1.812,3.447e+09,1.544,346.2,1.754,223500000,1.114,402.9,0.945
27950,0.6506,1268,1.13,18020,1.007,803800000,1.27,309.3,1.758,1.687e+09,1.744,335.6,1.05
13010,1.168,811.8,1.516,36360000,1.273,283500000,1.496,341.1,1.599,33300000,1.378,262.9,1.725
1133000,0.9132,1162,1.875,12620,1.072,127200000,1.5,330.6,1.975,659200000,1.043,223.6,1.576
207900000,1.529,7200,1.774,330300,0.6445,7.921e+09,1.722,335.9,1.428,4.738e+09,1.939,252.4,1.792
46510,1.009,1209,1.066,4179000,0.518,5.708e+09,1.661,337.5,1.999,10070000,1.654,209.8,1.753
3558,1.238,30560,0.6975,68900000,1.099,300300,1.056,383.7,1.721,81080,1.394,231,1.624
1257,0.6615,856.8,1.169,111500,0.5227,2293000,1.9,394,1.389,429000,0.7834,279.6,1.74
3.331e+09,1.137,1788000,1.613,64320,1.469,99880000,1.735,375.6,1.72,1453000,0.5727,296.4,1.259
32990,1.247,3716,1.227,47080000,0.5296,289100,0.8604,363.4,1.515,4224000,0.7811,280.1,1.452
1491000,0.7953,26020000,1.748,211100,0.7388,58160000,1.345,320.2,1.742,29860,1.061,264.7,0.8989
25540,1.032,13040000,0.8124,10510000,1.919,260600,1.402,338.3,1.711,74750000,0.8355,240.6,1.387
15760000,0.6551,3191,1.339,115900000,1.826,1.841e+09,1.449,343.1,1.922,1872000,1.046,289.6,1.033
