ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
6802,0.727,8064,1.556,561.9,1.128,48.58,1.013
6420,0.955,8046,1.206,606.6,1.069,50.91,0.9651
6964,0.8274,8196,1.467,531.7,0.8525,43.31,1.059
7711,1.057,11650,1.411,489.6,0.9055,40.85,1.121
5201,0.9689,8608,1.729,412.2,0.9372,40.58,1.128
8448,1.161,7824,0.9703,534.1,0.9683,44.16,1.146
7334,0.9368,9045,1.058,528.8,0.8843,46.57,1.107
7165,0.9266,7961,1.189,417.4,1.002,43.3,1.15
6018,0.7805,8378,1.37,523,1.022,38.83,1.109
6545,0.9716,8243,1.164,585.9,0.9557,40.45,1.102
6427,1.008,8503,1.376,470.7,0.9172,41.12,1.123
5473,0.9107,8347,1.449,727.3,0.7917,45.06,1.064
7005,0.7366,10460,1.35,735.2,0.8781,40.45,1.128
6629,0.8167,9605,1.415,435.7,1.274,44.93,1.14
7802,0.7275,11650,1.341,665,1.022,42.09,1.045
6259,0.9086,8685,1.22,554,1.049,40.2,1.051
9141,1.001,8233,1.128,660.6,1.199,47.23,1.057
8373,0.8628,8529,1.156,600.5,1.165,46.51,1.156
8044,1.185,7737,1.089,535.2,1.249,39.79,1.111
6441,0.8592,8353,1.059,588.2,1.084,40.42,1.241
6380,0.7488,9535,1.001,652.4,0.972,41.53,1.133
6962,0.9627,4879,0.9622,582.1,0.927,40.52,1.061
6849,0.999,9558,1.185,532,0.7791,43.84,1.232
3811,0.7364,8566,1.058,702.3,1.185,49.46,1.123
8818,1.499,8379,0.8526,550.4,1.008,46.34,1.1
11060,1.888,8882,0.8002,618.8,1.454,45.99,1.233
11660,1.47,6986,1.094,645.2,1.006,42.04,1.104
7461,0.8479,13700,1.284,541.4,0.8625,39.5,1.068
7752,0.7786,8568,0.9393,518.5,1.069,41.75,1.073
6440,0.9997,8240,0.9521,681.3,1.001,43.27,1.123
6867,0.9149,8724,0.9123,608.4,1.123,42.35,1.063
6306,1.043,7015,1.134,560.8,1.129,39.38,1.081
5994,0.8183,6000,0.9696,542.2,0.7396,43.54,1.058
7683,0.6924,9020,1.022,542.1,1.165,40.49,1.108
6339,0.8682,6858,0.9999,569.2,1.455,38.19,1.172
6433,0.6123,7976,1.307,726.2,1.249,39.34,1.097
