ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
4968,1.649,7883,1.007,1276,1.649,2183,1.011
2638,1.875,12600,1.472,2528,0.9198,1624,1.15
1802,1.797,21830,1.959,1440,1.744,1218,1.207
6938,1.607,16740,1.282,1931,1.741,1629,1.403
5842,1.557,14950,1.262,1360,1.877,1394,0.9071
4769,1.866,14600,1.32,1425,1.352,1394,1.775
2266,1.883,18000,1.946,992.6,1.854,1440,1.112
5443,1.264,18300,1.754,1092,1.371,1009,1.654
5177,1.656,16840,1.827,1066,1.203,995.1,1.482
3735,1.036,17660,1.51,1543,0.9304,949.4,1.929
5112,1.456,17780,1.44,2942,1.072,990.5,1.886
3950,1.242,15590,1.775,1828,1.23,1145,1.876
3402,1.749,14570,1.703,1910,1.119,862.2,1.744
6832,1.952,6561,1.223,1724,1.187,1071,1.379
3296,1.467,16780,1.348,2164,1.164,1199,1.779
5869,1.622,13800,1.304,2562,0.9039,1105,1.988
6425,1.822,14840,1.805,1643,1.634,1374,1.231
2352,0.9789,14300,1.655,4056,1.054,1147,1.805
3836,1.426,9005,1.506,2102,0.8832,1340,1.229
1408,1.819,17090,1.531,1560,1.119,1073,1.68
5102,1.545,13370,1.158,2985,1.269,1094,1.633
6604,1.862,16650,1.308,1040,1.963,1369,1.34
3247,1.678,18010,1.397,1164,1.579,1185,1.791
2261,1.053,16840,1.596,2193,1.138,798.6,1.948
1931,1.672,14520,1.448,1242,1.727,946.9,1.894
2985,1.093,19290,1.87,2120,0.9636,1015,1.919
1881,1.136,16800,1.726,4053,1.167,1010,1.706
2274,1.582,11440,1.04,1255,1.685,852.7,1.374
1089,1.572,14240,1.198,1620,0.9605,1192,1.494
1252,1.808,9703,1.102,3069,1.661,963.7,1.703
5392,1.793,13750,1.196,2237,1.502,813,1.885
1386,1.94,11370,0.9567,1312,1.177,1004,1.643
8286,1.465,19950,1.894,2425,0.8968,1145,1.721
5081,1.44,17680,1.778,2518,1.029,856.2,1.924
4204,1.569,20370,1.63,3225,1.095,972.8,1.913
2385,0.9225,20980,1.937,2633,1.294,1642,1.318
3606,1.118,17010,1.807,2835,0.9982,1466,1.858
3431,1.939,13720,1.119,1958,1.444,1623,1.448
2456,1.701,14410,1.412,1480,1.349,1004,1.574
1619,1.843,15840,1.517,1658,1.127,972.7,1.49
1714,1.88,17790,1.844,1568,1.267,1437,1.56
3107,1.324,15150,1.447,2460,1.046,1133,1.628
5333,1.766,16360,1.468,2225,1.331,1021,1.81
1279,1.845,10020,1.822,3079,1.026,794.7,1.951
8622,1.507,5566,1.692,1894,1.108,912.9,1.346
2251,1.291,5853,1.358,2149,1.01,1092,1.646
2549,1.495,15200,1.149,1719,1.461,1163,1.407
6076,1.75,10770,1.24,1491,0.9725,1470,1.121
