ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
349700,1.292,148900,1.231,29280,0.8452,11160,0.9226
283600,1.514,118600,0.9462,25080,0.731,14000,0.8142
350900,1.405,153100,0.9533,24000,0.6784,14150,0.9737
374700,1.304,150000,0.978,25780,0.7198,13600,0.9782
352900,1.111,163200,1.051,25450,0.6824,12130,0.7809
344700,0.8778,143400,0.9203,38550,0.7346,12540,1.067
249700,0.7047,176000,1.064,32460,0.9728,12540,0.9129
301700,0.7061,124200,0.904,24160,0.8491,13030,0.9235
375600,0.9946,144500,0.8854,21950,0.7722,12230,1.027
675300,0.6193,166900,0.9286,26550,1.095,11200,0.8767
452300,1.225,142800,0.9464,20190,0.7093,12210,0.8644
387000,1.588,140300,0.9024,18170,0.7249,11730,0.9612
386000,1.087,145200,0.887,28920,0.7291,12070,0.9159
385300,1.017,172500,1.013,24690,0.7289,14170,0.9833
537300,0.7161,162500,0.9045,20900,0.7127,13450,1.012
529800,0.6379,160500,0.9716,23970,0.857,12210,0.9333
402500,0.7316,175600,1.646,26040,0.6888,13810,0.9766
441500,0.8044,102200,0.8047,26090,0.8052,13530,0.8532
328600,1.453,107400,0.7127,25940,0.7184,11860,1.096
500400,0.9249,161600,1.232,23660,0.9551,11450,0.802
432400,0.8755,141700,1.017,20760,0.7517,11850,0.9442
348500,1.097,128900,1.084,27880,0.7162,12950,0.8882
491400,0.6825,145400,1.09,19510,0.6792,13400,0.8857
291700,0.9153,143800,0.9978,23570,0.85,13460,0.9531
351700,0.7394,155200,1.083,23910,0.8826,12110,0.9265
434900,0.7178,139100,0.8874,38160,0.797,12850,0.9055
363000,1.032,143600,1.065,22160,0.7285,12530,0.9625
473800,0.9591,153400,0.9973,23550,0.739,14060,1.022
417900,1.147,139500,0.966,24820,0.6808,16180,0.9721
313100,0.9752,146600,1.242,23930,0.8232,14410,0.8846
315000,1.026,151200,0.897,26630,0.7384,13920,0.951
373400,0.8994,129400,0.974,24080,0.7454,14070,0.8055
486800,0.9002,151700,1.211,30150,0.8192,13370,0.9265
364400,0.9192,155400,1.283,18280,0.6389,13190,0.9654
422900,0.6901,152600,0.9886,36780,0.9508,13670,0.8851
471900,0.6413,148600,1.03,22730,0.7898,14750,1.058
458700,0.8791,199600,1.199,23370,0.7992,13250,0.9634
284600,0.8769,157700,0.8964,26300,0.8307,15740,0.84
426300,0.8964,130200,0.9089,24110,0.9006,16300,0.8926
385000,0.8756,155400,1.018,29740,0.7543,17060,0.974
459500,0.8749,155400,1.179,25440,0.7843,14640,1.144
368600,0.8125,159700,0.9567,28110,0.8036,13570,0.8704
368400,0.7408,147600,0.9237,24550,0.7526,14380,1.098
448700,0.7732,174300,1.27,23120,0.7462,15970,0.9136
436100,0.6742,135000,0.9876,24210,0.7469,12600,0.8969
302900,1.443,149700,0.8656,24970,0.8195,11990,0.8675
393000,1.486,151200,1.045,31100,0.6786,13530,0.9436
699100,0.7581,173000,0.9277,24770,0.8562,15170,1.036
380600,0.7363,145600,0.9291,25000,0.7514,14100,0.9125
267700,1.019,136600,1.037,22930,0.7906,13020,0.9238
578400,0.8531,161100,1.398,22320,0.6824,14920,0.9385
569300,0.7989,156100,0.9434,25630,0.7198,15480,0.942
516400,0.5227,143400,1.016,24460,0.6516,15180,0.9047
408100,1.006,158800,0.8383,19630,0.7151,12930,0.8533
412200,0.8119,125600,1.061,25240,0.783,11960,0.86
370700,1.168,152200,1.113,29520,0.8479,13210,0.9174
435800,0.7334,128500,0.987,22330,0.8271,14220,0.8822
327900,0.6893,145700,0.9396,24820,0.7785,13940,1.006
472600,1.048,152200,0.9646,26660,0.7361,12710,0.8606
306200,1.276,148500,0.8428,27830,0.7861,13920,1.018
424600,1.375,153100,1.063,21750,0.8068,10870,1.006
330300,0.8546,149600,0.9882,30110,0.7287,12640,1.056
348300,0.9097,128100,1.372,20440,0.7378,13380,0.8474
334300,0.6939,244600,1.388,19900,0.7506,11840,0.8513
