ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
4984,1.31,4843,1.906,15420,0.5481,109500000,0.6395,702,1.848,23010,1.079,1002,1.662
71820,0.6178,3682,1.708,12970,0.6491,872100,0.9086,684.3,1.695,11030,1.972,799,1.561
36450,0.7359,3553,1.416,4584,1.135,62830000,1.969,723.9,1.865,11870,1.959,855.4,1.413
7150,1.266,3877,1.126,6245,1.229,732900000,0.8352,713.4,1.911,13260,1.937,694.9,1.347
30610,0.6755,3932,1.698,6330,0.8619,1.267e+09,0.816,620.2,1.74,10590,1.817,815.6,1.994
21990,0.8778,5007,1.933,4843,1.588,8.28e+08,0.9236,676.8,1.718,105500,0.7914,790,1.685
6400,1.657,3110,1.487,5893,0.8907,8.34e+08,0.5628,717.7,1.916,148000,0.6526,831.1,1.132
5161,1.967,3890,1.145,9445,0.6698,209100,0.545,702.8,1.707,142700,0.5708,1115,1.354
5203,1.594,5372,0.8654,4266,1.142,178400,1.065,633.3,1.905,11820,1.791,901.8,1.357
19090,0.8402,4360,0.9826,6399,1.138,21990000,0.7203,678.9,1.572,733200,0.5413,743.7,1.428
7221,1.5,5558,0.8345,7965,1.734,1093000,1.579,625.5,1.826,2073000,0.7475,923.8,1.243
10300,1.324,5260,1.567,2860,1.929,15980,1.441,805.6,1.658,5514000,0.9749,749.7,1.562
56480,0.5252,3418,1.672,2745,1.4,22120,1.175,629.5,1.867,1090000,0.7352,733,1.977
8262,1.074,5851,1.02,8663,0.5143,9847,1.146,649,1.826,56420,0.7625,931.7,1.024
33940,0.5838,5024,1.326,9740,1.023,21850,1.558,702.1,1.885,23480,1.215,902.1,1.617
53150,0.5521,3329,1.705,7476,0.7002,16650,1.305,700.1,1.711,106900,0.694,795.9,1.194
5622,1.662,4145,1.81,6082,0.7061,11260,1.391,667.5,1.669,16400,1.765,553.5,1.34
14810,0.8524,5238,1.204,34730,0.5123,5873000,1.178,586.6,1.677,41890,0.7892,905.9,1.081
7188,1.547,3984,0.9718,4311,1.644,2.764e+09,0.6762,760.1,1.926,9465,1.955,1072,1.246
21260,0.7704,4325,0.9884,17170,0.633,1063000,1.707,768.5,1.769,21240,1.393,856.2,1.264
7171,1.597,5267,1.159,5086,1.136,19070,0.9679,773.1,1.607,1565000,0.5049,863.9,1.958
5709,1.598,7054,0.6547,13720,0.8256,65530,0.6331,737.4,1.629,165400,0.5372,876.2,1.85
8712,0.9611,6869,0.9367,7999,1.003,13050,1.045,562.3,1.654,185100,0.5695,968,1.797
29410,0.7885,2899,1.28,5393,1.29,12870000,0.5373,689.5,1.877,192900,0.6132,833.8,1.482
64460,0.8212,3408,1.068,9184,1.124,18780,1.007,703.8,1.838,2725000,1.838,1007,1.503
7523,1.705,6453,1.544,6535,0.8462,39180,0.8342,615.1,1.703,756000,1.176,849.9,1.878
7146,1.153,3661,1.035,5062,0.8015,19240,1.113,732.4,1.547,9992000,1.67,1017,1.208
15950,1.187,4211,1.017,10160,0.6538,13860,1.047,636.5,1.77,412900000,1.675,771.5,1.378
29280,0.5964,3169,0.9174,6678,1.155,13910,1.296,616.2,1.878,228400000,1.286,878.2,1.501
64660,0.9237,2090,1.783,9214,1.015,8714,1.523,621.9,1.73,14210,1.272,986.6,1.432
5084,1.462,3889,1.443,3654,1.74,8576,1.493,670.7,1.901,167600,0.5569,930.8,1.412
22600,0.6825,12130,0.8949,8769,1.478,6682,1.397,668.3,1.833,340900,0.5216,1113,1.141
22970,0.7511,6006,0.9575,46770,0.6451,15540,0.9811,706.1,1.981,496300,0.5212,1054,1.446
29200,0.6039,3712,1.459,12800,1.2,77180,0.6471,687.7,1.618,30270,0.8698,1001,1.297
12490,0.8344,19380,0.6276,22150,0.7601,106300,0.5817,648.1,1.676,18180,1.135,931.5,1.598
10590,1.032,3445,1.672,11710,1.224,36840,0.7265,705,1.966,67260,0.7512,1040,1.248
10610,1.261,13610,0.6997,3442,1.18,17730,1.005,739.4,1.588,630000,0.6452,878.3,1.07
6747,1.336,3202,1.71,5950,0.8305,22460,0.8421,640,1.778,14240,1.524,849.8,1.38
8915,1.605,8424,0.6161,5923,0.8042,104100000,1.087,580.9,1.803,10730,1.641,852.8,1.289
7411,1.313,28930,0.5366,21490,0.714,2.57e+09,0.806,589.5,1.511,9188,1.659,826.2,1.657
48920,0.873,10510,0.5196,14210,0.5564,204800,0.6602,655.5,1.64,41370,0.8426,734.9,1.384
22270,0.7574,22940,0.5766,8192,1.18,494600,0.5842,663,1.473,432100,0.5235,921.7,1.808
10780,0.8943,20910,0.5441,7395,1.861,128900,0.5591,719.5,1.531,60400,0.7842,769,1.895
4306,1.798,12970,0.6937,16390,0.6415,60210,0.551,661.5,1.624,177200,0.6389,760.7,1.906
10960,1.461,4038,1.605,10410,0.6316,52570,0.6778,637.7,1.74,97480,0.6319,740,1.618
48760,0.5001,3375,1.419,3287,1.697,149900,1.733,687.2,1.69,91580,0.6701,997.2,1.41
60550,1.076,10390,1.463,3328,1.146,14390000,0.8479,679.8,1.805,22670,1.749,952.3,1.317
10860,1.376,21770,0.5613,14200,0.6911,14670,1.362,653.9,1.719,67650,1.628,922.3,1.556
37730,0.8258,16790,0.6599,11370,0.6081,8357,1.32,575.3,1.642,15190,1.546,844.3,1.533
42830,0.566,2127,1.13,14540,0.6836,8926,1.975,646.6,1.99,48340,1.43,832.9,1.885
7431,1.353,4325,1.236,4122,1.132,16830,0.6726,602.5,1.88,56980000,1.779,953.9,1.619
4991,1.649,5256,1.307,6821,0.8598,2.816e+09,1.293,619.7,1.522,282900000,1.616,1095,1.196
9866,0.8311,3639,1.466,4835,0.8282,51960,1.129,662.6,1.618,2.14e+08,0.5086,983.6,1.689
12530,0.9039,3993,1.115,30070,0.6783,15580,1.016,646.3,1.881,222600000,1.256,889.1,1.205
6931,0.9447,3959,1.684,14330,0.5887,11180,1.522,628.2,1.99,641800,1.58,1011,1.276
7569,1.243,5265,1.33,17220,0.6371,7376,1.684,617.4,1.699,996400000,1.025,609.2,1.489
17440,0.6614,3849,1.367,3461,1.115,8314,1.718,638.6,1.922,155500,1.903,898.2,1.692
6358,1.637,11360,0.6925,8567,0.6769,33790,0.8163,556.8,1.815,10210,1.883,786.6,1.934
26660,0.6985,4646,0.8463,6083,1.174,25450,1.027,659.8,1.732,13470000,1.728,867.2,1.994
5291,1.704,2874,0.9869,4653,1.025,18560,1.315,673.9,1.951,294900000,0.6173,758,1.894
8419,1.929,6139,1.094,6127,0.7138,16190,1.342,799,1.387,40710000,0.5643,972.6,1.655
7064,1.793,6426,1.165,18230,0.5934,15460,1.678,652,1.571,1.281e+09,1.849,1024,1.717
4430,1.934,5886,0.756,4855,1.306,662300,1.178,575.4,1.345,56770000,1.82,840.8,1.403
24800,0.6631,5516,1.33,3930,1.671,30070,0.7877,669.9,1.776,8873000,1.625,729.1,1.568
9921,1.023,5300,1.034,3803,1.681,15150,1.258,579.6,1.712,71140,1.772,737.7,1.907
5659,1.269,19470,0.6215,7051,0.9878,31710,1.132,783.7,1.658,2227000,0.8847,917.2,1.549
5271,1.324,23050,0.6312,5718,1.088,10750,1.607,553.9,1.412,112500,1.724,824.5,1.406
16200,0.766,7369,1.236,12260,0.5345,5471,1.873,648.4,1.806,49570,1.185,912,1.859
5521,1.956,3758,1.021,9368,0.8972,4831,1.845,619,1.777,47480,0.9234,837.5,1.601
5855,1.798,11260,0.6944,6556,0.8813,19250,0.9298,676.6,1.547,30880,1.251,848.5,1.363
4827,1.979,2599,1.957,5885,0.9376,23130,0.8037,701.7,1.548,387300,0.698,926.8,1.56
7859,1.482,7240,1.11,6037,0.8886,308200,1.756,650.6,1.756,50640,1.06,827.5,1.601
73900,0.6223,6767,0.8582,4783,0.9469,955200000,1.136,654.2,1.822,26460,1.443,851.9,1.651
6516,1.572,3928,1.264,4704,0.8814,748100,0.7531,663,1.946,78670,0.8388,736.7,1.385
39560,0.6581,10440,1.088,7275,0.8507,208900,0.6621,623.5,1.989,847500000,1.703,897.2,1.647
30740,0.5254,8633,0.6038,6948,1.504,60770,0.7002,676.9,1.823,308200000,1.005,868.6,1.732
9751,1.336,9099,0.666,5359,0.8062,9999,1.422,621.3,1.75,15190000,1.753,937.7,1.517
19990,0.9929,3770,1.665,12080,0.8415,11960,1.498,659.1,1.741,39950000,1.363,1143,1.85
17120,1.683,4445,1.256,7822,0.7391,15540,1.418,672,1.866,801900000,1.224,898.8,1.605
39940,0.5343,3151,1.086,4306,1.172,13910,1.374,639.4,1.554,130500000,1.944,898,1.695
42870,0.663,3705,1.402,4263,1.51,10590,1.438,557,1.59,11530,1.42,1079,1.252
5621,1.889,28470,0.5173,4470,1.746,82470,1.957,645.8,1.878,18410,1.429,902.2,1.586
43250,0.6431,3651,1.272,3748,1.1,7278,1.839,672.9,1.913,34720,0.9444,813,1.577
22670,0.7234,3367,1.66,4293,0.9993,7723,1.977,681.2,1.715,18980,1.352,797.9,1.284
24420,0.7885,18760,0.6957,5210,1.555,1.499e+09,0.9182,655.6,1.785,25050,1.338,984.4,1.628
9831,1.803,2528,1.379,16770,0.7017,441100000,0.6713,685.1,1.806,209500,0.7574,857.3,1.385
33480,0.8648,3826,1.889,3930,1.271,724900,1.616,635.6,1.65,257900,0.6846,863,1.441
8505,1.276,3101,1.629,4419,1.389,16570,1.526,658.1,1.557,1626000,0.604,661.6,1.675
8569,1.161,3797,1.243,3764,1.536,130600,0.8064,646.7,1.564,279400000,0.5325,955.6,1.11
8072,1.457,3930,1.16,4309,1.43,15110,0.9937,608.2,1.802,9.991e+09,0.9835,736.9,1.751
16960,1.374,4341,1.389,4319,1.415,11350000,0.8783,592.2,1.732,29710,1.636,957.2,1.37
16340,0.863,7597,0.7722,16690,0.5726,27180,0.9362,665.9,1.925,22760,1.313,822.4,1.938
25620,1.28,4597,1.295,4698,1.106,16100,1.567,672.3,1.979,21300,1.265,777.5,1.919
8935,1.998,5052,0.7846,8915,0.5934,6960,1.816,807,1.51,12920,1.453,855.5,1.684
10240,1.912,4318,1.252,9179,0.6761,9198,1.922,762.8,1.945,195400,0.6222,814.8,1.661
5214,1.901,3554,1.553,7634,0.8044,9198,1.922,650.9,1.663,71530,1.088,1116,1.694
8896,1.425,5862,0.8813,6667,1.094,8777,1.704,676.2,1.993,27600000,0.8062,809.4,1.3
34420,0.7111,35730,0.5217,27130,0.5445,6236,1.818,603.8,1.824,101000,0.6084,830.6,1.61
6822,1.001,11150,0.6053,14230,0.6636,6505,1.977,611.6,1.83,131700,0.6106,909.9,1.526
7247,1.36,5516,1.463,4615,1.166,6653,1.945,649.4,1.816,204600,0.5331,904.7,1.325
7324,1.299,11400,0.7438,3778,1.426,6092,1.985,738.7,1.692,1216000,0.603,942.4,1.795
225700,0.6119,4435,0.7469,5656,1.218,7200,1.956,644.7,1.771,185600,0.5464,809.8,1.416
243300,0.6262,5644,1.129,4714,1.382,8243,1.885,695.4,1.757,93600,0.7514,842,1.413
68220,0.5374,4033,1.739,6030,1.489,9409,1.511,626.9,1.927,241200,1.15,879,1.639
6860,1.531,4917,1.354,5512,1.664,10080,1.62,663.7,1.941,11060,1.863,1141,1.486
6062,1.632,6704,1.268,6376,1.997,6743,1.757,751.7,1.589,14380,1.976,886.7,1.459
6272,1.03,3176,1.123,10570,1.051,7898,1.624,662.3,1.544,10150,1.528,725.9,1.16
38470,0.7121,4721,1.562,4699,1.378,7319,1.575,647.5,1.794,21150,1.879,956.8,1.808
9437,1.427,3972,1.518,8069,0.781,15260,1.213,620.7,1.77,9790,1.917,971.6,1.653
6186,1.629,4785,1.696,7766,1.086,8551,1.648,672.7,1.508,22790,1.606,937.9,1.544
29820,0.5928,3890,1.442,13930,0.5976,6850,1.922,838.1,1.689,98650,0.6732,698.8,1.391
7598,1.166,6579,1.048,5394,0.9312,10660,1.872,690.7,1.68,80420,0.6246,783.7,1.728
6963,1.456,11940,0.7408,11370,0.8612,10620,1.669,685.5,1.557,27310,1.495,1049,1.871
11870,1.06,4547,1.32,13030,0.7824,9081,1.853,696.7,1.797,19930,1.052,834,1.749
5586,1.435,3141,1.246,10870,0.7749,8261,1.582,653.5,1.684,23620,0.9317,1097,1.19
24930,1.021,8244,1.029,10340,0.7141,20100,1.419,567.4,1.766,141600,0.6509,731.4,1.089
9367,0.9769,4874,1.013,8393,0.67,24720,1.552,650.2,1.494,60510,0.7956,851.5,1.205
8585,1.221,4440,1.138,6561,1.744,1026000,1.819,659.6,1.604,181100,0.6641,974.4,1.441
34120,0.648,4678,1.345,5269,1.295,12610,1.396,672.1,1.713,115900,0.7653,1006,1.311
8815,1.298,6942,0.759,9646,0.7623,18030000,1.471,581.8,1.947,66750,0.6674,1149,1.032
9168,1.485,4357,0.8755,9059,0.8236,17380,1.095,610.2,1.532,12410,1.358,1173,1.832
5177,1.909,5897,1.283,17640,0.6157,12640,1.577,566.5,1.41,41390,1.028,851.5,1.634
6724,1.832,3146,1.481,17200,0.617,6536,1.559,651.6,1.685,40500,0.7791,889,1.393
5360,1.978,4043,1.803,19750,0.6727,10560,1.336,589.7,1.544,57970,0.7713,1024,1.258
4063,1.99,5173,0.8185,21360,0.5621,10470,1.143,613.8,1.718,125900,0.8365,1090,1.159
6078,1.678,3241,1.656,4440,1.428,869600000,1.062,824.8,1.809,172300,0.6976,689.4,1.116
14260,1.48,4101,1.643,20660,0.9394,2.61e+08,0.9221,707.4,1.665,427300,0.6455,1035,1.516
4273,1.158,12160,0.6296,17230,0.867,84760,0.5217,642.3,1.724,53790,0.903,766.6,1.454
25520,0.5507,8935,1.214,6486,1.636,7947,1.004,669.1,1.788,86540,0.9736,795.6,1.688
5120,1.686,10750,0.7894,3557,1.399,58550,1.205,673.2,1.711,116100,0.7243,822.1,1.913
5814,0.9601,6002,1.375,9632,0.8117,7391,1.542,633.4,1.999,93390,0.8489,874.5,1.809
6741,1.684,4080,0.7862,3471,1.929,10340,1.532,562.6,1.921,60460,0.841,914.1,1.491
11230,1.079,3707,1.337,4600,1.298,6611,1.564,678.5,1.888,417800,0.5045,1298,1.124
20110,0.5218,3883,1.313,4845,0.6978,10410,1.956,678.3,1.786,32510,1.213,761.7,1.848
10840,1.106,5832,1.451,5558,0.8786,10410,1.956,658.3,1.569,16780,1.118,861.4,1.427
17590,0.7186,3318,1.744,13390,0.6568,12650,1.479,656.8,1.806,23540,1.143,1291,1.114
7491,1.434,3551,1.774,7643,1.197,11070,1.141,679.7,1.61,578900,0.7385,959.1,1.819
6618,1.692,4712,1.338,23580,0.5767,14800,1.101,724.9,1.894,4.316e+09,0.9718,804.8,1.183
6243,1.914,4547,1.123,5814,1.609,16020,1.123,693.4,1.492,36760,0.9297,1198,1.367
8216,1.986,14530,0.7226,26040,0.5565,19700,0.9919,752.1,1.931,86090,0.6024,774.5,1.626
4992,1.917,5675,1.442,16150,0.5942,18190,0.9785,693,1.813,82250,0.6628,837.9,1.153
6361,1.835,5912,0.8331,9474,0.786,38510,0.8761,691.2,1.801,90070,0.6263,764,1.942
5995,1.997,14150,0.6303,5006,1.095,2800000,0.8284,741.6,1.693,72030,0.7687,713.7,1.645
17840,0.7799,4262,1.281,7961,0.6942,7.801e+09,1.643,812,1.296,186700,0.7292,928.2,1.823
5139,1.632,3800,1.006,20660,0.5454,9585,1.394,767,1.164,55260,0.7214,845.3,1.635
6184,1.458,4670,0.7739,6045,1.939,13790,1.511,585.6,1.611,75130,0.7185,759.8,1.387
12730,1.159,22370,0.5935,4084,1.704,15140,1.129,713.6,1.335,61940,0.8171,877.9,1.857
32760,0.6635,6128,1.202,5141,1.309,16400,1.361,709.3,1.505,297100,0.5525,763.2,1.534
44670,0.5888,7345,0.818,10400,0.7724,8998,1.512,720.4,1.69,26500,1.236,722,1.525
22140,0.6192,9337,0.6237,5745,1.328,8894,1.503,680.8,1.731,35780,1.118,813.1,1.383
18240,0.6463,4943,1.313,8323,1.051,99290000,0.6457,760.1,1.679,53990,0.8167,772.7,1.55
10990,1.92,5245,1.15,3614,0.9555,9846,1.754,738.6,1.696,96680,0.8028,731.9,1.41
4681,1.949,5650,1.03,5292,0.9744,8230,1.764,626.9,1.767,103800,1.017,647,1.444
10280,1.105,6004,0.8582,4170,1.093,17200,1.497,661.9,1.75,40550,1.504,822.8,1.964
6083,1.649,3577,0.9296,4055,0.5884,22510,1.107,707,1.711,14500,1.535,1020,1.299
5808,1.637,3900,1.011,4507,0.626,18250,0.9331,726.9,1.832,12810,1.651,724.3,1.603
8121,1.224,5296,0.8419,4630,0.9004,14540,1.093,718.4,1.615,345400,0.5756,829.6,1.37
6615,1.902,7517,1.065,6834,0.6866,25570,0.899,605.3,1.765,199300,0.7091,712.9,1.492
29110,1.274,2951,1.46,11610,0.6427,21800,0.8723,674.7,1.967,60270,0.7378,850.2,1.908
5542,1.936,7300,0.9407,5051,1.19,86990,1.058,651.7,1.745,32110,1.051,980.5,1.653
5833,1.908,4869,1.112,6218,1.165,8859,1.378,670.7,1.747,33360,0.9155,988,1.853
12610,1.556,4979,0.9071,4926,0.9447,274500,1.319,747.9,1.587,72030,0.7451,826.2,1.811
5738,1.688,5735,1.178,15830,0.6397,2.384e+09,0.5508,689.1,1.639,136000,0.6839,941.9,1.266
6332,1.545,3885,1.154,7014,1.176,3008000,0.826,647.8,1.705,50640,1.001,1100,1.573
11530,0.9364,4851,1.124,12100,1.007,23620,1.349,675.7,1.855,40090,0.8211,1048,1.228
6875,1.076,5840,1.412,4444,1.441,11250,1.901,627.9,1.812,54510,0.7916,823.2,1.408
20830,1.357,4691,1.458,3660,1.351,28160000,1.166,755.1,1.563,218900,0.5773,770.4,1.895
10010,1.604,4788,1.363,7586,0.8879,100700000,1.331,711.4,1.508,195600,0.669,840.9,1.646
7507,1.356,4210,1.718,6561,1.385,43870,0.9777,692.5,1.47,194100,0.6153,900,1.604
24200,0.6249,3533,1.52,4110,1.69,99210,0.5794,608.9,1.957,55300,0.9769,881.4,1.478
12580,0.8492,4987,1.398,4013,1.393,15160000,0.6451,727.3,1.683,43110,1.36,1072,1.768
13130,0.5147,8901,1.237,16810,0.5102,38130,1.093,746.2,1.756,444700,1.587,860.5,1.556
8264,1.187,4483,1.875,8266,1.085,24720,1.054,613.3,1.766,19720,1.839,894.7,1.535
4526,1.791,3652,1.904,5165,1.498,54090,0.9529,628.2,1.67,134400,1.115,835.6,1.251
4897,1.837,16720,0.5849,4699,1.712,802400000,0.989,611.2,1.781,120900,1.914,755.8,1.841
16090,0.8619,6378,0.9297,5176,1.946,2220000,0.6668,667.4,1.778,1219000,0.6679,759.2,1.561
6724,1.702,4583,1.266,3855,1.589,11440,1.273,611.5,1.842,24780,1.298,1050,1.991
6018,1.733,3474,1.358,6276,1.481,17260,0.9922,632.9,1.443,20060,1.572,940.3,1.835
