ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
135300,1.268,968300,1.013,211900,1.623,13940,0.635
149700,1.377,288200,1.133,493600,0.8529,14410,0.7542
145500,1.505,830300,1.023,370600,1.093,18570,0.6877
147700,0.8608,1142000,0.531,399900,1.635,19310,0.8628
279800,0.798,1461000,1.151,385300,1.121,22760,0.8636
175600,1.267,5.731e+09,1.28,168500,1.927,19890,0.8718
169300,1.088,793400,0.9565,370300,0.8219,19070,0.6912
111100,1.329,1755000,0.789,522200,1.065,17730,0.8849
190800,1.019,823700000,0.632,312300,1.124,20990,0.8243
182600,0.9487,726300,1.18,249200,1.65,25350,0.877
128600,1.765,3871000,0.9723,297600,1.331,28720,0.7893
181400,1.014,6160000,0.5524,264600,1.187,22610,0.8897
129500,1.661,1.839e+09,1.287,347900,0.9431,18840,0.8245
140600,1.803,64890000,1.182,789900,0.6723,24520,0.8457
130000,1.331,7.057e+09,1.606,628800,0.723,15890,0.7505
177000,1.046,834500,1.192,324400,1.02,20270,0.8484
172000,1.225,3848000,0.7467,210100,1.542,21080,0.8117
155200,1.065,24300000,1.088,523600,0.943,21060,0.8577
119500,1.833,248500,1.606,192200,1.629,23030,0.8202
153200,1.596,422000,1.7,205500,1.705,18640,0.7299
194500,0.9811,252300,1.561,260400,1.373,23390,0.7506
195200,1.246,57830000,0.656,778200,0.758,22230,0.7075
133500,1.345,1.02e+08,0.9745,349600,1.119,19630,0.9289
145700,1.021,121500000,0.5039,536000,1.204,21120,0.7684
323500,0.7331,914800000,0.5495,698000,0.8402,24770,0.7865
238500,0.7542,1.183e+09,0.5153,1897000,0.5851,19190,0.779
174500,1.914,15740000,0.7366,2110000,0.5589,25970,0.8151
123700,1.928,644600,0.8182,2304000,0.5267,16880,0.6834
142100,1.9,1192000,0.6101,254200,1.56,19250,0.983
182800,1.185,2509000,0.971,273000,1.356,23740,0.8568
130500,1.113,74430000,1.225,400100,1.075,18320,0.7079
174000,1.015,271500,1.568,633400,0.7679,23230,0.6723
132900,1.099,475100,1.119,347200,1.163,17440,0.7172
130900,1.432,2212000,1.35,334300,1.031,23400,0.8163
115700,1.716,501300,1.257,210500,1.85,21880,0.7024
141000,1.42,620600,1.262,245100,1.935,19250,0.8315
394000,0.6224,2237000,0.671,464300,0.8,21300,0.7378
209300,1.193,1251000,0.7618,369500,0.9349,20620,0.7193
115700,1.403,762600,0.9314,730800,0.5363,25720,0.9095
160700,1.944,548900,1.114,492200,1.245,26230,0.7459
281700,0.9318,55250000,1.272,340500,1.231,19460,0.7486
104100,1.96,389600,1.816,912500,0.6283,18380,0.7679
230800,0.8179,433400,1.445,1030000,0.7476,24180,0.7841
216500,1.17,2573000,1.237,926800,0.6895,24590,0.7252
158200,1.483,7.912e+09,1.582,253200,1.299,21960,0.7518
177600,1.344,4.598e+09,1.05,288200,1.247,24250,0.9259
506200,0.7149,2505000,0.6588,349800,0.8712,26770,0.7117
266100,1.405,20760000,0.7298,290800,1.01,26810,0.8613
180700,0.7823,10450000,1.621,231400,1.664,25730,0.7474
133000,0.7497,349500,1.522,975200,0.6357,19430,0.7372
180000,1.464,393500,1.468,1060000,0.6712,18660,0.8344
167600,1.234,36930000,1.529,1696000,0.5922,13580,0.8446
477200,0.7796,78390000,0.5491,379000,1.232,22580,0.782
168900,0.7003,2714000,1.283,555100,1.044,24430,0.7639
172000,0.712,694000,1.289,346100,1.071,22800,0.7716
137500,1,154900000,1.926,220400,1.348,15960,0.8009
107800,1.41,5.69e+08,0.9053,786100,0.7686,16690,0.8866
138100,1.423,3077000,0.8035,253900,0.9187,22810,0.8715
152000,1.5,1523000,0.864,557800,0.671,19480,0.7041
221300,1.226,205800000,0.7043,237700,1.633,23710,0.8003
184100,1.111,4607000,0.6355,350300,0.8676,21940,0.9491
198200,1.382,2.91e+08,0.5348,399500,1.132,22230,0.6919
119500,1.388,5273000,0.6337,507400,0.8601,18180,0.7452
132100,1.578,628300,1.155,209300,1.519,16250,0.7736
127400,1.527,19970000,1.173,206200,1.974,21680,0.7799
