ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
23770,1.177,414400,1.54,119000,0.8423,20120,1.319,3121,1.097,72280,1.334,3796,0.7612
35680,1.601,816700,1.049,116800,0.744,18480,1.252,2780,0.986,76200,1.341,3672,0.7834
27540,1.32,964700,1.892,67380,1.326,20570,1.314,2956,1.062,69700,1.28,3759,0.9008
23870,1.807,5.947e+09,1.906,78360,1.182,20870,1.349,3351,1.09,63020,1.203,3875,0.7433
34500,1.399,19920000,1.892,86270,0.688,20480,1.169,2456,0.9054,82850,1.062,4618,1.027
39770,1.436,56900000,1.705,96030,0.8157,19550,1.389,3264,1.183,69010,1.239,4767,0.8303
30030,1.206,136400000,1.268,97600,0.9035,19090,1.294,2785,1.129,74550,1.231,5101,0.9908
35020,1.473,39150000,0.8688,105000,0.851,20380,1.314,3221,1.004,76010,1.172,5632,0.9733
32470,0.793,517000,1.15,110200,1.309,19620,1.258,3439,1.223,78320,1.072,4829,0.8114
25450,1.158,4.783e+09,1.967,90330,1.129,19570,1.42,3053,1.101,77710,1.085,4524,0.8409
35130,1.342,4.248e+09,1.998,111900,1.07,19740,1.438,2915,1.217,70460,1.339,4537,0.9407
27280,0.8965,4.248e+09,1.998,142800,0.677,20440,1.307,2801,1.022,79790,1.209,4224,0.8716
27850,1.275,19940000,1.912,109000,0.7256,19590,1.338,3217,0.9597,67520,1.43,3523,0.8505
34110,1.303,1304000,1.503,242400,0.5022,19710,1.292,3037,0.9861,89970,1.068,4058,0.7396
25470,1.398,41820000,0.7244,116700,0.7059,18840,1.235,3039,1.021,71070,1.041,3414,0.7866
30320,1.303,52850000,0.5289,64910,1.533,19930,1.342,3309,1.216,71450,1.105,3999,0.9471
31130,1.296,2247000,0.6208,89960,1.517,19350,1.359,2921,0.9694,75030,1.074,3810,0.8458
30640,1.501,595700,1.505,66430,1.602,21150,1.182,2933,1.083,73690,1.156,3578,0.791
34790,0.8826,18520000,1.781,323500,0.6206,21990,1.268,2713,1.263,67700,1.084,3316,0.6674
27430,0.7782,646400000,0.78,84630,1.055,21380,1.233,3146,1.066,61620,1.255,4032,1.081
35940,1.285,4212000,0.6151,142000,0.5227,20570,1.122,2973,1.042,69740,1.244,3687,0.9919
24610,0.8811,8870000,1.081,204000,0.5064,19110,1.393,3017,1.053,73650,1.173,5804,1.101
27120,1.266,5789000,1.755,73420,1.241,18760,1.204,3036,1.13,68940,1.223,2971,0.7095
32340,1.458,459700,1.012,70890,1.205,17770,1.424,3123,1.084,64750,1.176,3616,0.7834
38690,1.135,5725000,0.6383,130400,0.5378,19790,1.361,2975,1.093,60750,1.182,4439,1.04
31430,1.255,1115000,1.882,123700,0.6878,20760,1.387,2883,1.114,57610,1.294,4671,0.8384
36690,1.369,2.133e+09,1.264,69620,1.045,20350,1.321,3280,1.198,66740,1.418,5014,0.9949
20000,1.534,8.863e+09,1.149,64470,0.8226,20480,1.214,3236,1.039,65250,1.117,3592,0.6104
32110,1.319,31590000,1.673,97580,0.9372,20690,1.252,3281,1.045,71940,1.118,3669,0.8945
28330,1.208,662600,1.467,94760,0.9751,19130,1.225,3117,1.154,74270,1.084,4332,0.958
34330,1.148,1348000,1.583,138300,0.8915,21350,1.237,2956,0.9633,80460,1.103,3929,0.8983
30170,1.18,375400000,0.8828,221100,0.576,20170,1.298,2429,0.9071,72160,0.998,4283,1.04
36590,0.9321,7.242e+09,1.049,91810,1.022,19810,1.302,3133,1.011,80450,1.072,3946,0.9499
32460,1.068,5773000,1.186,88240,0.975,20580,1.281,2657,0.9014,67930,1.231,3633,0.8536
34650,1.026,989200000,1.644,111600,0.8729,19600,1.248,3120,1.041,61260,1.303,4930,0.8919
26140,1.349,1.86e+08,0.8561,108500,1.147,20270,1.311,2566,0.9086,71080,1.185,3832,0.8264
34990,0.9631,479800000,1.883,152300,0.7786,18100,1.167,3586,1.194,67970,1.037,4670,0.9168
26640,1.241,1.763e+09,1.543,100300,0.7365,19390,1.229,3141,1.219,59270,1.185,4624,0.8926
32340,1.694,93950000,1.177,101800,1.137,17330,1.303,2566,0.8704,63820,1.058,4145,0.7123
40950,1.095,688900000,1.918,279700,0.5356,18370,1.267,2581,0.8341,64720,1.139,5140,0.878
24200,1.054,137500000,0.5856,93980,1.194,20030,1.305,3231,0.9844,76170,1.091,4225,1.044
21850,1.559,5990000,1.94,86210,0.8609,18970,1.301,3054,1.071,69430,1.232,4139,0.6799
26780,1.372,267500,1.726,182000,0.7318,20330,1.284,3043,1.061,77070,1.118,4336,0.813
57330,0.7697,9.92e+08,0.5032,40810,1.049,18610,1.218,3129,1.088,73500,1.236,4940,0.9603
33410,1.63,3.34e+09,0.8833,85310,1.795,19180,1.275,3142,1.07,80950,1.103,3901,0.8774
38670,1.336,1.056e+09,1.804,197800,0.8238,19400,1.366,3043,0.996,71670,1.328,5008,0.9579
24440,0.8517,48470000,1.174,78010,0.8582,19320,1.481,3014,1.062,77930,1.121,4842,0.97
49600,1.737,14840000,1.794,114400,0.6464,20750,1.212,3050,1.089,68900,1.537,3369,0.8906
36320,1.674,328500000,1.219,103000,1.133,18750,1.207,2854,0.99,68340,1.122,4674,0.94
33650,1.588,2.419e+09,0.51,122900,0.9686,18980,1.195,3247,1.042,74070,1.18,4164,0.8412
29440,0.9241,4.392e+09,0.6037,100500,1.102,18840,1.199,2939,0.95,60770,1.221,4606,0.9006
30010,0.7896,187300000,0.6513,146800,0.6459,19750,1.265,3026,0.9755,78050,1.014,4178,0.9789
32750,0.9221,124900000,1.316,86470,0.9216,21080,1.3,3093,1.136,72470,1.077,4114,0.9121
29040,0.9908,4.196e+09,1.051,83580,0.7336,23880,1.296,3087,1.052,68810,1.197,3597,0.82
29530,1.12,651900000,0.849,66990,0.7522,20660,1.312,3003,1.018,72030,1.207,4874,0.986
28600,0.9722,730500000,0.8875,117500,0.694,20810,1.271,2917,1.051,65500,0.9921,4380,0.9141
27950,0.9804,11780000,1.85,108300,0.9174,19520,1.361,3155,1.166,81260,1.147,5145,0.8782
32720,1.198,983200,1.979,132000,0.7644,20660,1.334,2793,0.9916,69430,1.407,4462,1.009
40150,1.536,1.626e+09,1.129,104200,0.5846,18510,1.226,2964,1.075,75290,1.064,4515,1.042
36650,1.388,718700000,1.601,161000,0.7934,20790,1.172,2789,0.9946,79410,0.9312,4319,0.8083
28970,1.393,8062000,1.572,105100,0.801,20440,1.268,3167,1.06,77490,1.103,4542,0.9595
35590,1.102,4.655e+09,0.8149,77860,1.083,18740,1.19,3117,1.005,80810,0.9765,4153,0.8149
28410,1.007,187500000,1.026,66280,1.338,21610,1.194,3023,1.006,66570,1.067,3898,0.8001
29600,1.112,17140000,1.264,96580,0.9429,20920,1.206,2881,0.9475,71120,0.9847,4046,0.9006
44170,1.77,1356000,1.219,85030,0.5272,20430,1.157,2567,0.9285,51320,1.449,3839,0.8064
35090,1.122,1279000,1.818,111800,0.5689,20410,1.198,3249,1.232,64810,1.115,5018,0.8214
37020,1.143,43960000,0.6197,127500,0.6861,20930,1.331,3020,1.073,57300,1.106,4840,0.8617
31880,0.9325,13310000,1.074,77260,0.8255,19920,1.351,2966,1.111,75770,1.029,5641,0.7114
33520,1.417,1.081e+09,1.14,101400,0.7302,17450,1.459,2986,1.104,59390,1.399,3784,0.9448
39240,1.24,2.6e+07,0.8318,111300,0.7326,19910,1.285,2699,1.06,77280,1.024,4077,0.9883
33680,1.198,194200000,1.226,118600,0.7934,19860,1.136,3668,1.055,61320,1.092,4948,0.9229
32170,0.935,291800000,1.684,95740,1.125,20270,1.366,3205,1.035,67190,1.168,3728,1.059
26350,1.055,3.418e+09,1.623,114700,0.8431,20730,1.288,3101,0.9905,63970,1.281,3082,0.6781
31560,1.717,1119000,0.9523,106500,1.618,18510,1.221,3613,1.184,62020,1.268,4091,0.7586
27490,1.164,297300,1.895,57530,0.7303,20690,1.385,2788,1.094,69780,1.358,4350,0.9445
27960,1.877,17920000,1.685,68450,0.9044,19330,1.399,2906,1.138,73480,1.213,3835,0.761
36760,1.544,754900,1.892,88420,0.8168,18410,1.227,2924,1.022,72640,1.164,3827,0.9232
26530,1.513,467400,1.491,73220,1.426,20310,1.138,2938,1.034,80520,1.144,4532,0.8435
33510,0.7865,667700000,1.59,139500,0.7904,20120,1.316,3104,1.197,65140,1.118,4501,0.8022
25920,0.9935,8.106e+09,1.047,193200,0.5378,18610,1.162,3299,1.278,63120,0.9124,4161,0.7016
23810,1.089,4.093e+09,1.834,149600,0.6916,18370,1.213,3352,1.113,64600,0.9238,3994,0.8117
25430,1.108,53640000,0.571,130100,0.6571,17960,1.374,2983,1.157,67880,1.372,4754,0.971
32880,1.807,214700000,0.7781,116600,1.02,19140,1.372,2739,0.9994,64720,1.341,3580,0.9417
45500,1.434,1.089e+09,0.9076,109300,1.035,19330,1.287,3272,1.099,93130,0.8292,4241,0.7769
32770,0.7368,4182000,1.803,123200,0.9145,19350,1.284,3074,1.105,64150,0.9392,3678,0.8867
24190,1.004,198900000,1.676,83700,1.013,18820,1.437,2667,0.9567,76290,1.176,3242,0.7475
30600,0.9635,47330000,0.5981,218900,0.7202,19300,1.165,3431,1.246,65290,1.204,4489,0.9006
41220,0.9167,418200000,1.982,137400,0.6403,19230,1.501,2982,1.046,69170,0.9479,4925,0.9448
31510,1.95,1347000,1.946,145400,0.726,18870,1.393,3100,1.139,71020,1.392,3811,0.9384
20770,1.078,14560000,1.876,118600,0.9642,22650,1.529,3187,1.098,78180,1.164,3850,0.8208
27950,1.406,852100000,1.166,207800,0.6307,19230,1.256,2946,1.062,63640,1.257,2477,0.6883
25640,1.419,21050000,0.6007,124800,0.7394,18250,1.248,2767,1.032,75770,1.141,3483,0.804
24580,0.9814,422400,1.993,103000,0.9357,19710,1.277,2831,1.021,81310,0.8799,4480,1.049
26720,1.511,348900000,0.7564,65400,1.286,19550,1.38,2887,1.038,63000,1.149,3547,0.9185
24340,1.548,19110000,0.9602,67090,1.211,18070,1.304,2824,1.132,67810,1.143,5013,1.064
18630,1.615,773500000,1.875,65760,0.8812,19490,1.323,3023,1.117,64520,1.05,5591,0.8846
32110,1.374,292100000,1.98,106600,0.5623,20420,1.223,2905,1.027,66040,0.9824,3542,1.049
43360,0.7506,782800000,0.7494,103100,0.6418,21420,1.378,3024,1.061,71370,1.151,4330,0.9399
18550,0.9976,12750000,1.135,117700,1.023,20400,1.254,2872,1.056,76040,1.197,3143,0.7741
31020,1.667,749600,1.204,90540,1.005,18560,1.292,3142,1.034,62090,1.277,4112,0.8871
30920,1.278,4490000,0.8937,143800,0.6284,17730,1.288,3446,1.152,72550,1.28,4422,0.8058
30550,1.258,69610000,1.575,72470,0.9726,21960,1.28,3038,1.219,54630,1.13,3784,0.8106
21930,0.7605,1853000,1.422,89190,0.7105,20860,1.409,2731,1.002,76040,0.9361,3240,0.7914
37040,1.625,34320000,0.6669,71170,1.082,19620,1.296,2964,1.02,62740,1.409,4497,0.9149
36580,1.103,1.304e+09,1.393,120900,0.8672,21060,1.336,3060,1.164,76010,1.239,4440,0.9028
35490,0.9278,6.082e+09,0.5386,135200,0.59,20670,1.354,3093,1.039,67550,1.13,4137,1.029
25710,1.804,76050000,1.593,106200,1.236,20890,1.295,2910,1.088,67650,1.19,3411,0.897
32850,0.941,2261000,1.723,172800,0.7284,20270,1.307,3375,1.1,77970,1.177,4278,0.9156
24170,1.019,19330000,0.5159,177800,0.878,19250,1.288,2803,1.091,67950,1.264,4102,0.8601
34710,1.28,1402000,1.792,80300,0.9648,19550,1.329,3346,1.155,65240,1.391,3085,0.7211
27140,1.434,3.099e+09,0.6187,100600,1.386,19340,1.258,2651,0.9863,61340,1.299,4915,0.9815
31740,1.795,5.03e+09,0.7345,88310,0.9215,20760,1.172,3131,1.169,73040,1.346,3501,0.8069
29980,0.8331,9.924e+09,0.7931,220200,0.8747,20910,1.303,3542,1.156,73160,1.116,4405,0.8432
37270,1.095,88870000,0.6094,232300,0.5434,19590,1.32,2958,0.9266,69330,1.218,3755,0.7678
39630,1.089,46180000,0.8903,195000,0.6426,18940,1.369,3127,1.039,72680,1.249,4751,0.8648
32150,1.437,4816000,1.376,155300,0.7358,19420,1.286,3155,1.143,66720,1.17,4160,0.906
32320,0.9196,3.268e+09,0.5401,165200,0.6593,19120,1.301,2965,1.111,63840,1.253,5204,0.6466
33760,1.229,2.667e+09,0.65,108800,0.8905,18590,1.31,3035,1.028,70120,1.145,3807,0.7991
31030,1.406,461800,1.188,96180,0.6947,18030,1.233,2953,1.073,91390,1.016,4611,0.8943
32290,0.8525,39160000,1.816,94040,1.027,18510,1.245,2822,0.9381,70700,1.188,3596,0.8622
33110,1.196,6996000,1.531,111200,1.134,19010,1.224,3140,1.001,69770,1.156,4678,0.9404
29770,1.064,412400000,0.8862,135400,0.671,21250,1.233,2953,1.048,68890,1.206,3937,0.6962
26870,0.9332,72990000,0.5069,86230,1.362,20270,1.238,3079,1.042,69860,1.161,2551,0.6994
30040,1.093,610300000,1.965,78640,1.206,17320,1.227,3274,1.264,63700,1.129,6238,0.8236
38950,1.257,290100,1.578,134000,0.7479,19930,1.136,3206,1.197,65700,1.381,3147,0.7836
35850,0.9637,24580000,0.7302,123600,0.716,18490,1.176,3232,1.026,66050,1.197,3333,0.7215
28670,1.445,2.256e+09,1.28,97130,1.797,18840,1.204,3094,1.113,74870,1.378,4180,0.9767
27990,1.466,3.957e+09,1.669,64690,1.329,19470,1.414,3193,1.129,69440,1.485,5478,1.072
41130,1.201,708200000,1.817,57870,1.241,19110,1.336,2982,1.122,67780,1.419,4170,0.9373
27930,1.479,442500,1.225,107500,1.106,20380,1.194,3163,1.17,63420,1.462,5698,1.228
27790,1.5,2302000,1.313,65820,1.255,19730,1.305,2975,1.146,62360,1.132,3510,0.7756
41100,1.337,978300000,1.462,92090,1.618,20310,1.111,3198,1.097,73500,0.9978,3502,0.7663
31320,1.286,1.143e+09,0.8722,88290,1.43,20590,1.15,3067,1.069,78020,1.267,4158,1.101
29290,1.274,37490000,0.8067,198600,0.6222,19880,1.184,2841,1.097,58710,1.24,3823,0.6379
38370,1.303,31410000,1.496,99600,0.7806,21490,1.304,3118,1.181,60340,1.476,3348,0.7251
28070,1.313,995600000,0.5992,120400,0.6548,17490,1.181,2960,1.083,72560,1.337,4213,0.8583
37900,1.438,1070000,1.979,96280,0.9635,18600,1.359,3078,1.093,68440,1.331,4781,0.7868
36530,1.065,2.351e+09,1.858,115700,0.7197,22300,1.25,3115,1.177,63880,1.319,4854,1.001
40180,1.491,108200000,1.645,298300,0.569,20260,1.285,3069,1.098,70660,1.429,3379,0.7311
40170,1.808,4.072e+09,0.7979,283000,0.8506,17930,1.33,3254,1.116,78400,1.437,3379,0.8536
30930,0.7984,4601000,1.985,272400,0.5069,20020,1.216,3383,1.142,70530,1.561,5375,0.7997
28130,1.276,7850000,0.525,105400,1.563,21390,1.168,3003,1.034,61230,1.333,3333,0.6106
50390,1.285,565700,1.912,124600,0.9215,19580,1.173,2964,1.141,69480,1.196,4228,0.883
29460,1.228,40020000,0.6724,76780,1.362,20240,1.262,3164,1.113,64800,1.29,3608,0.8673
29740,1.102,159200000,1.27,192100,0.603,19150,1.269,2816,0.9906,68160,1.205,3783,0.926
28460,1.065,3020000,0.6909,165200,0.5845,20280,1.182,2818,1.057,80510,1.043,3823,0.8201
34260,1.316,1.381e+09,0.6276,76040,1.258,19490,1.262,2960,1.304,65070,1.201,3579,0.8077
33140,0.9946,53860000,0.6045,158700,0.882,19490,1.281,2872,0.8827,68660,1.075,4831,0.875
29990,1.074,21050000,1.68,206200,0.7471,20260,1.254,2965,1.035,81320,1.034,5062,0.7873
32090,0.9894,172200000,1.297,71280,1.36,20100,1.199,2516,0.8954,81780,1.003,5298,1.133
37360,1.135,4.562e+09,1.038,90420,1.246,20120,1.196,2859,0.9997,81260,0.897,3787,0.9392
29330,1.076,5009000,0.6856,173200,0.5711,21010,1.326,3316,1.051,83470,1.19,4622,1.066
25770,1.395,96270000,0.593,128900,0.6407,17620,1.245,3283,1.108,51790,1.116,4532,0.9264
27560,1.573,1390000,1.265,94440,1.358,20050,1.261,3048,1.055,52840,1.057,3000,0.9014
27250,1.007,22480000,0.9095,84510,1.487,21150,1.326,2915,1.082,67880,0.9407,3899,0.9697
