ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
202200,0.6612,111300,0.7282,23170,0.7028,885.1,1.016
73440,0.6226,90770,0.6088,21160,0.6565,825,0.9831
70750,0.9996,90410,0.9068,26440,0.7154,979.8,0.929
80540,1.518,82460,0.7392,22890,0.6041,912.2,1.111
96820,1.843,80890,1.123,18670,0.7192,1109,0.8764
217000,0.6005,61260,0.9629,17300,0.8435,924,0.9894
175600,1.056,179200,0.8403,20050,0.6244,988.2,0.6874
132300,0.8845,186200,0.6798,20610,0.7282,918.8,0.8995
63520,0.7359,67800,1.447,22760,0.8035,914.4,1.006
141700,0.7191,52380,1.545,25340,0.7672,1048,0.9982
102500,0.6289,62400,0.8787,22190,0.6983,1278,0.8929
172800,0.6093,84890,1.818,18860,0.754,1069,0.8043
89070,0.5837,107400,0.6555,12410,0.5961,881.2,1.063
108700,0.6409,154800,1.017,16610,0.7455,1004,1.073
117700,1.294,34760,1.071,17180,0.7552,831.6,0.839
327800,0.5385,99960,1.246,22090,0.6895,1146,0.8799
222600,0.5596,51330,0.6841,16880,0.7704,882.8,0.909
185100,0.613,52240,1.059,22620,0.7537,1257,0.9771
128700,0.9151,109700,0.8925,24060,0.6513,918.6,0.9309
99310,1.211,138700,0.7903,18850,0.6806,904.1,0.9475
76450,1.093,104000,0.6273,22450,0.5694,929.1,1.069
67160,1.924,79650,1.499,21050,0.7329,1035,0.8377
87790,1.703,106500,1.478,17550,0.6849,797.7,1.032
111000,1.246,82830,0.7427,20890,0.7604,910.6,0.9973
93920,1.551,141800,0.8754,19260,0.8801,931.6,0.871
74950,1.62,102200,0.7364,17830,0.7789,779.2,0.8579
96680,0.9205,77840,1.009,17460,0.7423,876.9,1.154
99020,0.8456,93640,0.5565,20620,0.6816,980.6,1.183
138500,0.7956,65360,0.8695,29550,0.9383,772.7,0.8967
138200,1.64,72790,1.684,21120,0.7908,976.4,0.8229
66890,1.721,81480,1.571,20440,0.6657,959.3,0.8487
55750,1.391,85120,1.281,24310,0.6966,1064,0.9469
99520,1.236,59750,0.9628,20520,0.8014,812.9,0.9716
66790,0.6773,63330,0.7143,20130,0.8164,1017,1.11
226300,0.6163,112600,0.6861,18810,0.9211,980.4,0.8318
450800,0.65,108700,0.5317,18970,0.7408,832.6,1.008
620300,0.5308,88320,0.9748,15950,0.7639,979.2,0.812
304700,0.6072,51950,1.321,18430,0.7,1026,0.932
69090,0.8922,67590,1.727,16970,0.7716,1239,0.9676
80290,0.896,40800,1.189,16900,0.6898,1160,0.892
68790,1.372,42100,1.548,19930,0.6126,989.8,0.9333
119700,0.6084,77010,0.7074,18840,0.631,720.2,0.8133
394000,0.5277,94320,0.7075,20370,0.6478,837.1,1.247
414500,0.5662,138600,0.6424,20010,0.6892,816,1.108
