ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h,hERG_IC50,hERG_h
15950,1.245,10070,1.315,542.1,0.6599,18.81,1.19
13980,1.266,3547,1.538,742.9,0.806,21.12,1.333
13350,1.12,8488,1.636,676.8,1.12,20.63,1.248
16450,0.7528,8486,1.426,818.4,1.148,18.64,1.361
16440,1.034,7879,1.801,1060,0.7687,18.62,1.819
17130,0.8942,6572,1.819,1013,0.6951,21.45,1.421
23120,0.6071,7628,1.981,721.6,1.219,18.95,1.304
34600,0.604,5307,1.931,719.6,1.031,19.94,1.418
34060,1.21,10790,1.867,910.9,1.314,20.4,1.71
11690,1.185,5648,1.231,1086,1.713,21.58,1.166
14820,0.7185,16950,1.243,766.6,0.8823,18.31,1.478
7751,1.121,8955,1.48,788.2,1.564,21.3,1.774
17770,1.1,9234,1.358,444.2,0.7223,22.95,1.462
16640,0.9376,12700,1.655,1092,0.849,21.76,1.379
11970,1.852,8344,1.433,815.4,1.596,19.86,1.264
24370,0.7041,7766,1.453,956.6,1.096,19.8,1.665
19210,1.361,5299,1.256,1051,1.593,19.16,1.136
9403,0.7341,6141,1.814,826.8,1.131,24.39,1.138
13350,1.771,6819,1.208,518,1.1,22.29,1.303
12720,1.219,5933,1.249,1091,0.9291,17.75,1.842
15180,1.74,8723,1.104,844.1,0.8283,17.7,1.678
16610,1.273,5306,1.382,759.7,0.9759,20.4,1.696
13140,1.177,5520,1.382,644.7,1.014,18.56,1.498
14650,1.095,7895,1.427,789.5,0.7723,20.76,1.492
16220,1.572,6491,1.011,692.2,0.7911,18.77,1.274
12230,1.928,4953,1.6,681.8,0.7962,21.31,1.765
16090,1.405,10700,1.997,579.3,0.799,19.35,1.548
16100,1.223,7139,1.318,565.5,0.8707,18.87,1.23
16520,1.263,7319,1.744,773.5,1.382,18.85,1.564
11350,1.644,8478,1.453,531.8,1.233,19.82,1.701
15440,1.203,6932,1.764,638.7,1.325,20.27,1.608
