ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
175500,1.051,264900,0.8697,101600,1.919,70260,1.502,4748,1.04,192800,0.8399,32920,1.163
425500,0.8004,228000,0.9333,117400,1.28,65380,0.9848,4422,0.9476,325100,0.6247,34710,1.075
398200,0.8505,308900,0.9787,112700,1.762,71030,1.229,3695,0.9142,330700,0.5642,34230,1.118
131900,1.528,134900,1.486,141700,1.098,66250,1.131,5639,1.054,260300,0.6601,39130,0.8907
125300,1.251,246600,1.637,137200,1.711,60570,1.12,4103,0.9715,152200,0.9526,35730,0.8946
326700,0.5919,183000,1.417,240900,1.02,64160,1.552,4856,0.8898,189200,0.8603,32390,0.9018
629000,0.5962,104900,1.165,277600,0.763,76780,1.365,5215,0.8554,173300,0.8693,39600,0.9504
874900,0.5586,141400,1.555,365900,0.5448,66940,1.581,4727,1.178,170400,1.071,37150,1.107
766500,0.6533,337700,0.7968,112700,1.398,68370,1.334,4993,1.078,345000,0.6391,35260,1.005
221300,1.182,711200,1.274,161700,1.016,61880,1.288,4488,0.9693,321800,0.6128,39950,1.001
155400,1.248,101000,0.9233,154200,1.084,75650,1.2,4879,1.07,221500,0.7715,34560,1.075
112600,1.449,395600,0.6612,111900,1.621,73120,1.106,4321,0.9671,210600,0.6879,46830,1
128000,1.465,95260,1.01,112500,1.837,74310,0.8007,4603,0.8573,193500,0.8382,46510,0.9071
162800,1.002,231900,0.8596,111900,1.47,68670,1.098,4385,1.049,229600,0.7088,31700,1.267
177000,0.9149,182500,0.945,220100,0.7703,61770,1.554,5060,1.168,203100,0.7877,35190,1.023
259500,0.6605,248300,0.5841,75380,1.041,81780,1.28,4789,0.9627,233800,0.777,39440,0.9497
266700,0.6645,174900,1.43,353100,0.549,72590,1.206,4615,0.9565,195500,0.737,41720,0.9982
224500,0.8536,130900,1.547,828200,0.6443,78390,1.144,4841,1.066,229700,0.7812,37720,0.8778
213200,0.6825,151200,1.325,520100,0.9938,75910,1.289,5031,1.046,241300,0.6916,33140,0.8544
140100,0.7591,246000,1.176,606200,0.7259,71990,1.196,5080,1.057,392100,0.5793,37450,1.033
97470,1.226,286700,0.9708,1780000,0.7733,67890,1.141,4968,1.179,220900,0.6621,32050,1.025
189300,0.88,172200,0.8002,646200,0.952,71760,1.135,5527,1.03,202600,0.7216,35110,1.035
137500,0.7103,230400,0.8881,194900,1.187,63380,1.26,5204,0.93,216800,0.7632,41430,0.8366
230000,0.5819,848100,0.5383,139900,1.047,63980,1.246,4583,0.9216,180000,0.9466,32680,1.145
110600,1.053,1289000,0.5069,399400,0.7355,62320,1.078,4101,0.94,184000,0.8184,38760,0.8915
181600,0.6438,352600,0.7094,449100,1.09,72560,1.169,4054,0.941,178100,0.7755,36830,0.936
193300,0.728,190700,0.698,139000,1.974,77920,1.048,4205,1.093,206800,0.7066,41020,1
90590,1.43,154800,1.55,196500,1.402,68360,1.194,4945,1.067,188500,0.9646,33440,1.406
150200,1.103,94500,1.451,129700,1.39,67390,1.413,4713,1.037,150600,0.9416,42020,0.9603
289300,0.7574,133900,1.65,110800,1.167,65970,1.192,4300,0.9882,193000,0.9421,38050,1.108
141600,0.8208,220200,1.305,358300,0.6471,67660,1.296,4608,0.9205,193100,0.7703,38180,0.8997
128600,1.12,281900,1.865,128400,1.255,61690,1.24,4646,0.8802,272200,0.6558,35560,1.036
130000,0.9542,268200,1.631,217500,1.061,61970,1.089,4844,0.9437,252600,0.6795,34560,0.9444
134900,1.059,280300,0.8266,125900,1.364,64690,1.408,5433,1.103,251200,0.6862,36630,0.9344
