ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
59970,0.9227,314000,1.707,23850000,1.551,25580,1.611,6879,1.344,2.018e+09,0.5265,894.1,1.022
41920,0.9105,99430,0.8725,1.016e+09,1.748,20800,1.7,7160,1.28,47250000,0.6641,727.5,0.9983
59290,1.131,719600,1.72,222200000,1.562,28570,1.672,7269,1.298,742400000,1.384,843.6,0.916
36840,0.7719,549300,0.8571,612600000,1.478,28960,1.219,6219,1.229,1864000,0.7338,856,1.002
65670,0.743,21240000,1.864,202700000,1.067,30420,1.276,6823,1.318,3729000,0.6393,835,1.103
70470,0.5571,6.074e+09,1.663,99220000,0.9832,29700,1.447,7289,1.302,7004000,1.57,847.8,1.014
86720,0.5569,7.287e+09,0.7058,5.728e+09,0.8198,7841000,0.5542,6968,1.302,642500,1.098,1004,1.103
123900,0.6197,7.244e+09,1.802,216200,0.838,3.77e+08,1.062,5992,1.254,17390000,1.184,930.5,1.008
65420,0.5151,70530,1.842,206100000,1.78,1.844e+09,1.681,7500,1.189,37880000,1.674,872,1.105
62180,0.5072,188900,2,637800000,0.7829,6.369e+09,1.96,7327,1.429,3364000,1.2,889.2,1.002
52990,0.6505,88200,1.394,1393000,1.613,6.867e+09,1.867,6714,1.672,146900000,0.6763,1024,1.032
88600,0.6041,2.192e+09,1.641,1252000,1.753,4554000,0.5629,6691,1.431,1.898e+09,1.594,777.7,1.042
148700,0.5518,1.781e+09,1.696,242200000,1.284,93830,1.195,6523,1.311,7.058e+09,0.7881,789.1,1.131
50040,0.6569,5.908e+09,1.976,3.628e+09,0.9648,34100,1.061,6484,1.15,7695000,0.9867,769.9,1.013
52470,0.5938,391600000,1.579,36120000,1.839,559600,1.559,8058,1.343,1.415e+09,1.038,1014,1.02
101000,0.5685,64570,1.565,2.241e+09,1.257,413400,1.52,6599,1.189,3042000,1.221,951.2,1.22
39960,0.8456,60040,1.64,7438000,1.994,27650,1.545,7808,1.213,3.946e+09,0.859,990.5,1.061
31000,1.335,123400,0.7772,145100000,1.515,28480,1.129,7726,1.245,125300000,0.6342,834.8,1.043
19600,1.09,81140,0.7848,2872000,1.146,35210,1.618,6363,1.324,3.607e+09,1.075,920.9,1.218
22600,1.243,166000,0.9398,364100,1.519,19800,1.683,6453,1.279,215200000,1.235,860,1.052
37990,1.113,816400,0.5861,2575000,0.972,1018000,0.7174,6687,1.386,783500000,1.601,897,1.049
15040,1.368,153400000,0.6595,5703000,1.398,215900,0.754,6361,1.24,7.502e+09,1.645,809.6,1.092
83470,0.9622,2.158e+09,1.288,11410000,0.6222,45800,1.375,7176,1.231,2.404e+09,1.768,929.5,1.11
37510,0.7129,179100000,1.445,25800000,1.163,17970000,1.036,7461,1.425,377300000,1.131,882.9,1.041
52670,1.066,570600,1.205,284400000,1.646,214500,0.6371,6315,1.095,12110000,1.391,1020,1.198
37940,0.717,7745000,1.099,840900000,1.583,79930,1.005,6484,1.609,642900,1.225,814.6,1.008
54270,0.8321,510800,0.8313,11490000,1.512,25260,1.611,6552,1.397,818500,1.343,977.9,0.9706
27980,0.9343,67300,1.361,520700000,0.9937,22160,1.468,6073,1.354,25300000,1.27,833.3,1.06
48760,0.8954,29670000,1.466,27830000,0.9971,22140,1.897,6185,1.041,8782000,1.773,853.5,1
49840,0.9249,1.664e+09,1.997,350300,1.447,24680,1.536,7588,1.17,91390000,1.035,917.3,0.9624
24180,1.249,3324000,1.628,3.715e+09,1.193,68260,1.406,6965,1.266,999400000,0.513,883.8,1.164
22940,1.228,791800000,1.559,84060000,0.7789,30230,1.424,6615,1.12,671900000,0.5038,866.1,1.094
16540,1.491,31860000,1.828,10730000,0.806,1874000,0.8154,6920,1.177,4.923e+09,1.256,870.8,0.9206
32130,1.753,39030000,0.9333,2101000,0.9366,146500,0.6626,6624,1.192,5.778e+09,1.455,1018,1.085
21280,1.928,78650,1.053,5603000,0.7197,104400,0.7665,6401,1.231,103100000,0.7006,983.9,1.025
20710,1.919,76680000,1.657,945200,1.794,31330,1.973,5683,1.259,200500000,0.5835,818.4,1.054
20440,1.892,2644000,0.635,8001000,1.927,50160,1.526,7032,1.122,839100,1.689,924.8,0.9589
34940,1.002,32060000,1.446,7217000,1.049,33460,1.522,7491,1.011,7.9e+08,0.9409,956.6,0.8844
56650,0.9673,334000,0.9269,625800,1.772,23990,1.41,5921,1.144,17150000,1.31,848,0.9759
56620,1.007,2736000,1.068,1269000,1.063,37310,1.44,7434,1.276,12480000,1.578,899.1,1.06
430900,1.486,96650,0.8945,1407000,0.9986,30290,1.267,5870,1.185,6916000,0.6226,842.1,1.399
23610,1.755,190600,0.5627,48490000,1.25,25600,1.615,6516,1.25,7.702e+09,1.3,799.1,1.029
319900,1.146,55090000,0.7114,246000,1.79,27650,1.361,7232,1.265,9.561e+09,1.092,759.3,1.113
392600000,1.156,1.513e+09,0.737,911900,1.783,29780,1.446,6804,1.345,58820000,0.8658,1115,1.261
298600000,0.9509,37470000,1.681,8130000,1.155,25240,1.947,7273,1.418,7.145e+09,0.8903,892.1,0.9424
2484000,0.655,10960000,1.558,45350000,1.974,34920,1.693,8862,1.202,5.017e+09,1.419,815.6,0.9874
311400,0.5157,10670000,1.244,4587000,0.8391,1625000,0.9624,6918,1.231,98680000,1.891,813.4,1.1
