ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
16590000,1.255,5933000,1.125,8070,0.643,303800000,1.306,96.93,1.008,611500,1.073,250.5,1.212
5818,0.8167,10660,0.9924,8157,1.434,3822,1.951,105.4,1.141,15260000,0.5646,375.4,0.6121
1254,1.396,1807,1.046,8698,1.772,4870,1.314,123.4,1.033,16810000,1.572,136.5,0.7411
1370,1.856,57190000,1.757,214100,1.558,6.773e+09,1.868,88.35,0.961,1461,1.716,150.9,0.9812
19960000,0.8061,321200000,0.9292,33390000,1.723,1.877e+09,1.956,89.4,0.9375,778900000,1.255,130.8,0.8913
9.82e+08,1.076,208900,0.5302,15830000,0.7861,4.263e+09,1.819,94.17,1.059,3.99e+09,1.764,107.3,1.156
3149,0.9813,2038,1.103,2.549e+09,0.865,5364,0.7559,88.91,1.109,18960000,1.524,125,0.7642
4016,1.362,5.225e+09,1.488,2039000,1.135,74250,1.21,94.4,1.395,16120000,0.7368,169.2,0.9825
14800,1.954,7090,1.997,6.218e+09,1.207,333100000,0.5439,115,1.406,511300000,1.881,113.6,0.7725
153200000,1.579,1.014e+09,1.691,111800000,1.929,3.5e+09,1.127,115.3,1.346,2577000,1.818,148.6,1.376
28130,1.67,76070,0.6154,80520,0.6286,328100,1.742,87.39,1.489,50870,1.385,216.1,0.8559
4071,0.8904,4561000,1.296,53520000,0.9052,124400,1.174,112.7,1.218,24870000,0.7706,171.2,0.8921
3.76e+09,1.204,416500,1.342,45640,1.334,8817000,1.153,111.7,1.044,7368000,1.59,95.48,1.045
476000,1.961,11470,0.558,7228,1.796,15060000,1.725,129.9,0.9567,159900,0.5587,83.59,0.6945
387200000,1.614,111500,0.8093,191000,1.713,2297000,1.568,138.8,0.9376,2070,1.977,215,1.272
25390,0.6773,4669,0.6891,2.222e+09,0.8485,3288000,1.194,121.8,0.7315,6312,1.895,157.5,1.177
5415,1.301,96870,1.546,4386000,1.198,998300000,0.9898,98.96,1.21,1294000,1.242,82.86,1.249
1548,1.708,1852,1.779,5897,1.238,45800000,0.8894,106,1.105,13910000,1.436,107.6,1.48
1258,1.735,82250,1.653,706.4,1.676,2179000,1.203,103,1.104,2.865e+09,1.474,124.4,0.9203
692300000,1.189,3004000,1.186,10110000,0.9776,265400000,0.9625,125.5,1.114,9102000,1.622,97.96,1.393
88450,0.5458,128900000,1.255,16280,0.5246,554300,1.3,80.19,1.164,2005,1.728,276.9,0.7993
698600000,0.7671,5778,1.178,268800,1.946,756000,1.945,87.01,1.205,6.67e+09,0.5603,180,0.6015
1.084e+09,1.116,28460,1.44,137100000,1.538,73440000,0.8515,83.59,1.107,82640,0.8593,172.7,0.6083
2.276e+09,0.7011,2661,0.7118,145800000,1.452,1110000,1.378,96.84,1.217,10540,1.974,231.3,1.035
201800,1.806,690200000,1.321,38340000,1.738,2672000,1.262,101.2,1.082,170500,1.381,191.5,1.242
22380,1.164,3067000,0.9212,991200000,1.88,2005,1.189,92.54,1.128,47120000,1.196,125,1.241
5435,1.524,5486,1.557,1.26e+09,1.527,28570,0.8486,97.63,1.163,1.11e+08,1.212,205.7,0.9271
2.448e+09,0.6651,244800000,1.435,1.4e+07,0.8293,2.702e+09,0.6854,90.5,1.071,39850000,1.769,170.1,0.6009
8397000,1.336,6.491e+09,0.8714,16660,1.445,181000,0.8314,75.83,1.008,207800,1.45,88.89,1.233
79910,0.522,27150,1.52,5614,1.517,83420000,1.529,77.94,1.132,124300,1.958,146.3,1.337
3.053e+09,1.564,6011,1.763,7342,1.49,4313,1.65,66.16,1.295,2265000,1.235,123.1,1.113
1649000,1.933,11920000,1.304,1689,1.771,25550000,0.6115,74.46,1.453,3.611e+09,0.6759,149.6,1.106
2.81e+09,1.07,86170,1.832,125800,1.691,57910,1.187,128.3,1.138,981200,1.468,219.8,1.01
16380,0.6756,48820,1.066,28760,1.231,5.662e+09,1.43,99.17,1.355,8479,1.931,165.5,0.9574
17640000,1.104,59080,0.7075,40280000,1.133,3.961e+09,1.183,115.6,1.165,332800000,1.42,244,0.7608
5136,1.424,1156000,1.164,37940,1.245,5552000,1.652,82.16,1.076,192900000,0.5036,207.6,0.7178
270300000,0.5957,140400,0.7571,26050,0.6421,1.708e+09,1.073,101.8,1.171,5.499e+09,0.7833,141.6,1.471
4374,1.554,6430000,0.845,18150,1.094,149600,1.258,89.7,1.21,1922,1.852,119.8,1.177
3657,0.9719,919.7,1.926,18970,0.8099,470400000,1.897,82.63,1.449,2074000,1.649,130.3,1.213
9.382e+09,0.6901,185700,1.925,59940,0.6159,9.651e+09,1.215,89.33,1.093,6277,1.795,147.2,1.061
134100000,1.702,32090,1.413,654200,1.497,6.196e+09,1.258,86.59,1.199,9.156e+09,1.525,184.8,0.8485
75890000,1.397,1.922e+09,1.72,4511,1.025,547400000,1.417,92.17,1.167,137300000,1.302,153,0.9525
34040000,0.7648,6607000,1.423,8878000,0.8507,4746,1.735,106.2,0.866,174600000,0.7214,192.6,1.007
12050000,1.15,6.486e+09,1.209,1946000,0.7431,5.912e+09,0.8325,119.5,1.104,465500000,0.6271,110.4,0.899
76960,1.287,24620000,0.7687,67290,0.6102,7796000,1.016,96.62,1.19,102700000,0.9439,146.1,0.6249
624200000,1.861,9.861e+09,0.7725,398300000,1.592,5103000,0.5513,91.54,1.029,3.428e+09,1.936,105.1,0.7668
2600,1.239,2661000,1.647,6.661e+09,1.209,51150000,0.6657,97.03,1.036,1571000,1.302,158.8,1.334
61140000,1.378,37400000,1.608,328600000,1.786,1784000,1.239,93.36,1.009,658100,1.421,166.6,0.9556
6.158e+09,1.992,1209000,0.7519,6467000,0.8893,1150,1.55,98.02,1.401,870100,0.5729,166.4,0.989
3.471e+09,1.615,2103000,0.9699,278500,1.973,248100,1.915,97.95,0.9856,504200,0.5542,232.8,0.9679
452900,1.075,81000,1.462,38300,1.965,336100,1.97,102.6,1.146,371000,1.566,182.6,0.7459
3361000,1.691,53460,0.6227,1.553e+09,1.021,8448000,1.224,108.3,1.092,638200000,0.9402,202.6,0.9852
464800000,1.619,1192,1.637,213800000,1.495,4252,1.525,93.38,1.172,6.417e+09,0.9297,85.42,1.705
1828,1.989,3020,1.316,411600000,1.131,2215,1.773,92.46,1.325,19390000,1.556,156.8,1.886
1198,1.404,13400,0.8413,2.271e+09,1.988,31350000,1.93,98.21,0.9522,9.323e+09,0.6426,441.7,0.5854
79170,0.5826,923700,1.742,179900,1.625,3.201e+09,1.528,136.2,1.029,7288,1.043,158.4,0.8617
19470000,1.581,45890000,1.626,3076000,1.473,2.798e+09,0.5675,93.93,1.314,20500,1.446,141.5,1.228
13150,1.236,1.211e+09,0.943,189800000,1.797,798700000,0.9973,95.69,1.126,197700000,1.736,172.2,1.186
3.778e+09,1.192,4.657e+09,1.769,9.896e+09,1.962,1.567e+09,1.053,89.47,1.017,4851000,0.9544,128.8,1.336
1199,1.912,3.858e+09,1.59,1022000,1.396,3.432e+09,1.314,97.7,1.097,5679000,1.832,294.2,0.6501
1940,1.742,911.4,1.846,1.279e+09,1.723,11750000,0.6481,88.81,0.9477,31330,0.8248,194.8,1.008
4720000,0.7954,5632,1.328,6952,0.5049,12250000,0.5452,100.6,1.031,2599,1.62,135.3,1.158
758600000,0.6746,334300000,1.925,332200,0.945,5.841e+09,1.881,102.3,1.386,9786,1.151,130.4,1.053
4547000,1.068,6014000,1.564,7.36e+08,1.779,537200,1.314,102.7,1.05,21290000,0.5012,138.4,0.9708
39310000,1.613,1930,1.054,720400,0.7,6213,1.83,118.3,1.068,106600,0.6589,124.7,1.254
24420,1.327,3239,1.016,5803000,1.521,3.297e+09,0.5534,91.17,1.018,5567000,1.902,170.9,0.8804
63020,0.7038,3001000,1.352,128600,0.6215,383300,1.186,97.02,1.11,12610,1.461,167.1,1.164
25570,1.164,1568000,1.176,686300,0.5053,140900,1.771,99.73,1.175,9457,1.816,162.7,1.182
