ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2245,0.6752,1090000,1.397,981200000,1.894,185800,1.503,1029,1.069,378900,1.967,165.1,1.181
4509,0.5464,3.963e+09,1.417,1.575e+09,0.8941,1273000,0.5737,1246,0.8137,31600000,0.719,161.6,1.409
3243,0.6025,4180000,1.461,36050,1.983,253600,1.958,1309,0.945,25840000,1.694,154.6,1.297
3493,0.5002,4.778e+09,0.7915,48830,1.482,10230,1.049,919.4,0.859,366200,1.392,185.4,1.344
3836,0.5096,862800,1.057,1.626e+09,1.032,632500,1.45,1369,0.8018,13650000,1.137,156.1,1.459
2405,0.5215,27420000,0.5927,12140000,1.02,2442000,0.7342,1044,1.308,4.014e+09,1.132,165.6,1.372
3805,0.8707,1.083e+09,1.575,9802,1.485,2317000,1.02,793.6,1.336,620900,1.576,162.7,1.197
5846,0.8409,2.44e+09,1.44,102700,1.016,2485,1.97,956.9,1.166,5.135e+09,0.8169,170.5,1.383
4528,0.9733,4756000,1.196,150900,0.956,4994,1.809,1172,1.178,477200,0.7387,176.1,1.602
6459,0.8053,13640000,1.716,14360,1.017,123300000,1.509,1053,1.009,8872000,0.9987,181.5,1.3
4200,0.8856,3.916e+09,1.737,2.707e+09,0.8919,1.003e+09,0.5583,914.9,1.164,177900,1.51,176.2,1.244
2561,0.885,7.563e+09,1.089,27890000,0.5485,653200,1.468,965,1.069,10330000,0.9567,169.3,1.24
4830,0.5338,1.07e+09,0.8418,218600,0.5382,7.706e+09,1.997,844.9,1.223,6305000,0.9473,191,1.321
4382,0.5562,122100,1.098,49580,1.362,2.683e+09,0.8078,848,1.55,96090000,0.6323,155.9,1.265
4315,0.5892,4143000,0.8804,64390,0.8764,322300000,1.103,1151,1.25,756100,1.87,197.8,1.88
4664,0.5152,44550000,1.035,11440,1.542,599500,1.548,1015,0.979,907700000,1.914,189.5,1.295
4790,0.6957,55550000,1.13,21720000,1.46,848700,0.707,981.1,1.31,217100000,1.901,151.6,1.34
3877,0.5768,17440,0.8961,35350,0.5591,13210,1.212,872,1.18,544500,1.6,174.2,1.309
2978,0.5144,19760,1.808,61310,0.9767,325300000,0.6502,732,1.352,1771000,1.586,153.7,1.284
3959,0.5864,117000,1.587,148200,0.6673,8628000,1.004,829.4,1.379,1719000,0.8436,161.3,1.251
2477,0.7,11860,1.366,2.7e+07,1.213,190400,1.637,1304,1.131,1.224e+09,1.915,173.6,1.585
2820,1.001,1981000,0.9996,421300,1.273,5788,1.54,922.3,1.246,15460000,0.5423,179.6,1.354
2680,0.9841,937800,1.839,5.289e+09,1.203,148800000,0.8964,993.5,1.229,132200000,0.7499,167.9,1.309
3366,0.8026,5296,1.635,2.529e+09,1.565,1.05e+08,1.705,937,1.281,982100000,0.7583,202.7,1.216
1729,0.5956,7384000,0.8452,12950,1.844,7882000,0.7806,1081,0.9668,1.064e+09,1.195,171.4,1.286
2556,0.6831,108400000,1.256,742900,1.096,690100,0.6626,917.4,1.543,5931000,1.541,182.5,1.368
1665,0.5743,430000,0.9164,63240,1.323,2023000,1.034,1206,1.013,15140000,0.5521,170.5,1.451
3901,0.603,114500,1.615,1886000,0.7899,82980000,0.7655,1066,1.191,5096,1.94,166.7,1.305
2652,0.5137,249400,1.545,17650000,1.788,1.271e+09,1.35,1123,1.012,95980,0.8127,156.7,1.205
3567,0.5496,871900,1.697,10370000,1.341,8.672e+09,1.509,1096,1.161,5.509e+09,1.572,178.9,1.252
3312,0.5513,6330000,0.5761,4205000,1.524,3411000,1.939,1030,1.184,42110,0.9589,181.9,1.26
3940,0.7374,10570000,1.595,5030,1.723,6829000,0.6516,878.1,1.359,150700,0.9288,179.7,1.388
2464,0.6142,195700000,0.8843,447900000,1.32,13490000,0.5122,659.6,1.297,52960000,0.5372,164,1.378
2710,0.5312,633800000,1.694,7146,1.537,38020000,1.681,1001,0.8346,6529000,1.938,179.8,1.257
2807,0.5085,137200,1.14,1311000,0.6241,21920,1.355,940.5,1.261,12350000,1.789,170.9,1.189
5003,0.5464,386100,1.789,50470,0.8389,259200,1.793,1204,1.029,825600,0.6233,172.8,1.351
2523,0.5334,8.333e+09,1.644,624600000,1.671,4251,1.418,1251,1.055,134600,0.9971,201.1,1.272
3078,0.5295,3.678e+09,1.199,181600000,1.057,1475000,0.6209,1117,1.047,434600000,1.802,186.5,1.205
3244,0.5343,1853000,1.286,1.381e+09,1.532,2.251e+09,0.7085,1446,0.8221,3.813e+09,1.855,162.5,1.297
3217,0.5448,3.331e+09,0.5819,35480,1.15,140200000,1.506,1020,1.257,201300,1.25,165,1.329
2341,0.571,14820000,0.6065,38130000,0.9832,57070,1.538,864.5,1.307,9.522e+09,1.834,143.1,1.35
2234,0.5153,75490,1.406,3297000,1.391,12650000,1.626,922.1,1.881,8.068e+09,0.8037,154.1,1.203
2718,0.5678,57660000,1.848,100400,1.607,7369,1.595,869.2,1.305,14010000,1.284,160.8,1.188
3021,0.6315,38310,1.341,62370,1.125,4766,1.587,860.5,1.194,15350,1.587,174.2,1.285
6525,0.6858,400100000,1.248,7.515e+09,1.097,1178000,0.6916,930.9,1.427,709700,1.307,161.1,1.251
3997,0.6699,1.542e+09,1.232,366600,1.284,9.184e+09,1.947,765.6,1.311,11860000,1.486,168.4,1.251
1791,0.7313,785500000,1.492,224100000,1.522,817100000,1.568,1055,0.9043,57810000,0.7443,187.7,1.511
2219,0.5344,2316000,0.7082,2.918e+09,1.806,180600000,0.9454,1238,1.027,1.657e+09,0.8531,165.4,1.284
4096,0.5755,541900,1.998,7.509e+09,0.9218,7.489e+09,1.204,1012,1.244,4436000,1.853,195.9,1.075
4997,0.5782,359700,1.816,1.764e+09,0.5441,124200000,0.9021,924.9,1.222,108400000,1.152,159.8,1.309
4337,0.5844,378400000,1.806,105500,1.038,3481000,0.7946,1096,1.159,4.275e+09,1.04,172.9,1.373
2724,0.73,56100000,1.223,54120,0.9364,1.155e+09,0.506,845.2,1.457,3271000,1.89,179.6,1.505
2096,0.6378,889300,1.86,60140,0.7013,55060000,1.144,735.7,1.369,57520,1.345,153,1.21
3665,0.5172,102400000,1.778,324400,0.5162,150800,1.762,918.7,1.385,25700,1.498,176.6,1.316
3590,0.5263,34110,1.566,8486,1.493,3.744e+09,0.8911,1256,0.925,12880,1.966,158,1.353
5167,0.5532,31630,1.245,1.115e+09,1.547,147400,1.022,902.8,1.334,199200,1.19,143.1,1.099
3262,0.5326,3.515e+09,0.9584,3732000,1.535,61590,1.251,788,1.334,776600,1.168,189.5,1.097
5038,0.6282,5403000,1.465,244700000,1.888,4160,1.82,1029,1.318,1.049e+09,1.271,165.1,1.399
2719,0.5521,441900000,0.6433,3711000,1.469,12350,1.702,822.1,1.077,2717000,1.706,187.3,1.222
4432,0.5183,248700000,0.8255,20580,0.8728,68660000,1.788,984,1.153,1.757e+09,1.205,175.9,1.175
2200,0.627,500200000,1.997,7.125e+09,0.9006,1.22e+08,0.8405,1153,0.9414,2.874e+09,0.6379,176.5,1.223
2598,0.6606,66570000,0.6372,6178000,0.5007,1.07e+09,1.977,1195,0.9702,314400000,0.9062,174.9,1.271
3153,0.5325,407600,1.359,213400,1.306,7.214e+09,1.539,1347,1.037,53310000,1.594,157.1,1.49
3651,0.5208,489800,1.996,431300000,1.815,28250000,0.9897,894.6,1.524,33590000,1.8,144.9,1.294
3198,0.6617,71800,1.821,4395,1.409,48670000,1.866,1065,1.001,6.9e+08,1.969,164.5,1.511
2877,0.5421,21400000,1.928,158500,1.655,1106000,1.518,949.9,1.141,2192000,1.449,143.5,1.348
3426,0.5844,1.608e+09,1.825,1.627e+09,1.695,6404000,0.5415,1030,1.159,809400,1.819,170.4,1.306
3294,0.5103,195100000,1.371,32960000,0.6535,277900000,1.633,957.2,1.396,125500,1.882,172.1,1.772
3095,0.5523,8308000,1.454,2186000,1.694,2444000,1.654,979.8,1.238,880900000,1.598,170.4,1.291
4020,0.5353,50080,1.716,2.12e+08,0.5268,247100,0.9991,942.3,1.32,3140000,1.313,173.7,1.264
3187,0.5339,101500,1.427,475800000,0.5024,4360,1.181,905.3,1.377,237600,1.285,164.8,1.239
5619,0.6031,483000,0.6449,40730,1.029,2.125e+09,1.906,943.4,1.318,795600000,0.7564,187,1.368
2379,0.7974,24010000,1.643,2.142e+09,0.7101,152900000,1.054,1138,1.046,26090000,1.162,193,1.39
1978,0.5765,11330,1.617,70640,0.5095,181700000,1.572,860.3,1.198,3.831e+09,0.7491,160.9,1.325
