Kmax,Ku,n,halfmax,Vhalf,slope
30690,3.512e-05,0.7095,68950,-1,0.4451
2544000,1.589e-05,0.7482,4700000,-34.23,0.5413
9849000,2.442e-05,0.6809,23160000,-3.499,0.4253
343100,3.397e-05,0.7952,925500,-1,0.3707
34160,3.295e-05,0.7183,67910,-1,0.503
86.59,2.088e-05,0.7799,175.8,-6.172,0.4925
42660,3.225e-05,0.6554,88330,-1,0.483
39950,2.963e-05,0.668,67420,-1,0.5926
680100,2.711e-05,0.7861,1737000,-3.183,0.3915
280400,3.683e-05,0.6363,484200,-1,0.5791
7443000,1.549e-05,0.7834,16380000,-46.31,0.4544
60.75,1.84e-05,0.7453,99.97,-9.235,0.6077
1965000,2.079e-05,0.7257,3976000,-5.656,0.4942
76260,4.04e-05,0.7258,177800,-1,0.4289
81100,3.144e-05,0.6051,172000,-1.001,0.4715
126800,2.976e-05,0.7262,387000,-1,0.3276
181300,2.563e-05,0.6192,353000,-1.756,0.5136
109700,4.769e-05,0.8276,308600,-1,0.3555
674600,2.545e-05,0.5083,992800,-1.097,0.6795
929000,2.014e-05,0.6679,1936000,-6.246,0.4799
880400,2.721e-05,0.802,2872000,-2.306,0.3065
1820000,2.095e-05,0.7722,4132000,-7.118,0.4405
4794000,1.801e-05,0.6284,8971000,-12.48,0.5344
16.92,1.608e-05,0.6834,25.12,-14.14,0.6736
50490,2.617e-05,0.7039,104400,-1.022,0.4836
144300,3.308e-05,0.6544,376600,-1.004,0.3832
1367000,3.821e-05,0.7926,4401000,-1.001,0.3106
146400,2.889e-05,0.6117,263300,-1,0.556
80640,3.545e-05,0.659,203000,-1.005,0.3972
166100,2.823e-05,0.6823,325300,-1.351,0.5106
9004000,3.476e-05,0.827,28470000,-1.003,0.3163
147600,3.12e-05,0.725,379000,-1,0.3894
19550000,1.68e-05,0.7727,38850000,-42.11,0.5032
1108000,2.607e-05,0.5455,1928000,-1.515,0.5747
83580,4.204e-05,0.7709,225800,-1,0.3702
763900,2.71e-05,0.7352,1789000,-2.698,0.427
89200,3.991e-05,0.7537,200700,-1,0.4444
11880,4.018e-05,0.8141,36990,-1,0.3212
34550,3.012e-05,0.5824,70250,-1.002,0.4918
642100,5.153e-05,0.6936,1393000,-1,0.4609
308600,3.042e-05,0.6337,671700,-1.032,0.4594
2074000,3.063e-05,0.8562,7097000,-2.519,0.2922
23.94,3.121e-05,0.6685,50.26,-1,0.4763
66700,4.882e-05,0.779,196700,-1,0.3391
301500,1.553e-05,0.7152,571200,-31.96,0.5278
2094000,3.596e-05,0.5968,4180000,-1,0.501
341000,3.493e-05,0.7282,828500,-1.001,0.4116
17650,4.353e-05,0.8048,53540,-1,0.3297
3788000,1.35e-05,0.754,6979000,-59.76,0.5428
88940,2.553e-05,0.726,192800,-1.004,0.4613
84160,3.429e-05,0.7154,185600,-1,0.4534
2732000,1.888e-05,0.5771,3899000,-7.814,0.7007
367400,1.587e-05,0.6024,442800,-21.76,0.8297
2947000,1.463e-05,0.619,3655000,-24.37,0.8063
30100,4.274e-05,0.6597,60300,-1,0.4992
2297000,1.71e-05,0.6584,3285000,-11.99,0.6992
6.748,2.871e-05,0.7409,14.06,-1.002,0.4799
58030,3.324e-05,0.5808,92220,-1,0.6293
69230,3.459e-05,0.6193,120500,-1,0.5745
21.81,3.032e-05,0.8577,64.27,-1.002,0.3393
1344000,1.589e-05,0.8898,3831000,-36.59,0.3508
4.155,3.408e-05,1.19,13.5,-1.001,0.3078
5558000,9.486e-06,0.6908,6930000,-86.67,0.802
337100,4.175e-05,0.8261,1070000,-1.006,0.315
93480,3.535e-05,0.6659,235900,-1,0.3963
56000,2.778e-05,0.6682,113000,-1.828,0.4956
6.689,2.784e-05,0.6782,9.295,-1.004,0.7196
57370,3.238e-05,0.6041,85410,-1,0.6717
12200,2.89e-05,0.6168,21990,-1,0.5548
274000,1.653e-05,0.6689,456400,-11.56,0.6004
289400,3.116e-05,0.5278,460300,-1,0.6287
86960,3.552e-05,0.6603,191600,-1.002,0.4539
35720,3.76e-05,0.7085,81110,-1.001,0.4404
29440,2.839e-05,0.6646,49060,-1.003,0.6001
2808000,1.547e-05,0.8165,6193000,-40.89,0.4534
10.61,1.632e-05,0.8176,17.59,-13.1,0.6032
4.516,2.904e-05,0.7827,8.654,-1.001,0.5218
955300,1.754e-05,0.6367,1530000,-14.29,0.6244
70120,3.649e-05,0.8351,211700,-1.001,0.3312
385300,2.865e-05,0.7969,1139000,-1.013,0.3383
7.893,2.797e-05,0.7415,13.11,-1,0.6021
5.542,3.008e-05,0.8526,9.856,-1,0.5623
106100,3.801e-05,0.7363,275900,-1,0.3846
5.572,3.883e-05,0.9318,11.73,-1,0.475
88950,3.252e-05,0.7469,213500,-1,0.4166
12130,2.749e-05,0.5655,18950,-1.003,0.6401
3.709,4.065e-05,1.734,7.608,-1,0.4875
664500,1.767e-05,0.7076,1450000,-17.28,0.4583
18580,4.876e-05,0.7035,49640,-1,0.3743
87960,3.955e-05,0.7449,202800,-1,0.4337
589700,3.853e-05,0.8009,1536000,-1,0.3839
6243000,1.587e-05,0.6456,8473000,-30.06,0.7368
5450,4.066e-05,0.7025,12520,-1.001,0.4353
2905000,1.705e-05,0.7661,6271000,-41.31,0.4632
11.21,4.332e-05,0.7923,25.97,-1.003,0.4317
68180,3.269e-05,0.6138,130700,-1.001,0.5217
876300,1.496e-05,0.5902,1222000,-22.89,0.7171
4806,3.045e-05,0.5969,7818,-1.003,0.6147
1582000,1.945e-05,0.6232,2637000,-7.231,0.5999
89980,3.027e-05,0.6839,186800,-1,0.4817
246600,2.706e-05,0.5855,437400,-1.011,0.5638
55330,3.692e-05,0.7579,133400,-1,0.4148
76180,2.801e-05,0.6925,152400,-1.003,0.4999
6.908,3.123e-05,0.8046,12.76,-1,0.5414
3280000,1.502e-05,0.6763,5417000,-30.35,0.6055
803100,2.624e-05,0.7436,1617000,-2.683,0.4967
28830,3.706e-05,0.6898,59270,-1,0.4864
697600,2.295e-05,0.8223,1853000,-6.122,0.3765
712400,1.782e-05,0.7508,1455000,-12.6,0.4896
110800,2.778e-05,0.664,228600,-1.007,0.4847
27500,3.763e-05,0.656,54350,-1,0.506
30360,3.049e-05,0.6954,64810,-1,0.4684
77840,2.549e-05,0.6227,124200,-1.002,0.6267
105200,3.519e-05,0.6326,202600,-1,0.5192
42280,3.993e-05,0.7857,121600,-1,0.3477
365.9,3.22e-05,0.5577,597.4,-1,0.6125
232100,3.112e-05,0.765,573400,-1.004,0.4048
367600,3.652e-05,0.7355,893300,-1.003,0.4115
9.083,4.067e-05,0.9316,22.48,-1.002,0.404
89080,3.518e-05,0.8124,296900,-1,0.3
34800,3.159e-05,0.6974,66110,-1,0.5264
3272000,1.583e-05,0.7347,6194000,-21.78,0.5283
8069,3.212e-05,0.6611,17410,-1.003,0.4635
655700,3.681e-05,0.7027,1512000,-1.001,0.4337
146100,3.721e-05,0.5841,263400,-1,0.5547
22130,3.27e-05,0.7462,59500,-1.001,0.3719
355000,3.058e-05,0.84,1150000,-1.02,0.3087
3555,2.968e-05,0.6521,6860,-1,0.5182
4.724,3.573e-05,0.8519,8.068,-1,0.5855
12460,4.191e-05,0.7883,36000,-1,0.3461
1110000,3.507e-05,0.6987,2445000,-1.001,0.454
250200,2.843e-05,0.5996,423000,-1,0.5915
755100,3.451e-05,0.8624,2763000,-1.223,0.2733
1510000,2.257e-05,0.7075,2967000,-8.135,0.5089
204600,3.595e-05,0.7659,656700,-1.001,0.3116
3.772,3.964e-05,1.086,7.923,-1,0.4761
409900,1.809e-05,0.573,559400,-8,0.7327
887600,4.5e-05,0.776,2293000,-1,0.3871
59630,3.122e-05,0.6618,125000,-1,0.477
294100,3.083e-05,0.8384,946800,-1,0.3106
14580,5.577e-05,0.7559,36540,-1,0.399
3186000,1.662e-05,0.7001,5868000,-23.33,0.5429
5.607,3.191e-05,0.7767,10.1,-1,0.5551
31340,3.169e-05,0.568,56010,-1,0.5595
71860,3.696e-05,0.7004,165700,-1,0.4337
5.411,2.722e-05,0.7865,7.415,-1,0.7297
36190,2.858e-05,0.6167,67210,-1.001,0.5385
12.51,2.962e-05,0.7865,24.81,-1.001,0.5042
1335000,2.048e-05,0.7124,2607000,-8.803,0.5121
11.84,2.466e-05,0.841,26.54,-1.751,0.4461
39670,2.593e-05,0.6545,73640,-1.12,0.5387
73360,2.752e-05,0.668,141700,-1.001,0.5177
19060,2.68e-05,0.6065,34330,-1.007,0.5552
596800,2.864e-05,0.5256,848800,-1,0.7031
30700,3.2e-05,0.6851,65360,-1,0.4697
36000,3.135e-05,0.7878,106000,-1.001,0.3396
25430,3.293e-05,0.608,50770,-1,0.5009
7804000,1.414e-05,0.7382,15970000,-42.64,0.4887
32540,3.561e-05,0.7134,59550,-1,0.5464
667500,3.436e-05,0.7522,1617000,-1.002,0.4128
215000,2.212e-05,0.6884,427000,-5.498,0.5035
44010,3.076e-05,0.6278,86230,-1,0.5104
256400,2.332e-05,0.7741,704700,-4.902,0.3638
535400,2.247e-05,0.7739,1255000,-6.378,0.4266
63660,3.945e-05,0.7053,125900,-1,0.5056
2.785,2.795e-05,1.866,6.468,-1.001,0.4306
1492000,1.595e-05,0.7183,2933000,-32.67,0.5087
61120,2.595e-05,0.5717,96890,-1.001,0.6308
89580,3.035e-05,0.6568,228600,-1.006,0.3919
88060,3.077e-05,0.6583,181300,-1,0.4857
56640,3.111e-05,0.7602,160400,-1,0.3531
3767000,1.488e-05,0.7259,7451000,-49.31,0.5056
4923000,1.602e-05,0.7186,9282000,-19.72,0.5304
314800,3.427e-05,0.836,945900,-1.001,0.3328
54990,3.385e-05,0.5655,102600,-1,0.536
750000,2.193e-05,0.7325,1908000,-5.571,0.3931
67.28,1.532e-05,0.7588,106.2,-15.47,0.6335
21.67,3.449e-05,0.7247,50.86,-1.09,0.4261
2505000,1.54e-05,0.7744,5091000,-59.87,0.492
61950,2.959e-05,0.6797,110000,-1.001,0.5632
396100,3.044e-05,0.7298,1066000,-1.002,0.3716
23010,3.013e-05,0.6649,47800,-1,0.4814
8.045,5.665e-05,0.8627,18.02,-1,0.4464
92630,3.944e-05,0.7055,260700,-1.001,0.3553
12.11,2.426e-05,0.868,32.87,-3.559,0.3684
23670,3.025e-05,0.659,46680,-1,0.5071
9.821,3.118e-05,0.8405,19.54,-1.001,0.5026
83300,2.615e-05,0.665,169000,-1.334,0.4929
995000,2.092e-05,0.7651,2238000,-5.645,0.4446
372400,2.427e-05,0.7213,785100,-2.368,0.4743
801900,2.679e-05,0.7176,1982000,-2.635,0.4046
1265000,3e-05,0.8491,4881000,-1.002,0.2592
214100,3.048e-05,0.5954,445000,-1.011,0.4811
