Kmax,Ku,n,halfmax,Vhalf,slope
11.08,0.007751,0.7646,316.7,-29.78,0.03499
120500,0.01096,0.5125,1577000,-7.963,0.07641
141900,0.01063,0.6529,4237000,-14.83,0.03349
67770,0.008104,0.5501,839700,-13.57,0.08071
969200,0.006092,0.5857,18730000,-5.085,0.05175
72920,0.007411,0.5616,1065000,-10.49,0.06847
64910,0.007066,0.5927,1204000,-11.25,0.05391
332500,0.007912,0.5369,4317000,-5.603,0.07702
502300,0.00782,0.5334,5331000,-14.39,0.09422
8.01,0.01123,0.8115,320.9,-14.7,0.02496
69240,0.02913,0.5618,1348000,-14.07,0.05136
9.686,0.009962,0.8117,318.6,-52.07,0.0304
33.05,0.007977,0.6209,587.9,-10.32,0.05622
54390,0.007369,0.5569,704700,-10.58,0.07718
729800,0.004629,0.563,9671000,-5.545,0.07546
1195000,0.01164,0.5559,17130000,-39.78,0.06976
77850,0.005976,0.5696,986800,-12.73,0.07889
7.255,0.01112,0.7962,288.4,-16.25,0.02516
848100,0.003877,0.5779,13230000,-4.094,0.0641
29040,0.01219,0.5,276100,-12.38,0.1052
83300,0.01026,0.5427,1125000,-9.536,0.07404
16.14,0.005314,0.7328,557.7,-6.381,0.02894
64.03,0.01995,0.5,637.8,-16.16,0.1004
107.3,0.004468,0.6887,3927,-3.197,0.02732
409400,0.003877,0.578,6387000,-4.099,0.0641
50470,0.01064,0.5349,672500,-14.22,0.07505
84960,0.004886,0.624,1977000,-7.442,0.04297
30920,0.006568,0.65,926800,-5.129,0.03336
7.92,0.007736,0.8635,400.6,-11.54,0.01977
101900,0.007777,0.5925,1761000,-6.082,0.05786
32.09,0.007269,0.6458,694.9,-8.104,0.04618
125400,0.009107,0.5254,1198000,-30.44,0.1047
22420,0.008037,0.5371,308100,-11.92,0.07277
7.126,0.01078,0.8925,394.2,-21.77,0.01808
32710,0.006227,0.6522,811300,-17.01,0.04032
55750,0.008072,0.6286,1446000,-10.14,0.03855
137900,0.008939,0.6584,4267000,-11.67,0.03232
127900,0.006757,0.5334,1478000,-4.992,0.08654
125200,0.006009,0.541,1442000,-11.24,0.08682
139700,0.007178,0.6174,2991000,-8.211,0.04671
83320,0.01015,0.5512,1320000,-6.926,0.06312
39840,0.01145,0.5393,483600,-13.43,0.08238
1351000,0.004448,0.6316,35470000,-4.401,0.03809
111200,0.007374,0.5329,1565000,-5.214,0.07105
177000,0.007522,0.5301,2029000,-6.894,0.08724
101100,0.01059,0.5005,953500,-7.7,0.106
113900,0.008058,0.5516,1643000,-12.26,0.06932
1368000,0.005481,0.589,25700000,-5.033,0.05323
37400,0.002759,0.8374,3973000,-4.01,0.009414
6.982,0.02047,0.7457,177.5,-18.83,0.03934
14.88,0.005929,0.7803,636.7,-11.07,0.02337
35380,0.007532,0.5848,602600,-8.579,0.05871
64880,0.008939,0.6056,1373000,-7.405,0.04725
244600,0.006508,0.6262,6131000,-4.711,0.0399
12570,0.01155,0.5002,115900,-13.68,0.1085
1214000,0.003804,0.585,19710000,-5.938,0.06159
13.4,0.007732,0.7016,331.8,-6.698,0.04039
5683,0.006983,0.6596,167700,-10.16,0.03389
20.01,0.006294,0.6889,473.6,-14.69,0.04225
25680,0.01073,0.5654,427100,-6.942,0.06013
782800,0.003702,0.6802,28210000,-4.101,0.02775
6.599,0.01152,0.9277,418.9,-13.04,0.01575
68370,0.005699,0.5602,913700,-12.22,0.07483
26160,0.009724,0.5325,338200,-6.626,0.07735
119200,0.01088,0.5095,1287000,-12.15,0.09262
57880,0.007129,0.5887,1003000,-9.262,0.05771
49570,0.01037,0.5538,667200,-40.49,0.0743
99270,0.01115,0.5444,1494000,-10.62,0.06645
1111000,0.004384,0.6156,23180000,-5.21,0.04793
85890,0.00751,0.5876,1844000,-4.397,0.04658
56510,0.006356,0.6223,1204000,-11,0.04694
45550,0.008271,0.5733,779600,-8.474,0.05843
23560,0.01143,0.5,248900,-12.3,0.09466
2035000,0.003336,0.6368,54910000,-2.052,0.03706
928700,0.02122,0.5,9144000,-37.08,0.1016
32130,0.0105,0.655,1073000,-17.15,0.02994
1564000,0.005607,0.5553,23240000,-4.075,0.0673
8.661,0.01042,0.7799,255.6,-32.21,0.03388
13.97,0.006794,0.7766,582.9,-8.305,0.02397
23670,0.007507,0.6113,486100,-12.76,0.04869
15.11,0.005756,0.8513,1059,-10.46,0.01427
14.59,0.0176,0.6093,248.6,-15.42,0.05869
489300,0.005851,0.5453,6215000,-5.579,0.07873
6.372,0.01057,1.114,1012,-52.52,0.006296
189900,0.006407,0.5462,2085000,-10.8,0.09108
93130,0.00649,0.5532,1445000,-6.019,0.06445
57020,0.00651,0.6217,1246000,-8.919,0.04576
37080,0.01247,0.5301,475800,-12.7,0.07793
190600,0.01276,0.5122,2090000,-12.25,0.0912
15060,0.01131,0.5959,331500,-14.25,0.04543
4354000,0.004451,0.6325,96580000,-7.595,0.04508
37.12,0.00388,0.6983,1225,-3.699,0.0303
