Kmax,Ku,n,halfmax,Vhalf,slope
712100,0.0001795,0.9343,24420000,-14.66,0.02916
26750000,0.0001483,0.8436,4.13e+08,-67.5,0.06477
801300,0.0001706,1.016,24850000,-72.57,0.03225
9883000,0.0001371,0.9805,378600000,-40.66,0.0261
148700,0.000177,0.8687,2588000,-67.27,0.05746
992400,0.0001756,0.9373,26600000,-58.6,0.03731
2685000,0.0001722,0.8579,54070000,-57.53,0.04966
1221000,0.0001545,1.04,49470000,-59.47,0.02468
3697000,0.0001789,1.08,167100000,-69.13,0.02212
2056000,0.0001671,0.9752,67490000,-63.43,0.03046
6560000,0.0001536,0.9467,199300000,-60.26,0.03292
42.39,0.0001876,1.018,1538,-33.81,0.02756
5852000,0.0001803,0.9725,1.75e+08,-66.82,0.03344
1748000,0.000176,0.9926,56520000,-61.76,0.03093
2416000,0.0001624,0.8639,46620000,-54.74,0.05182
1607000,0.0001763,0.9854,5.1e+07,-63.5,0.03151
11130000,0.0001686,0.9304,2.69e+08,-21.83,0.04138
3934000,0.0001885,0.9097,79350000,-68.98,0.04958
2871000,0.000175,0.9614,72540000,-68.03,0.03958
5644000,0.0001609,0.9619,1.32e+08,-71.83,0.04276
5787000,0.0002115,0.8782,128100000,-57.77,0.04518
458400,0.0001856,0.8229,6593000,-61.92,0.06953
1370000,0.0001696,0.9007,36040000,-13.73,0.03801
1058000,0.0001797,0.9665,33100000,-54.22,0.03196
2191000,0.0001816,0.952,50590000,-77.39,0.04331
809200,0.0001541,0.833,12440000,-65.56,0.06505
1923000,0.0001498,0.936,52300000,-58.54,0.03677
602000,0.0001773,0.8785,12940000,-41.93,0.04652
1733000,0.0001735,0.9596,56140000,-40.72,0.03087
1445000,0.0001681,0.8751,27310000,-56.46,0.05291
3721000,0.0001684,0.8144,61340000,-17.99,0.06066
2035000,0.0001724,0.916,44800000,-71.53,0.04542
998500,0.0001987,0.9683,30800000,-59.67,0.03242
5744000,0.0001719,0.9928,173500000,-65.96,0.03311
4902000,0.0001652,0.8684,90360000,-63.24,0.05425
4034000,0.0002283,1.045,183700000,-57.35,0.02196
636300,0.0001493,0.8958,14860000,-39.25,0.04282
4030000,0.000173,1.002,135600000,-63.89,0.02972
6548000,0.0001611,0.8806,1.27e+08,-53.89,0.05156
320400,0.0002088,0.8853,7329000,-42.52,0.04372
838700,0.0001651,0.9978,26520000,-65.15,0.03163
866600,0.0001569,0.9574,27900000,-55.84,0.03106
4904000,0.0001846,0.872,106500000,-56.13,0.04605
1287000,0.0001899,0.8469,25170000,-42.53,0.05113
8915000,0.0001796,1.015,304800000,-68.29,0.02925
2256000,0.0001934,0.8978,53730000,-64.03,0.04199
1058000,0.0001391,0.9839,37630000,-57.34,0.02812
507000,0.0001562,0.9464,10710000,-73.74,0.04734
5987000,0.0001479,1.014,255800000,-18.67,0.02341
3053000,0.0001718,0.9117,70500000,-58.61,0.0433
1257000,0.0001816,0.9513,37870000,-64.14,0.03319
5066000,0.0001554,0.9357,135600000,-63.14,0.03736
1068000,0.0001444,0.8931,27250000,-17.49,0.03919
2802000,0.0001998,1.139,136400000,-73.49,0.02054
1735000,0.0001816,0.9796,63180000,-43.06,0.02746
1922000,0.0001651,0.8921,34380000,-71.78,0.0559
1596000,0.0001751,1.006,53920000,-66.34,0.0296
3438000,0.0001428,0.9525,86360000,-70.03,0.03981
3261000,0.000179,0.9214,76770000,-66.4,0.04248
2400000,0.0001867,0.8945,58840000,-49.26,0.04079
2281000,0.0001623,1.013,94460000,-60.68,0.02415
2800000,0.0001613,0.9712,68800000,-68.78,0.0407
3159000,0.0001754,0.9699,106500000,-49.77,0.02966
2092000,0.000216,1.033,84600000,-60.31,0.02473
3436000,0.0001507,0.9287,89830000,-63.29,0.03825
260000,0.0001705,0.8338,3833000,-66.59,0.06783
717800,0.0001572,1.121,37040000,-71.45,0.01938
613900,0.0001426,0.8386,10980000,-42.32,0.05591
4172000,0.0001607,1.074,1.99e+08,-68.44,0.02096
3537000,0.000179,0.9222,101700000,-39.85,0.03478
2054000,0.0001671,0.8788,42950000,-61.71,0.04782
3656000,0.0001675,0.8597,68710000,-61.47,0.05321
8634000,0.000169,0.9932,261900000,-65.94,0.03297
1443000,0.0001836,0.9924,40260000,-73.16,0.03584
5053000,0.0002078,0.8718,109100000,-58.85,0.04632
1140000,0.0001775,0.9456,35340000,-55.9,0.03226
1179000,0.0001572,0.9745,34160000,-55.06,0.03451
2836000,0.0001686,0.8991,70440000,-64.33,0.04026
404800,0.0001456,1.063,16930000,-71.42,0.02391
1018000,0.0001676,1.054,39100000,-72.68,0.02604
1710000,0.0001494,0.9251,45360000,-53.26,0.0377
17380000,0.0001599,0.8853,326300000,-63.03,0.05326
7036000,0.0001838,0.9635,214200000,-66.03,0.03285
1184000,0.000173,0.8855,24310000,-46.06,0.0487
258400,0.000125,0.9673,9191000,-18.8,0.02811
4837000,0.0001418,0.9002,85120000,-69.7,0.05683
3606000,0.0001996,0.9615,98530000,-63.01,0.0366
2444000,0.0001739,0.9298,58590000,-66.62,0.04171
1022000,0.0001764,0.8767,21430000,-58.93,0.04769
2620000,0.0001406,0.963,78060000,-57.57,0.03356
3526000,0.0001481,0.9292,99960000,-48.03,0.03527
2289000,0.0001363,0.9118,48030000,-70.35,0.04766
1145000,0.0001937,1.032,43300000,-66.56,0.02644
6387000,0.0001804,0.9773,1.94e+08,-66.05,0.03292
5186000,0.0001617,0.8975,98780000,-68.07,0.0525
7571000,0.0002165,0.9586,229100000,-64.28,0.03305
122100,0.0001696,0.9969,4288000,-29.35,0.02847
21.65,0.0001888,1.1,1056,-21.76,0.0205
1673000,0.0001565,1.023,63290000,-68.18,0.02643
1917000,0.0001413,0.9717,51250000,-69.88,0.0374
2660000,0.0001277,1.022,112300000,-57.39,0.02369
1727000,0.0001673,0.8924,37900000,-57.33,0.04557
764700,0.0001434,0.8453,15130000,-21,0.05054
2804000,0.0001724,0.9352,70580000,-66.65,0.03973
2846000,0.0001908,0.9737,93600000,-58.8,0.03041
1080000,0.0001661,0.9366,33250000,-43.24,0.03248
