Kmax,Ku,n,halfmax,Vhalf,slope
2411000,0.04613,0.864,591500000,-13.19,0.004076
1694000,0.04595,0.9071,465600000,-29.47,0.003638
2912000,0.02383,0.9204,978300000,-46.07,0.002977
369800,0.0437,0.8416,79590000,-18.21,0.004646
348600,0.02056,0.9421,132100000,-28.55,0.002639
673700,0.04682,0.9417,250600000,-45.84,0.002688
393300,0.05832,0.861,91300000,-11.62,0.004308
673700,0.0538,0.8919,176100000,-64.02,0.003826
113500,0.04393,0.9109,38070000,-11.41,0.002981
165300,0.04695,0.8997,49530000,-15.27,0.003337
2218000,0.04613,0.9208,756600000,-11.56,0.002932
485000,0.05993,0.8622,121500000,-8.942,0.003992
1099000,0.05455,0.907,3.32e+08,-66.45,0.00331
522900,0.04649,0.8682,126900000,-9.347,0.004121
887400,0.05994,0.8653,227500000,-11.83,0.003901
256200,0.04632,0.9755,124400000,-13.86,0.002059
65950,0.05839,0.9278,27580000,-5.961,0.002391
757900,0.04615,0.8926,227200000,-14.23,0.003336
323700,0.0166,0.8183,60780000,-5.655,0.005326
104300,0.04788,0.9308,36070000,-20.61,0.002892
781600,0.1638,0.8603,186300000,-14.02,0.004195
198400,0.09112,0.9713,85400000,-60.83,0.002323
710900,0.04603,0.8644,173700000,-9.526,0.004093
519100,0.02259,0.9055,154600000,-17.9,0.003358
879700,0.05452,0.8695,212500000,-52.27,0.00414
850500,0.04632,0.9461,370300000,-7.369,0.002297
376100,0.01944,0.9129,1.24e+08,-9.871,0.003033
216800,0.04746,0.9268,87130000,-8.853,0.002488
285000,0.04346,0.8674,63990000,-17.36,0.004454
106100,0.05383,0.9303,33440000,-69.7,0.003173
147800,0.05902,0.8856,42640000,-10.04,0.003466
897400,0.1677,0.7555,117100000,-4.497,0.007664
356500,0.04686,0.9326,124400000,-25.53,0.002866
176900,0.04563,0.8871,60770000,-3.328,0.002911
1463000,0.04664,0.9522,6.86e+08,-8.821,0.002133
600100,0.02006,0.866,170600000,-3.727,0.003518
671400,0.02016,0.9076,268900000,-3.175,0.002497
1300000,0.04411,0.9833,729400000,-8.435,0.001782
286800,0.04639,0.8872,75990000,-14.06,0.003774
2672000,0.02338,0.8865,728100000,-19.46,0.00367
273000,0.02378,0.9234,99690000,-13.99,0.002738
148600,0.0543,0.8856,50280000,-1.902,0.002955
53460,0.01676,0.9018,17950000,-5.953,0.002978
162000,0.1188,0.9102,50040000,-40.33,0.003237
812900,0.04743,0.8665,2e+08,-7.208,0.004065
160500,0.04677,0.8776,40340000,-10.56,0.003979
620000,0.0467,0.9782,303400000,-37.55,0.002044
373800,0.05862,0.8089,70580000,-3.855,0.005296
175500,0.04648,0.8104,30960000,-10.74,0.005669
220500,0.04645,0.8935,64360000,-10.3,0.003426
160600,0.01953,0.8503,36320000,-9.364,0.004422
222800,0.04624,1.001,127500000,-16.35,0.001747
89690,0.04686,0.8834,23670000,-11.4,0.003789
216800,0.04567,0.9909,114600000,-35.02,0.001892
61140,0.1448,0.8188,11590000,-13.65,0.005275
186100,0.1281,0.8936,48170000,-44.64,0.003863
128300,0.04236,0.8349,27490000,-6.397,0.004667
319300,0.01971,0.9001,98050000,-9.083,0.003257
44310,0.05801,0.8602,11630000,-4.154,0.00381
764200,0.04675,0.8301,138400000,-9.865,0.005522
2805000,0.04695,0.7895,411200000,-19.98,0.006821
218500,0.01725,0.9076,78010000,-4.582,0.002801
551100,0.0524,0.8449,103300000,-54.4,0.005335
3307000,0.0236,0.8877,896700000,-25.02,0.003688
3170000,0.04658,0.9008,971900000,-20.71,0.003262
553500,0.05345,0.8427,1.29e+08,-3.377,0.004291
622300,0.02516,0.9658,261800000,-31.73,0.002377
772500,0.03374,0.84,199400000,-1.007,0.003874
49650,0.04519,0.8425,11900000,-5.044,0.004172
71540,0.03391,0.9023,22870000,-10.55,0.003128
45520,0.0465,0.884,12370000,-9.081,0.00368
245400,0.03699,0.9988,136900000,-13.2,0.001793
2509000,0.02208,0.94,977800000,-24.31,0.002566
58420,0.05853,0.8671,16230000,-5.382,0.0036
257000,0.03819,0.9242,89360000,-58.6,0.002876
127100,0.04612,0.896,39340000,-12.47,0.003231
1902000,0.04366,0.9591,8.56e+08,-15.76,0.002222
534500,0.05838,0.823,94950000,-10.26,0.005629
269600,0.04162,0.8608,69500000,-5.542,0.003879
404600,0.04147,0.81,6.9e+07,-8.004,0.005864
195800,0.4513,0.8026,31870000,-5.846,0.006144
2863000,0.04626,0.9234,987600000,-12.25,0.002899
775500,0.05367,0.8306,168200000,-4.669,0.004611
153100,0.04715,0.8473,32010000,-9.396,0.004783
190100,0.02775,1.012,122300000,-14.47,0.001554
454900,0.03115,0.8896,133900000,-6.865,0.003397
215700,0.04699,0.8677,52950000,-17.43,0.004074
293100,0.02605,0.893,80350000,-29.42,0.003648
378000,0.02056,0.8529,85040000,-8.507,0.004445
563000,0.02394,0.8318,1.03e+08,-12.66,0.005466
182600,0.04566,0.852,37960000,-14.83,0.00481
493500,0.05436,0.9611,199500000,-71.08,0.002474
1847000,0.05459,0.8345,412900000,-2.988,0.004473
