Kmax,Ku,n,halfmax,Vhalf,slope
9.94,0.000375,1.123,59.05,-159.9,0.1683
15.64,0.000385,1.02,83.21,-170,0.188
11.95,0.0004337,0.9204,59.05,-169,0.2024
12.48,0.0003677,1.106,61.18,-174.6,0.204
12.43,0.000448,1.013,60,-175.9,0.2072
13.24,0.0003616,1.009,49.99,-174.2,0.2649
8.566,0.0004739,1.046,34.87,-170.8,0.2457
11.24,0.0004411,0.9059,39.89,-170.8,0.2818
11.92,0.0004296,0.8637,42.73,-182.7,0.279
13.48,0.0003545,0.7813,48.03,-160.9,0.2807
13.02,0.0003797,1.011,58.03,-175.7,0.2244
30.43,0.0004855,0.5749,82.12,-173.5,0.3706
9.774,0.0004418,0.9861,44.9,-169.1,0.2177
12.36,0.0004051,1.111,70.25,-187.5,0.1759
35.06,0.0004891,0.5778,99.02,-181.1,0.3541
18.5,0.0004567,0.7578,63.69,-176.7,0.2905
6.855,0.000427,1.256,38.4,-167.5,0.1785
9.065,0.0003928,1.056,36.31,-174.4,0.2497
7.51,0.0004171,0.9812,32.2,-180.2,0.2332
11.27,0.0004101,0.7671,36.64,-174.6,0.3076
12.49,0.0003887,0.969,50.29,-183.1,0.2484
22.1,0.0006233,0.7168,79.47,-188.8,0.2781
14.46,0.000383,0.9157,51.71,-164.2,0.2796
9.595,0.0004229,1.348,65.22,-188.7,0.1471
8.611,0.0004502,1.156,45.9,-174.9,0.1876
10.7,0.0003943,1.24,62.4,-174.7,0.1715
9.742,0.0003816,1.028,42.97,-173.4,0.2267
12.83,0.0004978,0.7486,39.17,-185.7,0.3275
11.4,0.0004262,0.8332,37.29,-178.7,0.3057
16.07,0.0004668,0.7127,49.1,-185.3,0.3273
7.925,0.000438,0.9847,33.69,-183.2,0.2352
9.689,0.0004887,1.007,37.87,-166.6,0.2558
11.57,0.0003347,1.095,71.58,-162.4,0.1616
8.817,0.000418,1.211,60.96,-177.6,0.1446
88.12,5e-04,0.5701,259.8,-174.8,0.3392
10.05,0.0003516,0.8102,26.24,-165.2,0.383
20.12,0.0004818,0.715,73.28,-176.3,0.2746
11.05,0.0004245,0.8687,36.05,-169.5,0.3065
11.2,0.0004032,1.161,66.44,-157.7,0.1686
12.24,0.0003904,0.9967,47.86,-160.6,0.2557
19.02,0.0004777,0.8701,80.99,-159.6,0.2348
18.44,0.000347,0.7368,63.87,-168.1,0.2887
12.03,0.0005017,0.6826,34.7,-175.3,0.3467
12.55,0.000376,1.015,63.64,-169.4,0.1972
8.573,0.0004258,1.039,31.97,-182.8,0.2682
17.04,0.0003661,0.7367,52.64,-167.8,0.3237
11.09,0.0004329,0.9415,42.81,-177.5,0.2591
9.898,0.0003946,0.8498,35.16,-179.8,0.2815
13.46,0.0003497,0.9998,50.42,-177.3,0.267
10.75,0.0003777,1.295,81.89,-166.7,0.1313
6.587,0.0004081,1.078,32.72,-168.7,0.2013
21.5,0.0003558,0.7547,66.58,-149.7,0.3229
12.82,0.0003497,0.957,47.5,-165.7,0.2699
9.542,0.0003251,1.125,59.38,-177.4,0.1607
14.92,0.0003235,0.8034,45.3,-153.9,0.3294
11,0.0004172,1.307,76.53,-175.3,0.1437
8.2,0.0004375,1.225,43.51,-195.4,0.1885
