Kmax,Ku,n,halfmax,Vhalf,slope
244.7,0.01719,0.6928,129900,-164.5,0.001884
65150,0.01589,0.7363,55640000,-153,0.001171
14.65,0.01398,0.9085,53610,-153.2,0.0002733
999.4,0.01468,0.7319,752900,-93.03,0.001327
4.932,0.01417,1.212,236200,-100.5,2.088e-05
84670,0.01452,0.8733,252100000,-82.52,0.0003359
150700,0.01481,0.7847,199300000,-88.57,0.0007561
23.27,0.01386,0.8089,32400,-190.3,0.0007182
426600,0.01541,0.777,489500000,-82.73,0.0008715
77700,0.01458,0.9149,4.51e+08,-81.68,0.0001723
264600,0.0153,0.7822,335700000,-87.11,0.0007882
22.12,0.01452,0.6568,6935,-95.93,0.00319
35.47,0.01339,0.9687,267300,-89.52,0.0001327
6.456,0.01323,1.237,315100,-117.9,2.049e-05
9.28,0.01667,0.9239,42630,-95.57,0.0002177
1027000,0.01493,0.7455,918200000,-92.24,0.001118
3.157,0.01384,1.712,7010000,-151.1,4.504e-07
641,0.01504,0.7825,844000,-164.3,0.0007595
442800,0.01343,0.797,624700000,-89.89,0.0007088
5.25,0.01455,1.405,1111000,-161.5,4.725e-06
5740,0.01318,0.7005,3183000,-79.89,0.001803
7.597,0.01697,1.192,303500,-162.9,2.503e-05
120400,0.01501,0.8024,213500000,-93.75,0.0005639
9.193,0.01514,1.005,78580,-80.85,0.000117
8.293,0.01324,0.8824,19720,-88.2,0.0004205
151500,0.01538,0.757,150600000,-117.7,0.001006
11.03,0.01309,0.7472,8906,-90.69,0.001238
565300,0.01547,0.728,407900000,-100.8,0.001386
12.05,0.01537,0.8413,18870,-161.8,0.0006386
87390,0.01631,0.7028,57080000,-97.2,0.001531
10.1,0.01743,0.9842,71940,-87.95,0.0001404
255700,0.01368,0.8847,891500000,-80.7,0.0002868
14.53,0.01421,0.9556,63780,-175.8,0.0002278
10.58,0.0147,0.9535,51520,-92.37,0.0002054
363300,0.01484,0.6081,76260000,-181.1,0.004764
159100,0.0143,0.8363,354700000,-152.4,0.0004485
9150,0.01599,0.7003,5673000,-164.7,0.001613
1634,0.01552,0.6126,406700,-177.9,0.004018
213700,0.0157,0.7504,226700000,-94.22,0.0009427
130700,0.01266,0.8385,312900000,-94.45,0.0004177
1350000,0.01455,0.7194,845500000,-85.46,0.001597
10340,0.01505,0.7066,6234000,-165.8,0.001659
120.5,0.01384,0.7583,127300,-162.5,0.0009466
13.43,0.01571,0.8881,45200,-153.4,0.0002971
10.34,0.01076,0.7998,11790,-163.9,0.000877
15.12,0.01642,0.8024,19600,-172.7,0.0007714
13.83,0.01392,0.9147,54030,-89.98,0.000256
11.21,0.01428,0.8938,28530,-163.1,0.0003929
10.26,0.01238,0.8785,20780,-147,0.0004937
38.79,0.01465,0.792,50090,-98.66,0.0007744
16270,0.01334,0.7268,10940000,-172.6,0.001487
406600,0.01368,0.8028,625800000,-90.25,0.0006497
8.197,0.01497,1.02,73980,-76.84,0.0001108
9.983,0.01821,0.8845,21250,-171.2,0.0004698
80860,0.01451,0.6973,45370000,-83.72,0.001782
