Kmax,Ku,n,halfmax,Vhalf,slope
4.87,0.03166,1.871,787700,-3.438,6.183e-06
5.397,0.03246,1.421,56280,-9.308,9.59e-05
12.84,0.0148,1.247,54790,-7.416,0.0002343
6.353,0.06661,1.338,59520,-13.09,0.0001067
5.565,0.02148,1.454,77240,-5.745,7.205e-05
8.823,0.02552,1.142,12190,-5.332,0.0007238
14.09,0.01815,1.169,41210,-14.62,0.0003419
11.48,0.03749,0.944,6147,-13.78,0.001868
19.85,0.0309,1.017,15800,-12.34,0.001256
18.14,0.02894,0.9208,7041,-11.59,0.002576
3.361,0.44,1.911,713800,-7.196,4.709e-06
6.781,0.02301,1.271,23050,-8.946,0.0002942
14.81,0.01685,1.123,25890,-12.75,0.000572
9.464,0.03862,1.279,41000,-32.33,0.0002308
3.466,0.5277,1.536,53610,-6.71,6.465e-05
4.699,0.05324,1.354,36810,-6.364,0.0001277
7.73,0.02875,1.071,7452,-10.7,0.001037
9.737,0.02058,1.295,55080,-7.236,0.0001768
12.92,0.01509,1.137,22300,-6.371,0.0005794
8.029,0.0496,1.114,13240,-13.26,0.0006064
8.608,0.02865,1.322,60600,-7.266,0.000142
3.7,0.03583,1.743,216300,-3.24,1.711e-05
3.711,0.06803,1.437,38410,-7.291,9.662e-05
6.313,0.02975,1.344,28300,-4.989,0.0002231
5.082,0.02859,1.452,46850,-5.642,0.0001085
4.833,0.03183,1.922,1109000,-3.382,4.358e-06
11.7,0.02476,1.429,169400,-52.76,6.907e-05
3.829,0.03285,1.709,323000,-5.321,1.185e-05
5.138,0.02319,1.445,71690,-4.453,7.167e-05
5.564,0.02771,1.49,124300,-8.283,4.476e-05
5.829,0.09789,1.154,8121,-9.237,0.0007178
10.9,0.02985,0.9857,6062,-13.35,0.001798
3.296,0.1713,1.535,66020,-4.746,4.992e-05
10.66,0.02921,1.114,16560,-20.45,0.0006437
4.404,0.05225,1.281,14000,-6.717,0.0003146
6.507,0.0303,1.307,32540,-10.79,2e-04
18.38,0.01764,0.9851,11870,-8.844,0.001548
7.864,0.02375,1.184,18330,-7.896,0.000429
5.986,0.02557,1.508,135000,-8.672,4.434e-05
11.97,0.02027,1.035,10040,-10.87,0.001192
45.07,0.04509,0.9073,18990,-11.92,0.002373
4.688,0.1015,1.587,169200,-8.27,2.771e-05
17.44,0.01789,1.053,21190,-7.297,0.000823
10.17,0.02469,1.153,21430,-7.577,0.0004746
7.706,0.02196,1.607,338300,-9.227,2.278e-05
7.219,0.02483,1.117,9740,-8.308,0.0007412
5.979,0.03278,1.546,156700,-13.79,3.816e-05
3.35,0.05095,1.518,65660,-4.571,5.102e-05
12.03,0.03567,1.209,37870,-53.96,0.0003177
4.479,0.05219,1.291,17080,-6.182,0.0002622
7.201,0.01547,1.573,272000,-9.885,2.647e-05
5.531,0.03577,1.331,30820,-9.088,0.0001795
10.88,0.03432,1.125,15630,-6.868,0.0006961
7.209,0.3697,1.071,6310,-8.12,0.001142
6.268,0.025,1.462,112300,-8.342,5.581e-05
4.773,0.0335,1.366,25400,-5.168,0.0001879
17.67,0.01649,1.005,11030,-9.38,0.001602
14,0.01767,1.119,20760,-9.396,0.0006744
7.818,0.0247,1.254,40330,-6.938,0.0001939
6.414,0.0326,1.191,11940,-9.788,0.0005372
3.272,0.0383,1.922,902300,-2.265,3.626e-06
5.468,0.1291,1.111,6667,-11.86,0.0008202
12.95,0.01642,1.245,42720,-8.815,0.0003031
3.654,0.05339,1.328,23530,-4.823,0.0001553
11.71,0.09302,1.025,9212,-12.86,0.001271
16.11,0.01782,1.086,24810,-7.288,0.0006493
11.13,0.01764,1.399,137000,-9.371,8.124e-05
6.249,0.02793,1.302,31190,-6.795,0.0002004
5.659,0.07639,1.078,5778,-13.78,0.0009794
7.211,0.04507,1.294,38350,-11.77,0.000188
4.404,0.05502,1.54,62770,-9.478,7.016e-05
6.314,0.04387,1.351,46370,-7.575,0.0001362
13.56,0.01801,1.09,19200,-7.555,0.0007063
10.71,0.02454,1.044,12050,-10.48,0.0008888
4.239,0.07079,1.605,109900,-5.376,3.857e-05
5.296,0.065,1.403,56850,-11.75,9.316e-05
5.865,0.02459,1.603,198600,-9.502,2.953e-05
6.527,0.02366,1.383,52600,-8.07,0.0001241
10.1,0.04481,0.9114,3606,-10.77,0.002801
4.333,0.04302,1.395,30430,-3.251,0.0001424
5.575,0.02623,1.453,55870,-4.841,9.979e-05
11.34,0.02011,1.163,26610,-12.55,0.0004262
4.576,0.05276,1.411,44940,-3.702,0.0001018
9.275,0.09951,0.9814,4651,-16.83,0.001994
6.874,0.03036,1.312,37970,-14.32,0.000181
34.33,0.03783,0.8492,8631,-13.9,0.003978
17.47,0.02206,1.196,45570,-24.75,0.0003834
4.003,0.1406,1.286,12670,-6.36,0.0003159
7.031,0.04701,1.197,23200,-11.16,0.0003031
135,0.01825,0.9306,72250,-13.17,0.001869
5.258,0.03191,1.658,249200,-8.533,2.11e-05
3.309,0.1868,1.226,8775,-4.246,0.0003771
4.335,0.1354,1.328,22230,-9.988,0.000195
10.41,0.01626,1.155,21900,-9.277,0.0004753
7.349,0.01629,1.358,54430,-5.869,0.000135
4.789,0.02838,1.6,121000,-4.402,3.958e-05
29.45,0.0163,1.058,33760,-18.81,0.0008723
5.742,0.08466,1.299,23900,-12,0.0002403
8.603,0.09091,1.033,7538,-10.78,0.001141
7.858,0.02866,1.102,10100,-10.57,0.000778
3.851,0.05755,1.462,35030,-3.484,0.0001099
11.29,0.02456,1.291,62480,-43.94,0.0001807
6.722,0.04677,1.15,12470,-9.013,0.0005391
3.064,0.5119,1.638,80510,-3.827,3.806e-05
