Kmax,Ku,n,halfmax,Vhalf,slope
196900,0.2036,0.9245,656500000,-97.36,0.0002999
42380,0.1281,0.9437,157800000,-147.8,0.0002686
147400,0.3891,0.9569,686400000,-87.88,0.0002147
114700,0.9731,0.9383,419600000,-82.21,0.0002734
147100,0.1023,0.9916,9.44e+08,-173.2,0.0001558
119500,0.9919,0.9477,493500000,-82.98,0.0002421
55.36,0.1512,1.065,673900,-112.8,8.215e-05
103300,0.2005,0.9654,507300000,-94.69,0.0002036
69030,0.1137,0.9469,263900000,-143.1,0.0002616
35.37,0.844,1.152,908100,-81.53,3.895e-05
86550,0.2869,0.9026,227400000,-86.9,0.0003806
334900,0.9974,0.918,999300000,-83.97,0.0003351
106400,0.9987,0.9351,383800000,-82.79,0.0002772
132900,0.1449,0.9566,562900000,-105.3,0.0002361
62790,0.998,0.9596,269600000,-81.35,0.0002329
154200,0.1492,0.9377,531100000,-157.2,0.0002903
75670,0.1545,0.9806,456700000,-157,0.0001657
271200,0.1307,0.9357,975800000,-176.7,0.0002779
16870,0.9917,0.925,54430000,-81.54,0.0003099
30880,0.1492,0.9558,136600000,-152.9,0.0002261
9758,0.1379,0.9627,42360000,-159.8,0.0002304
225500,0.9972,0.9595,999400000,-82.63,0.0002256
35270,0.1504,0.943,138500000,-156.4,0.0002547
11960,0.9666,0.9445,46750000,-81.66,0.0002558
124600,0.08506,0.927,4.09e+08,-138.6,0.0003046
172.8,0.9707,0.9927,1094000,-82.68,0.000158
59490,0.9971,0.9176,174900000,-81.64,0.0003401
682.7,0.1402,0.9982,4563000,-102.9,0.0001496
144900,0.06805,0.9273,450400000,-96.06,0.0003217
71370,0.3173,0.9636,341600000,-87.13,0.0002089
68.16,0.2225,1.106,1285000,-92.14,5.304e-05
161500,0.1562,0.903,406600000,-109.7,0.0003972
141100,0.1369,0.9458,545300000,-140,0.0002588
160600,0.1244,0.9232,497500000,-146.6,0.0003228
149400,0.1495,0.9807,856100000,-155.4,0.0001745
175100,0.07209,0.9074,487100000,-160.3,0.0003595
127000,0.1568,0.9545,576400000,-166.5,0.0002203
215700,0.9987,0.9434,856400000,-83.48,0.0002519
67.39,0.9879,1.03,575600,-83.23,0.0001171
74300,0.07763,1.015,582500000,-156.6,0.0001276
144300,0.5781,0.9672,726800000,-85.58,0.0001985
166400,0.279,0.9789,957100000,-90.46,0.0001739
81190,0.9534,0.9379,289300000,-82.14,0.0002806
213700,0.6868,0.9059,578900000,-85.78,0.0003691
416800,0.1185,0.8341,529700000,-151.9,0.0007869
273500,0.3883,0.9155,788500000,-87.63,0.0003469
199400,0.127,0.9383,697300000,-151.1,0.000286
284200,0.969,0.9361,999900000,-82.19,0.0002842
145.6,0.1957,1.048,1620000,-91.4,8.988e-05
51.45,0.8413,1.089,800300,-83.91,6.429e-05
396000,0.1942,0.8998,9.92e+08,-98.06,0.0003992
166800,0.9685,0.9393,609100000,-82.27,0.0002738
94690,0.9993,0.9433,346300000,-82.07,0.0002734
132900,0.9785,0.9348,466400000,-82.32,0.0002849
48330,0.1356,1.034,467100000,-154,0.0001035
113300,0.2288,0.9414,409700000,-91.62,0.0002765
101300,0.9613,0.9359,355400000,-83.08,0.000285
152900,0.9903,0.9148,4.61e+08,-82.79,0.0003317
235.8,0.1456,0.9726,1166000,-187.8,0.0002022
193800,0.6275,0.923,598400000,-84.51,0.0003239
117700,0.2826,0.9322,406500000,-90.82,0.0002895
390400,0.1849,0.8751,788100000,-165,0.0004954
52370,1,1.022,442300000,-82.49,0.0001184
291900,1,0.8689,524300000,-82.62,0.0005567
186200,0.1477,0.9346,647900000,-153.7,0.0002874
115.8,0.9997,1.078,1680000,-82.56,6.893e-05
114400,0.1074,0.9376,412200000,-152.1,0.0002775
130500,0.9857,0.9176,403500000,-80.53,0.0003234
51190,0.1488,0.9712,264700000,-103.6,0.0001934
123300,0.9847,0.9344,432500000,-81.25,0.0002851
264000,0.1702,0.9316,950400000,-172.9,0.0002778
255300,0.197,0.9423,933300000,-87.52,0.0002735
100200,0.9999,0.936,365600000,-81.4,0.0002741
29890,0.1255,0.9528,128400000,-171.1,0.0002328
78680,0.1513,0.9401,292400000,-147.1,0.0002691
90.63,0.3494,1.002,613700,-88.59,0.0001477
71.52,0.1064,1.016,513200,-160.3,0.0001394
139800,0.486,0.9431,544500000,-86.84,0.0002567
42560,0.8332,0.9586,195500000,-84.32,0.0002177
88470,0.1487,0.9246,282100000,-149.6,0.0003136
207100,0.1621,0.9408,747900000,-99.45,0.0002769
207600,0.3074,0.9059,5.31e+08,-88.1,0.000391
26670,0.1348,0.9518,105900000,-148.8,0.0002518
111400,0.1655,0.9313,374400000,-95.48,0.0002975
642700,0.1916,0.8507,990400000,-180.5,0.0006489
122900,0.9772,0.9539,537200000,-83.88,0.0002288
166400,0.6627,0.9182,498900000,-85.48,0.0003335
152400,0.144,0.9788,868100000,-173.6,0.0001756
198500,0.1989,0.9631,934900000,-94.8,0.0002123
180300,0.07468,0.9028,433500000,-106.9,0.0004159
294500,0.9886,0.8973,723100000,-81.51,0.0004073
112.9,0.1499,0.9992,725000,-172.9,0.0001557
53420,0.1192,0.9912,330200000,-151.7,0.0001618
72000,0.9907,0.9969,483700000,-80.74,0.0001489
101.7,0.1977,1.01,738100,-91.98,0.0001378
189200,0.1439,0.9545,758100000,-155,0.0002496
95160,0.1559,0.9352,333300000,-157.9,0.0002855
221700,0.07091,0.9497,8.67e+08,-135.9,0.0002557
