Kmax,Ku,n,halfmax,Vhalf,slope
1.728,0.04056,2,1432000,-76.73,1.207e-06
1.651,0.09225,2,1421000,-67.26,1.162e-06
1.63,0.09703,1.727,186000,-42.76,8.763e-06
1.604,0.01798,2,1963000,-12.35,8.171e-07
1.959,0.03946,1.993,1793000,-71.67,1.093e-06
1.5,0.02992,2,1038000,-42.91,1.445e-06
1.857,0.09297,2,1626000,-78.15,1.142e-06
1.597,0.04298,2,1632000,-77.83,9.786e-07
1.743,0.1112,2,1402000,-72.06,1.243e-06
1.781,0.09406,2,1520000,-72.79,1.172e-06
1.653,0.04242,2,1325000,-75.96,1.248e-06
2.007,0.03846,2,2282000,-74.45,8.795e-07
1.883,0.04133,2,2079000,-79.75,9.057e-07
1.846,0.1149,1.997,1557000,-76.13,1.186e-06
1.617,0.04154,2,1682000,-70.85,9.614e-07
32.72,0.04002,0.5002,1390,-76.5,0.02354
1.98,0.03193,2,2120000,-82.01,9.34e-07
1.974,0.1336,2,1610000,-91.27,1.226e-06
1.965,0.07994,2,1293000,-81.27,1.52e-06
1.774,0.05602,2,1540000,-70.86,1.152e-06
2.278,0.1642,0.8232,585.9,-67.11,0.003888
2.185,0.02743,1.781,433800,-84.91,5.037e-06
1.873,0.05579,2,1690000,-71.31,1.108e-06
2.044,0.0412,1.212,8301,-74.93,0.0002462
1.721,0.02633,2,1236000,-70.15,1.392e-06
2.258,0.163,1.288,21210,-66.08,0.0001065
1.84,0.03386,2,1211000,-78,1.519e-06
1.704,0.0804,2,1051000,-79.24,1.621e-06
59,0.0236,0.5002,2976,-39.65,0.01983
1.717,0.04392,1.562,99520,-56.24,1.725e-05
1.768,0.04051,1.945,1035000,-77.78,1.708e-06
3.407,0.4843,0.7034,380,-77.84,0.008966
3.04,0.0367,0.7852,792.9,-57.78,0.003834
2.136,0.02164,1.367,27240,-71.89,7.841e-05
53.66,0.04109,0.5,2385,-75.22,0.0225
10.5,0.4633,0.5015,439.5,-74.7,0.02389
1.531,0.04297,2,1167000,-70.58,1.312e-06
1.707,0.04097,2,1100000,-77.91,1.552e-06
1.82,0.08207,2,1548000,-74.55,1.176e-06
3.127,0.07211,0.552,101.9,-79.49,0.03069
1.552,0.04296,2,1516000,-70.4,1.024e-06
7.904,0.4908,0.5772,518,-77.1,0.01526
1.849,0.09564,2,1696000,-91,1.09e-06
11.72,0.04692,0.5,494.1,-24.69,0.02372
1.855,0.08163,2,2103000,-76.5,8.821e-07
1.891,0.03253,2,1591000,-83.36,1.189e-06
2.767,0.02964,1.086,5975,-80.68,0.0004631
1.849,0.07149,1.999,2036000,-77,9.082e-07
6.687,0.09711,0.6154,599.2,-73.18,0.01116
1.712,0.1817,2,1563000,-65.91,1.095e-06
3.485,0.6672,0.5385,139.7,-67.76,0.02495
1.913,0.03663,2,1627000,-82.28,1.176e-06
2.224,0.5051,1.515,73120,-75.53,3.042e-05
1.965,0.1265,1.999,1343000,-80.89,1.463e-06
1.707,0.04342,2,1044000,-74.43,1.635e-06
1.678,0.03089,2,1301000,-73.95,1.29e-06
4.297,0.382,0.6879,577.7,-72.61,0.007438
1.594,0.04321,2,1238000,-76.25,1.288e-06
10.09,0.02956,0.5,405.6,-50.38,0.02488
11360,0.02349,0.5038,600200,-35.92,0.01893
1.611,0.04381,2,1021000,-75.78,1.578e-06
1.918,0.03846,2,2021000,-79.7,9.49e-07
2.132,0.4221,1.39,35610,-83.58,5.987e-05
1.512,0.03952,1.541,56640,-67.4,2.669e-05
1.907,0.02262,2,1468000,-69.85,1.299e-06
7.427,0.5732,0.5845,561.7,-59.58,0.01322
2.32,0.04087,0.9765,1888,-78.37,0.001229
2.101,0.03163,1.809,519500,-78.92,4.044e-06
36.54,0.5642,0.5773,3315,-61.54,0.01102
1.634,0.05746,2,1308000,-74.52,1.249e-06
1.756,0.09926,2,1795000,-78.27,9.783e-07
2.664,0.01498,0.9902,3485,-30.74,0.0007644
1.74,0.07764,2,1923000,-73.86,9.048e-07
1.758,0.02657,2,1443000,-68.8,1.218e-06
1.758,0.06882,2,1690000,-82.12,1.04e-06
1.514,0.02739,2,1622000,-55.47,9.334e-07
1.594,0.04321,2,1238000,-76.25,1.288e-06
3.063,0.4842,1.01,4087,-79.47,0.0007494
1.829,0.1743,2,1151000,-56.3,1.589e-06
1.638,0.1079,2,805500,-71.6,2.034e-06
1.425,0.01525,2,1343000,-38.35,1.061e-06
1.955,0.5012,1.641,135700,-84.15,1.441e-05
2.006,0.03851,2,2248000,-74.44,8.923e-07
2.442,0.4779,1.228,9129,-79.56,0.0002675
2.538,0.4748,1.254,11470,-86.5,0.0002213
1.506,0.02746,2,1561000,-62.58,9.648e-07
1.818,0.08214,1.999,1653000,-74.99,1.1e-06
1.967,0.07263,2,1327000,-84.13,1.482e-06
1.682,0.02563,1.999,1157000,-68.05,1.454e-06
1.434,0.05782,2,939100,-63.92,1.527e-06
1.765,0.04028,2,1346000,-79.9,1.311e-06
1.493,0.09796,2,1399000,-74.47,1.067e-06
1.989,0.08744,2,1642000,-85.34,1.211e-06
9.796,0.4863,0.6237,977.2,-84.04,0.01002
9.28,0.05305,0.5005,372.3,-77.81,0.02493
1.907,0.06662,2,1575000,-80.28,1.211e-06
1.982,0.03727,2,1958000,-84.37,1.012e-06
1.82,0.05576,1.439,45880,-60.92,3.967e-05
23.07,0.4273,0.5001,946.4,-75.38,0.02438
1.956,0.0373,2,1549000,-95.23,1.263e-06
1.696,0.1113,2,841300,-73,2.016e-06
2.008,0.05651,1.997,1433000,-76.19,1.401e-06
2.012,0.08463,2,2064000,-91.91,9.748e-07
1.527,0.05789,1.998,968500,-72.43,1.577e-06
10.2,0.03979,0.5,367,-74.21,0.02779
4.054,0.03979,0.64,329,-73.66,0.01232
1.767,0.04123,2,1587000,-74.36,1.113e-06
1.714,0.03098,2,1497000,-72.48,1.145e-06
1.718,0.04096,2,1367000,-75.57,1.257e-06
17.29,0.4994,0.5891,1457,-77.79,0.01187
9.499,0.5255,0.5027,384,-78.09,0.02474
1.816,0.03811,2,1851000,-19.89,9.811e-07
1.699,0.1799,2,1515000,-66.84,1.121e-06
2.213,0.04336,1.458,50210,-75.93,4.407e-05
14.05,0.4965,0.5,574.6,-68.73,0.02445
1.927,0.0711,2,1636000,-83.24,1.178e-06
1.943,0.2766,1.238,9479,-71.95,0.000205
2.107,0.5365,1.326,16830,-65.89,0.0001252
1.94,0.08725,2,1313000,-78.14,1.478e-06
1.803,0.1156,1.998,1517000,-74.9,1.189e-06
1.243,0.01432,2,1312000,-8.119,9.474e-07
6.399,0.0526,0.5002,209.2,-73.52,0.03059
3.212,0.03996,0.6556,259.5,-80.37,0.01238
4.873,0.04184,0.5003,139.3,-72.63,0.03498
1.902,0.06665,2,1947000,-79.24,9.769e-07
1.884,0.07002,2,1293000,-74.69,1.457e-06
1.703,0.04078,2,1360000,-77.41,1.252e-06
1.657,0.05739,2,1542000,-63.49,1.075e-06
3.815,0.5152,0.5963,227.9,-76.81,0.01674
1.971,0.2629,1.998,1802000,-70.95,1.094e-06
1.622,0.03105,2,1041000,-69.68,1.558e-06
1.536,0.05818,2,848800,-75.58,1.81e-06
1.315,0.01731,2,673600,-49.17,1.952e-06
1.776,0.02715,2,1241000,-67.6,1.431e-06
63.2,0.05622,0.5006,2843,-70.88,0.02223
4.944,0.04314,0.5529,296.1,-64.45,0.0167
1.936,0.5248,1.353,12860,-75.81,0.0001505
1.71,0.09771,2,1371000,-76.26,1.247e-06
1.947,0.7019,1.192,6836,-69.28,0.0002848
1.608,0.05405,2,1728000,-72.87,9.306e-07
1.543,0.2452,2,1487000,-69.17,1.038e-06
2.018,0.03866,2,2375000,-73.06,8.497e-07
2.119,0.03676,2,2349000,-76.49,9.021e-07
68.36,0.03259,0.5019,3281,-59.8,0.02084
2.049,0.03778,2,2450000,-75.78,8.363e-07
4.601,0.04157,0.503,148,-78.29,0.03109
1.646,0.03234,2,1475000,-66.44,1.116e-06
194.9,0.02216,0.5032,9113,-71.28,0.02139
1.437,0.05766,2,896500,-64.52,1.603e-06
1.786,0.1151,2,1540000,-67.62,1.16e-06
1.706,0.03234,2,1608000,-67.63,1.061e-06
1.581,0.06291,1.999,1303000,-72.76,1.213e-06
1.765,0.08273,1.944,869300,-73.06,2.03e-06
1.839,0.09262,2,1528000,-77.97,1.204e-06
1.83,0.03672,2,1526000,-77.91,1.199e-06
1.725,0.03336,2,1473000,-71.44,1.171e-06
1.59,0.04067,1.998,1467000,-15.95,1.084e-06
2.468,0.04,0.9434,1604,-80.59,0.001539
1.949,0.0882,1.629,81520,-82.9,2.391e-05
1.843,0.4549,1.995,1211000,-78.51,1.522e-06
1.931,0.02652,2,2194000,-66.31,8.801e-07
228.5,0.0319,0.5001,10790,-64.96,0.02118
2.909,0.6218,0.8805,1612,-75.63,0.001805
1.669,0.02783,2,1592000,-56.9,1.048e-06
7.96,0.4055,0.5012,299.8,-68.76,0.02655
1.571,0.04183,2,609200,-82.53,2.579e-06
4.07,0.0433,0.598,316.3,-64.16,0.01287
7.823,0.5431,0.5927,617.3,-68.44,0.01267
1.542,0.05453,1.997,1252000,-72.33,1.232e-06
2.109,0.385,1.187,7276,-75.86,0.0002899
1.614,0.3306,1.999,980200,-74.29,1.647e-06
2.237,0.4329,0.812,362.9,-81.72,0.006164
51.98,0.03939,0.5655,3933,-76.73,0.01322
1.716,0.02425,1.998,1204000,-71.73,1.425e-06
1.789,0.09347,2,1482000,-76.26,1.207e-06
1.76,0.04052,2,1155000,-77.43,1.524e-06
1.938,0.07323,2,1623000,-83.34,1.194e-06
1.985,0.07279,2,1624000,-87.26,1.222e-06
1.678,0.03573,2,2017000,-58.89,8.319e-07
1.653,0.0411,2,1170000,-79.87,1.413e-06
1.539,0.02229,2,1201000,-76.28,1.281e-06
1.662,0.1118,2,1777000,-74.31,9.353e-07
