Kmax,Ku,n,halfmax,Vhalf,slope
33.18,1.46e-05,1.057,181.9,-1.13,0.1824
11.38,1.987e-05,1.266,89.38,-1,0.1273
13.54,1.624e-05,1.165,90.45,-1,0.1497
8.589,1.777e-05,1.425,74,-1,0.1161
17.33,1.878e-05,1.173,122.7,-1,0.1412
29.93,2.441e-05,1.192,245.2,-1,0.1221
33.42,1.955e-05,1.17,237.8,-1,0.1405
14.72,1.717e-05,1.149,92.06,-1,0.1599
1243000,1.714e-05,1.01,6816000,-3.27,0.1824
17.29,1.652e-05,1.135,102.7,-1.001,0.1684
1268000,1.077e-05,1.049,6183000,-26.03,0.2051
17.81,1.778e-05,1.193,116,-1.409,0.1535
29.44,1.885e-05,1.107,189.5,-1,0.1554
18.49,1.795e-05,1.028,86.66,-1.001,0.2134
32.42,1.489e-05,1.011,161.5,-1.002,0.2007
481200,2.037e-05,1.1,3798000,-1.769,0.1267
17.68,1.853e-05,1.16,128.4,-1,0.1377
24.95,2.252e-05,1.149,165,-1,0.1512
819200,1.245e-05,1.013,4035000,-18.09,0.203
27.02,1.793e-05,1.063,156.5,-1.004,0.1727
323800,1.622e-05,1.076,1992000,-4.129,0.1626
19.2,1.735e-05,1.197,142.5,-1,0.1347
227500,1.009e-05,1.03,1024000,-15.47,0.2222
1505000,1.644e-05,1.075,10060000,-3.428,0.1496
51.81,1.62e-05,1.147,338.7,-2.376,0.153
11.31,9.581e-06,1.38,80.19,-9.112,0.141
376.6,1.996e-05,0.9676,2106,-1,0.1788
22.58,1.987e-05,1.245,193.5,-1,0.1167
488200,1.538e-05,1.05,2888000,-7.077,0.169
11.2,1.866e-05,1.31,85.18,-1,0.1315
11.21,1.845e-05,1.437,107.8,-1,0.104
2984,1.922e-05,1.029,17440,-1.003,0.1711
32.11,1.767e-05,1.01,144.9,-1.02,0.2216
3605000,1.087e-05,1.114,23830000,-18.74,0.1513
9.787,1.574e-05,1.371,72,-1.001,0.1359
24.69,2.066e-05,1.15,189.5,-1,0.1303
8.468,1.613e-05,1.43,61.38,-1.001,0.138
2396000,2.086e-05,1.069,16390000,-1.001,0.1462
5277,2.168e-05,1.055,35870,-1,0.1471
12.93,1.872e-05,1.222,83.81,-1.002,0.1543
8.792,1.548e-05,1.511,94.39,-1.001,0.09315
12.89,1.827e-05,1.297,114.2,-1.115,0.1129
3857000,9.593e-06,0.9664,13180000,-33.99,0.2926
100900,1.869e-05,0.9943,553700,-1.033,0.1822
24.12,1.728e-05,1.152,171,-1.008,0.1411
33930,1.404e-05,1.016,151800,-10.61,0.2235
10.29,1.955e-05,1.38,95.92,-1,0.1073
11.84,1.649e-05,1.204,75.4,-1,0.157
11.16,1.62e-05,1.287,87.81,-1.012,0.1271
12.88,2.052e-05,1.248,93.85,-1,0.1372
7.499,1.729e-05,1.438,71.61,-1,0.1047
13.66,1.851e-05,1.203,95.03,-1.015,0.1437
3913000,1.408e-05,0.9872,19300000,-3.808,0.2027
1368000,1.754e-05,1.007,7766000,-1.022,0.1762
1029000,1.885e-05,1.009,6174000,-1.354,0.1667
13.89,1.688e-05,1.159,79.64,-1,0.1744
8455,1.643e-05,1.04,53200,-1.004,0.1589
323.2,1.908e-05,0.977,1693,-1.002,0.1909
90.38,1.857e-05,1.021,501.3,-1,0.1803
1685000,2.362e-05,1.045,11100000,-1.022,0.1518
9.983,1.686e-05,1.414,108.7,-1.003,0.09184
1042000,2.131e-05,0.9653,5699000,-1.003,0.1828
9.451,1.966e-05,1.316,81.95,-1.005,0.1153
6.842,1.721e-05,1.763,105.9,-1.004,0.06461
8.648,1.572e-05,1.467,90.97,-1,0.09506
28.98,1.814e-05,1.138,202.4,-1.201,0.1432
14030,1.823e-05,1.006,79810,-1,0.1758
13.52,1.458e-05,1.242,84.92,-5.91,0.1592
30.13,2.024e-05,1.219,248.1,-1,0.1214
29.64,2.139e-05,1.069,200.6,-1.002,0.1478
18.05,1.815e-05,1.158,135.1,-1,0.1336
22.58,1.622e-05,1.067,137.7,-1,0.164
86.9,1.81e-05,1.042,466.7,-1.004,0.1862
18.1,1.871e-05,1.171,112.2,-1,0.1613
14.25,1.538e-05,1.231,92.76,-1,0.1536
8335000,1.867e-05,1.033,51630000,-3.01,0.1614
1788000,1.802e-05,1.086,13110000,-1.001,0.1364
994300,1.183e-05,1.002,4246000,-13.9,0.2342
19.81,1.04e-05,1.14,90.66,-17.16,0.2185
8.591,1.802e-05,1.341,62.84,-1,0.1367
19830,1.589e-05,1.016,108900,-1.005,0.1821
3572000,1.552e-05,0.9527,17020000,-1.972,0.2099
25.85,2.166e-05,1.187,220.9,-1.001,0.117
59.85,1.585e-05,1.094,330.7,-1,0.181
11.68,1.997e-05,1.197,75.49,-1,0.1547
29.83,1.904e-05,1.057,163.2,-1,0.1828
305700,1.915e-05,1.056,2020000,-1.011,0.1513
14.04,1.605e-05,1.256,105.9,-1.798,0.1326
10020000,1.154e-05,1.014,49970000,-14.94,0.2005
6.93,1.723e-05,1.474,57.93,-1.001,0.1196
10.78,1.881e-05,1.364,89.93,-1.001,0.1199
16.51,2.053e-05,1.116,90.71,-1,0.182
39.91,2.084e-05,1.127,281,-1.002,0.142
17.16,1.82e-05,1.138,111.1,-1.003,0.1545
314100,1.927e-05,0.9904,1728000,-1.005,0.1818
17.11,1.835e-05,1.237,139.7,-1,0.1225
5490000,1.612e-05,1.064,33380000,-4.887,0.1645
2163000,1.902e-05,1.033,12720000,-1.549,0.17
120.4,1.66e-05,1.035,706.9,-1.3,0.1703
24.07,1.696e-05,1.082,138.2,-1,0.1742
11.84,1.496e-05,1.259,89.33,-1.324,0.1325
9.589,1.766e-05,1.249,60.75,-1,0.1578
94.09,1.938e-05,1.03,528.2,-1,0.1781
1851000,1.633e-05,1.084,12150000,-3.962,0.1523
4362000,1.148e-05,1.013,19700000,-24.83,0.2214
13.58,1.599e-05,1.155,72.41,-2.369,0.1875
690200,1.743e-05,0.9627,3199000,-5.351,0.2158
14.79,1.039e-05,1.275,84.87,-17.29,0.1743
8.777,2.009e-05,1.362,75.98,-1.118,0.1155
21.14,1.899e-05,1.188,149.8,-1,0.1411
11.16,1.074e-05,1.408,68.55,-16.72,0.1628
1005000,1.081e-05,0.9606,4198000,-7.899,0.2394
21.73,1.834e-05,1.147,149.9,-1.03,0.145
799700,1.23e-05,1.062,4786000,-5.033,0.1671
3131,2.111e-05,0.9736,15340,-1,0.2041
12440,1.875e-05,1.075,77010,-1.002,0.1615
19.24,1.669e-05,1.21,138.1,-1.004,0.1393
8.18,1.801e-05,1.381,63.57,-1.003,0.1287
6162000,1.709e-05,1.011,35190000,-2.497,0.1751
10.07,1.899e-05,1.361,109.8,-1,0.09171
3633000,2.06e-05,1.069,24980000,-1.023,0.1454
20.66,1.862e-05,1.071,119.7,-1,0.1726
148.4,1.489e-05,0.9951,708.2,-3.566,0.2095
65.74,1.298e-05,1.13,400.9,-9.433,0.164
828000,1.952e-05,1.043,5543000,-1.005,0.1494
217200,1.87e-05,0.9989,1216000,-1.008,0.1786
37.52,2.066e-05,1.209,319.2,-1,0.1175
926800,2.272e-05,0.9833,5543000,-1.114,0.1672
807300,2.049e-05,1.048,5860000,-1.315,0.1378
33.74,2.323e-05,1.078,208.5,-1.011,0.1618
6.881,2.025e-05,1.501,62.05,-1.001,0.1109
55800,1.809e-05,0.9681,289500,-1.008,0.1927
41.8,1.631e-05,1.134,271.3,-4.634,0.1541
19.88,1.632e-05,1.141,114.7,-1.932,0.1733
38.82,9.61e-06,1.058,170.1,-10.93,0.2282
276300,1.888e-05,1.031,1885000,-1.098,0.1466
517600,1.424e-05,1.035,2808000,-5.613,0.1843
29.96,1.765e-05,1.155,212.4,-1.001,0.1411
20.55,1.738e-05,1.065,115.3,-1,0.1782
13.22,2.01e-05,1.313,135.6,-1,0.09749
15.31,2.373e-05,1.17,104.1,-1,0.1471
71520,1.443e-05,1.042,390600,-5.803,0.1831
2394000,1.43e-05,1.073,13900000,-8.162,0.1722
11940,1.759e-05,1.105,88340,-1.001,0.1352
17.49,1.686e-05,1.168,113.1,-1.033,0.1546
17.99,1.624e-05,1.126,108.4,-1.111,0.166
13.58,1.462e-05,1.312,91.53,-5.032,0.1484
1186000,1.378e-05,0.9654,5141000,-13.05,0.2307
1033000,2.026e-05,1.097,7669000,-1,0.1347
13.12,1.653e-05,1.117,76.18,-1,0.1722
16.57,2.029e-05,1.137,105.5,-1,0.1571
9.772,1.639e-05,1.27,72.46,-1.001,0.1349
15.58,1.829e-05,1.144,93.36,-1.006,0.1669
1203000,1.83e-05,1.017,7098000,-1.165,0.1695
86.93,1.714e-05,1.107,557.7,-1,0.1559
8.147,1.556e-05,1.327,55.27,-1,0.1474
15.01,1.635e-05,1.164,90.91,-1,0.1651
85860,1.832e-05,1.011,509600,-1.43,0.1685
9.869,1.745e-05,1.251,58.6,-1,0.1684
41.75,1.137e-05,1.06,187.2,-29.28,0.223
9.327,1.662e-05,1.464,87.39,-1.244,0.1067
43.65,1.277e-05,1.17,284.9,-12.51,0.1532
21.93,1.616e-05,1.217,168.1,-3.006,0.1305
14.55,1.585e-05,1.33,121,-3.737,0.1202
17.63,1.898e-05,1.105,101.1,-1,0.1744
270900,2.05e-05,0.9969,1665000,-1.004,0.1627
12.09,1.896e-05,1.27,82.46,-1.005,0.1466
11.27,1.905e-05,1.214,73.2,-1,0.154
284.9,1.781e-05,1.055,1879,-1.486,0.1516
22.96,1.572e-05,1.126,143.5,-1,0.16
32.12,1.713e-05,1.012,164.1,-1,0.1957
17.93,1.829e-05,1.14,116.3,-2.121,0.1542
36.66,1.797e-05,1.033,198.8,-1.001,0.1844
14.43,1.84e-05,1.225,104.5,-1,0.1381
18.7,1.911e-05,1.269,156,-1.027,0.1199
659400,1.702e-05,1.119,5005000,-1.007,0.1317
36.8,1.3e-05,1.112,195.9,-5.405,0.1879
35.7,1.914e-05,1.111,224,-1,0.1594
18.29,1.445e-05,1.278,122.6,-4.524,0.1492
41.69,1.945e-05,0.9511,179.3,-1,0.2325
15.37,1.946e-05,1.194,114.4,-1.001,0.1344
1522000,1.527e-05,1.038,8971000,-3.381,0.1697
8539000,1.44e-05,1.022,43370000,-9.107,0.1969
13.37,2.051e-05,1.125,77.48,-1,0.1726
27.8,9.583e-06,1.116,113.7,-37.66,0.2445
813600,1.872e-05,0.9568,4220000,-1.017,0.1928
23.11,1.533e-05,1.091,136.8,-1.093,0.1689
15.18,1.603e-05,1.223,89.65,-4.01,0.1693
