Kmax,Ku,n,halfmax,Vhalf,slope
815300,0.0002277,0.587,3856000,-31.66,0.2114
386400,0.0002235,0.5926,1779000,-63.5,0.2172
5123000,0.0002694,0.6317,33090000,-6.183,0.1548
7491000,0.00024,0.6572,52150000,-11.72,0.1436
44570,0.0002494,0.6334,221700,-69.86,0.201
1264000,0.000229,0.6267,7081000,-31.58,0.1785
181900,0.000229,0.5969,863000,-58.17,0.2108
6811000,0.0002207,0.6467,43530000,-52.76,0.1565
1086000,0.0003407,0.6456,6248000,-63.17,0.1738
183400,0.0002306,0.6749,1276000,-33.31,0.1437
939600,0.0002193,0.5639,4031000,-62.11,0.2331
1411000,0.0003172,0.6406,8256000,-63.38,0.1709
610600,0.0002262,0.5952,3178000,-23.03,0.1921
6205000,0.0002356,0.7024,41700000,-68.19,0.1488
970900,0.0002276,0.6079,5421000,-14.06,0.1791
722300,0.0002657,0.6065,3497000,-65.7,0.2065
373500,0.0002292,0.6224,2121000,-23.42,0.1761
2622000,0.0002533,0.6716,16220000,-71.69,0.1617
249500,0.0002244,0.6329,1401000,-62.53,0.1781
856700,0.0002822,0.5534,3270000,-67.26,0.262
2170000,0.0002166,0.667,15010000,-57.56,0.1446
4899000,0.0003022,0.62,24710000,-64.14,0.1983
802600,0.000281,0.6672,5529000,-47.85,0.1452
4450000,0.0003024,0.6329,24900000,-66.95,0.1787
215700,0.0003474,0.654,1419000,-11.88,0.152
874300,0.0003642,0.6281,4774000,-58.31,0.1831
1092000,0.000288,0.6325,5828000,-62.44,0.1874
257700,0.0002195,0.5965,1264000,-61.32,0.2039
8247000,0.0003051,0.6003,39560000,-66.55,0.2085
1858000,0.0003581,0.5994,9200000,-60.27,0.202
1555000,0.0002861,0.6566,10040000,-61.68,0.1549
368900,0.0002411,0.6078,2064000,-12.62,0.1787
1283000,0.0003772,0.5718,5491000,-53.25,0.2337
319100,0.0002877,0.6589,1869000,-62.7,0.1707
6882000,0.0002772,0.6339,38240000,-60.6,0.18
2571000,0.0002446,0.6956,17130000,-67.85,0.1501
683700,0.0002405,0.5967,3309000,-48.95,0.2066
179800,0.0003367,0.5807,799200,-61.99,0.225
384400,0.0002993,0.6525,2273000,-62.28,0.1691
4650000,0.0002602,0.5969,25520000,-7.865,0.1822
1989000,3e-04,0.6531,11450000,-58.04,0.1737
168000,0.0003093,0.6446,953700,-37.71,0.1762
137900,0.0003004,0.5994,623800,-67.47,0.2211
4031000,0.0002656,0.6154,21450000,-64.99,0.1879
7428000,0.0002632,0.6275,49200000,-5.676,0.151
272400,0.0002542,0.5934,1187000,-70.6,0.2295
310500,0.0002561,0.6733,1857000,-76.62,0.1672
1692000,0.0003126,0.6021,8664000,-49.66,0.1953
1991000,0.0002228,0.6031,10450000,-27.19,0.1905
11990000,0.0002646,0.5942,63790000,-7.86,0.188
14430000,0.0002688,0.6466,103800000,-5.666,0.139
9984000,0.0003244,0.6205,50710000,-68.36,0.1969
634400,0.0002492,0.7116,4388000,-74.93,0.1446
3661000,0.0002406,0.6439,23950000,-13,0.1529
1375000,0.000228,0.6469,8944000,-18.8,0.1537
730600,0.0002731,0.5752,3546000,-7.661,0.206
856500,0.000232,0.5545,3674000,-15.81,0.2331
328500,0.0002349,0.5723,1487000,-18.81,0.2209
1305000,0.0002812,0.6039,5830000,-67.64,0.2238
2802000,0.000298,0.6193,14770000,-58.42,0.1897
1102000,0.0002296,0.6455,6872000,-24.41,0.1604
8747000,0.0002694,0.5914,47260000,-6.531,0.1851
29250000,0.000347,0.6021,153200000,-11.69,0.1909
2233000,0.0002729,0.6877,17840000,-6.959,0.1252
648200,0.0002679,0.6087,3213000,-64.28,0.2017
768900,0.0002692,0.5951,3497000,-66.05,0.2199
330400,0.0002866,0.6506,1941000,-68.79,0.1702
1567000,0.0002339,0.5807,7784000,-13.87,0.2013
1510000,0.0002619,0.6486,8308000,-65.04,0.1818
446400,0.0002656,0.7035,3140000,-68.89,0.1422
118100,0.000268,0.6518,640600,-68.98,0.1844
183300,0.0003389,0.6151,949000,-52.03,0.1932
451300,0.0002207,0.6108,2295000,-62.68,0.1966
7302000,0.0002874,0.6711,50090000,-63.86,0.1458
149600,0.000302,0.6058,698400,-68.11,0.2142
1532000,0.0002748,0.5706,7509000,-6.748,0.204
2465000,0.0002715,0.6304,13370000,-63.51,0.1844
441000,0.0002827,0.6635,3268000,-6.123,0.1349
643800,0.0002297,0.6385,4083000,-14.51,0.1577
205300,0.0003053,0.6744,1493000,-14.89,0.1375
1297000,0.0002534,0.6185,6104000,-68.1,0.2125
889500,0.0003309,0.6348,4902000,-54.08,0.1815
338700,0.0003515,0.6148,1662000,-69.23,0.2038
117800,0.0002511,0.6556,647300,-71.06,0.182
285200,0.000312,0.6396,1662000,-63.62,0.1716
