Kmax,Ku,n,halfmax,Vhalf,slope
2017000,0.001038,0.5355,12300000,-77.22,0.164
19.4,0.001074,0.5,72.23,-77.7,0.2686
2090,0.001011,0.5,11570,-77.57,0.1806
584200,0.0009762,0.5287,3466000,-73.03,0.1686
20.34,0.001535,0.5,99.05,-82.11,0.2054
1229000,0.001232,0.514,7879000,-83.59,0.156
5517000,0.0008639,0.5797,42980000,-73.23,0.1284
5.687,0.001775,0.7985,77.1,-81.9,0.07376
6.425,0.00141,0.7591,105,-75.69,0.06119
8.599,0.00133,0.7137,102.2,-72.83,0.08414
8.906,0.001048,0.5929,49.6,-77.08,0.1796
12.28,0.001441,0.5,55.44,-80.29,0.2215
11.35,0.001309,0.6044,73.17,-76.07,0.1551
1401000,0.0008309,0.6801,16960000,-74.46,0.08261
14.27,0.001497,0.5,74.86,-83.7,0.1906
965.8,0.001002,0.5,5411,-76.15,0.1785
6535000,0.0008835,0.6133,63930000,-69.83,0.1022
4.43,0.001325,0.9905,89.21,-79.21,0.04966
24.47,0.001136,0.5319,135.1,-78.23,0.1811
3664000,0.001203,0.5502,24330000,-76.15,0.1506
60.39,0.001019,0.5592,363.6,-77.36,0.1661
3496,0.001637,0.5437,25540,-71.21,0.1369
7.403,0.001225,0.7058,67.09,-78.41,0.1103
781800,0.001048,0.5808,6171000,-76.81,0.1267
23.18,0.001133,0.5,108.5,-80.59,0.2136
5.229,0.001672,0.821,62.92,-76.17,0.08311
18.44,0.001057,0.6838,137,-74.8,0.1346
8.718,0.001184,0.6871,76.26,-76.94,0.1143
249200,0.001499,0.5,1583000,-80.34,0.1574
57.48,0.000822,0.507,265.9,-71.94,0.2162
51.76,0.001331,0.5565,448.6,-72.3,0.1154
5.925,0.001651,0.7481,77.14,-78.37,0.07681
9.968,0.00131,0.5872,43.78,-76.41,0.2277
12.08,0.001352,0.5545,64.83,-83.65,0.1863
5.069,0.0009663,0.7087,36.46,-74.03,0.139
22.24,0.001288,0.5,108,-76.43,0.2059
5.864,0.001528,0.949,141.6,-76.17,0.04141
8.279,0.001207,0.6131,56.65,-78.11,0.1461
5.81,0.001832,0.7274,56.19,-85.91,0.1034
4170000,0.0009701,0.5001,22010000,-74.35,0.1895
371.8,0.001318,0.5,2218,-81.36,0.1676
7.059,0.00143,0.8774,117.2,-79.22,0.06023
6266000,0.0009832,0.5866,46350000,-79.57,0.1352
9.348,0.001654,0.597,65.04,-81.87,0.1437
7.816,0.001279,0.5,37.72,-76.07,0.2072
18.72,0.001158,0.5011,92.97,-77.69,0.2014
21.06,0.001271,0.5203,114.2,-76.11,0.1844
49.94,0.001188,0.5451,398.2,-71.95,0.1254
37.91,0.000907,0.6098,277.1,-76.91,0.1368
8.157,0.0009169,0.6116,54.42,-72.73,0.1499
11.89,0.001136,0.5568,76.22,-78.32,0.156
3.744,0.001221,1.068,81.37,-75.54,0.04601
20620000,0.001099,0.502,113600000,-79.13,0.1815
5.326,0.002099,0.688,44.15,-81.9,0.1206
6.426,0.002018,0.7388,52.83,-88.91,0.1216
4571000,0.001211,0.6119,43040000,-79.79,0.1062
11.57,0.001004,0.618,83.62,-80.86,0.1384
3.957,0.001462,0.9134,54.05,-79.82,0.07321
20.29,0.001267,0.5888,159.4,-79.49,0.1273
14.35,0.001335,0.5,62.58,-78.77,0.2293
984100,0.001139,0.5126,5370000,-79.04,0.1833
4.1,0.001085,1.102,82.99,-77.52,0.0494
17.68,0.001051,0.6942,177.4,-79.58,0.09966
163.9,0.00117,0.5538,1165,-76.84,0.1407
7798000,0.001179,0.5496,48680000,-76.03,0.1602
191700,0.0007937,0.5,1072000,-62.56,0.1788
16.21,0.001274,0.5676,109.9,-74.89,0.1475
2379000,0.001142,0.5086,13940000,-75.21,0.1707
15.04,0.001155,0.5366,73.94,-74.98,0.2034
8.845,0.001382,0.6098,64.48,-78.69,0.1372
2186000,0.000907,0.5341,13280000,-80.16,0.1646
5.464,0.001083,0.7697,40.91,-76.76,0.1336
12.87,0.0009519,0.5,48.77,-74.38,0.2639
13.89,0.0008378,0.6376,98.71,-72.2,0.1407
5.405,0.001795,0.9521,124.4,-83.63,0.04345
209,0.001071,0.5,893.2,-77.99,0.234
17.27,0.001171,0.6063,115.5,-74.89,0.1495
6987000,0.0008738,0.5245,41220000,-75.44,0.1695
4.578,0.001207,0.8127,40.13,-73.33,0.1141
15.65,0.001581,0.6186,117.3,-83.75,0.1334
10.75,0.001382,0.7183,103.1,-80.74,0.1043
7.343,0.001059,0.5869,40.84,-78.02,0.1798
44.49,0.001207,0.5,252.6,-75.09,0.1761
17.87,0.0009418,0.5,71.03,-74.15,0.2516
5.924,0.001162,0.7834,58.7,-75.2,0.1009
8.15,0.001281,0.5,39.5,-73.56,0.2063
105.4,0.001082,0.5,606.5,-74.56,0.1738
61810,0.0009062,0.512,337200,-77.42,0.1833
10.09,0.001202,0.5,37.01,-76.91,0.2726
10.06,0.0009821,0.6229,68.1,-78.53,0.1477
4.287,0.00145,0.6664,21.33,-79.63,0.201
6.655,0.001363,0.5255,33.99,-78.11,0.1958
29650,0.0009452,0.5,137800,-72.12,0.2152
8.451,0.001556,0.5,34.14,-83.31,0.2475
93.15,0.001348,0.5,542.6,-78.47,0.1717
8.494,0.001234,0.7376,96.09,-80.06,0.0884
17.91,0.001589,0.5193,93.79,-80.77,0.191
7.805,0.001327,0.7361,76.93,-79.25,0.1015
5.501,0.001155,0.8966,67.2,-76.64,0.08186
8.807,0.001681,0.5888,57.72,-83.96,0.1526
