Kmax,Ku,n,halfmax,Vhalf,slope
10.2,6.602e-05,1.03,27.75,-10.76,0.3676
16.05,6.171e-05,0.8463,37.47,-7.01,0.4283
12.42,5.835e-05,0.911,30.45,-9.423,0.4079
12.21,6.254e-05,0.8657,29.09,-8.834,0.4197
26.91,5.597e-05,0.8456,69.92,-5.532,0.3849
10.01,6.767e-05,1.137,37.56,-7.178,0.2665
16.3,6.327e-05,0.7989,32.99,-12.51,0.4941
11.8,5.947e-05,0.9484,26.78,-51.69,0.4406
197.7,6.119e-05,0.6767,368.7,-6.315,0.5362
88.85,5.513e-05,0.8912,235.3,-9.654,0.3776
19.24,6.452e-05,0.8535,45.65,-4.759,0.4215
15.96,5.808e-05,0.9486,46.64,-5.19,0.3422
13.66,5.632e-05,0.9895,37.72,-14.23,0.3621
17.03,6.746e-05,0.8551,39.48,-5.933,0.4314
23.98,5.885e-05,0.741,45.61,-11.72,0.5258
8.838,6.596e-05,1.11,27.3,-11.36,0.3237
12.22,5.974e-05,0.9574,29.78,-16.65,0.4103
16.32,5.687e-05,0.8777,37.23,-17.7,0.4384
65000,6.658e-05,0.6506,121200,-3.477,0.5363
23.1,5.565e-05,0.9611,73.69,-6.201,0.3135
23.24,5.46e-05,0.9062,56.2,-7.359,0.4135
11.97,6.063e-05,0.9777,32.97,-10.51,0.3631
17.88,6.19e-05,0.8234,38.06,-12.36,0.4698
9.38,7.298e-05,1.053,28.78,-10.36,0.3259
25.14,6.249e-05,0.6727,42.96,-17.38,0.5852
952400,5.4e-05,0.688,1896000,-8.121,0.5023
14.36,5.679e-05,1.044,46.92,-6.718,0.3061
8.517,7.052e-05,0.947,19.98,-10.66,0.4263
10.94,6.179e-05,0.9854,27.19,-17.76,0.4024
10.93,6.36e-05,1.204,43.9,-9.602,0.249
31.32,6.72e-05,0.7297,62,-8.373,0.5052
11.59,5.678e-05,0.9836,30.16,-11.46,0.3843
10.27,6.267e-05,1.065,31.29,-7.944,0.3282
18.58,6.056e-05,0.881,46.73,-5.543,0.3976
14.49,5.895e-05,0.8738,33.39,-8.155,0.434
11.29,6.404e-05,1.154,45.95,-8.394,0.2457
86.02,5.906e-05,0.7571,174.7,-12.65,0.4924
14.49,5.895e-05,0.8738,33.39,-8.155,0.434
8.821,7.351e-05,0.9573,20.55,-8.86,0.4292
8.592,7.532e-05,0.9963,21.8,-10.5,0.3941
17.02,5.641e-05,1.02,60.78,-5.004,0.28
9.405,6.43e-05,1.077,27.78,-8.899,0.3386
12.4,6.26e-05,0.928,33.19,-7.248,0.3736
17.68,6.047e-05,0.8714,45.7,-7.055,0.3869
14.39,5.782e-05,0.9718,36.84,-11.23,0.3906
131.3,6.168e-05,0.6491,230.7,-6.251,0.5691
12.08,5.829e-05,0.9902,31.35,-9.204,0.3853
18.92,6.506e-05,0.8774,42.15,-8.886,0.4489
18.21,6.242e-05,0.9659,50.26,-14,0.3623
28.31,5.498e-05,0.7772,58.26,-7.513,0.4859
72.41,5.56e-05,0.7862,170.3,-4.138,0.4252
16.57,5.66e-05,0.8535,39.23,-11.15,0.4224
10.58,6.54e-05,0.9412,25.85,-13.85,0.4093
14.96,5.567e-05,0.9221,39.2,-6.915,0.3816
28.25,6.068e-05,0.7415,54.21,-10.17,0.5211
15.48,6.391e-05,0.7816,31.74,-10.89,0.4877
10.36,6.561e-05,0.941,25.3,-13.1,0.4095
9.746,6.185e-05,1.185,38.56,-12.94,0.2527
24.06,6.203e-05,0.8806,61.94,-7.178,0.3884
10.76,5.788e-05,1.05,30.29,-10.43,0.3552
25.57,5.461e-05,0.7957,55.1,-7.473,0.4641
27.85,5.628e-05,0.8452,65.09,-9.729,0.4279
14.19,6.082e-05,1.086,49.46,-9.071,0.2869
44.07,5.159e-05,0.878,128.8,-5.787,0.3422
9.724,6.123e-05,1.067,27.54,-19.92,0.3531
12.45,5.818e-05,1.096,41.52,-17.69,0.2999
44.84,6.027e-05,0.6519,73.96,-11.81,0.6063
17.19,5.694e-05,0.9693,55.03,-6.417,0.3124
9.334,6.366e-05,1.176,31.66,-14.15,0.2948
