Kmax,Ku,n,halfmax,Vhalf,slope
338600,0.1294,0.7615,185200000,-1,0.001828
500800,0.04555,0.7896,338300000,-1,0.00148
127900,0.04352,0.8224,1.12e+08,-1,0.001142
55470,0.01057,0.838,58520000,-1,0.0009479
177400,0.003913,0.8845,318100000,-1,0.0005577
209100,0.5233,0.859,261200000,-1.001,0.0008005
165500,0.7719,0.8959,268900000,-1.615,0.0006155
224900,0.01776,0.7899,156500000,-1,0.001437
200100,0.01397,0.7657,107400000,-1,0.001863
78750,0.5247,0.8861,127500000,-2.345,0.0006176
100300,0.005828,0.8047,83620000,-1,0.001199
103100,0.04696,0.8884,184700000,-1,0.0005582
466000,0.01416,0.7454,206200000,-1,0.00226
47000,0.04293,0.8343,45340000,-1,0.001037
521700,0.002672,0.7829,370700000,-1,0.001407
1e+05,0.0001973,0.7016,35900000,-1,0.002786
213400,0.007223,0.7833,146700000,-1.001,0.001455
157900,0.01067,0.7813,1.01e+08,-1,0.001563
132800,0.6976,1,464600000,-8.748,0.0002858
109600,0.7267,0.8446,96840000,-7.472,0.001132
58980,0.01059,0.8482,69340000,-1,0.0008506
205800,0.04502,0.828,198300000,-1,0.001038
59170,0.007329,0.8963,103500000,-1,0.0005717
65870,0.03617,0.8593,78290000,-1,0.0008414
380400,0.01014,0.859,504400000,-1,0.0007542
104600,0.01334,0.778,69390000,-1,0.001507
544400,0.01098,0.7498,268800000,-1,0.002025
473000,0.004319,0.7397,228500000,-1,0.00207
150000,0.002692,0.8044,127900000,-1,0.001173
74280,0.01611,0.9102,155700000,-1,0.0004771
87280,0.5231,1.041,569400000,-3.832,0.0001533
73020,0.01884,0.9241,165200000,-1,0.000442
144800,0.01049,0.8084,117100000,-1,0.001237
59910,0.004553,0.8268,63030000,-1,0.0009505
119600,0.03313,0.9715,429300000,-1,0.0002786
43040,0.0126,0.8668,57870000,-1,0.0007437
54230,0.05073,1.03,301300000,-1.003,0.00018
121400,0.01077,0.7263,48220000,-1,0.002518
172000,0.5162,0.8901,280400000,-1.735,0.0006134
65670,0.007298,0.8015,56140000,-1,0.00117
98220,0.05556,0.8984,163100000,-1,0.0006022
56440,0.004417,0.8719,85010000,-1.001,0.0006639
273600,0.007098,0.9626,952700000,-1,0.0002872
58460,0.01603,0.8881,99640000,-1,0.0005867
160200,0.6253,0.8958,237500000,-6.622,0.0006745
98210,0.05581,1.007,477200000,-1,0.0002058
534200,0.1891,0.8993,938500000,-1,0.0005692
566600,0.04543,0.7228,206700000,-1,0.002741
889400,0.003898,0.7759,556500000,-1,0.001598
36270,0.01605,0.9073,72380000,-1,0.0005011
84970,0.1882,0.8689,109200000,-1.012,0.0007781
51190,0.01626,0.8393,54230000,-1,0.0009439
72990,0.0114,0.7961,53590000,-1,0.001362
1176000,0.0106,0.8011,909400000,-1,0.001293
161900,0.01185,0.9018,325300000,-1,0.0004977
101300,0.01601,0.8808,157600000,-1,0.0006428
190500,0.03309,0.8048,147900000,-1,0.001288
31030,0.003428,0.8829,49410000,-1,0.000628
83720,0.9966,1.014,349100000,-5.78,0.0002398
663600,0.6215,0.8029,471700000,-2.628,0.001407
72700,0.01442,0.823,72140000,-1,0.001008
373100,0.01353,0.7856,262700000,-1,0.00142
209900,0.006002,0.7947,1.77e+08,-1,0.001186
140700,0.01267,0.8063,114900000,-1,0.001225
39960,0.006837,0.7994,29630000,-1,0.001349
165200,0.01022,0.9997,775800000,-1,0.0002129
95420,0.01327,0.7965,69470000,-1,0.001374
278400,0.0123,0.8754,390800000,-1,0.0007124
155600,0.03247,0.8783,240600000,-1,0.0006467
47030,0.01227,0.9454,131200000,-1,0.0003585
265600,0.03823,0.8386,266600000,-1,0.0009962
471700,0.01783,0.7568,235600000,-1,0.002002
655800,0.01087,0.7728,392200000,-1,0.001672
234800,0.5315,0.816,2.07e+08,-3.195,0.001134
136100,0.03471,1.024,692500000,-1,0.0001965
