Kmax,Ku,n,halfmax,Vhalf,slope
450100,0.8523,0.6083,122500000,-140.2,0.003674
38.19,0.6452,0.7395,42090,-84.43,0.0009073
48260,0.6873,0.8354,156200000,-81.14,0.000309
94090,0.8441,0.5982,26250000,-142.8,0.003584
44400,0.5108,0.685,29960000,-75.2,0.001482
91140,0.692,0.6554,40740000,-137.6,0.002237
41.57,0.4362,0.8148,95670,-81.75,0.0004345
49130,0.7187,0.5793,10770000,-85.81,0.004562
56030,0.7656,0.6796,30460000,-88.89,0.001839
71920,0.7025,0.7417,87540000,-179.5,0.0008216
63600,0.5634,0.7358,65240000,-78.96,0.0009749
156800,0.6034,0.8885,859200000,-81.97,0.0001825
185300,0.9999,0.871,701600000,-85.71,0.0002641
80260,0.9999,0.874,298200000,-81.29,0.0002691
528600,0.9945,0.5824,112200000,-90.82,0.004711
75510,0.9833,0.7601,92820000,-91.76,0.0008135
329300,0.655,0.5972,85320000,-84.95,0.00386
82780,0.9546,0.7506,98910000,-140.4,0.0008369
58880,0.8928,0.7224,57730000,-84.31,0.00102
44040,0.7336,0.5839,10600000,-90.91,0.004155
107000,0.986,0.7862,172200000,-142.9,0.0006214
201000,0.6858,0.8171,537100000,-79.93,0.0003742
43710,0.5821,0.7162,41060000,-89.12,0.001065
116300,0.7573,0.6015,36990000,-172.8,0.003144
167000,0.6464,0.6814,109500000,-89.88,0.001525
17000,0.7452,0.6717,9384000,-66.35,0.001812
387100,0.9248,0.662,173500000,-73.49,0.002231
23.81,0.6169,0.6997,17350,-139,0.001372
26760,0.7214,0.6453,12130000,-91.57,0.002206
31430,0.481,0.7369,35250000,-75.66,0.0008916
119100,0.7107,0.6428,47030000,-66.84,0.002532
319700,0.9994,0.8214,689200000,-83.52,0.0004639
19590,0.5456,0.7204,17090000,-83.36,0.001146
53300,0.671,0.5673,9362000,-63.95,0.005693
146900,0.7459,0.573,32520000,-157.2,0.004517
8762,0.4863,0.7999,19280000,-100.6,0.0004545
71830,0.7078,0.6995,58840000,-110.2,0.001221
62020,0.7378,0.6139,19920000,-85.53,0.003113
15.69,0.8136,0.7503,19320,-157.8,0.0008121
49860,0.9563,0.7132,37920000,-74.92,0.001315
560700,0.7213,0.5589,98600000,-83.61,0.005687
28060,0.935,0.9224,210500000,-150.7,0.0001333
97390,0.9842,0.8988,582600000,-162.7,0.0001672
118200,0.761,0.669,56570000,-90.32,0.002089
499400,0.9366,0.5358,69720000,-157,0.007163
