Kmax,Ku,n,halfmax,Vhalf,slope
1461,0.5644,0.5371,2454000,-69.76,0.0005954
8927,0.9938,0.8443,5.13e+08,-158.6,1.74e-05
106.8,0.9999,0.6834,841400,-81.67,0.0001269
1.761,0.9807,1.014,599300,-72.52,2.938e-06
48.84,0.8573,0.5238,72890,-69,0.0006701
0.9095,0.6822,1.746,998700000,-74.04,9.107e-10
0.859,0.7244,1.756,997100000,-67.65,8.615e-10
1.512,0.9989,1.658,687100000,-154.3,2.201e-09
0.8187,0.6447,1.747,986500000,-68.28,8.299e-10
1078,0.9994,1.077,983500000,-172.1,1.096e-06
1.262,0.9942,1.731,1e+09,-94.05,1.262e-09
9962,0.9784,0.7348,165200000,-81.71,6.03e-05
9180,0.9983,0.8906,9.15e+08,-180.4,1.003e-05
13330,0.9874,0.7313,238300000,-72.37,5.594e-05
29660,0.9357,0.5602,66150000,-18.19,0.0004484
1.445,0.9996,1.087,1009000,-74.45,1.432e-06
0.5883,0.8997,1.81,997100000,-40.36,5.9e-10
6.569,0.9992,0.6366,27540,-72.03,0.0002385
1.362,0.9715,1.703,998200000,-69.18,1.364e-09
338.3,0.9999,1.163,999700000,-176.9,3.384e-07
3488,0.9963,0.9807,988500000,-168,3.529e-06
0.6841,0.6791,1.8,997100000,-65.39,6.861e-10
3.004,0.9793,0.8632,163700,-93.78,1.835e-05
27340,0.8549,0.6962,311600000,-73.52,8.774e-05
3.008,0.9998,1.264,17690000,-185.7,1.7e-07
12160,0.9999,0.8028,403900000,-165.3,3.011e-05
12.71,0.9844,0.7706,283200,-81.75,4.488e-05
10030,0.9319,0.8699,795100000,-145.1,1.261e-05
445.3,1,1.132,995100000,-170.3,4.475e-07
0.9186,0.9914,1.573,170800000,-72.92,5.378e-09
0.7299,0.8475,1.759,999400000,-56.09,7.303e-10
117.7,0.9961,1.225,998200000,-159.5,1.179e-07
206.5,0.9971,1.206,999200000,-82.1,2.067e-07
16970,0.9245,0.8282,957200000,-80.75,1.773e-05
1.29,0.8597,0.8026,44560,-69.46,2.895e-05
0.7172,0.7551,1.794,996200000,-72.28,7.199e-10
0.8315,0.8979,1.757,999500000,-63.54,8.319e-10
20020,0.946,0.7847,818500000,-71.58,2.446e-05
3935,0.8997,0.9332,9.82e+08,-73.14,4.007e-06
4215,1,0.9473,826500000,-84.21,5.1e-06
2135,0.9627,0.7674,43960000,-151.2,4.857e-05
1.349,0.9804,1.721,999800000,-80.31,1.349e-09
13950,0.95,0.7282,171100000,-164.1,8.153e-05
4783,0.9534,0.865,492300000,-66.74,9.716e-06
140.6,0.8652,0.5407,248500,-79.3,0.0005658
5197,0.9988,0.9402,931700000,-173.8,5.578e-06
15250,0.9999,0.8484,832300000,-150.5,1.832e-05
3250,1,0.9727,9.62e+08,-142.2,3.378e-06
1.191,0.972,1.72,1e+09,-74.61,1.191e-09
1.848,0.9526,1.678,999900000,-172.3,1.848e-09
0.8187,0.6447,1.747,986500000,-68.28,8.299e-10
1.511,0.9999,1.682,1e+09,-86.74,1.511e-09
2270,0.9988,1.017,867100000,-98.54,2.618e-06
923.8,0.9983,1.088,955900000,-150.1,9.664e-07
1992,0.9999,1.028,8.86e+08,-154.3,2.248e-06
424,0.9999,1.135,989900000,-166.7,4.283e-07
3548,0.9812,0.9632,996800000,-173.4,3.559e-06
1.921,0.991,1.645,999800000,-168.9,1.921e-09
8269,0.9921,0.8132,343600000,-157.6,2.407e-05
6676,0.984,0.9002,839700000,-160.8,7.95e-06
1.148,0.9893,1.72,998200000,-90.26,1.15e-09
0.7017,0.6683,1.778,996400000,-76.48,7.042e-10
74.3,0.9836,1.287,999900000,-169.2,7.431e-08
