Kmax,Ku,n,halfmax,Vhalf,slope
1.571,0.9274,1.925,330300000,-69.48,4.756e-09
2.481,0.8186,0.9569,49730,-149.3,4.989e-05
1.677,0.9739,1.859,261100000,-68.18,6.423e-09
1.652,0.9904,1.936,607900000,-66.34,2.718e-09
1.329,0.8261,2,826100000,-12.21,1.609e-09
3.775,0.9489,1.039,244200,-71.54,1.546e-05
1.211,0.7359,1.857,158700000,-4.709,7.631e-09
1.999,0.9392,1.255,817600,-61.71,2.445e-06
5.33,0.9984,1.042,393200,-74.71,1.356e-05
2.173,0.9636,1.386,5385000,-3.156,4.035e-07
1.428,0.9999,1.956,628400000,-2.607,2.272e-09
2.821,0.9993,1.34,4088000,-10.88,6.901e-07
1.729,0.9066,1.612,28600000,-59.22,6.045e-08
1.592,0.9279,2,859700000,-65.32,1.852e-09
1.76,0.9998,1.657,49330000,-4.472,3.568e-08
1.743,0.9913,1.892,489900000,-69.12,3.558e-09
1.776,0.9916,1.843,230200000,-74.93,7.715e-09
23.67,0.9962,1.07,3116000,-74.12,7.596e-06
1.577,0.8152,1.459,8487000,-3.789,1.858e-07
4.523,0.9724,1.053,385200,-9.494,1.174e-05
1.52,0.9962,2,828300000,-65.04,1.835e-09
1.823,0.9702,1.743,127800000,-9.124,1.426e-08
2.465,0.9859,1.386,4724000,-13.36,5.218e-07
2.42,0.9707,1.243,882000,-72.78,2.744e-06
1.772,1,1.309,1315000,-1.554,1.348e-06
3.703,1,0.9542,91350,-6.943,4.054e-05
5.247,0.9967,0.9345,115600,-90.23,4.539e-05
12.56,0.9939,1.009,824700,-6.753,1.523e-05
1.969,0.9999,1.386,2608000,-88.02,7.55e-07
1.826,0.9924,1.689,68730000,-7.248,2.657e-08
1.664,0.9937,1.87,3.89e+08,-5.159,4.278e-09
1.61,0.9832,1.992,999900000,-63.34,1.61e-09
1.585,0.9392,1.938,450800000,-64.78,3.516e-09
462.8,0.9797,0.8052,3561000,-4.956,0.00013
1.686,0.9205,1.852,2.08e+08,-67.64,8.106e-09
1.52,0.9568,1.981,7.42e+08,-61.16,2.049e-09
1.682,0.9659,1.844,217400000,-68.68,7.737e-09
1.599,0.904,1.93,5.65e+08,-59.46,2.83e-09
1.036,0.1796,2,501500000,-1,2.066e-09
1.505,0.808,2,933100000,-164.9,1.613e-09
1.515,0.9303,1.812,112900000,-57.4,1.342e-08
2.275,0.99,1.383,4427000,-6.647,5.139e-07
1.7,0.9607,1.684,39790000,-68.07,4.272e-08
1.61,0.9998,2,645700000,-160.4,2.493e-09
1.632,1,1.95,789400000,-5.576,2.067e-09
1.548,0.7152,1.454,5421000,-10.37,2.856e-07
1.286,0.7535,1.604,14070000,-5.722,9.14e-08
1.615,0.9996,1.442,5162000,-13.62,3.129e-07
1.451,0.775,1.689,43610000,-20.17,3.327e-08
1.718,1,1.719,63470000,-8.045,2.707e-08
1.41,0.8595,1.528,9911000,-6.73,1.423e-07
3.278,0.9951,1.036,184800,-71.35,1.774e-05
1.053,0.7582,2,827400000,-2.723,1.273e-09
1.639,0.9243,1.974,619900000,-67.56,2.644e-09
6.25,0.9663,0.9107,114400,-11.24,5.463e-05
1.575,0.9227,2,812500000,-64.29,1.938e-09
3.225,0.9907,1.057,231800,-5.951,1.391e-05
1.746,1,1.724,75890000,-7.912,2.301e-08
