Kmax,Ku,n,halfmax,Vhalf,slope
116600,0.01912,0.9035,39860000,-79.58,0.002925
128000,0.01888,0.9004,4.3e+07,-81.97,0.002977
3306000,0.0241,0.8785,9.16e+08,-83.47,0.003609
54880,0.02317,0.9146,19770000,-85.55,0.002776
58.47,0.02152,0.935,22570,-83.33,0.002591
117200,0.02427,0.8562,28660000,-81.44,0.004089
559700,0.02088,0.8347,1.06e+08,-85.53,0.00528
46940,0.02632,0.8607,11540000,-81.42,0.004068
2275000,0.0221,0.8827,668900000,-80.72,0.003401
45030,0.02179,0.9477,20860000,-83.94,0.002159
124400,0.02121,0.8446,26460000,-77.82,0.004701
52.55,0.02177,0.9908,31540,-81.85,0.001666
114100,0.02389,0.8643,28380000,-81.15,0.00402
47.86,0.02056,0.935,18240,-85.15,0.002624
607300,0.02603,0.881,176100000,-80.41,0.003449
41820,0.03488,0.8867,11950000,-83.7,0.0035
145200,0.02104,0.9067,50770000,-85.54,0.00286
3467,0.02046,0.8881,1014000,-82.78,0.003419
929100,0.02166,0.8542,214400000,-81.63,0.004333
377300,0.01761,0.8839,101900000,-85.01,0.003703
122500,0.0174,0.8911,35940000,-79.21,0.003408
72850,0.0261,0.8849,21590000,-80.73,0.003374
73100,0.0207,0.902,23710000,-82.38,0.003083
227400,0.02514,0.8853,71500000,-76.34,0.00318
118500,0.02129,0.8809,33300000,-81.09,0.003559
521500,0.02872,0.8467,120600000,-79.3,0.004324
1083000,0.02344,0.8859,310600000,-86.6,0.003487
293500,0.02184,0.922,119300000,-78.57,0.00246
637800,0.01766,0.9091,218600000,-81.2,0.002918
50990,0.02392,0.9096,18290000,-81.51,0.002788
126500,0.02876,0.875,34720000,-82.38,0.003643
54.13,0.02275,0.9713,27320,-84.68,0.001981
974300,0.02066,0.8821,262900000,-83.77,0.003706
154700,0.0302,0.9276,60300000,-81.43,0.002566
5366,0.02082,0.9285,2139000,-83.27,0.002509
61220,0.03016,0.8664,15250000,-83.81,0.004014
116500,0.02151,0.8562,27150000,-80.2,0.004291
39980,0.02103,0.9183,14920000,-83.13,0.00268
90510,0.6084,0.8695,23900000,-81.16,0.003787
19800,0.02123,0.9654,10940000,-82.6,0.00181
1481000,0.02225,0.8927,4.59e+08,-81.64,0.003227
332000,0.02487,0.9396,1.55e+08,-82.07,0.002142
121200,0.02393,0.8407,25080000,-81.66,0.004833
53390,0.02046,0.9321,21200000,-91.82,0.002518
374900,0.02238,0.9263,153100000,-81.12,0.002449
248100,0.02412,0.8835,73010000,-82.49,0.003398
2438000,0.02492,0.8723,6.05e+08,-88.81,0.00403
265500,0.02604,0.8887,81850000,-81.99,0.003244
57930,0.02438,0.9293,22790000,-84.46,0.002542
48120,0.03678,0.8538,10880000,-81.27,0.004423
