Kmax,Ku,n,halfmax,Vhalf,slope
16.03,3.66e-05,0.5493,6.777,-88.22,2.365
8.086,4.191e-05,0.6287,2.488,-63.03,3.25
16.69,4.439e-05,0.5548,8.048,-78.21,2.074
22.3,4.012e-05,0.5603,10.75,-80.38,2.074
9.501,3.913e-05,0.5928,3.136,-65.32,3.03
9.446,4.498e-05,0.6793,4.149,-77.39,2.277
22.17,4.826e-05,0.5377,12.32,-73.17,1.8
12.46,3.974e-05,0.6981,5.98,-148.6,2.084
8.41,3.93e-05,0.667,2.642,-64.95,3.183
14.01,4.965e-05,0.5532,6.465,-65.37,2.167
12.03,4.154e-05,0.5562,4.746,-72.7,2.535
21.27,4.081e-05,0.5759,10.9,-97.79,1.951
11.31,4.304e-05,0.578,4.142,-58.27,2.731
23.98,3.977e-05,0.5454,11.44,-83.37,2.096
9.127,3.487e-05,0.65,2.744,-85.01,3.326
9.508,4.145e-05,0.5907,3.528,-74.58,2.695
10.53,3.505e-05,0.7049,3.947,-126.9,2.668
11.17,4.372e-05,0.5743,4.18,-40.36,2.672
7.756,4.288e-05,0.6052,2.463,-61.62,3.149
8.125,3.995e-05,0.6515,2.741,-76.22,2.964
12.34,3.986e-05,0.5458,4.828,-74.79,2.556
24.08,4.117e-05,0.5004,10.45,-40.76,2.304
15.23,4.033e-05,0.5426,6.435,-70.86,2.367
18.57,3.923e-05,0.5635,8.28,-71.87,2.243
10.13,4.53e-05,0.5965,3.971,-72.34,2.551
9.85,3.863e-05,0.597,3.212,-64.42,3.067
7.999,4.148e-05,0.6209,2.434,-66.49,3.286
20.43,3.59e-05,0.516,8.159,-77.68,2.504
9.891,4.752e-05,0.6082,3.988,-66.87,2.48
12.07,3.937e-05,0.6892,5.97,-141.5,2.022
12.94,4.045e-05,0.5504,5.304,-82.64,2.44
107.9,3.866e-05,0.5475,61.32,-144.1,1.76
12.86,3.832e-05,0.5388,4.852,-75.21,2.65
18.16,4.312e-05,0.5303,8.706,-78.48,2.086
22.36,5.134e-05,0.5063,12.22,-70.9,1.83
8.118,3.789e-05,0.6449,2.367,-69.49,3.43
79.72,4.541e-05,0.5052,47.41,-83.9,1.682
22.87,4.748e-05,0.5034,11.26,-64.98,2.031
12.28,3.452e-05,0.629,4.645,-141.1,2.644
13.24,4.421e-05,0.5354,5.242,-37.47,2.526
23.31,4.172e-05,0.5537,11.19,-81.47,2.083
10.74,4.255e-05,0.5793,4.567,-80.93,2.352
9.44,4.748e-05,0.5912,3.529,-35.57,2.675
13.01,3.703e-05,0.7222,6.416,-153,2.028
8.66,3.659e-05,0.6837,2.724,-80.47,3.179
20.49,4.021e-05,0.5326,9.282,-71.69,2.207
14.02,4.76e-05,0.537,6.07,-17.84,2.31
9.78,4.367e-05,0.5976,3.555,-34.9,2.751
18.05,4.626e-05,0.515,8.785,-66.92,2.055
22.82,4e-05,0.595,12.12,-96.49,1.883
11.54,4.001e-05,0.6565,5.592,-124.5,2.064
45.98,4.173e-05,0.5113,23.66,-67.58,1.943
10.68,4.116e-05,0.56,3.7,-63.98,2.886
12.88,4.117e-05,0.5794,5.191,-73.25,2.481
11.4,4.412e-05,0.5563,4.303,-44.64,2.649
15.28,4.008e-05,0.5389,6.498,-70.12,2.351
19.76,4.125e-05,0.5117,8.534,-72.3,2.315
6.939,4.56e-05,0.6907,2.123,-58.31,3.268
15.35,3.817e-05,0.5562,6.203,-76.83,2.475
8.932,4.215e-05,0.6509,3.015,-59.89,2.963
8.005,4.036e-05,0.7174,2.696,-74.36,2.969
22.07,4.446e-05,0.5161,9.865,-31.48,2.237
23.82,4.082e-05,0.5422,11.7,-79.87,2.036
10.41,3.666e-05,0.6261,3.818,-141.7,2.727
84.4,4.462e-05,0.5,48.44,-72.9,1.742
8.021,3.803e-05,0.7222,2.18,-19.17,3.679
9.599,4.295e-05,0.6692,4.116,-80.24,2.332
11.57,4.104e-05,0.5732,4.605,-73.67,2.512
10.79,4.348e-05,0.6241,4.243,-37.27,2.543
6.943,4.338e-05,0.715,2.078,-63,3.341
16.46,4.909e-05,0.5196,7.642,-13.47,2.154
27.88,4.388e-05,0.5733,15.35,-74.93,1.816
9.253,3.956e-05,0.6155,3.169,-74.73,2.92
54.26,4.218e-05,0.5,27.89,-79.42,1.946
5.869,4.93e-05,0.7239,1.411,-11.53,4.159
11.96,4.745e-05,0.5371,5.035,-70.17,2.375
21.38,4.666e-05,0.5182,11.06,-75.33,1.933
8.042,3.975e-05,0.6583,2.383,-67.12,3.375
45.58,3.756e-05,0.5447,24.17,-145.4,1.886
15.72,4.151e-05,0.5388,6.573,-71.15,2.392
77.05,4.561e-05,0.5,42.74,-75.05,1.803
13.77,3.496e-05,0.5967,5.427,-119.2,2.537
