Kmax,Ku,n,halfmax,Vhalf,slope
53.62,0.009998,0.8472,9987,-71.68,0.005369
105.1,0.005987,0.9269,33490,-66.86,0.003138
142100,0.008393,0.8626,26280000,-69.49,0.005407
753.9,0.006856,0.8938,201200,-70.39,0.003747
270200,0.007216,0.8369,48650000,-65.87,0.005554
186300,0.005064,0.9086,51260000,-68.74,0.003634
32.58,0.01572,0.9133,11240,-8.386,0.002899
1342000,0.006097,0.8949,355100000,-64.43,0.003779
92.29,0.008086,0.8351,14600,-66.11,0.006321
31760,0.004079,0.8763,7354000,-63.66,0.004319
1157000,0.01835,0.7448,145800000,-5.378,0.007936
714700,0.01547,0.8372,164200000,-6.614,0.004353
1066000,0.006477,0.9111,300400000,-68.31,0.003549
52.14,0.006013,0.9332,15680,-67.16,0.003325
173200,0.007797,0.8158,27610000,-67.12,0.006273
709.6,0.0103,0.7966,100700,-61.87,0.007047
23760,0.005684,0.8898,6268000,-60.65,0.003791
55.04,0.009468,0.8279,8509,-72.04,0.006468
390.2,0.005488,0.8574,82010,-63.4,0.004758
77.22,0.008412,0.8286,12920,-62.75,0.005977
117.5,0.003163,0.8907,27430,-55,0.004284
99,0.00865,0.865,22250,-67.23,0.004449
40.51,0.009737,0.9546,13700,-69.93,0.002957
19.47,0.008391,0.9865,7848,-66.4,0.002481
132.5,0.00696,0.8619,27260,-62.38,0.004861
35.31,0.009744,0.9026,9122,-69.99,0.003871
2279000,0.00986,0.8563,431300000,-71.3,0.005284
102.5,0.01328,0.848,21100,-65.79,0.004858
370600,0.01054,0.7971,54930000,-65.67,0.006747
2094000,0.007189,0.8726,488300000,-67.65,0.004288
1967000,0.008772,0.8433,398300000,-61.98,0.004938
87.63,0.004046,0.9583,32560,-65.23,0.002691
92.75,0.00502,0.8899,20190,-67.35,0.004594
79.38,0.01098,0.8584,15880,-66.74,0.004999
1469000,0.01481,0.7655,176300000,-67.14,0.008332
44.1,0.01061,0.8604,9057,-66.03,0.004869
63.07,0.0129,0.912,19880,-8.021,0.003173
447600,0.009388,0.8462,80020000,-70.24,0.005594
4499000,0.009701,0.7515,4.32e+08,-69.81,0.01041
29.11,0.01871,0.8037,4512,-17.04,0.006452
544800,0.007137,0.9358,172300000,-68.95,0.003162
448700,0.007437,0.8012,65240000,-65.3,0.006878
1206000,0.0106,0.86,260300000,-70.09,0.004633
1781000,0.008603,0.8586,363800000,-61.71,0.004896
52.03,0.009784,0.8226,7694,-71.56,0.006762
1431000,0.01095,0.9438,517800000,-68.86,0.002764
18.44,0.009333,0.9981,9156,-62.25,0.002014
52.97,0.005839,0.8965,13030,-66.79,0.004065
156,0.006828,0.8983,42260,-70,0.003691
34.9,0.01311,0.9691,15630,-9.265,0.002233
23.37,0.008613,0.9095,6018,-62.14,0.003883
319900,0.009038,0.8116,47350000,-68.17,0.006756
23.6,0.008707,0.9501,8124,-66.38,0.002905
38.37,0.02116,0.7827,5554,-6.916,0.006909
982000,0.01558,0.7797,136200000,-8.206,0.00721
63.45,0.008888,0.8252,10890,-62.13,0.005826
7395,0.01147,0.8963,2096000,-9.335,0.003528
1060000,0.008928,0.8944,267800000,-70.13,0.003958
149200,0.007199,0.8565,29480000,-67.47,0.005061
25.42,0.00938,0.8892,6050,-62.22,0.004202
533100,0.01759,0.7656,76650000,-7.932,0.006955
30.94,0.006779,0.8864,6724,-62.76,0.004601
30790,0.01449,0.8225,5760000,-5.656,0.005345
468500,0.009982,0.8418,82650000,-68.67,0.005668
843800,0.00912,0.8474,147900000,-69.92,0.005705
445.4,0.008623,0.8295,80210,-61.74,0.005553
75.59,0.005498,0.7921,10720,-53.17,0.007051
64.79,0.008817,0.9049,18130,-68.65,0.003574
29.93,0.009305,0.898,8167,-52.27,0.003665
1077000,0.007463,0.8436,216900000,-65.14,0.004965
42490,0.004619,0.8855,10230000,-68.45,0.004153
239.1,0.006093,0.8847,54940,-66.99,0.004352
64020,0.01085,0.8168,9108000,-70.28,0.007029
66.39,0.01394,0.8025,9955,-63.66,0.006669
3111000,0.007095,0.8413,585100000,-67.2,0.005317
140.2,0.007913,0.8505,28020,-68.47,0.005004
723900,0.007044,0.8471,139500000,-67.02,0.005189
547800,0.007046,0.8563,113900000,-66.76,0.004809
197100,0.007035,0.814,31150000,-58.87,0.006327
181500,0.0101,0.9023,54270000,-61.67,0.003344
60190,0.01898,0.7662,8420000,-3.155,0.007148
494600,0.00703,0.9268,143700000,-70.11,0.003442
1534,0.007514,0.8743,312300,-60.19,0.004912
21.15,0.01256,1.072,15990,-19.85,0.001323
33.03,0.008683,0.8279,5123,-62.26,0.006447
2479000,0.00428,0.9364,822300000,-68.46,0.003015
29.01,0.007311,1.022,15720,-67.73,0.001845
99.95,0.006459,0.836,17750,-62.87,0.005631
847300,0.009696,0.8533,157300000,-70.48,0.005387
499400,0.007892,0.7906,66540000,-65.31,0.007505
41.62,0.01073,0.8885,10850,-9.074,0.003836
455400,0.007009,0.8497,99600000,-58.87,0.004572
2733,0.006971,0.8796,602800,-69.32,0.004534
556.5,0.008994,0.9037,150200,-72.86,0.003705
189.6,0.006045,0.8506,33280,-67.04,0.005697
38.06,0.009478,0.8921,9500,-66.11,0.004006
51.54,0.005807,0.9316,16840,-63.43,0.003061
97.05,0.01053,0.7732,12460,-57.7,0.007789
46.87,0.01453,0.8927,13060,-5.01,0.003589
204800,0.004613,0.9599,76680000,-69.53,0.002671
145500,0.005662,0.8578,29500000,-63.58,0.004932
224800,0.004034,0.8925,55850000,-60.14,0.004025
36.29,0.01316,0.7689,4020,-67.17,0.009027
3002000,0.01314,0.8582,666400000,-64.52,0.004505
263400,0.008083,0.9135,68490000,-72.03,0.003846
81790,0.006093,0.8429,14020000,-68.77,0.005834
1760000,0.00702,0.8549,358700000,-67.1,0.004907
1610000,0.009434,0.8803,381600000,-67.46,0.004219
39.49,0.009436,0.8573,7272,-72.12,0.00543
216.1,0.007636,0.8259,33810,-68.25,0.006392
564400,0.008702,0.8912,147900000,-61.34,0.003816
10.99,0.01724,1.019,4950,-78.21,0.00222
10060,0.006184,0.8779,2313000,-66.79,0.004349
75.8,0.007564,0.8872,17520,-68.32,0.004326
18.19,0.01196,0.9579,6189,-68.99,0.002939
69.98,0.009291,0.7955,9924,-63.68,0.007052
19.38,0.01166,0.989,8692,-69.04,0.00223
13.09,0.01013,1.074,9459,-10.54,0.001384
75480,0.01829,0.7385,8271000,-11.17,0.009126
546.2,0.004749,0.8835,130200,-58.15,0.004195
14.73,0.012,0.9353,4283,-66.47,0.003439
370000,0.005829,0.8701,78360000,-67.01,0.004722
16.95,0.01884,0.9656,7597,-3.98,0.002231
86100,0.006392,0.7705,10410000,-51.85,0.008271
28.39,0.00679,0.9416,9685,-61.56,0.002931
308.3,0.006063,0.9154,93710,-67.67,0.00329
603500,0.008458,0.8961,154900000,-71.01,0.003896
112.4,0.01115,0.8794,28020,-65.92,0.004011
48.57,0.008806,0.8956,12610,-66.78,0.003852
287200,0.00617,0.8769,66340000,-66.95,0.004329
866600,0.01141,0.8483,159400000,-64.34,0.005437
17.54,0.01224,1.035,11290,-7.233,0.001554
147.8,0.007309,0.9686,56040,-72.08,0.002637
18.12,0.01314,0.8839,4088,-13.11,0.004432
80.88,0.01054,0.8122,12180,-66.13,0.00664
23.02,0.009088,0.9268,7106,-62.16,0.00324
615100,0.006774,0.7961,89230000,-62.52,0.006893
57.09,0.01091,0.8522,10820,-69.85,0.005276
18.18,0.006979,1.075,14170,-61.31,0.001283
48.59,0.004237,0.9285,14610,-57.6,0.003326
25.92,0.01718,0.8552,5358,-9.881,0.004838
128.4,0.0103,0.8267,20900,-67.6,0.006144
63990,0.01568,0.7511,7453000,-8.028,0.008586
26.56,0.008759,0.9231,7231,-66.61,0.003673
29770,0.003774,0.8604,5457000,-54.72,0.005455
1563000,0.00635,0.9003,402100000,-67.02,0.003887
1125000,0.00542,0.8856,267100000,-67.66,0.004212
24.28,0.006209,1.027,13130,-65.59,0.001849
20.74,0.02049,0.8439,4353,-8.509,0.004765
2176000,0.005471,0.8602,414200000,-69.67,0.005254
33.61,0.01024,0.8957,8274,-66.05,0.004062
220000,0.007405,0.8037,33470000,-57.45,0.006573
613300,0.01025,0.8785,1.53e+08,-68.12,0.004008
994700,0.00876,0.8114,147700000,-65.89,0.006735
69.49,0.007106,0.8871,16590,-68.88,0.004189
24.51,0.01363,0.9758,10870,-11.29,0.002255
106700,0.00718,0.8461,19790000,-66.93,0.005392
2236,0.007721,0.879,496500,-67.21,0.004504
107900,0.003644,0.9621,40920000,-69.25,0.002637
141.9,0.01099,0.8282,23110,-67.32,0.00614
125.3,0.00616,0.8595,25900,-60.76,0.004838
317300,0.01139,0.7986,44810000,-67.09,0.007081
64.6,0.007275,0.9461,23390,-68.19,0.002762
560300,0.007255,0.8461,106700000,-66.05,0.005251
32.7,0.004297,0.9252,9646,-58.93,0.00339
569400,0.007615,0.8179,85530000,-66.35,0.006657
884400,0.008583,0.8721,205200000,-61.27,0.00431
30.06,0.0221,0.7936,4464,-6.98,0.006734
843400,0.01081,0.8115,119400000,-70.18,0.007064
1874000,0.009358,0.8466,336100000,-69.78,0.005576
48.94,0.005768,0.916,13540,-63.01,0.003614
21.48,0.005357,0.9816,9695,-56.05,0.002216
45.7,0.01039,0.8247,6851,-70.72,0.006671
580400,0.007961,0.8705,121800000,-66.26,0.004765
35.13,0.007819,0.9246,10460,-67,0.003359
50.97,0.006831,0.8384,8588,-61.46,0.005935
110.5,0.005629,0.8501,22240,-55.22,0.004969
2832000,0.008778,0.9079,781300000,-68.87,0.003625
48.41,0.006428,0.8788,10730,-62.99,0.004512
15.39,0.01855,0.8898,4221,-3.664,0.003646
87.86,0.01035,0.9031,23260,-70.48,0.003777
109.2,0.008938,0.9036,31370,-6.869,0.003481
27.32,0.009419,1.06,19550,-13.39,0.001397
368800,0.008433,0.9171,109400000,-73.21,0.003371
76820,0.00507,0.9035,19750000,-69.05,0.00389
27.46,0.009503,0.8637,5576,-63.24,0.004925
186300,0.005245,0.8138,30750000,-58.24,0.006059
29.84,0.008807,0.9252,8464,-73.27,0.003526
2862,0.01249,0.8396,558200,-9.318,0.005127
76.41,0.009436,0.9822,33010,-12.09,0.002315
34.67,0.01547,0.9063,11020,-8.02,0.003146
377400,0.00711,0.8171,57970000,-68.84,0.00651
55.2,0.01357,0.8508,10850,-11.16,0.005088
279800,0.006743,0.9392,91720000,-70.4,0.003051
45.21,0.008594,0.8369,8025,-62.15,0.005634
26.86,0.008647,1.048,17400,-14.5,0.001544
2910000,0.009047,0.8874,663400000,-70.09,0.004386
43.82,0.005919,1.002,20400,-66.55,0.002148
23.46,0.007586,0.9607,9064,-6.77,0.002588
677500,0.007143,0.8748,161400000,-67.45,0.004198
50.83,0.005682,0.8966,13790,-54.85,0.003686
695400,0.008438,0.9392,237700000,-72.22,0.002926
557400,0.009042,0.9371,176900000,-73.87,0.003151
2731000,0.0119,0.8718,656300000,-65.37,0.004161
33.18,0.006273,0.9663,12900,-65.52,0.002572
3248000,0.01248,0.8904,827900000,-67.71,0.003923
38.75,0.007458,0.903,9444,-67.03,0.004103
44.83,0.01218,0.9376,15120,-14.72,0.002965
22760,0.01859,0.7648,3011000,-8.264,0.007559
33.13,0.008782,0.895,7777,-70.5,0.00426
73.74,0.007347,0.8698,14530,-67.6,0.005075
43.92,0.008578,0.8416,7938,-62.23,0.005533
39080,0.007202,0.8683,8416000,-67.95,0.004644
679000,0.007457,0.873,1.55e+08,-68.25,0.004381
241700,0.007356,0.8487,46120000,-67.44,0.005241
1173000,0.006253,0.895,309300000,-68.68,0.003792
