Kmax,Ku,n,halfmax,Vhalf,slope
34.72,0.02143,1.019,167900,-91.06,0.0002068
24.03,0.02314,1.038,125000,-95.97,0.0001922
80.43,0.03209,0.8918,120000,-148.6,0.0006703
48.52,0.01678,0.9143,98710,-87.45,0.0004915
326600,0.02671,0.8129,237500000,-93.43,0.001375
140.9,0.01954,0.9264,306000,-143.5,0.0004605
50.73,0.9939,0.8764,72220,-81.22,0.0007024
222500,0.7135,0.7762,135400000,-79.98,0.001643
32.33,0.01949,1.053,198500,-157.4,0.0001629
24.95,0.997,1.026,119400,-87.51,0.000209
29.8,0.9846,1.012,132400,-100.2,0.0002251
145.6,0.0165,0.8745,200300,-89.63,0.0007269
60,0.9534,0.9536,177600,-85.24,0.0003378
27.96,0.9692,0.9529,68660,-132.8,0.0004072
31.49,0.9151,0.9203,65230,-158.3,0.0004828
194.7,0.01666,0.9062,363800,-94.41,0.0005352
37.37,0.01779,1.038,209400,-89.53,0.0001785
108.1,0.01458,0.8915,156000,-94.26,0.0006929
45.7,0.9554,0.9629,131500,-89.69,0.0003475
120.9,0.01436,0.9419,343300,-82.44,0.0003522
131900,0.01589,0.8482,147900000,-85.27,0.0008918
42.28,0.9842,0.9999,174200,-92.22,0.0002427
227,0.01283,0.8519,258300,-88.05,0.0008788
75.54,0.01681,0.9815,266700,-87.3,0.0002832
84.31,0.01441,0.9382,207000,-87.79,0.0004073
28.43,0.03406,1.005,116900,-156.9,0.0002432
31.8,0.9934,0.9805,96800,-118,0.0003285
310200,0.01695,0.8846,5.07e+08,-87.43,0.0006118
61.5,0.9742,0.9517,165500,-89.54,0.0003716
26.68,0.9854,1.116,309000,-165.3,8.634e-05
191.3,0.02928,0.9447,465300,-107.2,0.0004111
47.39,0.02118,0.9181,96210,-88.28,0.0004926
24.46,0.9997,1.075,177200,-183.5,0.000138
90.46,0.01556,0.9076,153700,-183.7,0.0005885
34.31,0.1068,1.095,314600,-146.9,0.0001091
31.97,0.01426,1.105,310100,-91.28,0.0001031
41.99,0.9756,0.9559,109500,-86.09,0.0003835
42.37,0.01381,1.096,433300,-100.4,9.778e-05
75.56,0.9725,0.9415,178600,-99.47,0.0004231
27.07,0.02248,1.05,174500,-171.9,0.0001551
49.86,0.01547,0.9793,177400,-86.52,0.0002811
23.21,0.02206,1.088,2e+05,-87.07,0.000116
35.15,0.0158,1.016,165500,-89.93,0.0002124
107,0.02039,0.8853,156800,-94.57,0.0006824
153.7,0.02092,0.8987,257100,-164.5,0.0005978
32.95,0.02491,1.117,389400,-104.3,8.462e-05
83.1,0.9468,0.9636,269400,-87.3,0.0003085
8734,0.01724,0.9147,19400000,-82.86,0.0004502
66.63,0.01984,0.9507,178300,-94.88,0.0003737
72.19,0.01467,0.9548,203300,-91.61,0.0003551
33.87,0.03181,1.043,202400,-160.3,0.0001673
76.24,0.0323,0.9871,291900,-92.48,0.0002612
