Kmax,Ku,n,halfmax,Vhalf,slope
2.936,0.000551,0.6012,24.43,-66.52,0.1202
5.103,0.001203,1.036,252.2,-75.45,0.02023
7.566,0.001157,0.7374,139.7,-67.85,0.05416
3.483,0.0009605,0.9045,98.91,-73.88,0.03521
2.33,0.0006308,1.418,377.4,-70.06,0.006174
2.874,0.0006848,1.05,160.3,-67.25,0.01793
5.696,0.001484,0.7749,99.51,-86.58,0.05724
2.995,0.0005457,0.6946,39.32,-70.92,0.07617
5.92,0.001323,0.7899,121.3,-81.71,0.0488
2.53,0.0004704,1.303,271.9,-41.27,0.009305
3.64,0.0009132,0.9255,110.1,-72.05,0.03306
10.05,0.0006839,0.5,83.41,-67.01,0.1205
2.233,0.0008076,1.741,985.3,-74.01,0.002266
2.272,0.0007746,1.363,284.3,-73.68,0.007992
2.016,0.001015,1.256,148.3,-79.76,0.01359
82380,0.001202,0.5309,729800,-75.52,0.1129
10.11,0.001016,0.5,79.92,-78.91,0.1265
6.849,0.001356,0.7437,123.7,-82.26,0.05537
2.412,0.0006721,0.8566,51.23,-74.62,0.04708
1020000,0.001104,0.587,14040000,-72.32,0.07265
7.073,0.001081,0.8477,205.5,-68.52,0.03442
82380,0.001202,0.5309,729800,-75.52,0.1129
2450000,0.001006,0.5363,26560000,-72.89,0.09224
3.451,0.001131,0.9227,107.1,-78.59,0.03222
2.572,0.0006149,1.026,110.9,-69.31,0.02319
6.951,0.00126,0.8247,181.4,-74.78,0.03832
7.364,0.001073,0.8184,188.9,-67.58,0.03898
2.463,0.000804,1.566,668.6,-71.41,0.003684
8.671,0.00127,0.6711,114,-78.58,0.07606
3.46,0.0007881,1.021,150,-69.9,0.02307
4.769,0.001266,1.05,236,-75.29,0.02021
34.12,0.001253,0.5642,351.4,-76.74,0.0971
5.538,0.0009801,1.135,492.5,-54.58,0.01124
3.543,0.001008,1.079,215.2,-73.28,0.01646
6.282,0.00115,0.7924,129.6,-76.79,0.04847
4.957,0.001139,1.233,568.1,-68.76,0.008726
10.1,0.0005476,0.5,79.84,-58.49,0.1265
10.27,0.001086,0.7677,248.4,-68.57,0.04134
3799000,0.000895,0.5425,41170000,-57.4,0.09228
3.541,0.0009537,0.643,32.61,-74.73,0.1086
2.1e+07,0.0008125,0.5,186300000,-61.31,0.1127
3.439,0.001248,0.8853,85.84,-81.3,0.04006
3.98,0.001101,0.8079,88.65,-78.45,0.0449
9.634,0.001077,0.5,69.88,-79.03,0.1379
2.339,0.0009681,1.214,179.5,-77.76,0.01303
2.623,0.0006023,0.8012,49.75,-67.1,0.05272
3.353,0.00081,1.266,383.2,-67.78,0.00875
3.648,0.001068,0.8663,96,-78.01,0.038
2.231,0.001007,1.664,725.9,-80.06,0.003073
3.639,0.001019,1.081,222,-71.8,0.01639
204.3,0.0007763,0.5788,2281,-66.04,0.08957
3.72,0.00073,1.289,438.3,-23.07,0.008487
2.259,0.0005418,1.174,139.1,-65.34,0.01624
7.9,0.0009189,0.6927,113.7,-67.63,0.06948
3.762,0.0008139,1.173,300.7,-68.8,0.01251
2.1,0.0004895,2,2033,-65.81,0.001033
23690,0.001233,0.5556,258400,-77.09,0.09168
2.166,0.000541,1.196,142.8,-70.63,0.01517
2.4,0.0005862,1.39,335.5,-59.69,0.007154
3.568,0.00103,1.042,159.7,-71.36,0.02234
11.35,0.0009914,0.5,96.29,-72.52,0.1179
3.33,0.001007,1.045,152.1,-76.15,0.02189
8.346,0.0007156,0.5,74.7,-37.67,0.1117
3.439,0.001248,0.8853,85.84,-81.3,0.04006
5.82,0.001165,0.92,211.5,-72.11,0.02752
9.424,0.001125,0.6476,119.7,-74.05,0.07873
10.67,0.001193,0.5546,87.93,-80.93,0.1213
2.024,0.0005468,1.547,438.6,-72.31,0.004615
2.779,0.0007796,1.414,471,-72.2,0.0059
8.206,0.0005965,0.5,57.27,-63.48,0.1433
2.572,0.0006149,1.026,110.9,-69.31,0.02319
8.435,0.0008676,0.5,61.46,-73.5,0.1372
12.68,0.0007973,0.5,104.4,-72.98,0.1215
2428000,0.0004822,0.5491,28600000,-28.15,0.0849
4309000,0.001291,0.5044,37670000,-80.57,0.1144
2369000,0.0007178,0.5477,26630000,-62.81,0.08896
6617000,0.0007572,0.5892,88790000,-58.76,0.07452
4.417,0.0008062,0.6844,59.53,-65.3,0.0742
5.573,0.000918,0.6033,61.7,-71.3,0.09032
6617000,0.0007572,0.5892,88790000,-58.76,0.07452
2.404,0.0006425,1.226,197,-69.65,0.0122
5.573,0.000918,0.6033,61.7,-71.3,0.09032
2.372,0.0007101,1.362,292.4,-64.62,0.008112
2.582,0.0005595,1.06,130.9,-59.93,0.01972
3.278,0.0006488,0.9095,90.31,-61.07,0.0363
2.82,0.0007169,1.416,454.9,-68.56,0.006199
1.967,0.0004073,1.387,261.8,-70.91,0.007513
9.097,0.001327,0.6369,102.6,-78.68,0.08866
3.814,0.0008327,1.02,199.8,-67.28,0.01909
2.133,0.0008017,1.324,206.4,-76.93,0.01033
3.497,0.0009739,1.112,224.1,-70.62,0.0156
4.589,0.001023,0.6282,49.03,-79.3,0.0936
2.4,0.0005862,1.39,335.5,-59.69,0.007154
3.449,0.0007788,1.103,191.7,-59.45,0.01799
10.35,0.001505,0.6318,123.4,-86.31,0.08387
3.955,0.001238,1.316,479,-75.79,0.008257
4.128,0.0009377,0.7915,84.42,-72.58,0.0489
2.626,0.0007057,1.257,277.1,-69.41,0.009477
3.003,0.001127,1.063,140.1,-78.27,0.02143
2.567,0.0006988,1.458,501,-67.7,0.005124
2.195,0.0007945,1.931,1836,-74.99,0.001196
3.632,0.0008806,1.363,613.5,-63.56,0.00592
4.275,0.0007869,0.8134,105.4,-70.4,0.04056
2.327,0.0006222,1.374,310.5,-69.36,0.007494
30.53,0.00107,0.5757,314.3,-73.21,0.09714
10.05,0.0006839,0.5,83.41,-67.01,0.1205
3.405,0.0008611,1.16,229.8,-67.92,0.01482
3.919,0.0009902,0.9909,185.1,-71.48,0.02117
4.162,0.001055,0.765,73.5,-75.22,0.05663
10.98,0.001166,0.5,89,-82.91,0.1234
2.691,0.0005156,0.8279,55.36,-61.89,0.04861
1.892,0.000609,1.78,777.2,-69.81,0.002434
3.076,0.0006106,1.269,319.2,-64.79,0.009637
3.448,0.0007836,0.8172,71.43,-68.11,0.04827
412000,0.001536,0.5,3545000,-100.5,0.1162
173600,0.0006435,0.5357,1601000,-22.65,0.1084
198800,0.0009952,0.5477,2024000,-69.42,0.09822
3.918,0.0008669,0.8627,107.4,-61.51,0.03648
2.708,0.0006404,0.9424,90.36,-69.82,0.02997
848500,0.001328,0.5,7419000,-77.66,0.1144
10.74,0.0009705,0.5,83.21,-76.41,0.1291
1522000,0.001536,0.5064,13570000,-108.6,0.1122
2.288,0.0007328,1.346,269.7,-71.44,0.008484
2.794,0.0007505,1.539,801.3,-65.63,0.003487
4.162,0.0006337,0.7265,67.49,-58.9,0.06167
2.708,0.0006404,0.9424,90.36,-69.82,0.02997
3.722,0.001008,0.7864,62.33,-73.1,0.05971
