Kmax,Ku,n,halfmax,Vhalf,slope
23870,0.04725,0.8427,231600000,-64.61,0.0001031
218000,0.02348,0.7488,940900000,-13.01,0.0002317
8.407,0.2859,0.8425,68670,-14.16,0.0001224
76820,0.02333,0.7003,164300000,-63.86,0.0004676
243900,0.02435,0.7073,567300000,-73.57,0.0004299
383400,0.0187,0.639,4.1e+08,-71.04,0.0009351
88140,0.009464,0.7283,329800000,-16.12,0.0002673
120400,0.02702,0.7819,734100000,-21.91,0.000164
127700,0.02265,0.7721,665200000,-13.69,0.000192
19460,0.01537,0.7105,46770000,-52.52,0.0004161
25940,0.02196,0.7273,74980000,-66.21,0.000346
91430,0.01388,0.7027,231400000,-8.352,0.0003951
181300,0.0246,0.7286,565800000,-21.11,0.0003204
111700,0.05008,0.8059,898600000,-11.54,0.0001243
226300,0.01399,0.7314,711600000,-62.01,0.000318
4.099,0.01131,0.9966,192400,-12.68,2.13e-05
104700,0.01492,0.7854,703300000,-8.821,0.0001489
104600,0.05736,0.7308,329700000,-63.54,0.0003173
83990,0.03016,0.8143,771400000,-24.24,0.0001089
89010,0.04626,0.7871,482400000,-14.93,0.0001845
46010,0.02047,0.7673,234100000,-68.64,0.0001965
28600,0.03346,0.7167,75050000,-74.53,0.0003811
327300,0.01486,0.7309,995800000,-59.88,0.0003287
47460,0.01701,0.9024,985700000,-14.72,4.815e-05
88390,0.02125,0.7251,255600000,-60.67,0.0003458
93630,0.01093,0.7254,326100000,-10.34,0.0002871
4.598,0.8069,1.056,393300,-18.6,1.169e-05
62150,0.01992,0.7677,3.01e+08,-65.2,0.0002065
149900,0.008857,0.7407,6.23e+08,-19.81,0.0002406
30.83,0.04708,0.8465,307700,-25.75,0.0001002
265900,0.02215,0.7099,644700000,-65.36,0.0004124
164000,0.02352,0.7403,668900000,-11.67,0.0002452
132900,0.04682,0.7765,708600000,-62.32,0.0001876
75160,0.01959,0.7989,516900000,-18.93,0.0001454
161800,0.0109,0.7346,609400000,-12,0.0002655
134100,0.05416,0.7245,350100000,-76.94,0.000383
173400,0.02098,0.7672,771500000,-17.69,0.0002248
116000,0.02749,0.8045,904500000,-19.49,0.0001282
152200,0.0151,0.7904,984800000,-55.75,0.0001545
39870,0.04427,0.7483,139500000,-73.56,0.0002858
214600,0.02505,0.7152,543300000,-16.92,0.000395
55240,0.02536,0.7818,298800000,-69.38,0.0001849
46560,0.0231,0.8005,3.11e+08,-71.37,0.0001497
93740,0.05219,0.7658,4.2e+08,-22.46,0.0002232
5.277,0.06017,0.8983,76260,-8.412,6.92e-05
67790,0.02747,0.7847,429600000,-14.38,0.0001578
160600,0.01379,0.6991,402200000,-61.32,0.0003993
27500,0.04401,0.7946,1.58e+08,-57.06,0.0001741
108600,0.01502,0.7367,335200000,-53.42,0.000324
59180,0.01148,0.7015,152600000,-10.52,0.0003878
9.793,0.05114,0.855,104400,-16.4,9.38e-05
83180,0.01709,0.7236,253600000,-13.04,0.000328
40610,0.01842,0.8218,328800000,-13.95,0.0001235
19950,0.0226,0.7289,54300000,-71.14,0.0003674
68730,0.02358,0.6994,146800000,-68.26,0.0004682
52490,0.01293,0.7465,223300000,-12.66,0.0002351
40780,0.05765,0.7312,112200000,-75.32,0.0003635
185200,0.05636,0.6953,384800000,-67.18,0.0004813
93370,0.01801,0.78,484400000,-54.59,0.0001928
103400,0.009781,0.6927,245700000,-17.3,0.0004208
110700,0.02848,0.7411,366300000,-71.77,0.0003022
75170,0.01317,0.684,162200000,-14.63,0.0004634
79630,0.03776,0.7908,442400000,-66.04,0.00018
3.53,0.01023,1.053,243500,-58.84,1.45e-05
48660,0.0243,0.7336,145300000,-71.3,0.0003349
253100,0.01939,0.7213,726200000,-9.565,0.0003485
15.01,0.05452,0.8723,170000,-69.28,8.829e-05
8.326,0.03868,0.9992,403500,-61.82,2.063e-05
6.02,0.2004,1.069,466400,-58.04,1.291e-05
176700,0.04613,0.7896,979800000,-13.83,0.0001803
