Kmax,Ku,n,halfmax,Vhalf,slope
69040,0.007598,1.376,407900000,-1,0.0001693
3.712,0.002064,1.254,9063,-1,0.0004096
5.116,0.003016,1.498,57720,-1,8.863e-05
17.75,0.01568,1.354,93100,-2.629,0.0001907
10.48,0.205,1.339,31910,-1.781,0.0003284
8.612,0.05441,1.589,130200,-3.027,6.614e-05
3.322,0.004,2,680800,-1,4.88e-06
13.53,0.02639,1.258,32320,-1.655,0.0004186
6.383,0.02372,1.987,964200,-1,6.62e-06
3.473,0.004265,2,639200,-1,5.433e-06
8.176,0.01062,1.601,139000,-1,5.882e-05
4.076,0.006724,1.94,513600,-1,7.936e-06
9.471,0.008683,1.1,10590,-1.001,0.0008943
4.482,0.004319,1.614,75330,-1,5.95e-05
6.522,0.0222,2,1064000,-1,6.13e-06
5.149,0.01381,2,786300,-1.004,6.548e-06
4.692,0.003058,1.464,33110,-1,0.0001417
3.985,0.006765,2,780700,-1,5.104e-06
5.49,0.007617,2,771100,-1.011,7.12e-06
4.713,0.01009,2,797800,-1,5.907e-06
8.592,0.009969,1.681,358600,-1,2.396e-05
4.963,0.00301,1.495,49980,-1.001,9.93e-05
10.06,0.01316,2,1519000,-6.762,6.623e-06
4.58,0.005444,1.567,55620,-1,8.234e-05
11.25,0.01162,2,2028000,-6.938,5.547e-06
3.229,0.006737,2,518800,-1,6.224e-06
6.242,0.003772,1.223,12460,-1,0.000501
3.006,0.003855,1.94,249600,-1,1.204e-05
4.092,0.02717,2,551700,-1,7.417e-06
4.981,0.01603,2,690500,-1.001,7.214e-06
2.829,0.003968,2,423500,-1,6.68e-06
3.162,0.004548,2,542200,-1,5.832e-06
2.855,0.01165,2,394600,-1,7.235e-06
4.872,0.003934,1.509,44550,-1,0.0001094
7.395,0.03984,2,1267000,-3.95,5.837e-06
3.065,0.002923,2,458100,-1,6.691e-06
4.314,0.003624,1.832,406000,-1,1.063e-05
5.886,0.004349,1.426,50560,-1,0.0001164
9.293,0.2196,1.5,97380,-2.129,9.543e-05
4.375,0.01742,2,949400,-2.121,4.608e-06
10.1,0.00902,1.087,10590,-1,0.0009537
2.875,0.004323,2,472200,-1,6.089e-06
4.477,0.01902,1.8,281500,-1.539,1.59e-05
2.966,0.002293,1.617,62210,-1,4.768e-05
2.919,0.004413,2,626700,-1,4.658e-06
14.07,0.2551,1.267,37750,-1.001,0.0003727
5.19,0.005072,1.422,28300,-1,0.0001834
2.773,0.00464,1.806,134900,-1,2.056e-05
3.329,0.004132,2,430400,-1,7.735e-06
10.46,0.01011,1.456,79590,-1,0.0001314
4.21,0.007844,2,455900,-1,9.234e-06
6.408,0.002275,1.279,21980,-1,0.0002915
7.004,0.02867,1.733,215800,-3.313,3.246e-05
8.649,0.00903,1.154,13970,-1,0.0006191
4.312,0.005565,1.811,323600,-1,1.333e-05
4.52,0.01814,2,597800,-2.759,7.561e-06
4.319,0.007268,2,1016000,-1,4.251e-06
4.22,0.00738,1.874,289700,-1,1.457e-05
5.23,0.005401,1.385,21880,-1,0.000239
8.242,0.02287,2,1551000,-5.54,5.314e-06
2.996,0.005537,2,295900,-1,1.013e-05
3.25,0.002559,2,561900,-1,5.784e-06
9.002,0.01699,2,1588000,-5.965,5.669e-06
4.121,0.005455,1.937,694300,-1,5.935e-06
4.487,0.004547,1.416,20530,-1,0.0002186
2.946,0.007939,2,529300,-1,5.566e-06
2.952,0.003589,2,558900,-1,5.282e-06
4.555,0.007403,1.611,58920,-1,7.731e-05
5.57,0.004224,1.514,86300,-1.001,6.454e-05
3.573,0.007299,2,438500,-1.001,8.148e-06
4.016,0.02369,1.999,950800,-1,4.224e-06
4.502,0.007364,2,877300,-1,5.132e-06
5.209,0.005082,1.458,36040,-1,0.0001445
2.852,0.01145,2,349000,-1.001,8.172e-06
4.017,0.005484,1.837,205700,-1,1.953e-05
5.167,0.007516,2,822200,-1,6.284e-06
4.159,0.006868,2,882500,-1,4.713e-06
3.005,0.004777,1.77,109500,-1,2.744e-05
2.794,0.002141,1.862,225100,-1,1.241e-05
5.012,0.004287,1.406,30880,-1,0.0001623
4.934,0.01173,2,629100,-1.135,7.843e-06
8.123,0.0256,2,1516000,-5.232,5.358e-06
4.684,0.005766,2,877700,-1,5.337e-06
5.059,0.01295,2,718200,-1.006,7.044e-06
7.806,0.01302,1.551,88590,-1,8.811e-05
4.373,0.005501,2,590100,-1,7.411e-06
16390,0.005291,1.218,49340000,-1,0.0003322
12.48,0.007357,1.508,194400,-1,6.42e-05
3.089,0.007841,1.666,77260,-1.002,3.998e-05
2.9,0.00304,2,437300,-1,6.632e-06
4.135,0.004524,2,600100,-1,6.891e-06
10.03,0.05811,1.552,184300,-1.161,5.442e-05
8.42,0.01767,1.605,125700,-1.014,6.698e-05
109.4,0.008522,1.111,127300,-1,0.0008594
6.242,0.003772,1.223,12460,-1,0.000501
4.847,0.02703,1.459,35650,-1,0.000136
4.34,0.02653,2,693100,-1.715,6.262e-06
4.406,0.04591,2,454200,-1,9.701e-06
5.123,0.01362,2,778900,-1.013,6.577e-06
2.778,0.004707,2,336100,-1.001,8.265e-06
2.736,0.00382,1.955,477700,-1,5.727e-06
4.91,0.005472,1.571,87370,-1,5.62e-05
2.8,0.004588,1.682,60430,-1,4.633e-05
4.923,0.006698,2,732500,-1,6.721e-06
3.082,0.003983,1.87,163000,-1,1.891e-05
24.38,0.05685,1.259,78440,-1.003,0.0003108
4.409,0.006636,1.691,117100,-1,3.765e-05
3.076,0.003972,1.84,124700,-1.001,2.467e-05
101600,0.01046,1.37,564100000,-1,0.0001801
4.046,0.02661,2,508900,-1.003,7.95e-06
5.334,0.004656,1.408,35990,-1,0.0001482
2.942,0.003709,2,510500,-1,5.763e-06
4.315,0.007164,1.939,657000,-1,6.568e-06
4.283,0.005555,1.767,182700,-1,2.344e-05
6.107,0.009957,1.289,17620,-1,0.0003466
8.03,0.01628,2,1492000,-5.034,5.382e-06
3.008,0.004882,2,552500,-1,5.444e-06
8.467,0.01072,1.677,249500,-1.004,3.394e-05
3.14,0.004638,1.471,22070,-1,0.0001423
4.943,0.01172,2,644200,-1,7.673e-06
3.001,0.001993,2,594600,-1,5.047e-06
4.447,0.007398,2,599500,-1,7.418e-06
98910,0.009557,1.453,978900000,-1,0.000101
8.63,0.01628,2,1269000,-6.137,6.801e-06
6.546,0.02422,2,1405000,-1.003,4.659e-06
3.175,0.002916,2,490900,-1,6.468e-06
3.546,0.003791,1.188,4844,-1,0.000732
3.871,0.004483,1.914,364100,-1,1.063e-05
5.522,0.003009,1.445,44120,-1,0.0001252
4.932,0.0138,2,706800,-4.005,6.978e-06
5.697,0.009935,1.299,14890,-1.114,0.0003826
8.389,0.01852,1.847,566000,-5.091,1.482e-05
4.387,0.003915,1.009,2294,-1,0.001912
2.67,0.004615,2,395500,-1,6.751e-06
4.459,0.007351,2,899300,-1,4.958e-06
10.24,0.205,1.38,49050,-1.001,0.0002088
4.696,0.02556,1.721,152300,-1.239,3.083e-05
7.904,0.02561,1.909,895300,-5.021,8.828e-06
236200,0.04601,1.166,494100000,-1,0.000478
4.53,0.01746,2,724900,-2.806,6.249e-06
3.071,0.006665,2,436800,-1.003,7.031e-06
3.094,0.004355,1.505,25760,-1,0.0001201
3.739,0.0478,2,435200,-1.758,8.591e-06
5.327,0.003842,1.412,29940,-1,0.0001779
21.12,0.01478,2,4872000,-1.001,4.335e-06
4.613,0.007536,2,719200,-1.001,6.414e-06
3.147,0.004877,1.2,3601,-1,0.0008739
2.863,0.00373,2,418600,-1,6.839e-06
4.463,0.005531,1.646,92810,-1,4.809e-05
3.007,0.004097,2,373200,-1,8.057e-06
2.887,0.003924,2,414600,-1,6.963e-06
3.252,0.001432,1.46,32500,-1,0.0001001
7.629,0.002324,1.251,24040,-1,0.0003173
4.439,0.007768,2,608300,-1.002,7.297e-06
4.185,0.003607,1.916,629800,-1,6.645e-06
5.944,0.01023,1.254,13020,-1.002,0.0004565
2.889,0.002077,2,456000,-1,6.336e-06
5.209,0.005082,1.458,36040,-1,0.0001445
4.488,0.006567,2,668000,-1,6.719e-06
4.44,0.00451,2,913600,-1,4.86e-06
34.59,0.008498,1.147,47090,-1,0.0007346
5.015,0.00548,1.403,22600,-1,0.0002219
4.618,0.005615,2,750900,-1,6.15e-06
4.972,0.01495,1.789,197900,-3.37,2.512e-05
185.8,0.03009,1.17,366900,-1,0.0005064
