Kmax,Ku,n,halfmax,Vhalf,slope
79360,7.423e-05,0.6769,322200,-80.34,0.2463
64610,6.47e-05,0.6975,243100,-99.48,0.2658
59280,5.593e-05,0.6098,218100,-87.9,0.2718
73960,8.607e-05,0.6581,327400,-75.79,0.2259
21240000,6.573e-05,0.7917,118500000,-187.6,0.1792
167100,9.537e-05,0.7001,878400,-76.92,0.1902
114700,7.477e-05,0.6437,412300,-76.4,0.2782
349600,6.062e-05,0.5881,1087000,-89.79,0.3216
155900,8.017e-05,0.7273,744600,-83.64,0.2094
223500,5.706e-05,0.5643,646500,-91.71,0.3457
126400,5.253e-05,0.746,612900,-142.6,0.2062
62050,9.042e-05,0.7208,333300,-79.65,0.1862
106700,7.693e-05,0.5726,381500,-78.43,0.2797
11640000,4.813e-05,0.7488,57410000,-164.9,0.2028
825100,5.932e-05,0.5752,2347000,-127.8,0.3516
75680,8.064e-05,0.6091,275400,-78.7,0.2748
366700,5.306e-05,0.7264,1712000,-107.5,0.2142
163000,7.294e-05,0.7355,828000,-77.11,0.1969
152300,8.776e-05,0.6515,663600,-77.58,0.2295
188500,7.664e-05,0.7357,942200,-79.79,0.2001
333400,7.763e-05,0.6128,1119000,-80.05,0.2979
875500,6.7e-05,0.6539,3179000,-180.3,0.2754
120600,5.231e-05,0.7045,556500,-97.64,0.2167
171100,6.965e-05,0.6652,567600,-92.28,0.3014
205900,6.157e-05,0.6297,733800,-88.59,0.2806
307200,5.451e-05,0.7376,1439000,-127.2,0.2135
423100,7.558e-05,0.6608,1988000,-79.2,0.2128
630800,7.537e-05,0.6999,2826000,-82.06,0.2232
143600,6.479e-05,0.5687,478500,-85.26,0.3001
115300,7.385e-05,0.7937,709800,-81.83,0.1624
88200,8.746e-05,0.6425,393300,-73.61,0.2243
521400,7.712e-05,0.7133,2387000,-80.98,0.2184
75340,6.865e-05,0.5862,264900,-82.84,0.2844
109900,9.059e-05,0.6221,393300,-80.98,0.2794
150800,6.918e-05,0.6444,513300,-87.17,0.2938
49250,7.764e-05,0.6876,217400,-78.94,0.2265
265900,0.0001015,0.633,1335000,-71.49,0.1992
80140,9.475e-05,0.6817,376900,-77.73,0.2126
125500,8.06e-05,0.5175,394300,-77.2,0.3183
207800,6.289e-05,0.7574,1035000,-88.73,0.2008
126200,7.671e-05,0.6918,556300,-84.61,0.2269
286200,7.988e-05,0.7286,1471000,-81.21,0.1946
80320,8.371e-05,0.6272,291900,-82.09,0.2752
122900,6.426e-05,0.5999,425700,-88.69,0.2887
71350,8.596e-05,0.6656,344000,-73.74,0.2074
99100,6.638e-05,0.6968,385900,-91.23,0.2568
177700,7.127e-05,0.7321,876300,-82.07,0.2028
234900,5.044e-05,0.6062,733700,-155,0.3202
155400,7.369e-05,0.6785,722400,-78.97,0.2151
2648000,6.309e-05,0.7343,13340000,-84.39,0.1985
96530,7.658e-05,0.6943,425500,-85.66,0.2269
404200,6.304e-05,0.6038,1371000,-85.94,0.2948
180200,8.577e-05,0.5645,557500,-81.16,0.3232
131700,7.102e-05,0.679,577500,-83.36,0.2281
117200,6.259e-05,0.5806,345600,-119.5,0.3391
69500,6.955e-05,0.6337,250700,-83.63,0.2772
59.27,6.757e-05,0.5594,157.4,-89.06,0.3766
133700,6.764e-05,0.7394,574600,-86.6,0.2327
493400,4.739e-05,0.7707,2565000,-135.2,0.1924
239200,4.71e-05,0.7883,1305000,-142.8,0.1833
