Kmax,Ku,n,halfmax,Vhalf,slope
5.204,0.02368,1.129,1080,-47.02,0.004819
19.65,0.01426,0.769,861,-2.519,0.02282
10.52,0.01937,0.742,249.4,-73.42,0.04218
92190,0.0172,0.624,1775000,-63.61,0.05194
334500,0.0124,0.6839,9664000,-59.1,0.03461
5.641,0.01231,1.231,2395,-12.7,0.002355
6.966,0.01593,0.9735,713.1,-15.19,0.009769
595600,0.009899,0.6882,17750000,-18.73,0.03355
132100,0.02698,0.6115,2581000,-74.26,0.05118
7.635,0.02631,0.9232,569.6,-71.89,0.0134
52220,0.02072,0.6785,1656000,-6.236,0.03153
14.7,0.02418,0.5791,172.5,-59.63,0.08522
4.414,0.02383,1.13,734,-62.57,0.006014
79010,0.04652,0.7156,3229000,-2.899,0.02447
31.86,0.03249,0.7464,1251,-67.03,0.02547
15060,0.01909,0.616,303700,-27.69,0.04959
5.61,0.01699,1.051,681.9,-23.2,0.008227
7.716,0.02633,0.8955,423.3,-73.11,0.01823
4146000,0.01462,0.5783,60860000,-14.76,0.06812
10.99,0.01563,0.8683,756.1,-23.95,0.01454
8.531,0.02028,0.8489,456.1,-24.63,0.0187
4.676,0.01506,1.292,1337,-71.55,0.003497
49540,0.0166,0.5526,626700,-63.61,0.07905
97.21,0.02485,0.5542,1145,-76.56,0.0849
236000,0.01935,0.5808,3670000,-68.3,0.06431
32.45,0.02548,0.7585,1424,-61.99,0.02279
7.084,0.027,0.8467,305.4,-70.36,0.0232
11.37,0.01457,0.8008,531.3,-8.472,0.0214
7.831,0.01968,0.8444,373.3,-21.62,0.02098
4.645,0.01707,1.191,776.7,-62.37,0.00598
96130,0.01894,0.7521,4127000,-15.4,0.02329
6.946,0.0156,1.02,893.7,-23.48,0.007772
191600,0.01871,0.5753,2915000,-39.96,0.06573
536700,0.2779,0.5513,7472000,-13.19,0.07183
4302,0.02502,0.5834,60170,-64.75,0.0715
176200,0.02496,0.6381,4206000,-64.73,0.04189
6.747,0.02059,0.8171,258.7,-7.701,0.02608
7.824,0.01593,0.9866,803.6,-43.38,0.009736
23.28,0.01857,0.5599,264.4,-34.8,0.08805
184700,0.01776,0.6485,4372000,-35.46,0.04225
19600,0.01575,0.7174,726900,-36.69,0.02696
112.7,0.03032,0.6185,2225,-37.74,0.05065
44320,0.01684,0.6759,1336000,-5.088,0.03317
74110,0.02648,0.528,844300,-68.42,0.08778
586100,0.01111,0.7432,25290000,-41.72,0.02318
44980,0.02181,0.5499,601400,-6.191,0.07479
238.8,0.0162,0.6949,6822,-64.12,0.035
80840,0.02516,0.6245,1623000,-62.73,0.04981
1196000,0.01402,0.5642,16990000,-36.06,0.07039
973800,0.02048,0.6547,25630000,-11.89,0.03799
6.513,0.02619,0.9106,398.2,-65.22,0.01636
580200,0.01946,0.5741,8518000,-21.8,0.06811
12.55,0.01609,0.9114,1159,-14.59,0.01083
866700,0.01851,0.672,25070000,-37.69,0.03457
7.616,0.01843,0.9998,1056,-59.5,0.007212
468000,0.02142,0.62,9898000,-7.672,0.04728
262300,0.01692,0.5867,4382000,-65.8,0.05986
1048000,0.01809,0.5905,17280000,-24.47,0.06065
5968000,0.01378,0.6779,170700000,-58.6,0.03496
37.05,0.01602,0.6519,853.2,-46.04,0.04342
8.369,0.01626,0.9286,777,-9.365,0.01077
58.52,0.01995,0.7673,2812,-11.21,0.02081
7.749,0.02506,0.902,532.4,-64.59,0.01455
333800,0.02067,0.7487,14360000,-12.17,0.02325
5.826,0.02069,1.104,1451,-59.05,0.004015
311400,0.01916,0.6779,9428000,-25.02,0.03303
6.263,0.02549,1.064,867.4,-61.8,0.00722
20.23,0.01368,0.7689,807.2,-19.81,0.02506
124700,0.02409,0.5731,1852000,-56.52,0.06733
37530,0.02177,0.6843,1211000,-48.96,0.03099
1520000,0.01773,0.6999,55910000,-48.6,0.02719
12.65,0.0273,0.7896,537.8,-69.4,0.02352
22.34,0.02244,0.7668,877,-70.58,0.02547
2626,0.01915,0.6196,48390,-70.76,0.05427
1107,0.01218,0.6545,24830,-50.66,0.04458
160,0.01856,0.6105,2870,-45.98,0.05575
1427000,0.02084,0.7457,73590000,-7.375,0.01939
5351000,0.01687,0.6488,1.29e+08,-62.91,0.04148
3.837,0.02551,1.726,11190,-76.68,0.0003429
1468000,0.02015,0.5863,25470000,-18.84,0.05764
78710,0.0331,0.6459,1925000,-68.47,0.04089
6.228,0.09109,0.8337,241.9,-62.11,0.02575
11.46,0.01917,0.7688,452.9,-3.485,0.0253
29300,0.01575,0.5886,434500,-65.53,0.06743
12.48,0.02444,0.743,414,-62.75,0.03014
326700,0.02606,0.8091,24950000,-12.01,0.01309
6.76,0.02633,0.952,491.1,-73.32,0.01377
33290,0.02516,0.6246,681300,-55.8,0.04886
618600,0.02175,0.5505,9121000,-16.37,0.06782
5.838,0.01958,1.068,818,-61.25,0.007137
5.469,0.01499,1.025,448.4,-36.79,0.0122
7174,0.01806,0.6683,201700,-11.68,0.03557
17.26,0.01437,0.7965,854.3,-14.56,0.0202
14.6,0.01649,0.7632,443.2,-62.01,0.03294
15.07,0.0253,0.7766,623.4,-64.94,0.02417
69650,0.01633,0.6186,1461000,-8.46,0.04767
576700,0.01666,0.5984,11260000,-14.09,0.05122
17.12,0.02625,0.6792,396.8,-71.01,0.04315
7.797,0.02687,0.8704,448.2,-78.02,0.0174
11.26,0.01497,0.7876,456.9,-14.87,0.02464
5.607,0.02668,1.159,1245,-66.62,0.004504
22750,0.01469,0.7064,836600,-14.7,0.02719
6.747,0.02504,1.13,1618,-61.99,0.00417
9.649,0.01506,0.8461,486.4,-69.67,0.01984
29780,0.01603,0.5,277400,-68.28,0.1074
279000,0.01775,0.7522,14480000,-46.03,0.01927
4.472,0.01559,1.447,4093,-43.89,0.001093
86470,0.01468,0.5441,1013000,-27.11,0.08536
298900,0.01382,0.7238,11700000,-7.899,0.02555
72430,0.017,0.6163,1392000,-64.24,0.05203
6.866,0.0269,0.964,707,-68.32,0.009711
4.914,0.01612,1.188,1338,-40.69,0.003673
9.473,0.01326,0.9144,637.7,-28.12,0.01485
5659,0.02597,0.6257,117800,-67.36,0.04804
5.81,0.02024,1.035,723.4,-11.05,0.008032
328000,0.01728,0.6817,9752000,-60.71,0.03363
653300,0.01326,0.5986,11640000,-56.35,0.05613
10.35,0.01444,0.9753,1332,-13.33,0.00777
6.986,0.01929,1.014,740.7,-30.26,0.009432
11.19,0.01541,0.866,747.3,-9.374,0.01497
8.365,0.02811,0.782,297.3,-73.03,0.02814
25.27,0.02117,0.7472,851.6,-71.56,0.02967
3.952,0.04126,1.375,2756,-2.643,0.001434
13810,0.02946,0.6296,287600,-68.23,0.04802
6.675,0.03815,1.085,1611,-3.426,0.004143
1146000,0.0198,0.6039,23100000,-28.7,0.04961
442.5,0.01607,0.7234,15340,-65.74,0.02885
23080,0.01481,0.5871,326700,-47.55,0.07065
507200,0.02684,0.6283,11970000,-6.027,0.04237
39810,0.01839,0.6815,1247000,-51.15,0.03192
46.05,0.01823,0.6813,1318,-18.82,0.03494
6.277,0.01731,1.005,578.8,-62.59,0.01084
37920,0.02878,0.5722,580200,-68.41,0.06536
29.57,0.01848,0.7637,1295,-23.35,0.02283
299000,0.01794,0.6961,9772000,-68.09,0.0306
128400,0.0245,0.6298,2675000,-61.55,0.048
7.09,0.01871,0.9673,599.8,-18.78,0.01182
115000,0.01385,0.5701,1548000,-35.76,0.07429
6.785,0.01783,0.8689,335.8,-59.35,0.02021
6.109,0.03439,0.9088,407.8,-69.89,0.01498
865800,0.02207,0.6301,18520000,-9.425,0.04675
61.21,0.01717,0.6829,1446,-62.87,0.04233
151600,0.02043,0.6446,3731000,-12.28,0.04063
221800,0.02235,0.5371,2692000,-30.02,0.08239
57300,0.01909,0.6224,1210000,-10.16,0.04736
199900,0.01673,0.5986,3476000,-65.57,0.05751
285600,0.01478,0.6755,7542000,-62.7,0.03787
4.345,0.01754,1.167,862.3,-58.73,0.005039
5.993,0.3537,0.8667,335.9,-58.16,0.01784
7.665,0.01992,0.966,787.2,-67.78,0.009737
9.446,0.01942,0.8564,496.8,-22.65,0.01901
22.75,0.01897,0.7221,667.2,-71.97,0.0341
6.32,0.01748,0.9531,480.5,-12.95,0.01315
635500,0.01474,0.5225,6921000,-24.08,0.09182
6.207,0.01982,1.061,845.2,-74.91,0.007344
6.928,0.01677,1.072,1326,-20.58,0.005225
11.49,0.01773,0.8233,632.4,-16.37,0.01817
102.9,0.02538,0.5908,1646,-51.5,0.06252
330600,0.01555,0.7371,13020000,-34.72,0.02539
2940000,0.01272,0.6401,67480000,-42.22,0.04357
63360,0.02599,0.6039,1051000,-70.51,0.06029
210500,0.01726,0.6761,6279000,-25.1,0.03352
14.48,0.06975,0.6962,346.4,-65.28,0.0418
47150,0.02086,0.5989,850700,-6.886,0.05542
136000,0.01873,0.5867,2511000,-11.47,0.05416
7.643,0.01788,0.7467,180.3,-64.59,0.04239
9.317,0.01578,0.8728,614.1,-42.76,0.01517
34490,0.01324,0.6971,1039000,-19.07,0.0332
107100,0.01675,0.7073,3940000,-4.763,0.02718
264500,0.01589,0.6365,6379000,-25.02,0.04146
11.26,0.01636,0.7693,427.8,-25.69,0.02632
440.7,0.08071,0.6499,10860,-65.42,0.04058
8.351,0.02444,0.8271,396.3,-58.88,0.02107
875300,0.02011,0.6517,21470000,-11.3,0.04077
8.174,0.01709,0.8511,382.2,-64.95,0.02139
7.703,0.3267,0.936,730.9,-62.62,0.01054
24410,0.01423,0.6244,490100,-59.08,0.04981
7.23,0.01845,0.9371,555.6,-17.46,0.01301
471500,0.01318,0.6353,9287000,-35.18,0.05077
29.05,0.05204,0.709,1039,-38.88,0.02796
9.317,0.02057,0.841,513.3,-21.12,0.01815
34.07,0.02426,0.6377,631.8,-61.26,0.05393
6.026,0.0152,0.9701,577.2,-11.73,0.01044
5.626,0.01509,1.236,1641,-71.01,0.003428
168500,0.01647,0.6777,4572000,-13.34,0.03685
6.227,0.01752,0.8985,348.3,-69.97,0.01788
487800,0.01911,0.5353,5598000,-16.03,0.08714
10.38,0.03117,0.7469,344.1,-37.11,0.03017
9.532,0.01977,0.8135,386.4,-13.71,0.02467
198200,0.02549,0.5779,3041000,-62.43,0.06518
232400,0.02052,0.5854,4014000,-12.07,0.0579
84900,0.0176,0.6094,1502000,-9.014,0.05652
