"","drug","exp","conc","block_lowest_median","block_raw","block","channel"
"1","astemizole","170816_5_3B",300,10.615,35.62,27.97449236,"INa"
"2","astemizole","170816_5_3B",3,10.615,4.68,-6.639816524,"INa"
"3","astemizole","170816_5_3B",3,10.615,7.8,-3.149297981,"INa"
"4","astemizole","170816_5_3B",300,10.615,25.69,16.86524585,"INa"
"5","astemizole","170816_5_3B",300,10.615,30.32,22.04508586,"INa"
"6","astemizole","170816_5_3B",300,10.615,30.73,22.5037758,"INa"
"7","astemizole","170816_5_3B",3000,10.615,99.51,99.45180959,"INa"
"8","astemizole","170816_5_3B",300,10.615,29.05,20.62426582,"INa"
"9","astemizole","170816_5_3B",0.3,10.615,4.92,-6.371315098,"INa"
"10","astemizole","170816_5_3B",3,10.615,3.92,-7.490071041,"INa"
"11","astemizole","170816_5_3B",3,10.615,9.07,-1.728477933,"INa"
"12","astemizole","170816_5_3B",0.3,10.615,8.1,-2.813671198,"INa"
"13","astemizole","170816_5_3B",3000,10.615,101,101.1187559,"INa"
"14","astemizole","170816_5_3B",3000,10.615,96.61,96.20741735,"INa"
"15","astemizole","170816_5_3B",3000,10.615,100.29,100.3244392,"INa"
"16","astemizole","170816_5_3B",3000,10.615,99.71,99.67556078,"INa"
"17","astemizole","170816_5_3B",0.3,10.615,7.26,-3.75342619,"INa"
"18","astemizole","170816_5_3B",3,10.615,8.19,-2.712983163,"INa"
"19","astemizole","170816_5_3B",3000,10.615,105.88,106.5782849,"INa"
"20","astemizole","170816_5_3B",0.3,10.615,13.13,2.813671198,"INa"
"21","astemizole","170816_5_3B",3,10.615,19.3,9.716395368,"INa"
"22","astemizole","170816_5_3B",3,10.615,4.32,-7.042568664,"INa"
"23","astemizole","170816_5_3B",3,10.615,12.8,2.444481736,"INa"
"24","astemizole","170816_5_3B",3,10.615,18.83,9.190580075,"INa"
"25","astemizole","170816_5_3B",3000,10.615,111.35,112.69788,"INa"
"26","astemizole","170816_5_3B",3,10.615,20.68,11.26027857,"INa"
"27","astemizole","170816_5_3B",300,10.615,42.35,35.50371986,"INa"
"28","astemizole","170816_5_3B",300,10.615,25.42,16.56318174,"INa"
"29","astemizole","170816_5_3B",300,10.615,19.47,9.906583879,"INa"
"30","astemizole","170816_5_3B",300,10.615,57.6,52.564748,"INa"
"31","astemizole","170816_5_3B",300,10.615,39.29,32.08032668,"INa"
"32","astemizole","170816_5_3B",300,10.615,61.47,56.8943335,"INa"
"33","astemizole","170816_5_3B",0.3,10.615,13.57,3.305923813,"INa"
"34","astemizole","170816_5_3B",0.3,10.615,13.13,2.813671198,"INa"
"35","astemizole","170816_5_3B",0.3,10.615,15.14,5.062370644,"INa"
"36","astemizole","170816_5_3B",3000,10.615,97.76,97.49398669,"INa"
"37","astemizole","170816_5_3B",3,10.615,27.68,19.09157017,"INa"
"38","astemizole","170816_5_3B",3,10.615,13.64,3.384236729,"INa"
"39","astemizole","170816_5_3B",300,10.615,29.9,21.57520837,"INa"
"40","astemizole","170816_5_3B",0.3,10.615,5.85,-5.33087207,"INa"
"41","astemizole","170816_5_3B",300,10.615,32.49,24.47278626,"INa"
"42","astemizole","170816_5_3B",3000,10.615,96.54,96.12910444,"INa"
"43","astemizole","170816_5_4B",3,14.24,15.93,1.970615672,"INa"
"44","astemizole","170816_5_4B",3000,14.24,95.35,94.57789179,"INa"
"45","astemizole","170816_5_4B",3,14.24,3.57,-12.44169776,"INa"
"46","astemizole","170816_5_4B",3,14.24,10.88,-3.917910448,"INa"
"47","astemizole","170816_5_4B",0.3,14.24,5.86,-9.771455224,"INa"
"48","astemizole","170816_5_4B",3000,14.24,99.72,99.67350746,"INa"
"49","astemizole","170816_5_4B",300,14.24,33.47,22.42304104,"INa"
"50","astemizole","170816_5_4B",3,14.24,2.55,-13.63106343,"INa"
"51","astemizole","170816_5_4B",3000,14.24,94.09,93.10867537,"INa"
"52","astemizole","170816_5_4B",0.3,14.24,13.66,-0.67630597,"INa"
"53","astemizole","170816_5_4B",300,14.24,37.28,26.86567164,"INa"
"54","astemizole","170816_5_4B",3,14.24,14.4,0.186567164,"INa"
"55","astemizole","170816_5_4B",300,14.24,41.35,31.61147388,"INa"
"56","astemizole","170816_5_4B",0.3,14.24,14.82,0.67630597,"INa"
"57","astemizole","170816_5_4B",300,14.24,33.3,22.22481343,"INa"
"58","astemizole","170816_5_4B",3,14.24,18.22,4.640858209,"INa"
"59","astemizole","170816_5_4B",3000,14.24,87.82,85.79757463,"INa"
"60","astemizole","170816_5_4B",0.3,14.24,13.2,-1.212686567,"INa"
"61","astemizole","170816_5_4B",3000,14.24,94.54,93.63339552,"INa"
"62","astemizole","170816_5_4B",3,14.24,21.58,8.558768657,"INa"
"63","astemizole","170816_5_4B",3,14.24,-1.77,-18.66837687,"INa"
"64","astemizole","170816_5_4B",300,14.24,39.73,29.72248134,"INa"
"65","astemizole","170816_5_4B",0.3,14.24,22.74,9.911380597,"INa"
"66","astemizole","170816_5_4B",3000,14.24,105.27,106.145056,"INa"
"67","astemizole","170816_5_4B",0.3,14.24,10.39,-4.489272388,"INa"
"68","astemizole","170816_5_4B",300,14.24,38.24,27.98507463,"INa"
"69","astemizole","170816_5_4B",0.3,14.24,8.56,-6.623134328,"INa"
"70","astemizole","170816_5_4B",3000,14.24,104.45,105.1888993,"INa"
"71","astemizole","170816_5_4B",0.3,14.24,12.12,-2.472014925,"INa"
"72","astemizole","170816_5_4B",0.3,14.24,17.33,3.603078358,"INa"
"73","astemizole","170816_5_4B",3000,14.24,99.71,99.66184701,"INa"
"74","astemizole","170816_5_4B",300,14.24,36.4,25.83955224,"INa"
"75","astemizole","170816_5_4B",0.3,14.24,21.87,8.896921642,"INa"
"76","astemizole","170816_5_4B",0.3,14.24,19.59,6.238339552,"INa"
"77","astemizole","170816_5_4B",0.3,14.24,23.01,10.22621269,"INa"
"78","azimilide","170816_5_3B",30,17.22,17.81,0.712732544,"INa"
"79","azimilide","170816_5_3B",3000,17.22,37.06,23.96714182,"INa"
"80","azimilide","170816_5_3B",18000,17.22,87.87,85.3467021,"INa"
"81","azimilide","170816_5_3B",18000,17.22,82.39,78.72674559,"INa"
"82","azimilide","170816_5_3B",30,17.22,26.74,11.50036241,"INa"
"83","azimilide","170816_5_3B",300,17.22,14.21,-3.636143996,"INa"
"84","azimilide","170816_5_3B",300,17.22,19.74,3.044213578,"INa"
"85","azimilide","170816_5_3B",30,17.22,25.39,9.869533704,"INa"
"86","azimilide","170816_5_3B",18000,17.22,86.65,83.87291616,"INa"
"87","azimilide","170816_5_3B",30,17.22,6.73,-12.67214303,"INa"
"88","azimilide","170816_5_3B",18000,17.22,77.44,72.74704035,"INa"
"89","azimilide","170816_5_3B",300,17.22,20.97,4.530079729,"INa"
"90","azimilide","170816_5_3B",30,17.22,17.22,0,"INa"
"91","azimilide","170816_5_3B",18000,17.22,85.38,82.33872916,"INa"
"92","azimilide","170816_5_3B",3000,17.22,66.89,60.00241604,"INa"
"93","azimilide","170816_5_3B",3000,17.22,36.35,23.10944673,"INa"
"94","azimilide","170816_5_3B",300,17.22,17.32,0.120802126,"INa"
"95","azimilide","170816_5_3B",18000,17.22,89.66,87.50906016,"INa"
"96","azimilide","170816_5_3B",18000,17.22,87.02,84.31988403,"INa"
"97","azimilide","170816_5_3B",18000,17.22,88.99,86.69968591,"INa"
"98","azimilide","170816_5_3B",30,17.22,13.42,-4.590480792,"INa"
"99","azimilide","170816_5_3B",300,17.22,6.98,-12.37013771,"INa"
"100","azimilide","170816_5_3B",3000,17.22,40.07,27.60328582,"INa"
"101","azimilide","170816_5_3B",300,17.22,15.36,-2.246919546,"INa"
"102","azimilide","170816_5_3B",3000,17.22,59.09,50.57985021,"INa"
"103","azimilide","170816_5_3B",300,17.22,13.86,-4.058951438,"INa"
"104","azimilide","170816_5_3B",18000,17.22,87.04,84.34404446,"INa"
"105","azimilide","170816_5_3B",300,17.22,15.55,-2.017395506,"INa"
"106","azimilide","170816_5_3B",30,17.22,11.78,-6.571635661,"INa"
"107","azimilide","170816_5_3B",3000,17.22,34.43,20.7900459,"INa"
"108","azimilide","170816_5_3B",30,17.22,9.8,-8.963517758,"INa"
"109","azimilide","170816_5_3B",300,17.22,22.93,6.897801401,"INa"
"110","azimilide","170816_5_3B",300,17.22,13.59,-4.385117178,"INa"
"111","azimilide","170816_5_3B",3000,17.22,41.33,29.12539261,"INa"
"112","azimilide","170816_5_3B",30,17.22,23.28,7.320608843,"INa"
"113","azimilide","170816_5_3B",300,17.22,19.05,2.210678908,"INa"
"114","azimilide","170816_5_3B",3000,17.22,46.37,35.21381976,"INa"
"115","azimilide","170816_5_3B",3000,17.22,31.93,17.76999275,"INa"
"116","azimilide","170816_5_4B",18000,11.97,88.55,86.99307054,"INa"
"117","azimilide","170816_5_4B",300,11.97,19.4,8.440304442,"INa"
"118","azimilide","170816_5_4B",300,11.97,16.15,4.748381234,"INa"
"119","azimilide","170816_5_4B",300,11.97,23.96,13.6203567,"INa"
"120","azimilide","170816_5_4B",300,11.97,18.19,7.065773032,"INa"
"121","azimilide","170816_5_4B",18000,11.97,89.99,88.62887652,"INa"
"122","azimilide","170816_5_4B",300,11.97,7.53,-5.04373509,"INa"
"123","azimilide","170816_5_4B",18000,11.97,76.92,73.78166534,"INa"
"124","azimilide","170816_5_4B",300,11.97,19.06,8.054072475,"INa"
"125","azimilide","170816_5_4B",18000,11.97,78.11,75.13347722,"INa"
"126","azimilide","170816_5_4B",30,11.97,13.93,2.226513689,"INa"
