ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
974.5,1.997,560.5,1.743,265.8,1.845
1008,1.947,581.9,1.806,238.1,1.829
947.2,1.919,470.3,1.908,243.2,1.476
1002,1.991,478.7,1.946,243.2,1.687
915.9,1.998,497,1.785,273.5,1.582
1044,1.886,501.9,1.991,294.1,1.531
1026,1.898,494.5,1.951,264.6,1.982
1072,1.937,500.6,1.895,260.1,1.898
1031,1.914,491.2,1.874,256.1,1.684
1155,1.842,545.7,1.934,273.8,1.975
940.4,1.812,498,1.799,245.5,1.489
939.4,1.92,489.9,1.997,216.4,1.152
958.6,1.945,488.8,1.89,270.7,1.716
943.9,1.989,473.3,1.976,235.1,1.542
944,1.992,466.1,2,227.9,1.492
1080,1.977,472.1,1.987,288.7,1.806
979.7,1.965,524.5,1.985,261.9,1.989
883.5,1.993,457.6,1.938,267.3,1.674
1043,1.993,491.6,1.857,245.2,1.422
971.8,1.972,478.8,1.941,284.6,1.767
1107,1.912,478.8,1.949,274.6,1.806
1168,1.946,568.7,1.734,244.4,1.98
912,1.931,525,1.998,212.9,1.236
1055,1.876,510.5,1.859,270.4,1.945
947.8,1.794,485.8,1.988,262.6,1.872
970.1,1.993,511,1.925,247.5,1.925
798.2,1.962,505.9,1.839,253.7,1.965
782,1.905,465.3,1.795,257.1,1.825
1051,1.832,479.6,1.849,266.7,1.799
1009,1.999,501.6,1.819,291.2,1.969
971.9,1.854,551.9,1.842,281.8,1.42
944.3,1.814,512.7,1.826,271.7,1.579
1127,1.972,503.4,1.929,278.5,1.831
1039,1.894,519.7,1.853,277.4,1.967
1148,1.965,536.4,1.751,259.7,1.645
930.6,1.935,501.3,1.848,250.2,1.773
1052,1.993,469,1.98,235,1.361
864.3,1.902,468.1,1.998,302,1.984
1046,1.945,471.4,1.825,219.8,1.462
860.8,1.988,502.8,1.803,186.1,1.143
899.3,1.98,534.4,1.707,269.8,1.637
965.3,1.974,506.6,1.597,272.5,1.46
1019,1.921,482.3,1.8,247,1.508
1101,1.918,477.8,1.983,222.9,0.8759
865.2,1.973,472.7,1.967,271,1.543
1103,1.978,509.6,1.933,296.3,1.968
935.6,1.997,540.9,1.861,273.2,1.972
1039,1.982,482.7,1.725,235.3,1.308
1032,1.889,551.7,1.905,255.2,1.851
1077,1.948,480.4,1.853,254,1.93
1004,1.929,524.4,1.858,287.5,1.836
1070,1.97,528.7,1.855,251,1.812
1051,1.988,560.2,1.859,260.8,1.567
1107,1.998,535.2,1.728,220,1.309
1018,1.986,498.5,1.99,206.6,1.489
979.2,1.966,551.4,1.634,254.5,1.638
987,1.997,474.3,1.885,265.9,1.571
928.1,1.986,517.2,1.863,270.1,1.62
1007,1.94,512.6,1.893,245.7,1.713
908.1,1.932,484.5,1.774,259.7,1.659
862.3,1.953,489.6,1.993,277.3,1.86
939.9,1.994,492.9,1.907,261,1.507
958.4,1.932,520.3,1.774,279.4,1.698
1129,1.736,455.3,1.988,265.4,1.654
1158,1.906,480.4,1.902,257.5,1.771
1233,1.981,452.8,1.994,268.4,1.655
1098,1.987,515.3,1.765,242.8,1.78
1092,1.975,467.7,1.794,187.8,1.315
930.7,1.994,502.8,1.671,260.3,1.928
871.2,1.909,521.8,1.948,221.1,1.496
912.6,1.988,485.1,1.832,284.4,1.387
925.9,2,499.9,1.744,276,1.716
1029,1.896,507,1.815,271.3,1.744
1239,1.952,494.3,1.906,275.9,1.919
1065,1.873,485.3,1.802,263.5,1.833
1001,1.961,489.4,1.668,279.5,1.571
1001,1.926,487.1,1.964,268.8,1.497
1059,1.983,482.8,1.866,280.2,1.633
1028,1.967,464.3,1.88,274.1,1.912
978.6,1.985,493.7,1.864,290.8,1.401
1051,1.976,497.8,1.841,303,1.822
1045,1.954,496.2,1.839,278.2,1.88
980.8,1.953,472.6,1.954,280.4,1.724
1081,1.914,535.9,1.941,279.4,1.823
1075,1.952,504.9,1.766,254.6,1.706
1024,1.976,508.3,1.82,300.8,1.95
1106,1.98,536.1,1.638,247.3,1.957
1107,1.998,593.9,1.732,270.2,1.804
985.4,1.917,486.5,1.929,258.1,1.926
1043,1.955,491,1.88,266,1.731
927.1,1.985,514.2,1.92,207.6,1.099
1052,1.815,504,1.922,204.2,0.9914
1082,1.995,541.5,1.564,241.9,1.771
984.8,1.961,532.6,1.826,267.4,1.532
1089,1.896,527.7,1.815,240.3,1.398
998.4,1.989,478,1.906,285.8,1.863
915.7,1.97,549.1,1.902,339.2,1.943
915,1.985,621.4,1.646,257,1.416
1001,1.971,656.1,1.434,256.9,1.568
984.5,1.866,574,1.484,248.9,1.993
912,1.905,541.2,1.967,227.9,1.737
1034,1.981,540.3,1.969,254.2,1.58
937.5,1.928,485.8,1.82,242.3,1.441
1003,1.861,457.8,1.979,263,1.846
985.8,1.855,513.7,1.743,251.1,1.295
1126,1.963,531.8,1.646,282.6,1.853
1102,1.992,489.4,1.809,281.7,1.805
1091,1.988,519.8,1.863,289.5,1.984
926,1.969,504,1.94,218.3,1.327
969.9,1.962,499.3,1.68,196.9,1.11
995.8,1.904,458.3,1.961,233.6,1.142
892.2,1.984,512.1,1.837,290.5,1.857
1000,1.938,475.6,1.917,242.3,1.96
901.3,1.998,480.9,1.754,253.6,1.405
900,1.976,531.3,1.73,263.6,1.889
854.5,1.989,479.3,1.946,243.4,1.693
1168,1.976,488.7,1.877,224.3,1.519
1027,1.995,483,1.977,239.8,1.386
978.6,1.994,496.5,1.949,325.3,1.797
985.4,1.941,483,1.942,291.8,1.696
881.7,1.979,501.3,1.922,238.6,1.364
932.1,1.981,571.1,1.838,282.2,1.833
977.7,1.947,493.3,1.674,278,1.774
953,1.909,490.6,1.776,264.7,1.849
1093,1.982,538.7,1.874,263.6,1.769
1110,1.999,506.5,1.943,242.7,1.951
946.9,1.992,496.8,1.988,263.8,1.367
903.5,1.903,540.5,1.732,296.1,1.262
923.6,1.942,499.9,1.959,247.2,1.617
1000,1.958,491.2,1.966,273.1,1.952
980.3,1.913,498.3,1.929,274.6,1.758
1055,1.882,491.4,1.991,251.7,1.854
1082,1.827,521,1.9,274,1.788
975.1,1.948,498.7,1.886,262.5,1.857
1070,1.93,460.8,1.96,256.5,1.946
816.1,1.966,477.3,1.931,276,1.681
1101,1.984,447.6,1.841,275.6,1.742
1014,1.926,474,1.995,218.2,1.843
957.8,1.983,501.3,1.897,243.6,1.889
1031,1.989,488.3,1.955,275.5,1.961
893.8,1.945,493.7,1.918,269.1,1.982
903.8,1.803,448.6,1.957,265.8,1.868
993.8,1.879,474.9,1.846,262,1.94
952.5,1.931,471.7,1.936,257.4,1.956
998.4,1.968,474,1.948,282.3,1.794
1132,1.996,481.4,1.883,254.3,1.944
1092,1.98,491,1.94,242.7,1.795
997.9,1.919,527,1.965,251.9,1.917
1075,1.986,499.5,1.991,270.3,1.974
963.1,1.934,529,1.718,270.5,1.685
1090,1.929,476.7,1.925,290.4,1.709
1002,1.971,473.4,1.933,255.9,1.244
1071,1.98,486,1.949,266.1,1.421
1029,1.998,455,1.843,298.8,1.938
1098,1.997,521.3,1.817,267,1.856
1048,1.987,544.7,1.871,263.4,1.753
1104,1.995,501.9,1.955,282.3,1.846
976.6,1.962,517,1.874,262,1.757
1005,1.925,492.3,1.892,228.3,1.752
1037,1.993,488.9,1.915,273.8,1.913
846.4,1.897,525.6,1.633,255.3,1.712
970,1.981,502.6,1.967,224.9,1.626
1008,1.979,523.5,1.936,250.5,1.99
966.7,1.973,474.9,1.966,273,1.945
1054,1.821,485.1,1.88,269.8,1.924
1077,1.992,517.4,1.867,260.9,1.94
1025,1.997,522.2,1.925,269.6,1.877
1064,1.99,502.9,1.897,252.2,1.831
940.1,1.978,497.4,1.879,259.1,1.962
1051,1.901,493.2,1.994,249.4,1.711
1078,1.991,516.4,1.781,286.3,1.762
953.4,1.954,518.1,1.897,251.2,1.745
957.3,1.942,496.8,1.803,256.5,1.444
903.4,1.984,521.7,1.868,263.3,1.996
903.1,1.997,523.8,1.99,256.2,1.938
925.9,1.996,527.1,1.913,290.3,1.99
1028,1.937,505.3,1.991,260.9,1.629
1079,1.972,480.3,1.951,247.2,1.817
1128,1.991,554.9,1.842,256.3,1.944
1024,1.977,487.6,1.964,286.6,1.918
969.6,1.98,490.9,1.748,274.4,1.639
920.8,1.991,479.2,1.939,310.6,1.747
1049,1.887,515.1,1.854,310.9,1.934
1004,1.927,499.2,1.803,276.3,1.966
956.5,1.94,478.8,1.945,263.7,1.69
982.2,1.897,548.8,1.825,273.4,1.977
976.8,1.989,493.1,1.993,256.1,1.83
943.2,1.986,505.7,1.73,297.5,1.786
946.4,1.914,556.1,1.701,254.9,1.96
1155,1.942,605.2,1.527,264.9,1.851
1079,1.835,565,1.769,294,1.988
1000,1.881,525.3,1.919,249.8,1.58
890,1.97,465.4,1.816,288.3,1.787
1016,1.97,500.2,1.884,304.5,1.678
937.2,1.974,517.3,2,281.3,1.986
1065,1.873,490.4,1.956,243.9,1.561
922.1,1.879,480.4,1.999,263.7,1.966
956.2,1.914,461.9,1.838,301.9,1.686
842,1.927,474.5,1.968,253.5,1.577
987.4,1.934,513.7,1.652,247.7,1.921
960.3,1.856,505.9,1.822,251.5,1.877
992.5,1.951,493.3,1.923,255.2,1.984
992.2,1.895,495.6,1.941,216.4,1.542
1154,1.871,486.3,1.833,271.5,1.432
978.7,1.988,494.3,1.884,280.9,1.56
923.2,1.987,491.7,1.957,264.8,1.973
1087,1.761,524.4,1.911,264.7,1.954
978.4,1.855,505.4,1.848,241.3,1.71
976.9,1.901,472.2,1.984,231.6,1.151
1001,1.905,526.3,1.96,250.4,1.495
1120,1.959,574.4,1.836,258.2,1.785
1322,1.895,483.2,1.97,257.2,1.676
1232,1.989,472.5,1.968,272.4,1.685
1003,1.993,531.9,1.829,253.9,1.77
914.7,1.951,505,1.835,238.5,1.527
1117,1.98,464.5,1.868,276,1.647
1128,1.942,481.3,1.809,255.3,1.744
919.1,1.993,515.6,1.963,259.7,1.635
959.7,1.987,517.5,1.906,236.8,1.63
990.7,1.948,514.8,1.849,267.3,1.688
1063,1.83,483.3,1.99,252.9,1.734
932.7,1.925,458.8,1.93,278.1,1.995
1010,1.989,505,1.847,269.6,1.987
920.2,1.993,510.6,1.796,272.5,1.947
875.2,1.986,493.7,1.942,224.1,1.564
1176,1.97,493.4,1.933,287.9,1.799
906.3,1.913,504.3,1.946,226.3,1.885
1118,1.942,480.3,1.978,261.9,1.819
1306,1.916,498.4,1.912,263,1.734
1012,1.776,504.5,1.921,264.1,1.778
1098,1.705,477.9,1.971,255.6,1.976
1166,1.881,551.8,1.76,267.7,1.964
1164,1.993,486.7,1.9,293.6,1.961
1117,1.972,526.8,1.525,266.7,1.869
1060,2,501.7,1.983,248.4,1.85
901.2,1.972,489.5,1.971,267.1,1.502
921.6,1.993,487.3,1.959,256.3,1.831
1009,1.887,509.9,1.957,299.4,1.424
1028,1.962,522.9,1.95,291,1.912
1065,1.931,510.8,1.98,246.5,1.702
1004,1.981,557.1,1.821,267.4,1.771
997.6,1.996,549.2,1.906,248.3,1.748
1089,1.998,519,1.989,259.1,1.455
909.8,1.923,514.7,1.763,309.5,1.733
1110,1.934,502,1.865,261,1.61
1129,1.996,488.6,1.684,264.7,1.852
874.1,1.904,521.4,1.787,239.1,1.589
1090,1.971,497,1.884,230.8,1.395
876,1.983,500.8,1.832,255.2,1.672
984,1.873,572.2,1.806,260.7,1.52
1114,1.938,522.7,1.788,262,1.464
1018,1.991,515.7,1.919,261.3,1.777
1021,1.973,504.4,1.925,272.8,1.659
922.7,1.944,532.9,1.74,280.3,1.436
865.7,1.937,599.9,1.68,220.2,1.433
942,1.944,492.9,1.855,304,1.883
1122,1.991,534.6,1.871,174.7,1.122
1245,1.972,526.6,1.98,196.3,1.006
1041,1.999,529.9,1.626,209.8,1.285
995.7,1.984,489.2,1.855,228,1.532
962.1,1.993,487,1.931,256.1,1.667
1044,1.996,487.5,1.83,236.7,1.351
1018,1.994,577.8,1.717,272.1,1.563
974.4,1.994,552.1,1.605,273.2,1.999
934.5,1.968,507,1.757,257.8,1.859
956.9,1.996,504.6,1.731,257.2,1.444
1094,1.86,596.4,1.53,281.9,1.719
1044,1.879,525.7,1.673,286.5,1.999
1023,1.97,514.1,1.804,271.1,1.772
1029,1.951,488.2,1.933,263.9,1.793
1050,1.951,490.5,1.847,290.1,1.85
