ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
14870,1.901,5501,1.377,4082,1.914
14220,1.521,5888,1.256,4031,1.732
14570,1.484,5430,1.319,3938,1.73
13500,1.441,5496,1.461,3764,1.65
14380,1.639,5523,1.484,3677,1.822
14550,1.912,5531,1.323,3926,1.496
15350,1.502,5077,1.26,4176,1.397
15110,1.943,5419,1.445,3955,1.642
13640,1.832,5206,1.299,3573,1.977
13700,1.832,5180,1.337,3567,1.835
14250,1.422,5638,1.384,3598,1.654
14300,1.983,5064,1.354,3330,1.608
15400,1.965,5326,1.29,3750,1.727
15880,1.626,5519,1.271,3741,1.799
14800,1.468,5142,1.422,3510,1.945
16530,1.614,5210,1.556,3961,1.871
14260,1.829,5486,1.437,3911,1.998
13410,1.712,5240,1.343,3586,1.897
17080,1.516,6040,1.306,3451,1.933
14780,1.642,5032,1.388,4142,1.921
14130,1.523,5442,1.356,3407,1.937
14600,1.742,5129,1.368,3854,1.892
14960,1.802,5544,1.519,3762,1.918
13800,1.857,5155,1.308,3896,1.851
14650,1.657,5265,1.37,4930,1.888
16170,1.65,5100,1.293,3900,1.722
13380,1.4,5372,1.328,3767,1.819
15420,1.92,5433,1.278,3301,1.507
14700,1.529,5268,1.398,4171,1.646
14670,1.548,5602,1.336,3644,1.926
14570,1.579,5356,1.226,3767,1.997
12320,1.638,5237,1.442,3355,1.631
14280,1.73,5874,1.282,3830,1.824
14910,1.56,5820,1.212,3440,1.902
14360,1.524,5031,1.344,3526,1.959
15110,1.49,5803,1.478,3876,1.704
14570,1.631,5382,1.226,3970,1.75
15030,1.774,5893,1.352,3921,1.467
14740,1.868,5156,1.405,4095,1.901
15220,1.795,5140,1.422,3846,1.655
15350,1.655,5675,1.305,3692,1.935
14210,1.81,5131,1.303,3432,1.743
13090,1.697,5567,1.364,3635,1.79
13010,1.86,5228,1.479,3774,1.736
15610,1.812,5557,1.322,3167,1.649
15030,1.839,5591,1.445,3598,1.771
15650,1.946,5754,1.317,3808,1.75
13570,1.217,5227,1.385,3663,1.483
16540,1.787,5793,1.414,3536,1.359
17260,1.301,5540,1.395,3626,1.365
16440,1.421,5724,1.329,3403,1.635
16100,1.468,5390,1.45,4276,1.812
15870,1.573,4965,1.52,3650,1.743
14060,1.398,5353,1.531,3812,1.737
15500,1.547,5598,1.287,3592,1.903
14480,1.92,5730,1.416,3957,1.94
14640,1.667,5281,1.36,3590,1.878
14180,1.958,5500,1.367,3558,1.826
13980,1.692,5202,1.293,3756,1.999
15440,1.951,5765,1.345,3859,1.908
12880,1.804,4931,1.386,3826,1.985
13820,1.668,5194,1.39,3447,1.483
14250,1.785,5105,1.418,3370,1.473
14820,1.808,5122,1.344,3656,1.69
14260,1.944,4678,1.243,3142,1.817
15310,1.788,5889,1.547,3760,1.915
15270,1.506,5302,1.476,3735,1.573
15790,1.845,5191,1.259,3202,1.428
14410,1.811,5002,1.417,3751,1.9
14110,1.467,5179,1.573,3480,1.942
14470,1.573,5355,1.355,3749,1.537
14860,1.987,5218,1.323,3775,1.416
16450,1.889,5334,1.369,3728,1.877
14750,1.699,5763,1.293,3902,1.895
14640,1.582,5450,1.471,3681,1.99
13940,1.4,5386,1.397,3839,1.817
14390,1.693,5486,1.342,3516,1.914
17730,1.758,5310,1.455,4128,1.587
16330,1.627,5260,1.289,4108,1.861
13640,1.844,5486,1.517,3640,1.99
13420,1.701,5770,1.304,3529,1.98
13800,1.645,5612,1.373,3182,1.703
14690,1.72,5476,1.394,3943,1.693
15870,1.958,5032,1.367,4219,1.792
15650,1.808,5109,1.345,4826,1.234
15390,1.68,5129,1.432,4215,1.903
15920,1.755,5216,1.462,3915,1.835
14320,1.875,5064,1.374,3885,1.887
15900,1.715,5356,1.362,3655,1.936
13390,1.715,5317,1.401,4143,1.997
14610,1.993,5186,1.384,3996,1.987
14780,1.957,5001,1.477,4942,1.993
15460,1.917,4891,1.357,4012,1.962
14650,1.812,5137,1.426,4110,1.833
14340,1.884,5374,1.499,4453,1.726
13140,1.669,5149,1.477,4422,1.824
14130,1.875,5381,1.369,3782,1.741
13670,1.749,5392,1.353,4023,1.875
15450,1.556,5438,1.389,4661,1.389
16250,1.721,5339,1.393,4004,1.682
15420,1.84,5556,1.383,3636,1.904
13810,1.783,5463,1.405,4118,1.955
15440,1.828,5382,1.28,4628,1.704
13540,1.505,5343,1.282,4329,1.258
13360,1.69,5129,1.318,3592,1.174
15600,1.671,5393,1.192,3688,1.291
14090,1.491,5380,1.387,4095,1.206
15200,1.747,5257,1.393,4974,1.755
