ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
406200,1.662,1115,1.895,513.2,0.5587
31260000,1.605,1528,1.341,736.3,0.6041
534400000,1.301,1373,1.417,477.3,0.5627
753800000,1.657,4703,0.8725,617.4,0.5551
5912,1.234,2835,1.069,820.8,0.51
4732000,1.416,4075,0.9913,1496,0.5244
276900000,1.927,3911,0.9558,935,0.6153
6.914e+09,1.379,2042,1.11,1377,0.5806
124200000,1.617,1563,1.391,475.7,0.574
10950000,1.914,984.3,1.966,961.8,1.436
1.713e+09,1.048,1530,1.49,5343,1.75
17860000,1.128,1155,1.534,1540,1.866
43230000,1.439,965.7,1.94,71630,1.197
108300,1.698,1502,1.418,3.634e+09,0.6914
172200,0.8194,5111,0.945,3.5e+08,1.021
3125000,0.7531,5587,0.9188,7.677e+09,0.748
62650000,0.8432,3229,1.108,8.167e+09,0.8287
351900000,0.8998,1439,1.226,2.786e+09,0.6685
226400,1.821,3318,0.985,362900000,0.8007
11770000,0.785,1284,1.525,150700000,1.687
121800000,1.429,1343,1.463,1031,0.6107
4.208e+09,1.559,3954,0.9155,381.8,0.5023
252400000,1.025,1625,1.329,386.5,0.5611
57960,1.009,3098,0.9141,27730,0.5012
9782000,1.188,1590,1.132,2701,0.5414
5.313e+09,0.6572,2623,1.042,3574,0.5533
57030000,1.331,1058,1.739,4717,0.536
988400000,1.162,1187,1.987,3450,0.5071
364900000,1.85,1063,1.876,2471,0.5014
50790000,1.963,1952,1.137,1864,0.5743
46940,1.853,846.1,1.891,490.2,0.5245
4.058e+09,1.763,1088,1.915,599.2,0.6082
96070000,1.493,1061,1.962,187.4,0.5382
4.673e+09,0.6811,1071,1.971,578.9,0.5642
5.866e+09,0.5138,1081,1.929,528.2,0.6304
217600000,1.02,927.9,1.933,3628,0.5579
768500000,0.5315,1059,1.877,373,0.6371
721500,1.206,911.4,1.981,1111,0.6709
41130000,1.06,1003,1.919,324.3,1.089
1.016e+09,1.419,958.4,1.955,645.5,0.555
462600000,1.772,1246,1.875,1552,0.5151
9087000,0.8636,893.5,1.938,1552,0.5151
392700000,1.267,1030,1.922,3730,1.112
306200,1.218,930.6,1.766,30650000,1.499
476500,1.179,1810,1.415,3.874e+09,1.36
8074,1.73,1643,1.502,6771000,0.6515
60210000,1.039,1286,1.553,868.4,0.6502
3485000,1.971,989.4,1.777,353.1,0.6273
473500000,1.472,1094,1.722,307.1,0.6367
140200,1.664,1645,1.268,303.2,0.6526
16590000,0.9971,972.7,1.917,1029,0.5741
2075000,1.628,7103,0.7677,781.1,0.5317
803700,1.695,2075,1.137,1039,0.6553
3161000,1.129,2000,1.176,690.9,0.6254
33060000,0.7008,6332,0.8836,302.7,0.5005
6.8e+08,0.6454,6160,0.8413,1782000,1.533
501200000,1.438,1823,1.271,2673,0.5897
