ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
2902,1.022,1128,1.908,432.8,1.594
2904,1.081,1227,1.967,423.6,1.597
2946,1.102,1093,1.985,438.4,1.663
2822,1.102,1057,1.998,429.4,1.631
3003,0.9901,1131,1.944,413.2,1.632
2944,1.21,1114,1.931,417.6,1.656
3093,1.136,1194,1.891,412.7,1.72
2914,1.204,1147,1.839,406.5,1.818
2890,1.141,1121,1.945,428.8,1.605
2915,1.194,1220,1.988,438,1.619
3353,1.032,1214,1.972,420.5,1.554
3257,1.027,1128,1.989,438.5,1.61
3098,1.055,1119,1.998,436.1,1.751
3060,1.015,1126,2,424.1,1.564
3445,1.038,1134,1.999,424.4,1.677
2961,1.094,1200,1.999,428.2,1.74
3117,0.932,1034,1.894,422.2,1.608
2912,1.014,1231,1.937,431.1,1.642
2812,1.103,1256,1.756,407.1,1.699
2947,1.005,1148,2,416.6,1.607
3036,1.066,1141,1.947,419,1.559
3317,1.127,1141,1.951,429.5,1.666
2960,1.106,1149,1.949,460,1.748
3055,1.036,1065,1.926,473.9,1.583
2853,1.155,1081,1.919,448.7,1.744
3228,1.116,1116,1.932,435.1,1.85
3016,1.02,1156,1.933,407.6,1.798
3109,1.197,1184,1.667,427.3,1.667
2832,1.506,1095,1.575,441.9,1.703
3038,1.217,1204,1.866,412,1.671
3148,1.198,1130,1.923,408.2,1.668
2911,1.227,1110,1.964,429.6,1.639
2991,1.28,1199,1.961,434.1,1.763
2934,1.129,1135,1.882,451.1,1.732
2895,1.113,1180,1.876,416.4,1.594
2796,1.131,1100,1.988,427.7,1.588
3004,1.136,1076,1.962,430.1,1.72
3223,1.084,1143,1.901,431,1.707
2952,1.113,1076,1.903,396,1.76
2950,1.014,1049,1.944,419.6,1.8
3082,1.045,1228,1.97,428.2,1.666
3167,1.036,1115,1.917,436.4,1.635
2930,1.004,1159,1.729,433.9,1.539
2724,1.157,1265,1.961,429.5,1.666
2991,1.006,1101,1.767,421.4,1.702
3180,0.9764,1093,1.703,435.2,1.647
3110,1.123,1098,1.981,441.2,1.666
2875,1.102,1251,1.913,436.8,1.62
3236,1.043,1131,1.982,463.1,1.599
3133,0.9796,1019,1.979,428.1,1.652
2907,1.054,1068,1.992,441,1.754
3182,1.112,1065,1.997,424.3,1.681
3053,1.231,1192,1.927,424.3,1.684
2890,1.286,1150,1.753,424.6,1.7
3072,1.038,1317,1.919,441,1.665
2878,1.186,1267,1.935,445.3,1.558
2874,1.119,1138,1.891,429.6,1.639
2746,1.244,1040,1.939,408.2,1.627
3008,0.9939,1081,1.924,422.5,1.599
2924,1.096,1031,1.89,406.7,1.713
2759,1.201,1103,1.964,430.2,1.732
3293,0.9827,1116,1.939,420.3,1.663
3354,1.004,1066,1.905,419.1,1.78
2606,1.333,1087,1.956,420.5,1.698
2997,1.095,1088,1.793,416.9,1.701
3009,1.102,974.2,1.616,427.4,1.719
3008,1.122,1142,1.612,414.9,1.599
3033,1.036,1076,1.81,430.2,1.689
3188,1.224,1105,1.929,435.4,1.795
2638,1.124,1058,1.985,427.3,1.595
3222,1.09,1169,1.986,413.4,1.709
2949,1.04,1185,1.926,432.3,1.691
3066,1.177,969.8,1.754,440.9,1.659
3135,1.118,1119,1.754,424.7,1.71
2863,1.15,1105,1.84,410.6,1.645
3014,1.056,1029,1.961,421.1,1.6
2849,1.239,1156,1.992,422.4,1.736
2980,1.136,1102,1.931,424.9,1.711
2988,1.117,991.1,1.891,408.3,1.692
3623,0.9301,1149,1.968,411.4,1.722
2816,1.149,1108,1.967,420.4,1.759
2718,1.084,1079,1.839,424,1.833
2893,1.277,1148,1.749,428,1.728
2712,1.072,1119,1.893,425.7,1.692
3063,1.019,1112,1.942,400,1.56
2546,1.097,1111,1.92,402.4,1.61
3023,1.034,1072,1.782,434.4,1.571
2866,1.242,1040,1.731,412.1,1.657
2749,1.202,1095,1.773,427.8,1.862
2540,1.315,1134,1.793,428.9,1.829
3022,1.012,1152,1.973,405.9,1.799
2600,1.144,1163,1.993,435.2,1.743
2824,1.246,1156,1.8,415.3,1.714
3094,1.185,1153,1.927,427.3,1.851
3110,1.106,1251,1.966,424.6,1.71
3097,1.16,1076,1.938,408.8,1.609
3167,1.038,1132,1.947,442.5,1.652
3110,1.049,1114,1.944,440.4,1.64
3014,0.9435,1195,1.97,443.3,1.591
3070,1.09,1040,1.897,434.5,1.541
2974,1.08,1139,1.935,417.8,1.53
2805,1.166,1076,1.895,429,1.787
3119,1.064,1165,1.957,411.8,1.698
2946,1.137,1162,1.889,424.8,1.615
3156,1.032,1185,1.873,426.5,1.731
3112,1.212,1101,1.892,447.2,1.594
3303,1.086,1077,1.992,422.1,1.708
2911,1.141,1078,1.982,439.7,1.662
3001,1.034,1110,1.732,425.3,1.751
3590,1.048,1091,1.962,413,1.599
3181,1.015,952.9,1.972,426.8,1.64
3112,1.11,1021,1.941,451.4,1.779
2843,1.078,1068,1.979,441.3,1.704
2764,1.186,1144,1.977,441,1.699
2897,1.009,1266,1.916,453.7,1.675
3218,0.8747,986.2,1.798,447.3,1.595
2865,1.129,1120,1.998,452.2,1.698
2856,1.269,1086,1.966,455.1,1.704
3173,1.128,1176,1.901,450,1.643
3611,0.9268,1140,1.99,427.1,1.634
3189,0.9744,1154,1.945,418,1.655
2826,1.356,1244,1.981,406.7,1.635
3025,1.101,1207,1.996,449.2,1.679
3061,0.9816,1078,1.948,419.3,1.557
2859,1.105,1057,1.969,416,1.739
3107,1.102,1114,1.996,423,1.739
3107,1.003,1221,1.965,436.6,1.714
2798,1.094,1174,1.974,431.2,1.692
3025,1.133,992.3,1.863,420.4,1.74
3222,0.8969,1103,1.633,434.5,1.631
3096,1.116,972.3,1.867,413.3,1.795
3038,1.136,1059,1.97,445.6,1.679
2758,1.198,1145,1.902,432.1,1.663
3044,1.011,1185,1.965,453.1,1.658
3168,1.082,1051,1.888,417.6,1.753
2821,1.217,1011,1.992,416.4,1.673
3147,1.052,1094,1.981,446.5,1.642
2715,1.11,1119,1.896,433,1.632
2872,1.226,1249,1.905,428.5,1.628
3498,0.9056,1082,1.856,415.3,1.741
2854,1.03,1155,1.946,432.3,1.726
2918,1.044,1134,1.941,419.3,1.796
3032,1.005,1107,1.853,433.2,1.686
3287,1.028,1100,1.892,447.4,1.575
2732,1.104,1149,1.923,418,1.682
3124,1.056,1187,1.908,451.7,1.646
2753,1.173,1125,1.978,424.3,1.595
2789,1.208,1175,1.866,421.2,1.666
2931,1.036,1223,1.847,420.4,1.799
3216,0.9435,1034,1.923,458.5,1.554
3247,1.016,1164,1.777,426.5,1.715
3242,1.111,1235,1.968,417.8,1.674
2977,1.044,1040,1.803,403.4,1.722
3083,1.024,1099,1.903,443.4,1.66
2750,1.235,1133,1.928,425.5,1.661
2696,1.192,1060,1.884,441.1,1.596
2864,1.035,1148,1.992,406.3,1.73
3004,1.183,1136,1.817,418.5,1.747
3308,0.9951,1247,1.806,435.1,1.696
2949,1.01,1244,1.845,421.6,1.685
2993,1.004,1128,1.908,421.6,1.642
2992,1.116,1084,1.956,427.7,1.78
2829,1.115,1147,1.978,428.1,1.891
2703,1.04,1154,1.976,413.6,1.653
3424,0.994,1035,1.934,422.4,1.764
