ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5.012e+09,1.616,61860,0.6581,662500000,1.741
2.348e+09,1.869,48080,0.6644,3.807e+09,1.805
1.753e+09,1.912,12760,0.8602,585200,1.032
5.094e+09,1.496,7745,1.13,231500,1.402
271700000,1.619,13600,1.04,2813000,1.136
8937000,1.666,1099000,0.6881,1.449e+09,1.729
30750000,0.6499,18470,0.8685,3507000,1.862
190800000,1.022,24120,0.8286,95260000,1.088
1176000,1.532,49310,0.867,8349,1.426
20410000,1.272,160900000,1.048,32360000,1.702
59850000,1.271,7.756e+09,1.568,1.132e+09,1.262
480900000,1.178,6.001e+09,1.304,247800000,0.8705
7.466e+09,0.8514,3206000,1.594,98040,0.8843
8371000,1.285,2661,1.919,453900,1.981
7354,1.631,1779,1.887,1.018e+09,1.514
995800,1.639,1698,1.96,24230,1.416
274800000,1.695,1689,1.945,5023,1.422
414800,1.351,1801,1.748,1.274e+09,1.1
15730000,0.7192,2170,1.927,40510,0.865
60490,1.92,244900,0.5208,88180,1.471
6056000,0.8586,8329,0.8783,16270000,0.9441
241500000,1.227,25330,1.191,24040,1.146
32020,1.519,6356000,1.617,734100,0.6233
1.822e+09,1.716,1828,1.619,1.148e+09,1.178
6157000,1.004,5453,1.642,57240000,1.654
684300000,1.204,11470,0.843,1483000,1.473
8636000,1.539,90780,0.7702,633400,1.534
4.612e+09,1.318,4377,1.588,29960000,1.437
676400000,1.886,2524,1.868,79220,1.384
98860000,1.602,8626,1.694,177500,0.5276
3363000,1.98,4096000,1.984,7490,1.156
24260,1.775,444200000,0.9918,48580000,1.012
1.448e+09,1.135,23910,0.9435,9617000,1.243
774500,1.282,119800,0.683,6.177e+09,0.5555
25890,1.998,796900,0.5102,13270,1.747
2123000,1.43,1320000,0.564,3.93e+08,1.664
228300000,0.8753,172600,0.5859,192400000,0.6494
15010000,1.816,238100,0.7024,72920,0.9616
98780,1.14,288800,0.534,296900,0.731
557100000,1.634,28540,0.7201,25250,1.334
