ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
131300,0.8057,453500,0.7861,142100000,0.7235
141000,1.14,549700,0.773,1.033e+09,0.961
145100,0.6425,388200,0.8211,4479000,1.023
297900,0.5177,561700,0.7402,854300000,1.173
472200,0.5199,311000,1.066,5.843e+09,1.007
160700,0.7772,238800,1.469,240600000,1.892
149200,0.5752,636700,0.7285,4.374e+09,1.591
250400,0.516,246900,1.242,371800000,0.6661
254900,0.5142,305300,0.9465,187200000,1.232
327900,0.5203,359400,0.8811,112400000,1.135
305800,0.5011,417100,0.8568,22480000,1.293
317100,0.7235,479000,0.8358,201800000,1.268
204700,0.5311,528600,0.8685,769600000,1.678
150400,0.9247,310300,1.047,8.481e+09,1.47
236100,0.5276,428600,0.9397,6863000,1.19
175900,0.653,255200,1.336,73900000,1.133
124900,0.9732,231100,1.194,1423000,1.77
131900,0.7064,250100,1.308,2.858e+09,0.5401
420300,0.5834,287500,1.019,1134000,1.909
410300,0.5629,287000,1.13,6.059e+09,0.7417
393400,0.5259,419700,0.8769,1.162e+09,1.269
245100,0.6291,191700,1.792,1.902e+09,1.044
207200,0.5169,215500,1.64,3.605e+09,0.9001
172700,0.5829,209000,1.393,147800000,0.9302
126700,0.5714,250800,1.342,4.859e+09,1.776
177200,0.578,345400,0.9766,106300000,1.774
194400,0.5228,356700,0.8922,449300000,1.883
271900,0.7425,651500,0.6746,10090000,1.429
149200,1.103,336700,0.931,184500000,0.6576
152300,0.6976,253300,1.179,5121000,0.7574
134500,0.6102,219700,1.346,65850000,1.276
293800,0.6041,225700,1.599,3.054e+09,1.803
389500,0.5568,378500,1.023,5.26e+08,1.299
156100,0.5991,451000,0.7642,3054000,1.846
132600,0.5451,440100,0.7793,3093000,1.479
150400,0.5247,295900,1.026,38360000,1.777
132800,0.7758,396000,0.9048,4.49e+09,1.66
134700,0.6003,477800,0.7376,14160000,1.238
116800,0.5373,887500,0.6814,22580000,0.7212
199800,0.5086,315700,1.197,6778000,1.623
230400,0.5285,383400,0.8567,2.987e+09,0.5639
198000,0.6472,601500,0.8424,86170000,0.514
104000,1.329,598000,0.6916,10300000,0.7383
196800,0.6361,505000,0.8182,1658000,1.801
102800,0.9605,291200,1.01,574100,1.787
116700,0.7225,277800,1.231,143400000,0.8239
85390,0.8917,479000,0.8746,3.466e+09,0.817
156400,1.16,285500,1.241,81790000,0.8022
219000,0.7254,536000,0.7776,110700000,1.502
202900,0.7345,537400,0.7355,184500000,1.292
145700,0.5281,277300,1.292,7950000,1.668
125800,0.6502,788500,0.6391,114900000,0.6662
160700,0.6136,398300,0.7913,77280000,1.09
142800,0.6466,317000,1.058,651100000,1.672
164600,0.5776,422800,0.9018,5.87e+08,1.182
288800,0.5521,403300,0.8445,3.688e+09,1.627
238600,0.5807,280100,0.9308,41730000,1.448
298700,0.5027,393200,0.7851,669300000,0.803
369900,0.5476,448700,0.854,1.063e+09,0.5817
83460,0.7272,454100,0.7099,5.79e+08,1.349
161700,0.6285,568400,0.8334,2.818e+09,1.581
166200,0.5708,510500,0.7532,42420000,1.417
219300,0.5504,340800,0.8558,7.667e+09,1.183
165900,0.5499,360100,0.8569,2.331e+09,0.7967
167100,0.7744,377700,0.9051,599800000,0.9779
219800,0.5947,453900,0.698,2046000,1.141
193100,0.5107,806600,0.5556,2.124e+09,1.391
222900,0.5396,293400,1.008,40970000,1.307
109300,0.5873,237400,1.244,3.888e+09,0.9946
134500,1.202,342700,1.078,5.882e+09,0.9181
120400,0.6648,493200,0.8529,93650000,0.7649
174500,0.7105,424900,0.8516,681700000,1.053
355400,0.535,382900,0.8502,343800000,0.5413
128200,0.5006,336200,0.8877,251800000,1.071
135000,0.5403,290000,1.045,1.497e+09,1.165
139700,0.5079,333200,0.9638,1.602e+09,1.972
297800,0.536,309700,1.103,4.337e+09,0.8349
171900,0.6623,302400,1.011,69370000,0.7768
223500,0.5316,533700,0.7982,15200000,1.779
205500,0.5133,328100,0.9213,55300000,1.636
192800,0.6026,339700,1.042,1.361e+09,1.159
145500,0.8152,356200,0.938,43500000,1.242
134300,0.6508,315800,1.013,22250000,0.7831
197800,0.6593,410300,0.9541,4.768e+09,1.62
235100,0.5222,471100,0.7707,95730000,1.031
187700,0.6128,414300,0.9143,1.554e+09,1.162
138900,0.8075,364900,0.861,257100000,1.057
111900,0.989,404600,0.8995,2.977e+09,0.613
105700,0.5425,502600,0.7582,608400,1.647
138700,0.743,275500,1.251,663200000,1.486
189900,0.8121,527300,0.6611,72100000,0.6294
163100,0.5514,513500,0.721,446300000,1.421
355100,0.5277,242600,1.191,4.119e+09,0.5881
191100,0.5939,295200,0.9538,127600000,1.328
208600,0.5315,343700,0.852,294200000,0.6366
228200,0.5222,386900,0.8386,32990000,0.6994
160700,0.728,364900,0.9328,1.431e+09,1.177
164100,0.6134,474300,1.03,149400000,1.664
279200,0.5272,307000,1.188,25770000,1.58
152300,0.5598,486100,0.8142,1799000,1.725
221900,0.7673,453100,0.7848,3272000,1.695
165100,0.7039,584300,0.6463,100500000,1.012
341000,0.5439,349200,1.101,41610000,1.32
302800,0.6355,254300,1.175,1.828e+09,0.9838
596500,0.5059,305100,1.132,625300000,0.9002
192000,1.189,390700,0.8353,9.343e+09,1.45
204100,0.5292,334000,0.9792,479900000,0.6328
353200,0.5091,281500,1.112,2.903e+09,0.7197
249600,0.6318,381600,0.9275,1.56e+09,1.345
