ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5059,1.304,9385,1.905,5804,1.875
4800,1.581,9000,1.964,5560,1.883
4163,1.206,8774,1.866,5785,1.658
4686,1.196,9000,1.872,6163,1.871
4302,1.16,9001,1.846,5784,1.888
4275,1.251,8905,1.964,5928,2
4443,1.132,9028,1.944,5307,1.835
4692,1.219,9094,1.967,5320,1.957
5082,1.268,8715,1.953,5938,1.816
4783,1.311,8819,1.966,5641,1.602
4915,1.245,8209,1.805,5929,1.859
4474,1.275,8838,1.829,5733,1.724
4456,1.18,9159,1.872,6064,1.983
4519,1.128,9552,1.696,5532,1.815
4863,1.229,9163,1.751,5409,1.938
4874,1.187,9112,1.936,5890,1.816
5116,1.3,8846,1.673,6023,1.999
4454,1.237,8662,1.827,5524,1.814
4532,1.24,8710,1.866,5751,1.808
4662,1.497,8863,1.848,5976,1.861
4484,1.437,8468,1.923,5664,1.824
4386,1.199,8795,1.929,5964,1.844
4658,1.223,8710,1.949,5652,1.728
4608,1.388,8760,1.923,5401,1.767
4327,1.176,9088,1.942,5885,1.999
4133,1.192,8533,1.928,5986,1.784
4671,1.222,8860,1.921,5353,1.929
4682,1.48,8368,1.938,5922,1.894
4318,1.092,8735,1.697,5723,1.895
4665,1.2,8694,1.616,5616,1.974
4910,1.291,8418,1.744,5563,1.867
4519,1.18,8309,1.79,5709,1.678
4516,1.068,9006,1.781,5655,1.84
4730,1.335,8459,1.978,5335,1.759
4128,1.11,8257,1.987,6085,1.958
4243,1.064,8741,1.874,5862,1.751
4427,1.074,8018,1.922,6046,1.97
4178,1.104,8491,1.883,5548,1.597
4690,1.143,8829,1.866,5295,1.667
4597,1.112,8811,1.731,5794,1.997
4255,1.203,9300,1.865,5911,1.783
4529,1.129,8065,1.92,5852,1.923
4321,1.214,8286,1.885,5801,1.93
4702,1.349,8628,1.747,5787,1.848
4293,1.254,7939,1.795,5869,1.814
4770,1.266,9010,1.891,5900,1.915
4546,1.168,8678,1.793,5655,1.873
4852,1.029,8795,1.923,6288,1.699
4390,1.245,8693,1.983,5403,1.58
4587,1.202,8567,1.919,5602,1.86
4726,1.219,8606,1.902,5784,1.969
4690,1.106,8625,1.815,5595,1.915
4699,1.224,8748,1.745,5526,1.782
4530,1.262,8712,1.822,5797,1.983
4638,1.295,8511,1.836,6322,1.862
4565,1.138,8183,1.784,5777,1.943
4443,1.163,8834,1.927,6225,1.781
4867,1.412,8340,1.985,6216,1.989
4762,1.316,8448,1.542,5922,1.862
4859,1.233,8706,1.43,6047,1.707
4561,1.354,8611,1.817,5272,1.88
4919,1.098,9626,1.78,6045,1.77
4846,1.227,8332,1.899,5831,1.781
4593,1.253,8699,1.959,5602,1.885
4652,1.312,9276,1.635,5598,1.858
4806,1.255,8743,1.941,5690,1.882
4125,1.141,9062,1.956,6082,1.917
4405,1.099,9454,1.986,5612,1.897
4583,1.162,8840,1.664,5537,1.87
4611,1.213,9394,1.932,5740,1.849
4565,1.173,9064,1.879,5869,1.87
4970,1.339,8493,1.983,5645,1.685
4374,1.191,8955,1.988,5502,1.929
4658,1.068,9314,1.947,5800,1.891
4009,1.151,9019,1.934,5946,1.777
4299,1.208,9334,1.667,5885,1.502
4402,1.18,9148,1.712,5231,1.829
4085,1.126,9566,1.89,5641,1.974
4203,1.163,9049,1.955,6059,1.883
5299,1.448,8793,1.914,5907,1.992
4252,1.173,8859,1.825,5757,1.963
4355,1.17,8406,1.921,5651,1.864
4799,1.449,8629,1.957,6046,1.987
4512,1.354,8664,1.942,5737,1.807
4122,1.121,8086,1.999,5850,1.987
4512,1.196,7662,1.87,5965,1.93
4635,1.189,8796,1.876,5914,1.946
4400,1.289,9253,1.899,5890,1.958
4792,1.452,9236,1.928,5783,1.876
4931,1.295,8812,1.933,5790,1.922
4300,1.339,8998,1.921,5745,1.969
4717,1.201,8985,1.848,5780,1.802
4979,1.259,9333,1.688,6351,1.839
5056,1.279,9076,1.822,5668,1.81
4540,1.191,9173,1.925,5840,1.87
4351,1.226,9289,1.692,5751,1.846
5112,1.291,8857,1.883,5904,1.905
4617,1.24,9102,1.814,5903,1.967
4166,1.207,9406,1.644,6049,1.978
4067,1.208,8490,1.606,5582,1.88
4510,1.046,9327,1.795,5498,1.979
4490,1.274,8990,1.704,6012,1.993
4417,1.276,9026,1.919,5805,1.862
4960,1.324,9361,1.689,6279,1.827
3988,1.166,7978,1.958,5551,1.843
4194,1.043,8252,1.92,5592,1.664
4885,1.224,8703,1.857,5852,1.947
4655,1.322,8897,1.77,5506,1.867
4703,1.187,8907,1.842,5801,1.778
4174,1.182,9000,1.942,5656,1.891
4402,1.114,8755,1.996,6014,1.873
