ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
7250,0.9419,26540,1.969,5182,1.087
6676,0.9157,25690,1.898,5706,1.327
8183,0.7971,25110,1.786,4847,1.146
7278,0.7631,23850,1.954,5512,1.013
7928,0.8404,25810,1.836,5798,1.098
6624,0.7755,24920,1.974,6053,1.122
7776,0.8414,24950,1.971,5676,1.298
6091,0.9041,26100,1.7,6390,1.155
6512,0.8,25190,1.829,5344,0.8862
7059,0.8617,25430,1.889,6364,0.9798
7139,0.8008,25440,1.912,4952,0.938
7165,0.8556,24200,1.698,4886,1.03
7212,0.741,24640,1.923,4810,0.9361
7682,0.9314,26510,1.81,5614,1.08
8087,0.9404,23990,1.835,5153,0.8573
9594,0.9678,26840,1.682,5663,0.9766
7217,0.7771,24990,1.729,6177,0.9384
7266,0.7676,24850,1.846,4873,0.8668
7452,0.7662,25130,1.818,5544,1.032
8118,0.8635,26540,1.768,5163,0.9337
8373,0.909,25340,1.83,5980,1.187
7234,0.8146,24810,1.856,5431,1.082
6927,0.8101,23630,1.885,5209,0.9948
7418,0.8797,24190,1.843,5323,1.075
7088,0.8337,24720,1.796,6063,0.9737
6865,0.8739,25420,1.788,6057,1.064
8049,0.8483,25320,1.909,6018,1.085
8467,0.9165,26560,1.879,5316,1.15
7467,0.7595,25010,1.772,5614,1.05
6601,0.8081,25090,1.928,5905,1.141
6972,0.8588,25660,1.875,5065,0.9269
7265,0.8171,24770,1.979,5896,0.9237
8426,0.9525,24920,1.817,5429,0.887
6545,0.842,24610,1.893,5913,0.9901
6593,0.8194,24300,1.902,5978,1.21
6505,0.9163,25590,1.894,5566,1.063
6517,0.7671,25610,1.838,6396,1.222
6716,0.7347,24540,1.804,5877,0.9818
7187,0.8545,23540,1.725,6449,1.114
7411,0.8633,25250,1.911,5494,0.8438
6408,0.7772,25340,1.888,4964,0.9395
7431,0.7646,25190,1.808,5882,0.8813
8391,0.8475,25670,1.88,5752,1.104
6862,0.8536,23730,1.779,6170,0.935
7288,0.7812,23630,1.912,5529,0.8156
7737,0.9184,25720,1.686,5042,0.8643
7854,0.8418,25990,1.77,6072,1.242
8176,0.8811,25040,1.872,5338,1.245
7886,0.8645,25610,1.849,5183,0.9633
7637,0.7585,24830,1.877,5281,1.041
8156,0.7666,24360,1.772,6032,1.197
8059,0.8593,25890,1.789,4587,0.9401
7298,0.7326,23720,1.846,4979,0.8903
7177,0.8199,24710,1.96,5848,0.9931
6878,0.8233,24820,1.912,4624,1.013
7250,0.9003,24360,1.827,4699,1.153
8452,0.8477,25490,1.66,6395,1.075
7207,0.871,25590,1.873,5597,1.06
8254,0.8018,24040,1.762,4963,0.843
6763,0.8576,24710,1.844,5363,1.037
7267,0.8225,24250,1.798,5635,1.017
7360,0.7888,25640,1.833,5184,0.9357
8295,0.9126,26190,1.695,4463,0.8077
7988,0.7981,25810,1.997,4836,1.134
7819,0.8455,25250,1.693,4529,0.9098
8172,0.8446,23590,1.977,4929,0.8681
7156,0.8663,23870,1.837,6090,0.9966
6374,0.7314,25230,1.864,5667,1.031
7557,0.7703,25300,1.803,6089,0.9214
8181,0.838,25170,1.951,4714,0.9511
7504,0.8682,25340,1.842,6000,1.02
5846,0.7756,24550,1.875,6548,1.112
7185,0.9019,24190,1.896,5363,1.071
7443,0.8997,23790,1.664,5039,0.9812
7039,0.7473,26350,1.938,6347,1.007
6555,0.7912,24700,1.885,6519,0.8214
8004,0.9507,25700,1.858,5773,1.07
7707,0.9026,24290,1.895,5563,1.017
8222,0.8244,24410,1.769,5646,0.9974
7856,0.8689,25120,1.919,5180,1.049
8303,0.863,24870,1.889,5892,0.9508
8308,0.872,23190,1.815,5158,0.8832
7543,0.85,26040,1.866,5141,1.012
7352,0.8269,24750,1.814,5422,1.021
8022,0.8498,26330,1.731,5589,1.135
7600,0.7501,24100,1.875,6419,1.173
7569,0.8428,24240,1.772,5538,1.158
7851,0.8635,24870,1.737,4984,1.13
7753,0.8489,24340,1.965,5755,0.9744
7053,0.7835,24500,1.85,5020,1.105
6736,0.7076,24520,1.8,6118,1.035
6119,0.8298,23550,1.949,6931,0.9362
6679,0.7657,24830,1.92,5724,1.234
7834,0.8526,23060,1.927,5407,1.138
7027,0.8737,23570,1.758,4826,0.706
9884,0.9231,24440,1.804,4995,1.109
7219,0.9773,23880,1.954,5717,0.9329
7944,0.8412,25650,1.91,6728,1.309
7212,0.8698,24720,1.725,6201,1.028
7074,0.9197,23560,1.74,6106,0.8725
7107,0.7913,23960,1.902,4949,1.001
8784,0.8859,25340,1.924,5589,1.12
8087,0.8201,25470,1.849,5484,0.9032
7165,0.793,24180,1.775,4931,0.9734
7457,0.8346,25850,1.871,5182,0.9842
7234,0.7821,24930,1.947,5581,0.9743
7433,0.8956,26360,1.934,5748,1.083
7919,0.8945,23410,1.847,4844,1.064
7057,0.8072,23150,1.822,5409,0.888
7740,0.8278,23330,1.983,6010,1.203
6452,0.8055,24360,1.985,5014,0.9457
8810,0.8923,24500,1.769,5260,0.8721
7081,0.803,24680,1.791,5249,1.061
6324,0.8749,25470,1.809,4879,0.8984
6935,0.7886,25560,1.869,5432,0.9529
6932,0.8235,24130,1.762,5228,0.9126
7195,0.8006,25110,1.886,5164,0.9279
7177,0.8209,23610,1.832,6205,0.9105
6968,0.8137,24780,1.752,6412,1.187
7220,0.8503,25660,1.942,6358,1.153
7728,0.8365,24660,1.921,5518,1.029
7899,0.8938,24530,1.745,5806,1.047
7569,0.8902,24240,1.763,4922,0.9227
7446,0.8716,24180,1.652,5318,0.8953
7159,0.8525,26240,1.812,5560,0.9664
7413,0.901,26600,1.745,4853,0.8548
7882,0.8507,26130,1.94,5946,1.031
7631,0.8144,25640,1.994,5128,0.8997
7829,0.8874,24870,1.691,5355,1.044
7127,0.8697,24710,1.993,5648,1.069
8798,0.8786,24730,1.86,5466,0.9454
7372,0.8637,26580,1.831,7306,0.9814
6081,0.8841,25780,1.9,5408,1.148
6624,0.714,26750,1.908,6336,1.22
8153,0.8283,25000,1.956,5704,1.15
8844,0.9039,25440,1.969,5158,0.9492
8685,0.9496,23960,1.81,5651,1
7785,0.8084,25220,1.907,5542,1.049
7112,0.7596,25120,1.957,6364,0.9446
7842,0.8254,25500,1.741,5943,1.074
8110,0.8393,24170,1.833,5517,1.157
7964,0.7019,25710,1.775,5180,0.9606
7759,0.79,26580,1.954,4498,1.096
7071,0.8819,26220,1.883,6128,1.074
7925,0.7627,24980,1.966,5822,1.028
7811,0.8068,25010,1.922,5772,0.9819
8284,0.8606,25300,1.999,5422,1.173
7218,0.7979,25260,1.96,5552,0.875
6971,0.7914,25250,1.745,5302,1.169
7444,0.7555,25030,1.816,5035,0.9658
8231,0.8576,27090,1.954,5277,1.042
6905,0.7779,25220,1.917,4708,1.047
7526,0.8521,24560,1.901,5291,0.9944
6770,0.7478,24730,1.797,5809,1.184
7281,0.8256,24560,1.778,5687,0.9621
8364,0.8063,24730,1.929,5865,0.9397
8166,0.9041,25820,1.81,6163,1.099
8118,0.8218,25730,1.819,7279,1.224
7441,0.8296,25000,1.814,4959,1.043
7432,0.8479,24160,1.774,4979,0.9411
7777,0.7714,23400,1.704,5555,1.009
