INa_IC50,INa_h,INaL_IC50,INaL_h
2.716e+09,1.815,32200,0.6766
2.506e+09,1.992,34730,0.603
2.667e+09,1.866,43310,0.5167
2.292e+09,1.969,37020,0.5224
2.333e+09,1.971,45100,0.5181
2.531e+09,1.886,34100,0.5095
2.463e+09,1.939,27620,0.608
2.477e+09,1.944,35340,0.6817
2.477e+09,1.932,42400,0.686
2.466e+09,1.935,22420,0.5491
2.414e+09,1.845,27310,0.592
2.405e+09,1.905,33190,0.5612
2.23e+09,1.905,49690,0.5406
2.08e+09,1.934,31180,0.5492
2.622e+09,1.859,59280,0.5466
2.298e+09,1.894,26390,0.583
2.348e+09,1.846,23650,0.5904
2.217e+09,1.96,53260,0.5339
2.41e+09,1.673,40140,0.5271
2.849e+09,1.829,46390,0.5111
2.592e+09,1.956,44070,0.5532
2.367e+09,1.979,32710,0.5586
2.346e+09,1.99,36490,0.5622
2.349e+09,1.92,45760,0.5292
2.192e+09,1.976,53040,0.5595
2.482e+09,1.982,33360,0.561
2.533e+09,1.852,38190,0.5991
2.712e+09,1.886,34240,0.5084
2.842e+09,1.914,33140,0.5151
2.643e+09,1.976,35130,0.5791
2.404e+09,1.971,29170,0.6077
2.445e+09,1.994,33790,0.5208
2.538e+09,1.958,44890,0.5586
2.676e+09,1.957,46210,0.5156
2.342e+09,1.978,41960,0.5297
2.887e+09,1.806,34830,0.5376
2.446e+09,1.901,39520,0.5143
2.732e+09,1.792,58270,0.5478
2.374e+09,1.896,59500,0.5503
2.483e+09,1.985,49390,0.5365
2.453e+09,1.998,42110,0.5245
2.373e+09,1.973,36680,0.6351
2.388e+09,1.975,44560,0.5053
2.385e+09,1.906,36680,0.5084
2.326e+09,1.95,32030,0.5199
2.418e+09,1.926,39160,0.5077
2.403e+09,1.967,35380,0.5053
2.188e+09,1.906,38780,0.5436
2.36e+09,1.974,34580,0.5504
2.122e+09,1.978,37950,0.5004
2.569e+09,1.91,37530,0.5182
2.72e+09,1.711,32260,0.538
2.461e+09,1.753,45900,0.51
2.389e+09,1.687,22520,0.5978
2.253e+09,1.979,41410,0.6369
2.415e+09,1.602,50070,0.6841
2.399e+09,1.987,80500,0.6406
2.216e+09,1.973,57980,0.6298
2.291e+09,1.956,44570,0.5757
2.407e+09,1.974,38760,0.5211
2.457e+09,1.997,45360,0.5344
2.404e+09,1.947,31200,0.5542
2.501e+09,1.743,51300,0.5873
2.289e+09,1.951,31810,0.5662
2.491e+09,1.87,42880,0.6735
2.566e+09,1.913,41510,0.5651
2.652e+09,1.782,44880,0.6455
2.408e+09,1.996,41300,0.5782
2.391e+09,1.937,44540,0.5765
2.455e+09,1.825,51380,0.6336
2.298e+09,1.845,32900,0.6314
2.323e+09,1.915,27280,0.5379
2.12e+09,1.995,40410,0.6817
2.254e+09,1.996,38520,0.5793
2.552e+09,1.975,46330,0.5473
2.357e+09,1.999,23920,0.5801
2.236e+09,1.974,32340,0.6201
2.366e+09,1.972,30950,0.5171
2.399e+09,1.985,38440,0.593
2.372e+09,1.994,61910,0.5137
2.455e+09,1.965,53230,0.7322
2.402e+09,1.984,21490,0.5689
2.506e+09,1.985,34960,0.5376
2.512e+09,1.98,30640,0.7448
2.602e+09,1.706,21250,0.5908
2.522e+09,1.995,35660,0.673
2.56e+09,1.801,43140,0.556
2.504e+09,1.975,35470,0.6645
2.512e+09,1.722,28200,0.5685
2.292e+09,1.904,31130,0.6737
2.92e+09,1.746,36570,0.7538
2.304e+09,1.973,35000,0.5443
2.262e+09,1.938,29950,0.5662
2.455e+09,1.965,26830,0.5067
2.534e+09,1.88,36910,0.5856
2.535e+09,1.944,29730,0.5847
2.347e+09,1.953,33230,0.5878
2.492e+09,1.878,40840,0.5533
2.561e+09,1.852,40000,0.5507
2.573e+09,1.964,41110,0.597
2.601e+09,1.891,61860,0.5302
2.463e+09,1.946,40400,0.6816
2.508e+09,1.865,24510,0.5851
2.451e+09,1.886,42930,0.7692
2.499e+09,1.937,44170,0.8528
2.376e+09,1.993,39260,0.8922
2.2e+09,1.959,50290,0.7481
2.487e+09,1.987,31430,0.5108
2.47e+09,1.965,44450,0.6011
2.334e+09,1.927,38190,0.5727
2.564e+09,1.764,39440,0.6096
2.367e+09,1.855,50080,0.5585
2.415e+09,1.909,44670,0.5686
2.744e+09,1.756,49130,0.5786
2.424e+09,1.949,20470,0.5557
2.452e+09,1.812,27200,0.7027
2.672e+09,1.674,33910,0.5118
3.714e+09,1.494,28770,0.6335
2.968e+09,1.707,31640,0.6685
2.912e+09,1.988,36580,0.6678
2.442e+09,1.804,52080,0.9054
2.418e+09,1.943,31670,0.5521
2.418e+09,1.93,70570,0.53
2.422e+09,1.986,37360,0.5279
2.522e+09,1.983,27920,0.6603
2.675e+09,1.997,27310,0.5956
2.723e+09,1.899,34830,0.5629
2.871e+09,1.623,41150,0.531
2.318e+09,1.912,40440,0.5235
2.168e+09,1.971,27280,0.567
2.262e+09,1.964,29890,0.5568
2.306e+09,1.947,29730,0.723
2.339e+09,1.897,41490,0.563
2.772e+09,1.85,29710,0.5061
2.985e+09,1.898,44960,0.5117
2.733e+09,1.884,32470,0.5394
2.822e+09,1.96,37830,0.5407
2.691e+09,1.878,48460,0.5218
2.406e+09,1.777,42120,0.542
2.678e+09,1.65,37500,0.6222
2.296e+09,1.956,32810,0.6663
2.834e+09,1.884,35130,0.7196
3.096e+09,1.455,39960,0.5885
2.717e+09,1.787,57180,0.6042
2.846e+09,1.795,60380,0.6024
2.662e+09,1.98,37620,0.5352
2.561e+09,1.978,31770,0.6548
2.308e+09,1.967,37120,0.5598
2.392e+09,1.959,40110,0.5271
2.477e+09,1.999,62840,0.5435
2.479e+09,1.975,30620,0.6221
2.317e+09,1.886,38090,0.5321
2.285e+09,1.943,44540,0.6152
2.278e+09,1.84,44220,0.5065
2.557e+09,1.809,37970,0.734
2.47e+09,1.972,77400,0.5724
2.717e+09,1.967,69880,0.5594
2.21e+09,1.851,52040,0.5691
2.416e+09,1.861,44320,0.5089
2.344e+09,1.979,47290,0.5063
2.247e+09,1.996,41250,0.5195
2.514e+09,1.903,44710,0.548
2.846e+09,1.815,40170,0.5542
2.679e+09,1.953,30670,0.5701
2.267e+09,1.968,32050,0.5449
2.817e+09,1.826,42100,0.5815
2.52e+09,1.763,44220,0.5514
2.586e+09,1.8,33960,0.529
2.41e+09,1.966,45310,0.619
2.577e+09,1.979,52350,0.5676
2.458e+09,1.909,46010,0.5309
2.278e+09,1.998,49510,0.5391
2.42e+09,1.89,30230,0.5534
2.212e+09,1.99,48160,0.5259
2.265e+09,1.923,41770,0.5676
2.362e+09,1.986,25740,0.5063
2.57e+09,1.855,26990,0.5817
2.19e+09,1.946,34490,0.5274
2.449e+09,1.83,37180,0.5031
2.203e+09,1.89,40240,0.5719
2.467e+09,1.985,61450,0.5381
2.329e+09,1.997,25050,0.6289
2.271e+09,1.937,24560,0.6219
2.342e+09,1.865,34570,0.5286
2.443e+09,1.939,29230,0.624
2.654e+09,1.998,55190,0.5952
2.548e+09,1.926,29270,0.65
2.463e+09,1.983,35800,0.579
2.433e+09,1.997,30610,0.6741
2.522e+09,1.888,44590,0.6173
2.668e+09,1.984,33160,0.6446
2.301e+09,1.953,25950,0.5931
2.363e+09,1.983,47340,0.514
