ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
127500000,1.907,2.138e+09,1.594,6.433e+09,1.357
36130000,1.949,229000,0.9962,81800000,1.56
263400,1.865,208400,1.525,47360000,0.8733
232500000,0.8094,475100,0.8197,4.162e+09,0.7591
148300000,1.876,20480,1.279,38130,0.7276
8309000,1.78,2.03e+08,1.327,1578000,1.652
3049000,1.53,4.928e+09,0.6542,8.2e+09,1.843
87790000,1.701,843300000,1.522,4.811e+09,1.941
17660000,1.894,5855000,0.9744,5460,1.871
402000,1.839,8.844e+09,1.374,265900000,0.7489
648600,0.8975,1.209e+09,1.546,1.595e+09,1.824
353500,0.9336,2029,1.673,1.264e+09,1.219
25710000,0.8366,7021,1.592,35890000,1.707
285500000,1.064,246200000,0.7279,165100,1.183
86360000,1.857,47610,1.032,10330000,0.5205
11880000,1.793,4553,1.356,87270000,1.007
85340000,1.425,81080000,0.6596,408300,1.661
67060,0.8713,51900000,0.6484,1982000,1.582
1100000,0.9645,26100000,1.951,390100000,1.411
19690000,1.855,8230000,1.644,4014,1.319
326900,1.1,3366000,1.479,4874,1.404
158800,1.004,30160,1.002,93640,1.116
428900,1.186,3.465e+09,0.7386,22510000,0.9566
592800,1.516,837600,1.978,88600000,1.875
18370000,0.7107,11770,1.929,138600000,0.6763
216900000,0.6099,1909000,1.257,2.325e+09,0.7503
10990000,1.745,14740000,1.121,13600,1.604
488100000,1.595,251200000,0.9518,4897,1.475
911200000,0.837,74400,0.925,121000,0.8242
70010,0.8319,204700,1.007,2850000,1.886
292900,1.522,14940,1.409,293700000,1.698
46640000,0.7557,363100,0.9022,143600000,0.9778
25230000,1.275,21350000,1.183,67050,1.556
11360000,0.5428,449600000,1.208,12550,1.459
3.661e+09,1.482,248600000,1.152,19560000,0.8849
4.179e+09,0.6496,7.209e+09,0.9026,3305000,0.8515
13950000,1.406,4616000,1.7,14510000,0.6873
972000,1.37,1880,1.539,183200,1.208
48220000,1.721,202200,1.892,2704000,1.698
338200000,0.9489,1.58e+09,0.7148,7139000,1.633
1153000,1.99,208700000,0.6594,112500000,1.812
14450000,1.221,5940000,1.643,2510000,0.5896
5.847e+09,0.8638,564200,0.9636,106800000,0.5672
243700000,1.574,126900000,1.382,313500,1.749
3.714e+09,1.84,30820000,1.465,848600,0.8922
30400000,1.27,2.504e+09,0.9367,1.184e+09,0.8456
9.001e+09,1.497,13900,1.14,2.352e+09,1.703
768100,1.191,30080,1.59,50920000,1.701
10210000,1.648,3450,1.318,29830000,1.724
