ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
11160,1.089,3968,1.249,1200,1.245
13310,1.649,4150,1.269,1059,1.048
11670,1.061,4028,1.29,1117,1.01
14070,1.396,4054,1.266,1208,1.245
10580,1.073,3980,1.212,903.4,1.019
13940,1.041,4085,1.265,1009,1.061
13270,1.096,3902,1.274,958,0.9781
12790,1.51,4234,1.222,866.6,0.7795
14970,1.222,3904,1.18,858.8,0.9051
15010,1.182,4250,1.23,1311,1.222
13990,1.438,3899,1.181,1108,1.069
10800,1.091,3967,1.193,1186,0.9578
10950,0.9331,3682,1.245,954,1.049
12560,1.37,3632,1.322,933.4,0.9081
12840,1.141,4037,1.233,1241,1.189
12470,1.337,3863,1.312,1067,1.166
13250,1.237,4294,1.172,872.7,1.036
13110,1.415,3941,1.317,816.9,0.8626
15980,1.435,4022,1.267,951.7,0.9737
11990,1.211,4247,1.227,1188,1.155
13330,1.532,4326,1.224,939.1,1.077
13700,1.097,4091,1.262,1085,1.101
15710,1.134,3930,1.257,957.3,1.049
13880,1.617,4277,1.114,1108,0.991
13270,1.406,3945,1.277,1197,1.12
14480,1.386,3853,1.379,1310,1.112
11730,1.434,3982,1.411,1048,1.084
12950,1.157,4012,1.268,1101,0.998
12710,1.259,3999,1.286,892.1,1.001
14040,1.012,4002,1.289,1272,1.11
12070,1.081,4039,1.27,1098,1.077
15500,1.252,3833,1.183,1435,1.018
13020,1.501,4226,1.249,1041,1.144
13160,1.127,4104,1.239,956.5,1.005
13640,1.128,3827,1.324,1111,0.8589
13130,1.157,3769,1.355,1107,1.223
13280,1.332,3626,1.301,1044,0.9408
14410,1.14,3856,1.28,1123,1.045
15540,1.54,4200,1.241,1380,1.254
13130,1.712,4069,1.21,943.5,0.9904
15530,1.783,3861,1.281,1040,0.9318
12330,1.389,4240,1.315,1184,1.019
13710,1.083,3966,1.214,1142,1.06
13840,1.31,3706,1.22,1202,1.072
12710,1.239,4018,1.272,925,1.306
14620,0.9646,4064,1.173,1069,1.126
14960,1.214,4248,1.261,1032,1.037
15620,1.41,3947,1.252,1091,1.103
15090,1.119,3735,1.309,1279,1.211
12530,1.154,3974,1.316,994.9,1.233
12880,1.04,4003,1.248,1134,1.299
11200,1.156,4141,1.213,1048,0.9508
14450,1.376,4105,1.204,1131,1.045
13710,1.255,3895,1.361,1159,0.9497
12890,1.733,4182,1.339,1279,1.167
