ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
10980,1.103,7008,1.145,1658,1.485
9104,0.9591,6169,1.211,1323,1.105
10110,1.153,6023,1.207,1193,0.8416
11500,1.058,6945,1.234,1233,0.9884
9251,1.109,5763,1.045,1365,1.243
7989,1.055,6261,1.154,1005,0.9909
7907,1.007,5680,1.107,973.3,1.332
7659,0.9883,6145,1.082,653.7,0.8508
8398,0.9839,5747,1.109,696.9,0.8359
7922,1.126,6474,1.172,1187,1.093
10820,0.9,6547,1.027,885.7,0.9664
10990,0.8749,6238,1.188,1348,1.765
9967,0.9591,7278,1.237,1442,0.8255
10680,0.912,6124,1.074,1403,1.578
8183,0.944,6728,1.169,968.7,0.9312
8543,0.9335,6145,1.077,1022,0.9803
7752,0.985,5812,1.052,1454,1.317
9163,1.036,6845,1.221,1358,1.061
8485,0.9449,6987,1.145,829.8,0.7924
8172,1.044,5962,1.127,834.1,0.9611
7779,0.8575,5964,1.141,977.2,0.6722
8558,0.924,6477,1.164,1033,0.768
8918,1.046,6221,1.113,1035,0.8949
7554,1.126,6105,1.136,1308,1.429
8954,1.131,6486,1.158,1198,1.338
11120,0.996,5619,1.121,868.4,1.068
9429,1.044,5602,1.195,659.2,0.8819
9410,1.06,6695,1.14,830.8,0.9318
9947,0.8842,6725,1.135,1171,1.192
9245,1.2,6368,1.154,1401,1.089
9294,1.128,5621,1.23,937,1.057
8880,0.9169,6037,1.145,1079,1.092
10910,0.9422,6074,1.134,1049,0.8669
9358,1.204,6084,1.168,701.3,0.8124
6728,0.9984,6621,1.242,1524,1.059
9537,1.067,5631,1.207,1089,1.099
9378,1.065,5457,1.109,1108,0.5846
9412,0.879,5903,1.178,748.7,0.5639
9992,1.388,6317,1.068,765.7,0.7156
9298,1.181,6847,1.065,787.6,0.7287
10560,1.158,6094,1.121,1431,1.119
10090,0.9735,6478,1.06,885.4,1.087
7688,1.122,6637,1.211,806.4,0.6861
8240,1.091,6226,1.152,795,0.9498
7996,1.047,6401,1.134,1256,1.05
9398,1.036,6208,1.178,1115,0.8523
8151,1.117,6954,1.124,944.1,0.9153
8630,1.342,6048,1.156,1205,0.9589
7942,0.9676,6497,1.109,1168,1.096
11430,0.9951,6524,1.168,1126,1.622
9870,1.06,6135,1.102,902.4,1.243
6981,0.8081,6663,1.139,1052,1.107
7777,0.9243,6179,1.12,1412,1.091
9126,1.252,6311,1.162,1047,1.141
10900,0.9136,6669,0.9608,861,0.697
10510,1.013,7008,1.114,753.9,1.425
8940,1.127,6374,1.101,981.5,0.7633
7674,1.07,7449,1.245,1103,0.9256
8626,0.9726,6499,1.086,1060,0.9944
12850,1.094,6682,1.045,775.7,0.6919
8594,0.9624,6351,1.14,1064,0.9287
9998,1.16,5622,1.046,1099,0.985
8220,1.067,6582,1.142,1166,1.161
8692,1.097,6558,1.117,941.8,1.022
9516,1.047,6119,1.092,923.1,0.8585
9202,1.193,5793,1.095,785,0.8188
9149,0.9298,6550,1.12,1132,0.9912
8935,1.189,6093,1.178,1130,1.001
9575,1.046,5664,1.216,951.4,1.118
10450,1.194,5781,1.174,987,1.24
10650,1.076,6985,1.225,1234,1.441
7674,1.014,6476,1.21,794.8,0.7246
7911,1.057,6106,1.148,1207,1.042
11140,1.063,5847,1.203,767.4,0.7433
8228,1.048,6211,1.156,967.2,0.9631
10030,1.06,6001,1.085,1369,1.089
8497,0.8992,6548,1.133,940.8,0.9757
9724,0.8645,6306,1.157,1019,0.9868
8170,0.8576,6503,1.124,1357,1.423
7323,1.088,6017,1.199,725,0.7555
9087,1.22,6969,1.194,1174,1.051
11350,1.091,6961,1.116,1404,1.987
9111,0.9859,6463,1.085,1329,1.923
7141,1.064,5461,1.054,957.2,1.494
9425,1.059,5495,1.146,1089,1.05
9811,1.299,6264,1.192,1302,1.364
11410,1.111,5927,1.029,1290,0.8755
9690,1.117,6318,1.072,679,0.7407
9285,1.132,6626,1.028,776.5,0.7945
8823,1,6980,1.122,823.9,0.9708
9249,1.074,6192,1.167,848.7,0.8046
7403,0.9568,5631,1.085,1013,1.425
8995,1.02,6616,1.052,1340,1.568
8417,1.229,6274,0.9917,488.3,0.9388
8055,1.024,6856,1.166,728.6,0.8305
9735,1.092,6039,1.15,540.8,1.062
8641,1.212,5928,1.04,747.9,0.7645
10970,1.156,5933,1.25,621.2,0.7875
8273,0.9431,6713,1.175,994.3,0.9591
9800,1.08,6605,1.23,1030,1.003
9033,0.8309,5854,1.143,1054,1.006
10010,1.031,5836,1.198,1069,1.092
9325,1.009,6031,1.188,940.9,1.026
9365,1.457,6434,1.211,865.8,0.7074
8366,1.195,6940,1.092,1168,0.7798
9178,0.8077,6167,1.089,1320,1.481
10890,1.006,5586,1.058,1291,1.599
9609,1.024,6269,1.009,1344,1.482
9667,1.01,6006,1.149,844.4,0.5904
9088,1.138,6427,1.174,1065,0.9965
9446,1.137,5910,1.151,798.4,0.9226
9507,0.9201,6219,1.251,731.1,0.8174
9483,1.285,6316,1.104,1403,1.765
9037,1.295,6228,1.104,1062,1.257
8645,1.138,6436,1.129,1142,0.9612
9972,1.029,6459,1.173,815.6,1.03
8695,1.032,5938,1.042,1309,1.606
9882,1.096,5693,1.182,1409,1.586
9336,1.024,5845,1.204,1548,1.038
6947,1.046,5975,1.186,1326,1.041
8069,1.055,6254,1.127,1066,1.297
8778,0.9433,6469,1.157,986.1,1.01
9719,0.9885,6468,1.123,805.1,1.021
9110,1.131,6505,1.138,1164,0.93
10050,0.9269,6313,1.103,871.2,0.5817
9749,1.032,5881,1.104,936.2,0.905
10300,1.006,6724,1.142,1308,1.088
9925,1.007,6022,1.245,1094,1.074
9710,0.9752,6232,1.201,742.2,0.7138
9123,1.12,6078,1.194,729.8,0.9342
9764,1.081,5929,1.064,909.9,1.115
8756,1.242,6072,1.251,1090,1.043
9252,1.171,6684,1.191,1710,1.274
10250,1.478,5562,1.106,1191,1.212
8450,0.9064,6722,1.111,634.6,1.031
8051,0.9651,6285,1.143,750.6,1.041
9373,0.8669,6127,1.116,1232,1.15
10110,1.061,5463,1.13,1006,1.338
10070,0.9692,5956,1.199,1170,1.072
9431,1.028,6741,1.255,872.4,0.9555
8573,1.163,7234,1.088,1186,0.9857
9106,1.147,6383,1.137,1002,1.483
9659,1.251,6854,1.143,815.3,1.687
8542,0.9748,6031,1.221,622.7,1.185
10580,1.124,5727,1.188,837.7,1.149
11270,1.125,6448,1.145,1310,1.781
