ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5317,1.823,13630,1.015,2686,0.7021
5276,1.859,14310,0.9958,4687,0.6373
4917,1.351,13560,1.078,2877,0.7125
4726,1.591,14090,1.257,4005,0.5574
4814,1.576,14970,1.139,2353,0.7136
4706,1.592,12010,1.358,4221,0.806
4055,1.515,11740,1.529,2973,0.7068
4518,1.599,14920,1.042,3454,1.077
5154,1.712,13200,1.077,3969,0.686
4935,1.623,11840,1.206,3861,0.5749
4582,1.769,13770,1.121,4546,0.6161
6095,1.989,14290,1.002,2327,0.8956
5439,1.985,13490,1.074,2334,0.7153
6058,1.578,13650,1.123,4770,0.5883
4960,1.645,14580,1.083,3123,0.855
5075,1.639,13640,1.319,6846,0.6634
6074,1.847,12840,1.138,3652,0.6863
4855,1.659,11850,1.301,2849,0.7345
4713,1.585,13530,1.187,5185,0.6765
5187,1.646,13500,1.151,4251,0.5664
4888,1.692,12440,1.518,3067,0.9323
4952,1.674,13430,1.277,3456,0.8065
4442,1.392,14780,1.156,3961,0.595
3798,1.427,12470,1.177,5539,0.8124
5379,1.789,17940,0.8214,1467,0.7731
4768,1.561,13240,1.207,2477,0.6745
4507,1.475,13820,1.016,5567,0.5965
4270,1.463,14110,1.169,3606,0.6348
5327,1.402,13990,1.003,4815,0.6788
4741,1.313,12990,1.262,4586,0.5873
4194,1.825,11950,1.648,3743,0.5861
4604,1.516,14360,1.12,3914,0.7401
4129,1.462,13570,1.119,3231,0.9164
4877,1.842,14160,1.169,2318,0.7528
5255,1.885,13380,1.142,3277,0.705
4597,1.587,13310,1.175,4323,0.886
4996,1.595,13310,1.201,5728,0.8409
4944,1.242,13940,1.141,4019,0.6691
4403,1.198,13160,1.199,3766,0.5841
6088,1.402,14030,1.037,4734,0.7769
4850,1.45,12730,1.224,2915,0.6775
5000,1.92,13470,1.087,3392,0.5673
4622,1.492,12110,1.376,2902,0.5437
4692,1.83,11810,1.621,2801,0.5707
4663,1.528,12820,0.9639,3091,0.6381
4941,1.771,14640,0.9907,2871,0.7529
5144,1.459,12400,1.238,3487,0.6712
4619,1.541,13870,1.062,2869,0.6961
4456,1.404,13060,1.2,3386,0.8685
4860,1.797,12840,1.212,2993,0.6697
5937,1.994,14390,1.106,4165,0.5951
5212,1.662,14240,1.016,3742,0.7133
3386,1.331,13570,1.154,3760,0.6316
3873,1.501,14300,1.214,2909,0.5582
4351,1.637,13300,1.068,3115,0.9083
5134,1.938,13650,1.034,7839,0.6326
4633,1.598,12870,1.543,2964,0.5838
4924,1.981,13770,1.283,4205,0.6106
4630,1.66,13190,1.285,3873,0.6049
4368,1.463,13710,1.156,3430,0.6947
4914,1.562,13550,1.081,3385,0.7114
3981,1.293,14580,0.9602,4539,0.5697
4763,1.88,11990,1.327,4542,0.6497
5526,1.686,13280,1.094,4082,0.7895
4009,1.367,13370,0.9923,2349,0.8709
4083,1.653,11810,1.268,3699,0.8538
4105,1.546,13250,1.235,2877,1.181
4608,1.575,14070,1.075,2796,1.188
5347,1.439,13390,1.138,3024,1.216
4839,1.532,13950,1.165,4390,0.946
4697,1.648,12830,1.058,3335,0.8006
5283,1.757,13570,1.09,3207,0.8741
5512,1.439,14380,0.9692,3929,0.6996
5471,1.524,13430,1.099,10090,0.6118
5500,1.911,15790,1.014,1709,0.7692
5943,1.797,15110,0.9947,3745,0.8181
5966,1.927,14100,1.206,1705,0.845
5751,1.676,13190,1.17,4077,0.571
5349,1.66,13010,1.197,3920,0.9048
4931,1.721,15630,0.9523,3212,0.6637
4867,1.706,11850,1.159,2385,0.6591
4753,1.692,13540,1.068,2997,0.5184
4531,1.438,12190,1.18,2578,0.8971
4588,1.306,12140,1.266,4750,0.8184
5615,1.654,13890,1.163,3043,0.5257
4728,1.917,14310,1.068,2642,0.5751
4728,1.376,12720,1.324,3446,0.7781
4578,1.55,13400,1.15,3742,0.8703
4615,1.683,12420,1.205,3409,0.5328
4646,1.619,14300,0.9665,3289,0.6893
5257,1.619,12850,1.23,4212,0.6769
4662,1.525,12710,1.277,3573,0.7782
4614,1.44,12210,1.451,2870,0.7504
5136,1.304,13340,1.045,3240,0.8712
4483,1.983,13900,1.019,2379,0.8793
5833,1.983,14650,0.9076,2197,0.5174
4720,1.543,11520,1.566,2673,0.5852
3945,1.797,12910,1.036,5056,0.7492
4985,1.585,12370,1.281,2136,0.6822
5275,1.821,13010,1.166,4543,0.5815
4852,1.33,13940,1.189,3531,0.6085
4518,1.753,13400,1.067,2245,0.7022
4242,1.599,14630,0.9884,4195,0.8899
4798,1.656,13870,1.103,5612,0.5286
4873,1.763,12500,1.112,8193,0.548
4464,1.599,14780,1.118,3132,0.8365
5219,1.582,13520,1.153,4506,0.8204
4685,1.453,12350,1.241,3084,0.7744
4112,1.934,14640,1.054,3507,0.7516
5269,1.596,13700,1.034,2831,0.6938
5014,1.819,15170,1.06,1993,0.844
4776,1.621,14590,0.8939,3292,0.739
4208,1.777,14100,0.9944,2740,0.5799
4858,1.598,13180,0.9661,2950,0.6537
4827,1.944,13550,1.137,3384,0.6503
5583,1.811,13210,1.24,1998,0.6565
4849,1.743,13160,1.177,1942,0.6994
4520,1.619,12880,1.34,2511,0.7387
5136,1.874,14240,1.067,5954,0.6577
4435,1.442,12560,1.224,2336,0.7134
4051,1.541,12670,1.313,2456,0.7848
5411,1.561,13250,1.269,3757,0.6588
4984,1.475,13890,1.175,4170,1.02
5013,1.606,13780,1.143,2663,1.126
4150,1.831,13160,1.148,4247,0.7286
4591,1.528,13060,1.121,2033,0.7624
4821,1.565,13540,1.176,3151,0.6522
4927,1.491,13610,1.099,3912,0.5171
4749,1.204,15310,1.021,5912,0.5064
4834,1.673,12620,1.125,4624,0.659
5626,1.675,14010,1.028,5438,0.5276
4128,1.518,13420,1.293,2391,0.9075
5295,1.708,13410,1.123,2503,0.7484
5309,1.752,14570,0.8279,2822,0.5756
5612,1.67,14260,1.062,2822,0.6742
5158,1.504,12960,1.302,2690,0.8612
6512,1.881,14220,1.065,3214,0.5948
4260,1.654,13400,1.137,3035,0.6163
5202,1.874,13090,1.121,3342,0.5602
4681,1.632,12840,1.17,4210,0.7127
5326,1.62,12700,1.262,2547,0.5376
4925,1.395,12990,1.212,3400,0.6007
4154,1.504,12830,1.309,4068,0.848
6080,1.831,13410,1.178,2999,1.11
5813,1.605,13630,1.006,4180,0.784
