ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5269,1.799,2570,1.361,752.1,0.8677
5986,1.932,3337,1.546,1066,1.748
6044,1.733,2371,1.507,1261,1.042
5622,1.852,2295,1.576,954.4,0.9019
5714,1.984,1944,1.635,609.2,1.989
3891,1.934,2602,1.348,884.5,0.8405
2556,1.8,2199,1.417,811,0.6627
5008,1.969,1859,1.719,1460,0.9853
4460,1.911,2778,1.587,476.4,0.5036
2774,1.925,2619,1.258,770.1,0.768
3371,1.887,2265,1.752,556,0.7226
3388,1.907,1982,1.683,670.7,1.996
2869,1.803,1624,1.914,1072,1.284
4909,1.799,2315,1.408,1223,0.9181
4232,1.532,2157,1.711,1059,1.174
3096,1.948,2181,1.637,1025,0.8457
3571,1.556,4402,1.361,1198,0.8053
3381,1.385,3088,1.447,804.3,1.718
3807,1.759,2021,1.732,594.4,1.655
3555,1.993,2729,1.518,732,1.863
5399,1.663,2337,1.61,722.1,1.971
4020,1.276,2315,1.786,601.1,1.973
3951,1.518,2331,1.671,1564,1.127
3794,1.905,3227,1.374,1706,0.7874
7212,1.908,2410,1.53,1113,1.263
4787,1.77,2600,1.391,1061,0.7085
7567,1.878,2858,1.338,1026,1.807
3876,1.815,2612,1.478,826.3,1.737
6860,1.947,1819,1.671,971.8,1.62
7742,1.615,3097,1.396,668.2,1.224
4906,1.734,2150,1.63,626.8,1.195
3454,1.43,4507,1.633,1245,0.7433
4095,1.668,4039,1.751,1202,0.8306
3392,1.442,3548,1.45,886,1.496
3856,1.634,3245,1.37,718.2,1.781
5242,1.55,3882,1.55,868.2,1.626
4597,1.612,3871,1.56,889.1,1.729
4393,1.425,2158,1.702,586.2,1.578
5711,1.778,2022,1.677,880.3,0.8912
5591,1.555,3029,1.425,837.6,1.136
5814,1.894,1995,1.596,924.2,1.035
6426,1.923,2442,1.385,871.1,1.437
4193,1.847,2131,1.365,1175,1.213
6744,1.865,2235,1.598,363.8,0.7136
5232,1.548,1838,1.675,383.4,0.7757
4933,1.57,2363,1.673,507.7,0.6117
3623,1.374,3630,1.356,580.3,0.6079
5061,1.745,1277,1.977,706.7,0.7494
2715,1.951,2832,1.415,1122,1.234
4062,1.545,2062,1.9,794.8,1.112
4401,1.369,1384,1.904,644.6,1.892
4108,1.429,2513,1.51,838.5,1.255
3357,1.642,2719,1.48,874.8,1.396
3308,1.992,2527,1.517,1289,0.7837
5475,1.834,2419,1.592,1040,1.022
3276,1.71,2353,1.533,881.5,1.535
4774,1.359,2971,1.306,960.7,0.86
4092,1.366,2111,1.576,755,0.6138
5096,1.722,2430,1.425,1315,0.8054
3461,1.748,3239,1.331,1777,0.8027
3968,1.983,2660,1.376,841.5,1.68
3629,1.621,2587,1.454,901.6,1.327
4059,1.695,3620,1.403,876.9,1.106
4031,1.774,1709,1.718,1315,1.103
6270,1.943,3077,1.391,1291,0.8355
2431,1.86,2651,1.631,1125,1.259
5363,1.606,2497,1.506,1379,0.9907
4054,1.475,3137,1.39,1015,1.7
5967,1.689,2878,1.246,1239,1.154
3402,1.908,2971,1.45,1105,1.192
6039,1.711,2308,1.496,1760,1.195
5403,1.858,2091,1.516,1024,0.5243
6196,1.993,3449,1.303,996.1,1.751
5158,1.874,2678,1.504,894.3,0.9146
3480,1.708,2482,1.432,1156,1.045
2509,1.656,2973,1.404,721.2,1.24
2731,1.739,1738,1.803,922.5,0.9288
5095,1.671,2434,1.638,1009,1.202
3588,1.98,1989,1.887,636.3,0.957
4045,1.646,2757,1.503,1249,1.088
4750,1.465,2545,1.387,1322,0.988
2697,1.651,1580,1.946,1869,0.6381
4071,1.535,1675,1.661,1842,0.8272
4334,1.623,3225,1.442,903,1.636
5687,1.758,3095,1.544,650,1.191
6532,1.693,2419,1.611,1334,1.004
2501,1.406,2439,1.472,1359,0.9783
3798,1.441,1681,1.888,784.6,1.292
2999,1.891,3402,1.537,1557,1.037
3884,1.5,2062,1.625,1014,0.8782
5036,1.585,2022,1.846,2535,0.9277
3917,1.557,2095,1.444,1341,1.216
6175,1.556,2583,1.286,2433,0.8456
2149,1.769,2197,1.674,1098,0.6334
4744,1.952,2440,1.374,882.5,0.5164
4137,1.772,1937,1.8,1358,0.9725
8427,1.764,2480,1.335,1187,1.754
7971,1.765,3226,1.312,2257,1.686
4064,1.7,2444,1.479,450.4,0.6577
2833,1.593,2603,1.463,446.1,0.6771
4826,1.727,2297,1.529,988.8,0.6201
7101,1.835,2370,1.49,1011,1.024
2640,1.948,2528,1.406,1374,0.5347
5769,1.786,1987,1.749,781,0.588
4667,1.664,1779,1.852,559,1.491
3389,1.889,1447,1.826,968.5,0.8477
6972,1.954,1653,1.743,916.9,0.9892
6230,1.983,2647,1.825,1236,1.862
6769,1.966,1888,1.654,619.9,0.5436
7177,1.765,2496,1.462,1168,0.8425
5416,1.885,3295,1.337,1294,1.314
5368,1.421,4192,1.337,1938,0.7918
2899,1.581,3318,1.23,1332,0.7489
2849,1.882,3050,1.66,721,0.9483
5732,1.625,1853,1.763,1157,1.581
5373,1.686,1749,1.903,3503,1.337
3322,1.752,1776,1.917,930.8,1.811
3418,1.443,3186,1.351,1014,1.949
5433,1.868,2843,1.4,1184,1.32
3779,1.601,2034,1.787,1104,0.8505
