ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
296300,0.7465,189600,0.9741,99680,0.8633
280800,0.8074,199300,1.092,115600,1.009
296400,0.8071,190100,1.025,78490,0.798
294900,0.7372,199800,1.17,87020,0.7461
294700,0.7548,206900,1.089,89140,0.9109
236800,0.698,214400,1.095,110100,0.9523
237800,0.8237,204300,1.093,97990,0.9097
300400,0.7429,190000,1.009,119000,0.9896
320000,0.7163,201100,1.019,76150,0.7954
295700,0.887,191800,1.041,80150,1.032
277800,0.6853,199700,1.008,97450,0.7491
244000,0.7398,213900,1.094,102500,0.8641
279900,0.7608,207500,1.019,72450,0.7258
282000,0.8028,199800,1.068,96910,0.6177
273800,0.7719,183300,0.991,116600,1.132
256800,0.8521,208800,1.031,110500,1.002
312600,0.6822,197000,1.045,97160,0.8666
302300,0.9013,200700,1.008,86850,1.024
269500,0.7318,188100,1.083,95620,0.9109
291900,0.6883,193300,1.019,95590,0.8732
275600,0.7604,210800,1.063,100800,0.8475
324300,0.6452,204200,1.083,74240,0.8786
329700,0.7133,209500,1.199,102700,0.9173
327000,0.6219,216800,1.07,111400,0.9969
320600,0.5219,204100,1.027,104100,0.674
259300,0.9353,197900,1.064,120900,1.248
273700,0.9617,204800,1.094,77810,1.019
306200,0.7205,204700,1.013,101000,0.904
318100,0.713,184300,0.9483,98280,0.828
327700,0.5965,190800,0.9725,90640,0.6378
290200,0.6086,213500,1.025,128200,0.8473
364100,0.5735,197200,0.9847,106500,0.9024
303500,0.7247,184100,0.9625,73020,0.9085
294100,0.6819,215000,1.114,106000,0.8611
289400,0.8067,192300,1.032,98720,0.6984
304000,0.7782,200300,1.049,118900,0.8066
356000,0.6268,178500,1.063,89310,0.8103
270000,0.7037,200200,1.053,87130,0.9732
288200,0.7291,194000,1.097,102900,1.019
261900,0.746,187000,1.018,95250,0.9601
297000,0.8876,201300,1.018,112100,0.8916
331300,0.7683,207800,1.083,103700,0.8906
359600,0.646,192600,1.03,111200,0.9127
360000,0.6084,202300,1.235,80110,0.835
335100,0.699,189700,0.9695,86000,0.781
321600,0.7315,199900,1.04,88570,0.9344
313100,0.6476,195100,1.116,134600,1.318
329300,0.6384,203700,1.016,117700,1.122
355200,0.7732,195600,1.002,136800,1.202
297400,0.6448,200300,1.031,96660,0.8159
271400,0.675,193400,0.9469,82860,1.249
276600,0.7102,202000,1.068,78200,0.9234
253800,0.7856,198300,0.9362,98790,1.03
311200,0.7018,198000,1.068,148600,0.9391
484900,0.5224,204000,1.02,120900,1.308
287900,0.6227,198600,1.037,119800,0.8481
230600,0.8139,207500,1.083,104800,0.9755
423900,0.5157,205800,1.094,92390,0.7977
299000,0.5665,204700,1.063,104400,0.9225
274600,0.7577,208800,1.086,108300,1.022
317900,0.7162,192400,1.119,140700,0.9839
290300,0.842,209900,1.018,119400,0.8265
266700,0.842,204600,1.068,114500,1.015
288600,0.6999,200700,1.017,98630,0.782
288500,0.6591,206900,1.094,87350,0.6832
302200,0.7693,216300,1.163,95960,0.782
307600,0.7418,188900,1.025,103000,0.9841
355600,0.6788,203000,1.029,99630,0.825
299800,0.8692,193700,0.9229,119700,0.8711
275300,0.889,198700,1.097,102500,1.125
258700,0.6331,182500,1.03,103400,0.8034
317200,0.6377,206600,1.066,99050,0.7919
276100,0.858,211700,1.043,83060,0.7788
292800,0.9054,201800,1.07,142800,0.9661
265800,0.715,193300,1.109,125700,1.14
270000,0.8469,182600,0.9997,108600,0.9365
275000,0.7172,193700,1.027,111600,0.9363
316100,0.6019,187600,0.8854,94910,0.9242
342100,0.7044,198400,0.9742,120800,0.9447
290100,0.7294,197800,1.062,99030,0.8702
372000,0.5676,192400,0.9244,95710,0.7176
334600,0.6154,195300,1.092,110300,1.165
340100,0.7681,201100,1.105,105800,0.8946
336100,0.7915,185700,0.9224,89000,0.7669
237000,0.613,198800,1.066,129200,0.7232
252100,0.7119,197800,1.098,73510,0.8844
248200,0.7089,198000,0.9492,73960,0.9376
289500,0.7632,189300,1.034,79680,0.8577
278100,0.696,194000,1.055,70730,0.7783
351900,0.6407,179800,1.011,118400,0.7348
293700,0.6558,210400,0.9848,112600,0.8209
316200,0.8215,210800,1.037,99430,1.005
311200,0.7425,202000,0.9948,113200,1.189
317800,0.6396,200700,1.087,106200,1.138
356600,0.6591,197600,1.075,112000,0.7249
314300,0.6314,192900,1.06,100700,0.8013
368200,0.6793,197800,1.014,124500,0.8746
339000,0.7497,211200,1.044,95280,0.8269
335600,0.6385,2e+05,0.99,91850,0.97
292100,0.7087,188700,0.9131,92890,0.9713
254800,0.816,183200,1.068,94890,0.9482
242000,0.6732,216800,1.036,68140,0.8396
298800,0.7547,192400,1.046,107900,0.9107
301900,0.7457,190300,1.04,90990,0.8595
290100,0.7097,209900,1.022,69240,1.021
306800,0.6904,204500,0.9872,64150,0.7107
359900,0.5806,201700,1.063,114400,0.8271
295800,0.6103,189400,0.9759,108000,0.8141
280800,0.7902,186100,0.9525,118200,0.9421
301700,0.669,204300,0.9782,93800,0.8026
317100,0.6878,223100,0.9724,63190,0.7637
416700,0.5127,195700,0.9682,107600,1.147
365400,0.5373,181400,0.9244,130200,0.9288
260800,0.9374,185100,0.9787,110700,1.238
267200,0.7172,198300,1.107,96190,1.036
325700,0.6566,208500,1.085,78390,0.7869
290500,0.6981,191700,1.121,75980,0.971
319600,0.7671,211400,1.1,87060,0.7556
311800,0.7085,200700,1.213,90370,0.839
337800,0.6105,185600,0.9696,94120,1.02
352300,0.6471,195600,1.056,83380,0.9089
343200,0.6098,212400,1.041,75070,0.8045
284300,0.7929,187300,0.9956,107900,0.8682
288200,1.141,203000,1.174,79960,0.7861
344200,0.6785,205300,1.002,120700,1.076
268600,0.7685,209700,1.042,86130,0.8803
265700,0.857,213600,0.973,112600,1.387
292400,0.71,202400,0.9222,118300,0.8695
235200,0.8158,206900,1.054,87330,0.6896
344700,0.6696,181700,0.9609,127500,0.7727
287100,0.8398,189400,0.9637,112600,0.8335
283600,0.6906,190600,0.992,121600,1.075
268400,0.7364,195400,1.037,61050,0.6745
260400,0.8461,196600,1.001,89380,1.051
299200,0.8397,193500,1.059,113500,0.84
358700,0.6896,188200,1.027,102600,0.7473
320900,0.6824,198300,1.034,140800,1.091
308700,0.6586,198100,0.9551,93880,1.032
310200,0.7673,188300,0.9641,65520,1.092
295400,0.715,191500,0.9794,90640,0.9026
257300,0.9065,205300,0.9531,88890,0.856
236700,0.6627,211400,1.018,103000,1.076
317400,0.5959,189800,1.056,79350,0.9621
314200,0.7085,200600,1.048,85320,0.8121
293500,0.8031,202800,1.057,114400,1.026
292900,0.8604,213000,1.049,80670,0.8355
308400,1.002,207800,1.004,91040,0.894
329700,0.827,176700,0.979,82060,0.8156
280900,0.7647,184500,1.046,74270,0.8115
263300,0.6943,175300,0.9102,113500,1.17
332100,0.6576,188100,1.111,123000,1.266
335300,0.826,201400,0.9763,89670,1.02
311800,0.9126,214700,0.9441,136700,0.9827
320700,0.8493,217000,1.036,74150,0.7685
356700,0.6819,208500,1.088,124200,1.525
299700,0.645,216400,1.09,104500,1.345
380700,0.7028,202200,1.046,51450,0.8669
311100,0.7669,201800,1.073,143900,0.6704
287700,0.5488,201500,0.9825,135100,0.9241
307800,0.7594,198400,1.032,144900,1.489
275800,0.7944,190300,1.027,129200,0.9281
300400,0.855,184500,1.061,87430,0.9423
448300,0.5842,182100,0.912,100900,1.034
320200,0.6143,193700,1.05,83110,1.052
307000,0.8096,213400,1.026,73540,0.9457
349700,0.6596,190100,0.9741,94360,0.9246
280700,0.783,212100,1.062,105900,1.106
258300,0.8033,198700,1.093,96500,0.8298
344600,0.6534,206500,1.063,104500,0.8977
277400,0.6838,204900,1.015,138300,1.051
305900,0.7769,205500,1.104,88930,0.9335
271900,0.6625,208300,1.068,66580,0.879
264500,0.7533,202400,1.122,88580,0.8006
295000,0.7451,214200,1.107,67350,0.8601
284000,0.8614,215000,0.9791,61960,0.8347
306100,0.6973,197700,0.9586,111300,0.8174
340300,0.6559,195000,0.9835,123600,0.8148
293900,0.6772,192000,1.077,113200,0.8348
256200,0.7171,212000,1.061,73140,0.7212
235800,0.9727,197900,1.107,110400,1.137
360900,0.6189,210600,1.013,78190,0.7962
295400,0.7293,200900,1.049,93260,0.7633
263300,0.769,198100,0.981,116200,0.9676
370300,0.6159,202700,1.062,97520,0.8976
324200,0.6163,190000,1.095,98690,1.075
354100,0.6087,194500,1.05,106800,0.8024
320700,0.5859,190500,1.033,86830,0.8451
279300,0.6871,204400,1.057,109100,1.212
254600,0.6517,196800,0.9611,109500,0.8231
305500,0.8078,194200,1.045,103700,1.029
295300,0.9208,193600,1.009,98570,0.9354
368100,0.5368,198300,1.037,124500,0.8384
374200,0.5572,201500,0.9832,107000,0.8808
314000,0.7888,205000,1.031,125700,0.9369
304400,0.5305,187500,1.051,144200,0.8784
