ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
464100,1.228,53610,1.311,9232,1.868
276200,1.525,57990,1.261,9443,1.971
301400,1.538,56590,1.35,9377,1.873
260600,1.567,61350,1.322,9758,1.972
271900,1.482,57970,1.243,10620,1.796
217200,1.933,57740,1.212,10170,1.758
275600,1.53,59270,1.19,9539,1.713
272100,1.46,53600,1.235,9545,1.742
300600,1.606,58350,1.176,9306,1.985
279400,1.675,63360,1.326,8978,1.821
343000,1.369,58780,1.182,9860,1.801
316200,1.709,54800,1.179,9250,1.8
233500,1.862,55430,1.199,9182,1.937
225600,1.926,55390,1.136,9262,1.871
227900,1.717,57980,1.254,9184,1.983
306200,1.595,56840,1.19,9269,1.803
226700,1.789,55720,1.261,10050,1.802
245300,1.904,56430,1.215,9385,1.926
269400,1.886,56730,1.153,9426,1.928
197200,1.821,60780,1.14,8445,1.725
229800,1.759,57390,1.121,8942,1.591
252700,1.727,55810,1.204,9939,1.964
201600,1.804,55910,1.256,9756,1.938
204400,1.786,54430,1.128,9349,1.76
202200,1.607,55430,1.201,9244,1.871
196600,1.929,53300,1.231,9889,1.914
198700,1.85,65640,1.153,9503,1.895
191200,1.803,57130,1.308,8512,1.645
194700,1.745,54250,1.247,9095,1.837
214000,1.842,57860,1.073,9102,1.945
214900,1.83,55560,1.287,9465,1.964
230300,1.961,56890,1.138,9355,1.999
247600,1.963,59910,1.201,9636,1.8
207700,1.962,57510,1.084,8123,1.983
237300,1.794,60870,1.175,8807,1.905
228200,1.816,63060,1.167,8704,1.997
221800,1.769,58480,1.178,9241,1.792
225800,1.663,57760,1.25,9220,1.972
259700,1.311,58440,1.18,9215,1.989
345100,1.334,62900,1.143,9200,1.918
209500,1.784,57370,1.223,9082,1.94
212800,1.691,55100,1.213,9247,1.989
198700,1.892,59350,1.213,9399,1.933
253600,1.736,53510,1.268,9544,1.985
399500,1.351,56530,1.269,9031,1.875
227400,1.933,56660,1.133,9407,1.848
404000,1.371,55520,1.217,9289,1.968
232900,1.909,58100,1.031,9365,1.968
218800,1.99,57610,1.16,9280,1.989
220500,1.956,60980,1.234,9046,1.842
193600,1.918,55480,1.194,9943,1.973
203900,1.866,50810,1.221,8667,1.905
211500,1.958,58670,1.094,10030,1.761
535100,1.705,54940,1.225,8955,1.682
311300,1.323,59340,1.169,9883,1.839
261200,1.638,60990,1.271,8907,1.988
192600,1.913,59100,1.234,9593,1.952
218900,1.738,57380,1.185,9314,1.929
195000,1.832,56870,1.223,9499,1.954
218500,1.608,60530,1.191,9398,1.862
213900,1.872,59740,1.341,10190,1.841
283000,1.614,66410,1.305,8896,1.701
322200,1.758,49830,1.332,9715,1.855
188200,1.925,54210,1.136,9027,1.995
238700,1.855,57570,1.265,9942,1.949
287300,1.583,62190,1.104,9408,1.946
224300,1.787,60990,1.129,9340,1.982
248600,1.665,55810,1.086,9632,1.976
303600,1.617,64550,1.031,9048,1.942
273200,1.57,54410,1.122,8982,1.959
216700,1.658,58550,0.9894,9704,1.979
266700,1.487,67040,1.089,9676,1.778
269800,1.717,57470,1.12,9764,1.897
370900,1.5,61860,1.169,10460,1.919
302600,1.458,50680,1.321,9758,1.915
271900,1.688,53540,1.067,10050,1.987
215500,1.983,54780,1.135,9351,1.887
259800,1.861,58860,1.1,9424,1.89
211700,1.923,51370,1.275,9549,1.98
217500,1.936,55370,1.332,9540,1.962
211800,1.889,56290,1.181,9213,1.9
296900,1.58,57370,1.198,9238,1.746
194200,1.839,53720,1.243,9371,1.839
236900,1.786,61150,1.268,9072,1.935
