ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
5.874,0.5117,45460,1.867,9535,1.854
6.287,0.5295,49740,1.969,7827,1.757
6.751,0.5454,49490,1.97,9563,1.28
8.893,0.5002,46590,1.969,5369,1.229
9.672,0.5126,42130,1.714,7201,1.71
10.57,0.5422,45660,1.975,7100,1.987
11.8,0.5141,44290,1.953,6931,1.858
6.625,0.5003,45190,2,7176,1.981
6.244,0.5039,46640,1.887,8367,1.624
10.39,0.503,45820,1.863,7906,1.744
5.963,0.5018,48700,1.807,8165,1.383
6.831,0.506,46540,1.911,8056,1.834
8.153,0.5037,45950,1.724,7912,1.401
8.415,0.512,44320,1.784,8150,1.627
7.149,0.5168,45850,1.644,7349,1.982
6.662,0.5158,47180,1.949,8850,1.931
8.4,0.5263,44930,1.98,9730,1.992
9.166,0.5629,47280,1.868,8232,1.972
10.17,0.5658,46070,1.997,7769,1.956
7.173,0.5234,47080,1.815,7062,1.662
5.574,0.5141,47460,1.839,7156,1.921
6.321,0.5066,46910,1.911,6834,1.946
8.36,0.5883,47770,1.673,8939,1.801
6.95,0.5207,47490,1.93,9151,1.323
8.646,0.5099,44560,1.998,5824,1.48
5.671,0.5339,43820,1.98,7721,1.597
6.713,0.5099,46990,1.642,6737,1.408
8.664,0.5618,45690,1.876,6871,1.751
7.941,0.5213,45390,1.876,7524,1.562
7.915,0.513,45350,1.943,6677,1.419
7.617,0.5027,44560,1.802,7369,1.475
7.814,0.503,50160,1.959,8537,1.433
7.162,0.5046,48510,1.951,7200,1.279
7.85,0.5131,45560,1.924,6812,1.595
9.57,0.5012,48330,1.597,7432,1.59
7.905,0.5075,44770,1.756,7693,1.63
6.655,0.5617,42340,1.802,6576,1.622
6.967,0.5568,45860,1.722,7661,1.605
8.059,0.5012,46430,1.899,7236,1.599
7.761,0.5214,47290,1.92,7990,1.969
7.148,0.5219,46740,1.978,6939,1.274
9.071,0.5129,46080,1.989,6711,1.286
8.594,0.5527,45770,1.679,5255,0.9809
7.968,0.5547,46450,1.962,5480,0.8904
8.247,0.5358,46940,1.973,6727,1.048
9.105,0.5302,48260,1.905,5715,1.086
7.725,0.546,48170,1.947,6315,0.7596
6.556,0.506,45490,1.775,5247,0.845
