ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
57.4,0.5288,26390,0.5084,1671,1.64
68.21,0.5062,30960,0.5,1031,1.008
72.4,0.5072,31430,0.5034,704.1,0.7739
65.52,0.5262,27430,0.5001,1255,1.257
71.67,0.5115,26000,0.5012,1040,0.8842
71.83,0.5015,25690,0.5344,1399,1.452
54.5,0.5513,27920,0.502,1469,1.352
62.21,0.5102,27380,0.505,1215,1.629
66.25,0.506,28670,0.5122,998.6,0.9062
65.43,0.502,27590,0.5171,1939,1.908
72.71,0.5176,29390,0.5062,1761,1.792
68.7,0.5022,25100,0.5596,1371,1.305
42.88,0.5122,24360,0.5718,1477,1.446
61.32,0.5093,22860,0.5441,1522,1.596
66.02,0.5161,18880,0.5441,1529,1.384
75.41,0.5094,29010,0.5441,1220,1.329
53.41,0.5501,25500,0.543,1674,1.769
46.14,0.5405,30580,0.5069,1553,1.157
71.13,0.5229,25620,0.543,1388,1.053
73.48,0.5374,27990,0.5284,1587,1.665
70,0.5113,27870,0.5002,1198,1.122
65.84,0.5005,27700,0.5096,1820,1.862
61.32,0.5059,28180,0.5104,1688,1.683
63.28,0.5083,25360,0.501,1315,1.311
63.72,0.5045,19760,0.5115,1627,1.673
71.3,0.5019,25450,0.527,1245,1.456
74.57,0.5117,28660,0.5085,1630,1.727
54.71,0.5095,27630,0.5134,1820,1.692
61.51,0.5017,26710,0.513,1585,1.993
58.33,0.5151,30870,0.5079,1658,1.633
47.94,0.5605,31100,0.5147,1476,1.411
47.28,0.5506,27560,0.5298,1034,0.9263
59.86,0.6129,25770,0.5088,980.4,0.7579
49.86,0.5732,29690,0.5003,1394,1.288
51.28,0.6058,31800,0.5031,1867,1.999
69.95,0.5603,35430,0.5087,1730,1.644
67.77,0.5717,27270,0.5054,1507,1.491
59.63,0.5162,22800,0.5051,1484,1.69
69.69,0.5596,25680,0.5044,1380,1.476
69.01,0.5039,24910,0.5058,1392,1.475
58.08,0.5474,23420,0.5202,1800,1.888
62.15,0.5645,27610,0.5002,1447,1.737
51.04,0.5208,28950,0.5021,1392,1.242
54.12,0.5478,27540,0.504,1731,1.771
59.94,0.5045,28600,0.5009,1417,1.232
64.28,0.5145,26380,0.5104,1634,1.639
39.82,0.5729,22560,0.5043,978.1,0.9108
54.12,0.533,27600,0.5011,1681,1.313
52.64,0.5995,25320,0.5232,1687,1.347
87.53,0.5076,26900,0.5318,1618,1.542
