ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
1.051e+09,1.394,274600,0.6197,26780,0.5666
4.625e+09,1.018,245900,0.6603,16850,1.071
351600000,1.568,53550,1.118,16380,0.704
3417000,0.9841,91450,0.8683,20720,0.6424
67390000,1.102,221700,0.6613,22410,0.5223
72940000,1.095,87370,0.9266,13570,0.942
314100000,0.6906,34360,1.507,13210,1.028
157400000,1.627,45020,1.134,23440,0.6121
4376000,0.6238,141300,0.7745,18720,0.6099
129400000,1.015,87130,0.9006,17990,0.9926
7.737e+09,0.6637,97930,0.8098,17040,0.6694
5.753e+09,1.444,76480,0.9304,14220,1.06
744100,0.8789,80680,0.9819,22090,0.6376
21100000,1.874,56430,1.199,23410,0.6729
223300000,1.944,70900,1.018,25030,0.6038
87970000,1.49,103600,0.7976,16230,0.6912
54820000,1.149,122900,0.7655,29250,0.6282
27440000,1.369,50430,1.106,26140,0.5345
21150000,1.126,74380,1.048,15030,0.804
5259000,1.995,94840,0.8408,13470,0.9559
108800000,1.629,78690,0.9626,12740,0.9496
1.314e+09,0.9776,86710,0.8516,20530,0.5445
188700000,0.8988,74780,1.071,18610,0.6105
8.55e+08,1.628,78910,1.001,48320,0.5905
34080000,1.667,72980,0.928,16600,0.9097
72190,1.978,65100,1.023,18070,0.9754
82380,1.624,92560,0.7894,14980,1.075
1.943e+09,0.6158,571300,0.5472,31410,0.5867
16770000,0.8487,708500,0.5121,18880,0.8103
2137000,1.178,590300,0.5453,13260,1.027
569800,0.8421,839700,0.5114,19050,0.908
497800,0.9909,592700,0.5128,22380,0.7883
1.473e+09,1.868,90810,0.9752,13850,1.027
40800000,0.6302,62110,1.111,22740,0.5756
4.694e+09,1.249,148500,0.7057,19020,0.867
64860000,0.6012,119700,0.8266,22280,0.9474
314700000,1.154,128900,0.7935,20410,0.7803
3645000,1.599,94600,0.8986,47320,0.5997
10620000,1.205,194900,0.6666,17480,0.7118
297900,1.762,82110,0.8373,15820,1.295
150100,1.184,40980,1.327,14310,1.332
1.49e+08,1.57,111200,0.8263,15260,1.081
5.388e+09,0.5752,179700,0.7263,16050,0.9849
217000,1.083,71690,1.019,19270,0.6762
18290000,1.018,49340,1.129,27400,0.6101
579700000,0.883,90380,0.9015,19010,0.6825
5.058e+09,1.15,192900,0.6448,40690,0.546
388600000,1.758,200900,0.6098,26580,0.633
6.558e+09,0.9842,224300,0.6601,17200,0.7075
74740000,0.629,235700,0.6168,15730,0.504
2.048e+09,1.784,205100,0.7071,16510,0.7255
277600,1.327,39230,1.235,26570,0.6131
1728000,1.485,41030,1.224,28470,0.529
323100,1.264,158800,0.8168,15820,1.026
173300000,0.7536,66010,1.047,14320,0.7952
4.683e+09,1.085,143300,0.7061,64100,0.5687
1713000,1.649,74110,0.8269,11880,1.496
33060000,0.8082,71650,0.9753,17470,1.052
202900,1.5,70800,0.9806,18060,1.082
321200,0.9369,72940,0.9265,39210,0.5187
5.138e+09,1.292,60520,0.9523,28940,0.7696
1.453e+09,0.8215,144500,0.7648,13100,1.371
2.51e+08,0.602,67570,0.9662,12770,0.8782
147200000,0.6543,69270,0.9468,20270,0.6809
1.62e+09,0.6107,62010,0.9525,24090,0.6302
330800000,1.499,102100,0.8487,32940,0.5574
2.282e+09,0.5949,441100,0.5515,22840,0.6526
56690000,0.6157,289500,0.5907,17460,1.068
161100000,0.5333,311300,0.5791,13550,1.813
59350000,0.8473,94170,0.9041,19000,0.8847
6.899e+09,0.8805,109700,0.8418,14780,0.994
181300000,0.6737,79770,1.003,13190,1.132
2.343e+09,0.9481,160500,0.7416,14150,1.097
1.419e+09,0.5338,124200,0.8223,24930,0.7639
106700000,1.474,54280,1.102,16210,0.8428
17980000,1.566,231600,0.6411,14220,0.8116
34630000,1.71,172900,0.7487,13330,1.392
5482000,0.8296,110700,0.8232,39340,0.7437
934300000,0.8591,66490,1.027,16710,1.347
107900,1.572,90440,0.9725,12000,1.747
361900000,1.564,37760,1.496,14700,1.65
292100000,0.9961,45730,1.372,16040,1.245
630500000,0.8188,70690,0.8753,15720,1.246
6e+09,0.9392,129800,0.7683,37470,0.5773
23980000,1.763,192400,0.7181,24010,0.7269
1105000,1.079,443200,0.5446,23690,0.5896
10720000,1.553,689600,0.5526,18900,0.7236
31200000,1.245,567200,0.5174,54370,0.5552
34350000,0.7545,664700,0.5228,58240,0.5406
3.727e+09,0.776,76260,0.865,53880,0.5969
147300000,0.8194,50190,1.316,23280,1.119
31710000,1.98,144200,0.7594,34470,0.5939
1.081e+09,1.958,79130,0.9466,22790,0.5868
129000,1.577,47860,1.189,22540,0.5951
123400,1.527,119500,0.8391,17050,0.6139
250300,1.221,75060,0.9519,24790,0.5136
193600,1.291,145800,0.7404,13660,0.828
338700,1.464,48350,1.151,11880,1.026
601900,1.254,57210,1.127,20510,0.7801
812100000,1.037,101000,0.7881,26580,0.5858
236400000,1.36,92720,0.9652,12030,1.21
43970000,1.742,179500,0.7552,24220,0.9734
9105000,1.688,73770,0.8529,12700,1.123
647100000,0.9772,89270,0.9109,34630,0.5564
3686000,1.82,111100,0.8531,36720,0.509
1.258e+09,0.8165,211700,0.6642,30240,0.7351
48680,1.992,74860,0.9584,15270,0.9155
449300000,1.807,57570,1.026,25710,0.5444
5.725e+09,0.8355,93320,0.8648,19950,0.5307
91400000,0.5607,114500,0.8259,27370,0.5688
44460000,0.9469,197200,0.703,19580,0.6002
28570000,0.5478,142300,0.7878,29840,0.5162
243800,1.344,103500,0.7878,32870,0.5034
917900,1.147,65020,1.028,47380,0.6073
6153000,0.8382,105800,0.8176,33520,0.6446
27940000,1.723,42530,1.256,13580,1.3
4.077e+09,0.8651,277100,0.6242,21070,0.7077
271900,1.817,434400,0.5537,13530,0.963
462000,1.733,90290,0.8955,19720,0.8019
5285000,1.719,65170,1.001,20510,0.6315
2158000,1.315,81230,0.9603,23150,0.6404
1437000,0.916,135700,0.7633,23640,0.6584
925200,1.061,114400,0.8103,24270,0.6563
2.321e+09,0.9654,111600,0.7927,47140,0.502
2.767e+09,0.953,118000,0.825,32720,0.5761
8.48e+09,1.663,109600,0.8622,12410,0.8806
14750000,1.538,84960,0.9817,18560,0.6748
96940,1.799,102500,0.7923,10840,0.7898
3170000,1.782,115400,0.7858,13710,0.8006
15160000,1.176,128800,0.7564,18210,0.6504
25870000,1.392,70400,1.043,22770,0.5527
663000,1.17,54620,1.074,12960,0.6361
925200,0.8383,66560,0.9862,17930,0.9067
8415000,0.6624,51050,1.175,10670,1.416
36450000,0.9027,77700,0.9078,25640,0.6081
7.997e+09,1.985,60090,1.081,17870,0.5402
5.174e+09,0.7337,66910,0.9266,14990,0.6133
49540000,0.7997,40670,1.311,19390,0.5652
1.408e+09,0.981,43490,1.158,24890,0.7307
8158000,1.167,99860,0.8776,22050,0.7247
6.213e+09,1.864,207100,0.6576,26760,0.5499
9076000,1.78,122600,0.7291,31990,0.5932
14890000,0.671,78540,0.918,27180,0.5883
24050000,1.305,90670,0.8538,15730,0.9881
839800000,1.424,71740,0.9042,15020,0.9054
329200,1.833,56500,1.07,15300,0.8872
1126000,0.8643,640600,0.5367,27680,0.5627
2875000,0.7188,383000,0.6155,10290,0.848
5.24e+09,1.04,72490,1.097,14020,0.6859
1.08e+09,1.631,136300,0.8213,23220,0.6974
80200000,0.9269,46630,1.166,15750,0.9138
113600,1.576,78520,0.8785,16270,0.8011
198400,1.782,73920,0.9351,15700,0.908
47180000,1.881,100100,0.8878,20080,0.5619
927900000,0.743,57490,1.017,26410,0.651
1.176e+09,0.9764,45140,1.205,34450,0.5101
2.328e+09,1.338,66720,0.9856,30750,0.5496
352100000,1.746,142600,0.7207,27120,0.7856
907900000,0.7337,171200,0.7117,31160,0.5821
55410,1.799,62600,1.02,17210,0.8448
8468000,1.787,62940,1.158,25370,0.5317
22840000,1.393,103700,0.9373,22100,0.7018
673200000,0.6462,63070,1.155,38490,0.54
1052000,0.9893,29510,1.752,36360,0.5425
4536000,0.5953,282700,0.5922,14320,0.9949
56350000,0.5047,154500,0.7762,13960,1.002
13270000,0.5731,141900,0.7808,18270,0.9613
8421000,0.8101,66600,0.9776,16640,0.8561
759500,1.56,105000,0.8289,12310,0.9819
474800,1.09,244100,0.6834,12890,1.123
230900,1.74,114400,0.7778,28700,0.6398
1107000,1.929,91990,0.9122,21970,0.7341
300100,1.727,80460,0.9309,32230,0.6102
77530,1.824,48370,1.196,30070,0.5152
101500000,1.856,105600,0.7722,29650,0.5178
18800000,0.8484,150000,0.6818,20970,0.878
182700,1.248,176300,0.7554,16740,0.8255
294400000,0.7234,192300,0.6478,22750,0.6769
892900000,1.787,57580,0.9966,22440,0.7191
136600,1.781,151400,0.7544,23660,0.6457
3471000,1.427,129200,0.8101,28580,0.5395
