ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
154.3,1.684,1583,1.454,3925,0.6633
199.5,1.472,2595,1.141,4035,0.5445
179,1.937,3133,1.059,4625,0.5904
216.5,1.802,6898,0.7984,1824,0.877
181.5,1.479,15260,0.6037,1890,0.791
225.1,1.889,7880,0.7,2509,0.8046
162.9,1.892,1578,1.457,1476,1.395
172.2,1.354,1271,1.939,712.7,1.859
194.4,1.254,1535,1.551,991.2,1.526
210.6,1.846,1196,1.844,1380,1.067
230,1.134,2216,1.092,1621,1.047
167,1.495,1456,1.462,2820,0.759
230.5,1.96,8593,0.686,1045,1.106
236.9,1.904,3585,0.8655,1449,1.146
213.8,1.665,4512,0.8047,3233,0.61
202.1,1.701,3312,0.9194,1822,0.7159
202.5,1.541,1955,1.401,1739,0.886
261,1.523,2569,0.8757,776.4,1.411
171.7,1.574,1509,1.609,1175,1.545
226.3,1.834,1200,1.64,926.7,1.688
189.8,1.772,1493,1.491,975.5,1.452
184.6,1.592,1791,1.408,1115,1.394
195,1.985,1904,1.266,1590,0.9902
237.3,1.764,1464,1.537,1079,0.9354
161,1.57,1248,1.846,1546,0.9435
186.1,1.752,3113,0.9289,2752,0.6976
165.6,1.477,3623,1.026,2018,0.866
154,1.596,2899,1.019,3533,0.7593
207.9,1.703,1624,1.476,1872,0.6616
204.4,1.469,1466,1.374,2094,0.9496
204.8,1.621,6030,0.6806,3788,0.5765
236.9,1.548,3653,1.006,2166,0.7415
168.4,1.373,1233,1.755,1421,0.9339
232.3,1.858,1415,1.73,1875,0.9309
238.2,1.736,1199,1.534,2343,0.694
222,1.977,1772,1.379,1293,1.272
300,1.937,1139,1.802,855.3,1.903
219.9,1.839,1549,1.709,844.8,1.658
194.3,1.735,1525,1.308,831.3,1.219
298.4,1.621,1858,1.341,1403,0.98
302.5,1.772,1810,1.414,2802,0.7323
199.1,1.44,1795,1.384,2204,0.7924
239.6,1.307,3520,0.9279,1404,1
207.8,1.739,1145,1.893,1504,0.9701
253,1.877,1103,1.937,2518,0.6649
196.2,1.91,2149,1.298,1158,1.377
140.4,1.62,1138,1.959,1866,0.9153
239.6,1.73,1696,1.503,2162,0.9684
263.3,1.99,1846,1.359,756.3,1.948
191.3,1.59,2614,1.003,1502,0.9513
160.3,1.619,1576,1.832,1059,1.244
178.6,1.783,1127,1.902,3623,0.6128
213.1,1.912,1880,1.35,1203,1.166
197.6,1.961,2199,1.369,945,1.575
197.7,1.971,1564,1.548,1412,1.002
239.5,1.839,1263,1.86,1272,1.071
167,1.446,1394,1.593,3494,0.7478
179.8,1.856,3425,1.02,928.2,1.507
212.6,1.511,5007,0.7492,1171,1.058
216.6,1.509,1191,1.68,692.8,1.773
232.6,1.878,2980,0.9815,906.4,1.271
182.8,1.714,2498,1.131,6413,0.5362
222.5,1.533,4508,0.9481,9658,0.5304
165.6,1.664,2768,0.9886,5917,0.5548
130.1,1.476,1899,1.488,3675,0.8628
231.8,1.515,6398,0.945,4121,0.6317
201.6,1.512,4162,0.9304,2449,0.5871
208.4,1.848,1166,1.889,1556,0.9186
152.3,1.84,3810,0.8491,2501,0.8492
206.1,1.634,1163,1.845,1293,1.569
213.4,1.558,2001,1.699,3293,0.6795
212.6,1.869,1219,1.956,1527,0.934
169.7,1.37,1518,1.71,1297,1.022
239.5,1.423,1426,1.711,1117,1.521
245,1.84,1221,1.88,1256,1.121
215.9,1.213,4063,1.184,1882,0.7843
144.2,1.669,1753,1.618,2738,0.7351
129.1,1.612,1685,1.254,2586,0.7116
204,1.616,1915,1.386,1878,0.8284
173.1,1.721,1298,1.714,2107,0.756
209.4,1.626,2081,1.166,6489,0.5669
185.4,1.607,2255,1.212,5973,0.5432
202.6,1.233,1330,1.784,1518,0.9814
202.3,1.217,3373,0.9225,1665,0.8547
154.1,1.387,4099,0.8759,2470,0.7293
305,1.933,11420,0.7233,1653,0.9377
209.9,1.77,1521,1.977,1776,0.9127
157.3,1.755,1628,1.728,1096,1.198
148.7,1.792,2014,1.269,1477,0.8155
253.6,1.455,1383,1.847,2157,0.7362
186.5,1.544,1407,1.815,1702,0.8236
