ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
2.869e+09,0.9265,21200,1.474,7040,1.662
48420000,0.6155,21780,1.327,7125,1.731
4138000,1.302,24600,1.123,7905,1.561
2.304e+09,1.79,17900,1.865,6416,1.498
5793000,1.691,18150,1.695,6287,1.815
43760000,1.975,24730,1.124,6506,1.921
64630000,1.905,17390,1.891,6989,1.894
4988000,1.947,18070,1.861,7753,1.913
489900,1.842,17570,1.848,5377,1.525
2.943e+09,1.303,22180,1.292,6208,1.819
1.858e+09,0.9809,22080,1.336,6154,1.803
477600000,0.7436,18250,1.761,6747,1.888
26400000,1.519,18080,1.867,6250,1.92
21330000,1.37,17000,1.663,5382,1.948
9056000,0.8154,19680,1.554,6956,1.978
6840000,0.8305,20290,1.56,5667,1.524
187300000,0.7591,17230,1.948,6791,1.976
1.398e+09,0.6032,23190,1.296,7081,1.985
7537000,1.35,23890,1.124,6986,1.692
2320000,1.564,18790,1.814,8272,1.699
908900000,0.7411,23550,1.325,7731,1.89
987800000,0.6728,16360,1.848,5800,1.194
123300000,0.9289,22640,1.423,6062,1.355
2.707e+09,0.8114,28880,1.089,4795,1.415
14700000,1.569,29430,1.102,5446,1.833
22540000,1.394,23430,1.411,6986,1.656
1590000,1.944,19360,1.635,6110,1.792
2914000,1.068,21330,1.497,6219,1.577
40590000,1.118,22790,1.433,5138,1.78
2581000,1.925,24010,1.354,6802,1.813
1.908e+09,1.735,20890,1.377,7863,1.884
1615000,1.323,20450,1.436,6855,1.661
59090000,0.7253,19770,1.607,6235,1.856
7460000,1.525,16980,1.975,6359,1.969
148900,1.768,20050,1.678,7629,1.703
596900000,1.786,19700,1.679,8211,1.916
285400000,1.706,22250,1.298,6279,1.878
2981000,1.106,19420,1.585,6988,1.476
194300000,0.7262,19680,1.426,5519,1.749
45550,1.864,22380,1.352,6458,1.806
8721000,1.905,19780,1.487,7170,1.831
27170000,1.975,21140,1.508,5826,1.762
181100000,0.8262,18330,1.884,6894,1.851
178100000,0.6862,24550,1.224,6657,1.814
708900,1.725,21760,1.414,7594,1.836
2.593e+09,1.525,19190,1.699,7479,1.839
506400,1.427,20340,1.588,6573,1.926
2406000,1.41,20910,1.476,8716,1.721
1.121e+09,1.885,19360,1.536,7431,1.668
304500000,1.818,22240,1.277,6799,1.976
1.749e+09,1.156,19060,1.613,7189,1.97
1.72e+09,1.48,23190,1.168,7259,1.974
95670000,1.851,28230,1.142,6984,1.944
5608000,1.189,27550,1.074,7234,1.985
51360000,1.797,20760,1.433,6089,1.874
17670000,1.133,18060,1.896,6198,1.79
8.185e+09,0.9731,21680,1.438,8140,1.54
5.442e+09,0.5658,18870,1.773,6708,1.641
193300000,0.9679,16740,1.812,7004,1.91
331500,1.669,17850,1.688,6476,1.79
975600,1.515,26100,1.036,6081,1.902
14020000,1.194,24590,1.118,5732,1.701
10200000,1.554,18530,1.79,6532,1.956
62000,1.882,16670,1.97,6161,1.826
20590000,1.706,18030,1.815,5054,1.734
76100000,1.904,20100,1.556,6556,1.959
744900000,1.751,17440,1.639,5976,1.933
255400,1.689,18650,1.801,5889,1.784
470800000,1.97,20640,1.569,6864,1.997
1017000,0.9637,24640,1.192,6649,1.981
154300,1.639,23080,1.291,7007,1.958
95870000,1.564,23920,1.305,5197,1.76
187700,1.884,25190,1.18,7089,1.749
1.63e+08,1.485,24440,1.197,5474,1.533
4.462e+09,0.809,24010,1.207,5049,1.698
17530000,1.804,24090,1.137,6534,1.653
24010000,1.99,19150,1.609,6589,1.862
4.681e+09,1.244,25630,1.174,5132,1.809
11890000,0.8966,28130,0.996,6730,1.988
1178000,1.766,25060,1.189,6852,1.853
4.041e+09,1.421,30540,0.9998,6617,1.96
10880000,1.403,21430,1.373,5477,1.78
65200000,1.088,21340,1.46,6447,1.902
32450000,1.502,23080,1.224,6959,1.839
3441000,1.502,23420,1.272,6547,1.882
12250000,1.22,23670,1.286,8266,1.663
1.963e+09,0.8771,20350,1.684,6768,1.333
4366000,1.79,25150,1.373,6099,1.982
50220000,1.312,17670,1.494,8711,1.704
1.614e+09,0.6152,18720,1.599,6730,1.904
37160000,1.381,18210,1.712,6371,1.566
1.442e+09,1.087,20430,1.431,6258,1.915
65770,1.635,21170,1.436,6023,1.922
31970000,1.8,17540,1.649,7504,1.863
320200,1.727,21890,1.26,6696,1.721
8393000,1.464,17730,1.711,6672,1.777
54190000,1.656,20810,1.577,6300,1.769
2.158e+09,1.08,18250,1.853,7110,1.829
595700000,1.576,16730,1.938,5608,1.986
