ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
345100,1.485,100700,0.9934,7161,0.6926
532800,1.164,97170,1.177,10660,0.7988
353200,1.447,106000,1.169,9302,0.9561
438100,1.346,98300,1.243,10820,1.059
430400,1.184,89870,1.248,9685,0.7584
347600,1.419,105800,1.242,11490,0.7581
378700,1.342,99520,1.199,13860,0.8479
339000,1.586,99090,1.083,7863,0.8309
299500,1.681,95600,1.196,8585,0.8137
366800,1.459,95760,1.201,6803,0.9885
287800,1.734,102300,1.124,7969,0.938
397900,1.398,94470,1.256,6865,0.8518
405500,1.128,95800,1.227,8654,0.9301
310100,1.539,113200,1.08,8807,1.031
285600,1.67,103500,1.059,7348,0.7787
333600,1.522,95070,1.134,7640,0.8413
348400,1.529,100200,1.16,9698,0.9126
508200,1.291,92620,1.114,8250,0.9262
342600,1.448,96200,1.13,7481,0.9202
318700,1.584,101300,1.2,8560,0.9467
486800,1.228,113700,1.08,7475,0.7539
437100,1.295,121000,1.039,9049,1.07
386200,1.365,99580,1.248,8112,0.8638
446100,1.253,100500,1.201,7976,0.7754
261400,1.844,104500,1.187,7570,0.9063
438000,1.254,106900,1.037,8625,0.842
476700,1.285,93680,1.195,8653,0.768
279700,1.734,105500,1.077,8555,0.8489
532200,1.189,103000,1.139,8083,0.7885
337600,1.554,93490,1.166,8115,0.983
288800,1.715,95310,1.275,9201,0.9086
289600,1.673,102700,1.064,9938,0.9538
438000,1.259,90720,1.289,7008,0.7041
307300,1.591,102400,1.18,8463,0.7537
347900,1.321,106900,1.158,10640,0.8503
353400,1.57,105400,1.048,8622,0.901
389700,1.558,97740,1.297,11470,0.9851
261100,1.98,112300,0.9978,11540,1.038
244700,1.95,116100,1.087,10140,0.8935
301200,1.691,111700,1.032,7840,0.7829
525600,1.101,96880,1.118,8077,0.6829
449400,1.164,89010,1.278,11180,0.8513
260000,1.653,109800,1.067,9937,0.9666
479500,1.162,99850,1.185,8751,0.9314
350900,1.461,106700,1.093,8284,0.9209
392800,1.227,120300,1.013,9128,0.9392
323400,1.654,110600,1.118,9334,0.8272
393700,1.452,91420,1.226,10730,0.9926
419900,1.364,104600,1.084,8587,0.9445
528000,1.18,94800,1.241,6172,0.7669
483600,1.237,116000,0.9349,10100,0.9421
364300,1.237,102300,1.112,9527,0.8663
354700,1.513,90020,1.295,8942,0.7981
380700,1.447,101900,1.052,7895,0.7867
336800,1.381,97860,1.245,10240,0.8094
576500,1.036,93500,1.215,8289,0.8175
276500,1.798,95940,1.039,8594,0.8706
357400,1.301,103100,1.129,10450,0.9057
293400,1.71,114500,0.9664,6230,0.7568
591800,1.146,101900,1.211,7360,0.7661
315800,1.593,101000,1.053,7642,0.801
307600,1.584,105300,1.109,8559,0.848
370700,1.304,103100,1.136,8687,0.8671
410200,1.456,94220,1.14,9417,1.041
404000,1.485,101700,1.118,6826,0.8938
258700,1.981,98540,1.107,7585,0.8753
331900,1.617,91190,1.218,9293,0.9051
458500,1.224,103200,1.161,9858,0.9452
285000,1.721,100300,1.147,13200,0.9882
338100,1.504,99610,1.124,8250,1.032
299900,1.619,97620,1.191,11080,1.074
294000,1.77,90190,1.203,11350,1.006
603200,1.104,93730,1.08,8310,1.004
283000,1.811,112900,1.106,8355,1.083
273600,1.485,101200,1.211,8670,0.9856
329300,1.595,103500,1.151,8792,0.8184
743200,1.057,109300,0.9941,8832,0.912
534900,1.139,107800,1.099,8174,0.8733
342700,1.377,94330,1.251,7762,0.8168
