ICaL_IC50,ICaL_h,INa_IC50,INa_h,INaL_IC50,INaL_h
447100,1.564,2711000,0.7537,1.044e+09,1.54
1.996e+09,1.781,302200,0.7307,419500000,1.382
282300000,1.69,2387000,0.5019,214900000,1.975
5.25e+08,0.6097,2387000,0.5019,833300000,1.4
508300,1.842,831600,0.5775,744400000,1.955
4342000,1.866,273200,0.61,170200000,1.783
295800,1.592,3501000,0.5281,7639000,1.993
339600000,1.104,3738000,0.5442,117600,1.541
366200,1.117,275200,0.7728,1.569e+09,1.961
63190000,0.5577,1990000,0.569,3556000,1.94
20230000,1.285,977500,0.5352,34180000,1.633
178700000,0.73,23490,1.454,1.82e+08,1.281
76510000,0.8287,37320,1.299,1.362e+09,1.247
1774000,1.4,50930,1.504,5.656e+09,0.908
519800000,1.488,43280,0.9068,1.11e+09,1.024
745900000,0.9331,33330,1.154,292400000,1.721
371200000,0.717,10990,1.558,73540000,1.224
500200000,1.849,28730,1.739,4.726e+09,0.9832
4.496e+09,1.617,14780,1.96,14380000,0.9696
333400000,1.561,328400,0.7388,8488000,1.204
1.502e+09,0.5149,60360,0.9233,3904000,0.9234
64080,1.836,120500,0.8369,2713000,1.282
34470,1.904,123600,0.8041,1933000,0.9296
47630,1.476,23140,1.493,7.9e+09,1.039
107700000,1.908,1467000,1.101,1314000,1.319
283700000,1.643,62690,1.335,198200,1.166
210800,1.335,27390,1.368,5005000,1.522
7.023e+09,1.452,9974,1.8,7919000,1.882
21490,1.95,71940,0.897,231200000,1.262
1.424e+09,0.6305,89810,0.8145,1.303e+09,1.576
6.059e+09,1.606,156600,0.8644,414300000,1.803
185100000,1.731,39410,1.249,78350000,1.105
9004000,1.856,149300,0.9563,85980000,1.945
1753000,1.485,167300,0.7578,3766000,1.34
78180,1.91,80560,0.8595,22070000,1.165
1.986e+09,1.956,188100,0.6864,973800,1.281
7.266e+09,0.7723,75200,0.9068,3665000,1.361
175800000,1.491,68850,0.8952,4467000,1.332
31150,1.836,28750,1.249,168600,1.799
119300,1.526,42370,1.186,11830000,0.9464
5.05e+08,1.008,19880,1.438,395300,1.208
1.869e+09,0.7353,23040,1.955,60600000,1.334
93900000,1.836,13610,1.645,18860000,1.137
92290,1.913,14030,1.738,1264000,1.62
2741000,1.969,11080,1.598,1246000,1.27
309800000,0.7946,18670,1.291,353900000,1.775
521800,1.735,56600,0.9768,6517000,1.41
20270000,0.8485,17860,1.921,1565000,1.254
52620000,1.636,10170,1.94,169700000,1.568
57610000,1.998,113200000,1.307,1.748e+09,0.8779
4115000,1.129,22060000,1.943,69470000,1.006
4.114e+09,0.9699,1231000,0.6187,8.475e+09,0.9396
3.386e+09,1.233,74650000,1.792,6184000,1.709
253000,1.411,469900,1.891,92000,1.551
626300000,1.811,8787000,1.22,3.62e+09,1.262
31840000,1.172,39760,1.283,126700000,0.7377
658800,1.044,4976000,1.872,1828000,0.977
740000,1.264,23720,1.209,498900000,0.7197
37380,1.747,82690,1.041,6.08e+08,0.7513
1305000,1.351,18180,1.399,197400000,0.5314
2.367e+09,0.8938,261100,0.5782,754200000,1.837
9718000,1.779,21260,1.231,119200000,0.7658
158200,1.848,17000,1.211,2129000,1.957
135000,1.229,43110,1.228,8.927e+09,1.06
10190000,0.9857,99080,0.792,11180000,1.503
3880000,1.775,95620,0.8312,1.306e+09,0.5223
6.397e+09,0.7915,115100,0.9975,441500000,1.57
246800000,1.163,688400,0.5441,27190000,1.095
583100,1.193,131600,0.7058,108400000,1.55
20540000,1.426,567200,0.5444,4.558e+09,0.9857
25040000,1.852,9379,1.837,2.668e+09,1.904
718400000,1.879,709700,0.7269,5.118e+09,1.516
1097000,0.5989,76980,0.7736,5.276e+09,0.928
339400,1.738,179400,0.7346,3705000,1.089
5.174e+09,1.933,164900,0.7785,22790000,0.6981
17160000,1.925,152200,0.7116,252800000,1.018
124400,1.432,310600,0.7269,8110000,1.061
35890,1.897,131400,0.9075,4558000,1.917
54490,1.504,242200,0.6564,12880000,0.8214
101800,1.876,17100,1.682,2.166e+09,1.012
293300,1.596,42900,1.373,8.83e+08,1.942
114800000,0.6935,15780,1.254,1.551e+09,1.104
63430000,0.679,30530,1.07,12070000,1.059
229900000,1.512,26530,0.9598,89220,1.675
168700000,1.837,23160,1.528,23260000,1.844
81280000,1.326,16960,1.485,4576000,1.611
27260000,1.106,14540,1.404,7.182e+09,1.41
29970000,0.5913,62980,1.163,33080000,0.6566
7.637e+09,0.7498,54050,1.083,201800,1.071
501200000,0.8852,172600,0.8415,274100000,0.5091
10820000,1.84,987200,0.5788,54350000,0.8857
6.607e+09,0.5172,27670,1.442,117100,1.738
1.875e+09,0.5171,19430,1.479,20780000,0.6376
75430000,0.7057,500200,0.6502,68850,1.634
25640000,0.7866,54910,0.8543,2.453e+09,1.054
434500000,0.9452,10420,1.689,59610000,1.361
346700,0.961,20530,1.284,37740000,1.788
3.81e+08,1.607,212900,0.7084,2880000,1.534
371300000,1.069,266100,0.7458,53150000,1.203
1.785e+09,0.6316,192400,0.8242,6.025e+09,1.226
2.864e+09,0.5601,34900,1.167,282000,1.075
1.723e+09,0.5363,31980,1.231,130900,1.134
539800000,0.5439,29500,1.323,93620000,0.7493
30500,1.747,18810,1.585,131000,1.522
2698000,1.533,59620,0.8976,814900,1.728
114500000,1.939,105500,0.808,359500000,1.361
1.962e+09,0.8615,101500,0.9013,1.508e+09,1.037
13170000,0.9584,1223000,0.5225,71770000,0.6451
828200000,1.714,46940,1.154,409800000,1.19
34120000,1.633,1832000,0.501,191200000,0.6532
604200000,0.8978,447500,0.5912,24380000,1.337
767300000,1.313,60310,0.8623,5.836e+09,0.8922
841300,0.6036,31830,1.083,18250000,1.736
339800000,1.769,74350,1.095,257300,1.576
156100,1.037,671500,0.5918,2530000,1.471
184100,1.125,158100,0.7331,8.289e+09,1.492
10520,1.933,11700000,1.981,5.247e+09,1.367
68540000,1.22,6314000,1.857,144600000,1.828
61870000,1.894,10330000,1.562,12430000,1.705
507500,0.9095,224200000,0.7128,166600000,1.099
26780000,1.829,850300000,0.8735,221800000,1.766
1.45e+08,1.914,68370000,0.5305,658600000,1.949
85390000,1.714,758900000,1.366,20130000,0.5371
2704000,1.532,1.71e+09,1.019,1491000,1.715
103300000,1.952,147900000,1.502,355500000,0.7972
2554000,1.938,2183000,1.568,970700000,1.514
39430000,0.7344,3.041e+09,1.326,1.506e+09,0.9737
452600000,1.524,1714000,0.8282,1977000,1.014
1794000,1.991,30450,1.246,403400000,1.438
438300000,1.691,13230,1.713,2.98e+08,1.89
707800000,0.5163,9340,1.877,316200,1.985
188600000,1.139,10020,1.884,1.6e+07,1.875
12350000,1.492,9924,1.826,22910000,1.045
5204000,1.174,14490,1.675,9167000,1.451
86280000,0.7981,13570,1.548,9710000,1.919
140800000,1.087,42930,1.381,433400,0.8861
3409000,1.623,13650,1.716,34240000,0.7569
202000,1.086,10980,1.72,6.256e+09,0.9665
17100000,1.183,13560,1.703,5004000,1.93
1089000,1.124,12640,1.693,602900,1.619
68470000,0.7436,15780,1.571,241000,1.881
1.438e+09,0.698,271800,1.072,7526000,0.9177
230300,1.296,5589000,0.5167,574100,1.041
173400,1.393,547900,0.6267,70730000,1.205
145400000,1.608,194200,0.702,198500000,0.9268
164100000,0.9845,155700,0.6666,80170,1.811
2.231e+09,0.9165,944000,0.6112,229100000,1.39
12180000,1.229,316600,0.849,685900000,1.971
1040000,1.669,23970,1.186,409700000,1.998
89520000,1.43,44550,1.032,1.589e+09,1.332
1.084e+09,0.5076,121500,0.7778,2.988e+09,1.383
11590000,1.121,949500,0.5237,56530000,1.096
36390000,1.101,64070,0.86,156400000,1.399
1456000,0.7155,63670,0.9157,7.866e+09,1.091
8179000,1.022,198500,0.726,9.536e+09,0.8441
6.439e+09,1.861,837300,0.5614,106800000,1.349
33160000,1.815,255000,0.7604,814900,1.128
667600000,1.748,109300,0.9964,12780000,1.417
1466000,1.439,8705,1.931,13880000,1.823
112700000,1.34,22710,1.143,2430000,1.361
2.938e+09,1.13,28240,1.563,420600000,1.712
1732000,1.96,182900,0.7771,65770000,1.808
604600,1.592,170100,0.6808,23670000,1.47
106800000,1.887,446200,0.6183,26670,1.828
296800000,1.441,1333000,0.567,994100000,1.304
1303000,1.893,20640,1.577,1.243e+09,0.5772
98750,1.766,58540,1.203,2611000,1.801
513200,1.118,13810,1.713,146900,1.905
523900,1.132,11380,1.907,284100000,1.741
5.234e+09,1.827,9823,1.993,40900000,1.062
731500,0.6504,9823,1.993,8.817e+09,1.626
11020000,1.936,12930,1.788,26970000,1.275
17940000,1.137,714800,1.038,3.047e+09,1.291
124800000,1.183,5712000,0.6957,17810000,1.617
4319000,1.337,78360,0.9197,98160000,1.159
47980000,0.9921,44850,1.012,1.63e+08,1.663
6500000,1.253,32950,1.203,21990,1.926
2651000,1.854,33900,1.242,463200000,0.903
4119000,1.17,67750,1.049,122800000,0.8574
7.462e+09,1.097,83460,0.8785,1.708e+09,1.621
176400,1.864,101500,0.9082,758200000,1.306
43570000,1.23,255200,1.009,23050000,1.425
885600,1.131,1425000,0.606,1.827e+09,0.7523
7912000,1.895,406300,0.7283,66230000,1.586
3724000,1.767,64590,1.777,24180000,1.217
360900,1.389,16390,1.433,9.883e+09,1.43
21500000,1.289,92820,1.023,2.076e+09,1.897
1791000,0.849,25510,1.18,54990000,1.887
566700,0.9563,10240,1.84,180300000,1.538
23940000,1.527,10150,1.971,593300,1.491
239300000,1.704,9958,1.814,7.993e+09,0.9109
416600000,1.923,9958,1.814,899000,1.822
2.696e+09,1.85,12930,1.521,49950000,0.8431
15160000,0.9644,41090,0.9639,4.868e+09,0.851
44700000,0.7524,38290,1.1,21480000,1.81
433400,1.545,24060,1.58,181500000,0.5584
151200,0.7707,10890,1.735,647300000,1.541
9.971e+09,1.193,14860,1.801,634300000,1.766
29640000,1.786,17240,1.322,70260000,1.627
8.87e+08,1.64,55310,1.136,125300000,0.8001
265000,1.794,56530,0.9687,68970,1.403
286500,1.648,95110,0.8982,1.01e+09,1.521
4683000,1.938,174500,0.8009,495100000,1.092
263500000,1.291,36720,1.061,7.297e+09,1.112
872200000,1.918,135200,0.8786,476400,1.935
299500000,1.642,105200,0.8827,18560000,1.755
10470000,1.949,117400,0.7893,6.68e+09,1.211
1.762e+09,1.174,24660,1.517,86830000,1.601
5425000,0.8792,17150,1.843,674300000,1.288
2721000,0.802,9314,1.86,259700000,1.004
58140,1.021,65970,0.9357,397700000,0.732
14240000,0.8513,1458000,0.5205,14260000,0.8862
7.438e+09,1.424,450700,0.7843,338900,1.85
3704000,1.944,81460,1.061,21600000,1.965
5.367e+09,1.302,119300,1.288,329600000,1.357
3246000,0.8155,12560,1.569,355900,1.603
37730000,1.133,60220,1.008,967700,1.306
4830000,0.8318,15600,1.376,34740000,1.925
2819000,1.746,714900,0.6332,147700000,1.78
5854000,0.9797,58710,0.7585,5614000,1.284
2553000,0.994,24600000,0.8236,8707000,1.463
86430000,0.6032,4965000,0.5885,78770,1.27
338700000,0.5582,64130,0.9209,17510000,1.755
1934000,1.939,196100,0.8022,31890000,1.688
270900000,1.635,10130000,0.5997,2.017e+09,1.155
199200,1.389,23070,1.217,492700000,1.619
28320,1.473,293800,0.7512,883700,1.095
703300,1.061,71810,0.8316,110200,1.612
4.598e+09,0.8508,26040,1.324,152300000,1.95
38190000,1.719,10250,1.936,1.482e+09,1.449
28070,1.556,11160,1.934,82730000,1.172
656500,1.288,10790,1.676,2852000,1.612
7632000,1.893,13580,1.717,1.032e+09,1.754
692500,0.9017,28250,1.114,5243000,0.9543
223800000,1.447,44040,1.031,1048000,1.303
2.996e+09,1.577,223600,0.8832,2.525e+09,1.28
33780000,1.298,178100,1.484,160700000,1.998
72260000,1.51,342500,0.8408,885400,1.534
1370000,1.69,432100,0.9846,1573000,1.393
2.3e+07,1.736,34420,1.09,17010000,0.8849
591300,0.8362,18690,1.437,19870000,0.8751
10170000,0.7235,27150,1.416,70590000,0.8703
240300000,1.195,869100,1.91,8139000,1.428
1950000,1.97,747100,1.559,192700000,1.973
115700000,1.462,90320,0.9577,278100,1.261
8906000,1.095,13350,1.537,74620000,1.107
199500,1.225,13330,1.527,7007000,1.292
279200,1.877,13350,1.787,240300,1.257
56570000,0.8935,10810,1.804,32880000,0.8342
35350000,0.6526,11160,1.81,1.366e+09,0.9019
6.53e+09,1.86,89850,1.108,781300,1.779
10630000,1.065,75000,1.081,1.416e+09,1.487
208700,1.401,20700,1.267,718500000,1.483
1914000,1.527,11700,1.585,1797000,1.505
1555000,1.956,26480,1.179,9674000,1.361
17200000,0.6903,25850,1.102,8758000,0.9737
609600000,0.9329,34630,1.127,673100,1.402
6.124e+09,1.058,92710,0.7615,362800,1.095
553100000,1.24,144700,0.7697,26860000,1.547
96480,1.628,54760,1.926,233100000,1.661
4398000,0.515,14230,1.541,7725000,1.166
331200000,1.637,44790,1.141,1179000,1.309
